Dist区域,BIDS投标数量,WorkDays工期,Length长度,Lanes车道数,ContDays合同日期,ContAmnt合同金额,CPPR承包商绩效评分,CPI消费物价指数,ConstSpndg建设投资支出,PLR基准贷款利率,PPI (2 year lag)生产物价指数,ActualAmnt实际结算金额,Client
4,3,108,0.73,1,340,6843164.73,80,163.1,991356,1.35,133.7,6709295.11,Client 1
4,4,43,0.68,1,245,2495669.34,87,163.1,991356,1.35,133.7,2364214.18,Client 1
4,3,104,5.58,3,400,7645488.76,93,163.1,991356,1.35,133.7,8421634.16,Client 1
4,4,76,0.05,1,400,7977226.12,96,163.1,991356,1.35,133.7,8182399.6,Client 1
4,3,46,1.2,4,365,4046625.95,99,163.1,991356,1.35,133.7,3932062.73,Client 1
4,3,35,3.07,1,200,2754003.71,102,163.1,991356,1.35,133.7,3111036.96,Client 1
4,4,39,8.09,6,234,3539411.94,102,163.1,991356,1.35,133.7,3362550.59,Client 1
4,5,47,2.25,2,300,1840296.23,78,173.9,1116811,3.22,136.6,1861804.19,Client 1
4,4,9,4.31,2,220,964052.3,83,173.9,1116811,3.22,136.6,984593.25,Client 1
4,4,75,2.04,3,290,5179234.08,92,173.9,1116811,3.22,136.6,5423581.23,Client 1
4,4,74,2.83,1,354,7252328.75,92,173.9,1116811,3.22,136.6,7101528.19,Client 1
4,4,21,1.35,4,350,7984612.74,94,173.9,1116811,3.22,136.6,8102840.29,Client 1
4,4,22,5.12,2,280,7657641.99,94,173.9,1116811,3.22,136.6,7724845.01,Client 1
4,3,36,1.12,1,250,4971060.0,98,173.9,1116811,3.22,136.6,5046902.48,Client 1
4,4,35,0.7,5,455,7223076.27,99,173.9,1116811,3.22,136.6,7227605.53,Client 1
4,3,9,0.47,1,360,3392726.04,100,173.9,1116811,3.22,136.6,3322573.44,Client 1
4,3,18,0.13,5,157,2957855.0,103,173.9,1116811,3.22,136.6,3172673.72,Client 1
4,4,119,0.6,1,390,2278124.06,100,157.6,891497,1.13,137.0,2373751.66,Client 1
4,5,7,3.28,1,212,6552155.0,83,180.9,1161282,4.97,148.2,6309353.84,Client 1
4,5,57,0.91,4,280,4957847.52,88,180.9,1161282,4.97,148.2,4956050.74,Client 1
4,3,36,1.2,1,386,8838303.47,89,180.9,1161282,4.97,148.2,8680722.15,Client 1
4,4,19,2.45,1,266,4415000.0,90,180.9,1161282,4.97,148.2,4288854.51,Client 1
4,3,46,9.86,1,420,8822440.0,91,180.9,1161282,4.97,148.2,8823327.71,Client 1
4,4,4,3.01,1,298,4785294.27,94,180.9,1161282,4.97,148.2,4690830.07,Client 1
4,4,9,4.18,1,254,4249170.15,96,180.9,1161282,4.97,148.2,4560848.08,Client 1
4,3,0,2.46,1,141,1698200.0,97,180.9,1161282,4.97,148.2,1644173.4,Client 1
4,4,22,1.54,6,400,7877979.0,98,180.9,1161282,4.97,148.2,8056498.0,Client 1
4,2,15,8.98,1,189,4258969.52,98,180.9,1161282,4.97,148.2,4100350.46,Client 1
4,6,5,5.2,1,90,474064.64,98,180.9,1161282,4.97,148.2,444465.06,Client 1
4,3,0,1.1,4,155,1190433.6,98,180.9,1161282,4.97,148.2,1149349.14,Client 1
4,4,20,3.9,6,362,5953455.7,100,180.9,1161282,4.97,148.2,5684561.35,Client 1
4,6,39,2.94,1,415,4823222.45,100,180.9,1161282,4.97,148.2,5028157.97,Client 1
4,5,15,9.15,1,345,6399777.49,100,180.9,1161282,4.97,148.2,6368507.38,Client 1
4,4,60,1.69,1,180,6638000.31,101,180.9,1161282,4.97,148.2,6531995.22,Client 1
4,7,15,5.47,1,172,2591893.26,102,180.9,1161282,4.97,148.2,2184307.69,Client 1
4,4,8,2.54,1,443,7005087.92,104,180.9,1161282,4.97,148.2,7052781.15,Client 1
4,3,16,1.65,1,290,3659478.43,104,180.9,1161282,4.97,148.2,3730998.55,Client 1
4,2,19,1.73,1,300,7739818.33,104,180.9,1161282,4.97,148.2,8388367.15,Client 1
4,4,5,0.28,6,240,4373202.08,104,180.9,1161282,4.97,148.2,4312237.61,Client 1
4,5,18,0.1,1,347,2770848.4,108,180.9,1161282,4.97,148.2,2907310.23,Client 1
4,5,20,1.28,1,451,6634603.43,110,180.9,1161282,4.97,148.2,6505654.23,Client 1
4,7,22,0.73,1,328,4251196.38,93,184.682,1147951,5.02,166.8,4277434.47,Client 1
4,4,14,9.98,2,260,4131333.57,96,184.682,1147951,5.02,166.8,4338090.95,Client 1
4,6,32,3.95,1,413,4772911.9,97,184.682,1147951,5.02,166.8,4774346.09,Client 1
4,6,20,2.55,1,205,3343947.31,98,184.682,1147951,5.02,166.8,3059304.25,Client 1
4,4,15,3.64,1,435,8387866.27,98,184.682,1147951,5.02,166.8,9164063.27,Client 1
4,7,6,0.46,1,251,3250384.37,98,184.682,1147951,5.02,166.8,3279016.21,Client 1
4,6,42,0.41,1,416,7494693.94,100,184.682,1147951,5.02,166.8,7822390.44,Client 1
4,4,4,1.03,1,242,3523866.05,104,184.682,1147951,5.02,166.8,3713065.41,Client 1
4,5,3,2.07,1,124,756745.68,104,184.682,1147951,5.02,166.8,722878.09,Client 1
4,4,11,2.1,1,255,5449013.83,104,184.682,1147951,5.02,166.8,5851820.76,Client 1
4,3,38,9.69,1,499,6345373.18,106,184.682,1147951,5.02,166.8,7347333.65,Client 1
4,3,13,2.29,1,530,6051401.81,106,184.682,1147951,5.02,166.8,6637264.7,Client 1
4,10,31,0.45,1,260,4046164.55,92,195.549,1077350,1.92,184.8,3773935.98,Client 1
4,6,24,5.79,2,250,2121446.9,92,195.549,1077350,1.92,184.8,1495591.93,Client 1
4,5,49,0.5,1,330,5144512.69,96,195.549,1077350,1.92,184.8,5221296.83,Client 1
4,4,17,0.79,4,235,3495168.11,96,195.549,1077350,1.92,184.8,3479948.89,Client 1
4,5,10,0.0,1,276,4699653.2,97,195.549,1077350,1.92,184.8,4255326.69,Client 1
4,6,22,0.9,3,180,2494151.67,98,195.549,1077350,1.92,184.8,2427319.75,Client 1
4,5,15,0.55,4,192,4309917.0,98,195.549,1077350,1.92,184.8,4899009.61,Client 1
4,6,3,3.82,4,115,725696.63,98,195.549,1077350,1.92,184.8,636877.79,Client 1
4,4,18,4.95,2,231,1853658.95,98,195.549,1077350,1.92,184.8,1536662.27,Client 1
4,5,3,2.02,1,200,3214695.35,98,195.549,1077350,1.92,184.8,2881681.67,Client 1
4,6,8,1.18,4,292,3534116.84,100,195.549,1077350,1.92,184.8,3224058.6,Client 1
4,4,33,2.17,1,307,9431533.68,100,195.549,1077350,1.92,184.8,8965797.65,Client 1
4,7,15,0.51,2,158,2256428.45,102,195.549,1077350,1.92,184.8,2107055.56,Client 1
4,6,2,3.77,1,170,3222153.11,102,195.549,1077350,1.92,184.8,2786211.86,Client 1
4,3,5,1.26,6,193,2442222.0,104,195.549,1077350,1.92,184.8,2560867.9,Client 1
4,5,33,2.25,1,496,6022071.08,104,195.549,1077350,1.92,184.8,6224648.79,Client 1
4,8,62,2.12,2,232,5454096.44,104,195.549,1077350,1.92,184.8,5218543.48,Client 1
4,4,5,4.5,6,233,2713543.24,104,195.549,1077350,1.92,184.8,2540358.8,Client 1
4,3,6,2.19,1,160,2521773.46,104,195.549,1077350,1.92,184.8,2064579.13,Client 1
4,4,7,8.11,1,215,2137621.84,104,195.549,1077350,1.92,184.8,2114965.5,Client 1
4,5,6,2.35,2,305,3292375.3,106,195.549,1077350,1.92,184.8,3615536.91,Client 1
4,4,24,6.25,2,392,6561077.68,106,195.549,1077350,1.92,184.8,6480320.62,Client 1
4,5,18,3.65,6,300,3635008.0,106,195.549,1077350,1.92,184.8,3224356.92,Client 1
4,7,46,0.7,1,326,4538270.65,90,179.252,906543,0.16,195.5,4974140.49,Client 1
4,6,8,0.62,3,140,1151567.3,92,179.252,906543,0.16,195.5,1140865.12,Client 1
4,7,5,0.44,4,120,848755.82,93,179.252,906543,0.16,195.5,844159.53,Client 1
4,4,12,0.78,1,183,1827051.42,98,179.252,906543,0.16,195.5,1633553.34,Client 1
4,5,21,7.08,1,160,2395425.74,98,179.252,906543,0.16,195.5,2297664.09,Client 1
