BIDS,CPPR,ContDays,LEN,LANE,WDays,CPI,ContSpend,PLR,PPI,ContAmnt
2,89,55,0.59,4,6,163.1,991356,1.35,133.7,740953.0
1,97,45,3.3,0,1,179.25,906543,0.16,195.5,793133.0
4,104,120,3.88,4,3,195.55,1077350,1.92,184.8,831000.0
1,106,200,4.01,2,8,179.25,906543,0.16,195.5,573240.0
3,96,150,5.64,2,9,193.4,809256,0.18,222.4,858000.0
3,98,90,0.36,0,10,180.9,1161282,4.97,148.2,974444.44
5,98,70,1.48,2,2,179.25,906543,0.16,195.5,444061.24
5,104,90,3.31,0,13,195.55,1077350,1.92,184.8,958958.0
5,96,150,3.17,4,6,179.25,906543,0.16,195.5,633940.0
6,104,75,0.63,0,3,179.25,906543,0.16,195.5,787444.44
4,100,45,1.1,3,13,179.25,906543,0.16,195.5,611357.49
5,98,60,7.87,2,19,195.55,1077350,1.92,184.8,473000.0
4,98,90,2.14,0,35,179.25,906543,0.16,195.5,746808.33
4,96,80,0.93,0,13,195.55,1077350,1.92,184.8,937640.55
2,104,160,2.89,2,6,173.9,1116811,3.22,136.6,999999.99
5,98,155,1.41,0,28,193.4,809256,0.18,222.4,780783.94
7,98,140,0.93,0,10,193.4,809256,0.18,222.4,985713.42
5,87,120,0.14,0,27,212.37,788332,0.1,205.3,542051.75
4,96,90,0.96,3,7,212.37,788332,0.1,205.3,646393.31
5,102,90,1.62,2,24,179.25,906543,0.16,195.5,922360.0
6,98,70,0.76,0,2,193.4,809256,0.18,222.4,290000.0
4,104,100,3.32,0,6,212.37,788332,0.1,205.3,382244.63
3,101,120,2.33,4,2,179.25,906543,0.16,195.5,486603.3
5,106,50,0.13,4,9,184.68,1147951,5.02,166.8,126358.0
3,98,200,2.22,4,2,193.4,809256,0.18,222.4,831478.0
3,98,105,2.44,0,20,193.4,809256,0.18,222.4,850341.85
1,100,175,2.3,4,7,179.25,906543,0.16,195.5,665000.0
1,106,310,6.46,2,3,193.4,809256,0.18,222.4,371000.0
6,98,90,5.2,0,5,180.9,1161282,4.97,148.2,474064.64
7,98,197,6.29,0,10,212.37,788332,0.1,205.3,944801.18
2,95,105,9.82,2,10,163.1,991356,1.35,133.7,797000.0
5,103,220,2.96,4,4,179.25,906543,0.16,195.5,936007.37
4,83,220,4.31,2,9,173.9,1116811,3.22,136.6,964052.3
4,104,130,1.07,0,4,193.4,809256,0.18,222.4,583929.42
3,100,60,3.77,2,7,179.25,906543,0.16,195.5,839720.0
2,96,50,0.63,4,13,179.25,906543,0.16,195.5,389209.0
7,108,90,7.99,2,4,212.37,788332,0.1,205.3,356381.03
4,98,165,3.95,6,26,193.4,809256,0.18,222.4,940930.0
7,102,160,0.5,0,15,179.25,906543,0.16,195.5,939353.53
6,98,115,3.82,4,3,195.55,1077350,1.92,184.8,725696.63
4,98,80,1.81,5,15,179.25,906543,0.16,195.5,480900.0
6,100,98,3.88,0,12,179.25,906543,0.16,195.5,358046.07
5,96,75,1.67,0,5,193.4,809256,0.18,222.4,284997.72
1,94,205,5.69,2,28,193.4,809256,0.18,222.4,263000.0
2,87,90,2.65,0,25,157.6,891497,1.13,137.0,745765.0
2,93,95,0.92,4,4,173.9,1116811,3.22,136.6,983982.48
4,104,55,0.68,0,2,179.25,906543,0.16,195.5,192660.7
4,98,75,0.7,4,12,212.37,788332,0.1,205.3,356665.0
2,97,150,0.55,0,11,193.4,809256,0.18,222.4,442340.0
3,100,150,9.8,4,5,179.25,906543,0.16,195.5,393075.0
4,90,90,0.08,2,10,212.37,788332,0.1,205.3,911000.0
3,96,125,8.0,0,14,163.1,991356,1.35,133.7,994943.67
5,98,120,1.98,4,10,193.4,809256,0.18,222.4,969088.83
3,98,65,4.22,2,13,179.25,906543,0.16,195.5,536873.71
3,96,70,0.12,2,4,184.68,1147951,5.02,166.8,720718.0
4,94,75,1.89,4,1,193.4,809256,0.18,222.4,775220.0
3,96,130,2.26,3,4,193.4,809256,0.18,222.4,294798.0
4,100,60,2.31,0,1,179.25,906543,0.16,195.5,259248.0
2,83,75,2.16,2,2,180.9,1161282,4.97,148.2,471834.58
4,98,75,0.77,5,6,179.25,906543,0.16,195.5,597790.85
5,94,77,3.48,2,11,195.55,1077350,1.92,184.8,334244.57
6,97,70,3.38,4,10,179.25,906543,0.16,195.5,294843.45
3,98,125,1.99,4,10,179.25,906543,0.16,195.5,897300.0
3,94,105,7.02,2,1,179.25,906543,0.16,195.5,986041.16
4,98,100,2.8,2,3,179.25,906543,0.16,195.5,820425.0
3,97,80,2.17,0,9,179.25,906543,0.16,195.5,847000.0
7,96,180,0.23,2,26,193.4,809256,0.18,222.4,998939.03
6,98,95,0.15,5,14,179.25,906543,0.16,195.5,307126.07
5,104,124,2.07,0,3,184.68,1147951,5.02,166.8,756745.68
4,98,80,4.69,4,7,179.25,906543,0.16,195.5,786632.8
2,98,60,3.01,2,25,179.25,906543,0.16,195.5,690342.8
4,102,100,0.47,4,2,195.55,1077350,1.92,184.8,883265.55
5,104,90,2.48,0,3,179.25,906543,0.16,195.5,446131.15
2,98,110,1.88,0,9,184.68,1147951,5.02,166.8,976300.0
4,98,125,0.8,4,12,193.4,809256,0.18,222.4,929836.0
5,90,90,1.2,0,1,179.25,906543,0.16,195.5,456279.0
6,92,100,0.76,0,5,193.4,809256,0.18,222.4,366200.7
3,97,70,1.84,4,5,193.4,809256,0.18,222.4,220120.78
9,102,180,1.19,0,41,193.4,809256,0.18,222.4,817035.23
5,98,112,6.72,2,1,212.37,788332,0.1,205.3,573200.7
6,104,90,15.5,2,13,179.25,906543,0.16,195.5,581491.26
7,104,150,2.71,8,5,180.9,1161282,4.97,148.2,997952.15
4,95,110,2.36,2,70,193.4,809256,0.18,222.4,933818.24
1,104,250,1.1,4,1,179.25,906543,0.16,195.5,692790.0
3,98,90,1.0,0,7,184.68,1147951,5.02,166.8,959900.0
4,104,75,5.97,2,13,195.55,1077350,1.92,184.8,932415.0
7,97,149,0.67,2,4,184.68,1147951,5.02,166.8,786871.74
7,93,120,0.44,4,5,179.25,906543,0.16,195.5,848755.82
3,100,60,0.9,4,2,173.9,1116811,3.22,136.6,648849.0
2,102,60,10.69,2,4,180.9,1161282,4.97,148.2,449563.22
