BIDS,CPPR,ContDays,LEN,LANE,WDays,CPI,ContSpend,PLR,PPI,ContAmnt
5,101,90,1.91,2,7,195.55,1077350,1.92,184.8,2029006.41
2,90,135,1.0,4,14,179.25,906543,0.16,195.5,3377398.21
3,104,165,0.33,2,7,193.4,809256,0.18,222.4,1648348.37
6,98,205,2.55,0,20,184.68,1147951,5.02,166.8,3343947.31
4,87,245,0.68,0,43,163.1,991356,1.35,133.7,2495669.34
3,104,75,7.12,4,2,184.68,1147951,5.02,166.8,1077513.0
7,104,315,0.29,5,60,212.37,788332,0.1,205.3,3080900.28
3,104,290,1.65,0,16,180.9,1161282,4.97,148.2,3659478.43
3,98,175,0.0,2,13,212.37,788332,0.1,205.3,1506069.9
3,97,355,16.05,0,8,193.4,809256,0.18,222.4,2328774.61
3,102,124,0.99,3,9,180.9,1161282,4.97,148.2,1871687.55
4,44,200,2.21,0,25,163.1,991356,1.35,133.7,3875546.32
3,94,90,1.34,3,1,180.9,1161282,4.97,148.2,1471634.23
3,88,230,1.53,0,56,179.25,906543,0.16,195.5,2213091.92
5,100,190,1.15,4,57,179.25,906543,0.16,195.5,2951280.45
7,103,259,1.06,0,46,179.25,906543,0.16,195.5,3070172.15
3,96,208,0.49,2,90,173.9,1116811,3.22,136.6,2324486.68
6,100,273,4.39,0,70,212.37,788332,0.1,205.3,3439064.2
2,98,100,1.85,6,15,180.9,1161282,4.97,148.2,4343058.09
10,102,585,4.49,6,31,179.25,906543,0.16,195.5,3280000.0
4,92,160,8.37,4,37,179.25,906543,0.16,195.5,2890228.67
4,98,60,0.25,0,14,173.9,1116811,3.22,136.6,1079989.0
3,78,145,1.02,0,28,184.68,1147951,5.02,166.8,4918543.01
5,87,392,4.26,0,109,212.37,788332,0.1,205.3,3358662.81
4,100,180,6.33,0,11,179.25,906543,0.16,195.5,1098409.83
3,104,145,5.69,0,6,184.68,1147951,5.02,166.8,3608850.56
3,91,370,4.21,6,42,212.37,788332,0.1,205.3,3997651.25
4,80,150,2.07,4,13,193.4,809256,0.18,222.4,2329984.39
5,98,230,0.0,2,21,212.37,788332,0.1,205.3,2611072.58
3,93,100,0.03,6,10,179.25,906543,0.16,195.5,2120637.1
10,94,220,3.27,0,55,179.25,906543,0.16,195.5,1473322.41
6,98,200,0.67,5,14,193.4,809256,0.18,222.4,1845000.0
6,100,90,3.24,0,8,184.68,1147951,5.02,166.8,1485863.3
3,92,135,1.71,0,6,179.25,906543,0.16,195.5,1846427.0
4,96,235,0.79,4,17,195.55,1077350,1.92,184.8,3495168.11
3,96,120,1.21,4,14,212.37,788332,0.1,205.3,2344444.44
1,90,140,1.06,6,5,173.9,1116811,3.22,136.6,3905015.8
7,48,270,1.97,4,22,212.37,788332,0.1,205.3,2898638.63
7,108,170,4.24,2,4,184.68,1147951,5.02,166.8,1277957.54
5,98,180,2.5,0,52,184.68,1147951,5.02,166.8,2397198.35
3,98,210,13.34,6,12,212.37,788332,0.1,205.3,3045258.0
2,100,310,12.44,0,27,180.9,1161282,4.97,148.2,4943000.0
5,38,225,0.93,0,26,193.4,809256,0.18,222.4,2925879.92
3,95,147,4.35,4,36,193.4,809256,0.18,222.4,1097763.85
4,90,266,2.45,0,19,180.9,1161282,4.97,148.2,4415000.0
5,83,240,2.9,2,33,193.4,809256,0.18,222.4,3448898.97
7,96,150,4.79,2,6,193.4,809256,0.18,222.4,1790424.54
2,91,190,1.23,2,21,180.9,1161282,4.97,148.2,3975002.7
2,102,170,1.19,2,39,173.9,1116811,3.22,136.6,2443198.17
6,98,130,6.58,2,12,212.37,788332,0.1,205.3,2356593.36
5,78,300,2.25,2,47,173.9,1116811,3.22,136.6,1840296.23
5,102,240,9.86,4,8,193.4,809256,0.18,222.4,1421762.08
4,102,234,8.09,6,39,163.1,991356,1.35,133.7,3539411.94
7,97,210,2.57,0,21,184.68,1147951,5.02,166.8,2129206.81
4,100,150,14.52,2,2,193.4,809256,0.18,222.4,1590496.77
2,92,120,9.69,2,12,173.9,1116811,3.22,136.6,2131234.56
2,79,190,6.84,2,9,184.68,1147951,5.02,166.8,3564447.92
1,97,325,0.89,2,10,179.25,906543,0.16,195.5,1187500.0
5,96,140,1.15,2,40,179.25,906543,0.16,195.5,2884000.0
4,98,185,2.51,4,5,193.4,809256,0.18,222.4,2886634.45
4,93,185,5.0,0,25,193.4,809256,0.18,222.4,2414593.81
4,104,125,3.92,0,8,193.4,809256,0.18,222.4,1507940.0
5,100,80,3.73,4,13,195.55,1077350,1.92,184.8,1146890.97
4,82,70,2.35,0,3,179.25,906543,0.16,195.5,1266141.24
4,98,231,4.95,2,18,195.55,1077350,1.92,184.8,1853658.95
3,101,240,2.31,6,36,212.37,788332,0.1,205.3,2704763.44
4,98,120,0.98,2,6,179.25,906543,0.16,195.5,1350240.91
5,98,200,2.02,0,3,195.55,1077350,1.92,184.8,3214695.35
7,102,160,1.66,3,18,179.25,906543,0.16,195.5,2469888.91
4,98,90,6.83,0,6,195.55,1077350,1.92,184.8,1431108.0
8,98,150,0.6,0,4,193.4,809256,0.18,222.4,3132229.0
3,104,193,1.26,6,5,195.55,1077350,1.92,184.8,2442222.0
5,106,300,3.65,6,18,195.55,1077350,1.92,184.8,3635008.0
6,99,150,1.78,4,36,179.25,906543,0.16,195.5,4960807.0
5,90,140,2.16,0,62,179.25,906543,0.16,195.5,1542640.56
3,102,120,1.18,2,4,212.37,788332,0.1,205.3,1030759.33
4,98,115,2.04,0,19,184.68,1147951,5.02,166.8,2735106.0
4,104,233,4.5,6,5,195.55,1077350,1.92,184.8,2713543.24
5,102,180,5.59,4,6,180.9,1161282,4.97,148.2,1963280.13
3,100,210,3.56,6,5,193.4,809256,0.18,222.4,2331980.65
2,92,150,2.29,0,18,180.9,1161282,4.97,148.2,4976073.18
6,104,120,7.37,2,6,173.9,1116811,3.22,136.6,1804963.0
6,104,125,1.58,2,2,193.4,809256,0.18,222.4,1215271.0
6,102,170,3.77,0,2,195.55,1077350,1.92,184.8,3222153.11
4,98,120,0.23,4,6,195.55,1077350,1.92,184.8,3310750.0
4,97,250,0.49,4,14,193.4,809256,0.18,222.4,1608888.88
4,72,150,1.12,4,20,173.9,1116811,3.22,136.6,4482464.16
3,98,140,11.18,4,13,212.37,788332,0.1,205.3,2245590.67
4,95,275,0.44,0,29,179.25,906543,0.16,195.5,2996527.38
2,98,105,4.7,0,5,180.9,1161282,4.97,148.2,1464535.87
3,82,140,5.87,4,43,173.9,1116811,3.22,136.6,1583955.71
2,98,200,0.99,4,1,179.25,906543,0.16,195.5,3955441.7
3,98,190,2.24,3,29,212.37,788332,0.1,205.3,4994247.32
4,98,130,0.81,0,11,193.4,809256,0.18,222.4,2129308.25
6,78,178,1.53,3,21,212.37,788332,0.1,205.3,4264769.06
5,97,150,1.06,5,12,212.37,788332,0.1,205.3,1288505.56
5,98,190,2.0,6,34,179.25,906543,0.16,195.5,2589000.0
4,98,100,1.3,0,11,179.25,906543,0.16,195.5,1264444.44
6,100,180,2.74,2,85,212.37,788332,0.1,205.3,2322979.0
6,97,413,3.95,0,32,184.68,1147951,5.02,166.8,4772911.9
6,85,170,3.45,2,13,212.37,788332,0.1,205.3,2585986.46
5,98,65,0.5,4,2,195.55,1077350,1.92,184.8,3055000.0
7,104,90,4.92,2,21,179.25,906543,0.16,195.5,1044305.0
5,98,100,0.67,6,13,195.55,1077350,1.92,184.8,1939128.29
1,104,101,0.92,6,18,184.68,1147951,5.02,166.8,1752739.62
4,98,110,0.74,6,1,193.4,809256,0.18,222.4,1609226.86
6,100,240,2.11,0,27,212.37,788332,0.1,205.3,2948196.38
4,96,140,9.0,3,11,180.9,1161282,4.97,148.2,2821995.99
2,89,125,13.01,0,21,173.9,1116811,3.22,136.6,2404565.17
6,104,160,3.09,2,9,212.37,788332,0.1,205.3,1839428.21
4,102,240,12.25,0,43,195.55,1077350,1.92,184.8,3260604.56
3,98,75,0.6,0,7,180.9,1161282,4.97,148.2,1133008.78
6,84,150,1.51,4,3,193.4,809256,0.18,222.4,1766637.04
3,98,150,0.63,2,52,180.9,1161282,4.97,148.2,2964136.05
2,98,100,4.74,2,10,163.1,991356,1.35,133.7,1035672.0
2,100,170,0.71,0,10,184.68,1147951,5.02,166.8,2300000.0
1,102,215,3.69,2,3,179.25,906543,0.16,195.5,1240066.81
3,102,95,1.78,0,13,179.25,906543,0.16,195.5,1200219.63
2,104,100,1.08,2,2,173.9,1116811,3.22,136.6,1219031.6
1,94,100,0.28,0,7,180.9,1161282,4.97,148.2,2177515.75
3,92,180,8.75,2,17,180.9,1161282,4.97,148.2,4079905.2
3,100,340,9.67,6,68,212.37,788332,0.1,205.3,4176970.84
4,94,154,1.52,2,17,193.4,809256,0.18,222.4,1028553.91
2,104,105,1.38,0,8,195.55,1077350,1.92,184.8,3460000.0
2,80,225,5.54,2,13,212.37,788332,0.1,205.3,3368021.15
2,97,205,3.94,4,14,173.9,1116811,3.22,136.6,4191498.5
3,98,130,0.16,4,8,179.25,906543,0.16,195.5,2105992.48
2,98,189,8.98,0,15,180.9,1161282,4.97,148.2,4258969.52
6,102,95,2.19,3,4,193.4,809256,0.18,222.4,1617578.12
4,96,90,2.57,2,16,184.68,1147951,5.02,166.8,1686429.27
2,98,254,0.83,6,73,173.9,1116811,3.22,136.6,4831461.52
2,89,160,8.53,4,22,173.9,1116811,3.22,136.6,1866886.6
4,83,310,2.54,4,45,157.6,891497,1.13,137.0,3130155.65
5,88,280,0.91,4,57,180.9,1161282,4.97,148.2,4957847.52
3,104,180,2.72,2,10,195.55,1077350,1.92,184.8,3523685.05
2,90,145,4.45,0,8,193.4,809256,0.18,222.4,1529351.2
5,98,115,0.76,0,21,179.25,906543,0.16,195.5,2110000.0
3,98,155,1.1,4,0,180.9,1161282,4.97,148.2,1190433.6
3,96,150,3.28,4,44,195.55,1077350,1.92,184.8,2298028.1
4,92,100,0.04,0,6,212.37,788332,0.1,205.3,1503953.65
3,89,180,11.61,4,15,179.25,906543,0.16,195.5,3499812.0
12,95,299,1.26,0,40,195.55,1077350,1.92,184.8,2307756.9
6,94,100,2.24,4,12,179.25,906543,0.16,195.5,1163634.14
3,103,157,0.13,5,18,173.9,1116811,3.22,136.6,2957855.0
6,95,120,0.05,2,18,212.37,788332,0.1,205.3,1731113.89
5,94,180,3.68,6,26,179.25,906543,0.16,195.5,2639791.32
4,58,175,7.23,4,16,184.68,1147951,5.02,166.8,3275404.14
6,100,292,1.18,4,8,195.55,1077350,1.92,184.8,3534116.84
6,98,145,5.06,0,11,179.25,906543,0.16,195.5,1198000.0
6,93,150,1.1,2,18,195.55,1077350,1.92,184.8,4291517.53
4,96,254,4.18,0,9,180.9,1161282,4.97,148.2,4249170.15
6,98,210,0.64,0,35,193.4,809256,0.18,222.4,2530000.0
3,53,255,1.12,0,18,157.6,891497,1.13,137.0,3844821.85
2,100,80,2.08,5,3,173.9,1116811,3.22,136.6,1230000.0
4,52,100,0.68,0,21,195.55,1077350,1.92,184.8,2055267.85
3,100,360,0.47,0,9,173.9,1116811,3.22,136.6,3392726.04
5,83,210,1.1,6,53,179.25,906543,0.16,195.5,3906445.05
3,96,185,7.58,4,10,193.4,809256,0.18,222.4,3334624.32
2,100,250,2.95,0,62,157.6,891497,1.13,137.0,4631747.21
7,104,195,3.71,0,31,179.25,906543,0.16,195.5,1727671.01
4,99,450,2.74,0,73,193.4,809256,0.18,222.4,2634260.35
3,97,215,11.46,4,43,193.4,809256,0.18,222.4,2997002.49
4,104,242,1.03,0,4,184.68,1147951,5.02,166.8,3523866.05
2,100,80,1.92,2,10,180.9,1161282,4.97,148.2,1315000.0
6,104,280,4.09,0,71,179.25,906543,0.16,195.5,2487194.27
4,96,300,2.32,0,23,193.4,809256,0.18,222.4,4636499.05
3,102,100,3.12,6,21,195.55,1077350,1.92,184.8,1846000.0
3,54,255,11.0,4,21,163.1,991356,1.35,133.7,3915881.41
6,96,200,1.76,4,9,193.4,809256,0.18,222.4,1394806.97
6,98,120,11.48,4,60,212.37,788332,0.1,205.3,1563239.26
3,98,180,5.44,2,25,193.4,809256,0.18,222.4,2633483.26
3,91,120,3.36,0,24,212.37,788332,0.1,205.3,1967290.62
7,104,210,4.08,0,22,184.68,1147951,5.02,166.8,4844827.19
8,96,135,0.16,2,14,212.37,788332,0.1,205.3,1010622.0
3,104,162,0.76,0,4,193.4,809256,0.18,222.4,1103842.15
4,96,218,1.64,4,63,212.37,788332,0.1,205.3,4263052.2
5,98,192,0.55,4,15,195.55,1077350,1.92,184.8,4309917.0
4,102,248,1.23,0,38,179.25,906543,0.16,195.5,4787600.56
4,100,322,1.13,0,16,193.4,809256,0.18,222.4,4170284.82
3,104,150,1.2,0,7,184.68,1147951,5.02,166.8,2574897.44
2,98,130,1.85,4,24,163.1,991356,1.35,133.7,1579421.2
3,102,115,6.2,0,4,173.9,1116811,3.22,136.6,2187500.0
4,102,256,1.46,0,22,184.68,1147951,5.02,166.8,4626310.42
2,83,195,2.56,0,106,163.1,991356,1.35,133.7,2978726.0
5,60,130,2.9,4,8,179.25,906543,0.16,195.5,2204840.0
3,95,175,1.69,2,11,195.55,1077350,1.92,184.8,2628928.74
6,100,190,0.52,0,153,212.37,788332,0.1,205.3,4738000.0
2,64,305,4.32,0,68,157.6,891497,1.13,137.0,4899477.4
2,95,140,1.06,4,35,195.55,1077350,1.92,184.8,4284453.36
3,104,105,5.13,4,6,184.68,1147951,5.02,166.8,2860000.0
4,94,298,3.01,0,4,180.9,1161282,4.97,148.2,4785294.27
3,98,100,1.54,6,6,184.68,1147951,5.02,166.8,2084000.0
5,99,180,0.27,4,10,193.4,809256,0.18,222.4,2275465.61
4,100,230,16.98,0,29,184.68,1147951,5.02,166.8,3496312.58
2,104,150,0.0,0,2,184.68,1147951,5.02,166.8,2674522.0
3,102,175,4.03,2,13,193.4,809256,0.18,222.4,1282215.71
8,100,240,0.11,4,26,193.4,809256,0.18,222.4,1478208.98
7,93,328,0.73,0,22,184.68,1147951,5.02,166.8,4251196.38
2,82,160,2.71,0,12,179.25,906543,0.16,195.5,3644453.63
2,97,120,4.81,2,3,173.9,1116811,3.22,136.6,1206950.0
4,98,100,1.0,4,87,179.25,906543,0.16,195.5,2014721.3
5,98,230,4.41,2,14,179.25,906543,0.16,195.5,2096802.35
4,100,190,3.25,2,81,179.25,906543,0.16,195.5,1794000.0
7,102,172,5.47,0,15,180.9,1161282,4.97,148.2,2591893.26
4,104,180,2.86,2,3,212.37,788332,0.1,205.3,2229983.75
4,100,155,5.4,0,14,179.25,906543,0.16,195.5,1468709.1
2,106,160,1.32,6,17,163.1,991356,1.35,133.7,3997107.82
5,98,160,7.08,0,21,179.25,906543,0.16,195.5,2395425.74
6,64,140,0.53,2,32,193.4,809256,0.18,222.4,1445901.98
3,102,180,0.78,4,24,180.9,1161282,4.97,148.2,3221733.92
3,99,295,2.52,4,40,212.37,788332,0.1,205.3,2883469.87
5,97,140,0.75,2,23,212.37,788332,0.1,205.3,2693900.0
4,94,185,1.9,2,57,212.37,788332,0.1,205.3,3149343.04
4,102,190,2.98,0,13,180.9,1161282,4.97,148.2,3326900.06
2,98,80,6.78,0,3,173.9,1116811,3.22,136.6,1527944.49
4,100,245,5.12,4,30,212.37,788332,0.1,205.3,3227830.69
4,104,215,8.11,0,7,195.55,1077350,1.92,184.8,2137621.84
7,98,210,1.28,4,12,193.4,809256,0.18,222.4,2093339.17
3,102,90,0.23,6,4,180.9,1161282,4.97,148.2,1833000.0
3,76,215,2.84,2,61,173.9,1116811,3.22,136.6,3132416.12
3,98,115,3.11,0,17,184.68,1147951,5.02,166.8,1659787.8
1,98,120,1.13,4,6,195.55,1077350,1.92,184.8,3481892.24
1,98,200,3.29,0,5,180.9,1161282,4.97,148.2,2395756.05
3,102,200,3.07,0,35,163.1,991356,1.35,133.7,2754003.71
7,102,360,0.93,0,104,179.25,906543,0.16,195.5,4569725.96
3,104,160,2.19,0,6,195.55,1077350,1.92,184.8,2521773.46
5,98,120,0.64,4,7,193.4,809256,0.18,222.4,1444222.21
6,98,235,1.95,2,19,212.37,788332,0.1,205.3,2506650.0
3,89,150,2.74,2,10,212.37,788332,0.1,205.3,4205548.56
7,100,175,0.22,0,13,193.4,809256,0.18,222.4,2653783.38
2,98,130,0.48,2,5,163.1,991356,1.35,133.7,1330442.08
3,95,90,11.7,0,18,212.37,788332,0.1,205.3,1759203.94
4,96,191,0.31,0,16,193.4,809256,0.18,222.4,2814287.33
1,104,110,1.69,0,3,180.9,1161282,4.97,148.2,2804000.0
8,98,140,6.2,2,21,195.55,1077350,1.92,184.8,4427872.06
4,97,230,5.97,2,38,179.25,906543,0.16,195.5,3339732.07
4,96,90,0.97,2,8,173.9,1116811,3.22,136.6,1198001.85
3,98,130,2.33,6,10,180.9,1161282,4.97,148.2,2125000.0
4,100,150,1.22,2,23,179.25,906543,0.16,195.5,2778239.31
4,89,185,2.37,6,4,212.37,788332,0.1,205.3,3034689.0
8,101,355,2.67,0,67,193.4,809256,0.18,222.4,2269385.97
5,106,305,2.35,2,6,195.55,1077350,1.92,184.8,3292375.3
3,88,180,4.21,2,29,173.9,1116811,3.22,136.6,1935414.03
2,100,110,4.66,5,14,173.9,1116811,3.22,136.6,1683412.0
3,98,225,0.32,0,19,193.4,809256,0.18,222.4,2364635.46
8,98,250,0.1,2,34,179.25,906543,0.16,195.5,1918628.61
3,94,160,2.73,4,6,193.4,809256,0.18,222.4,2898429.3
7,102,158,0.51,2,15,195.55,1077350,1.92,184.8,2256428.45
6,98,215,7.02,2,14,212.37,788332,0.1,205.3,1943725.08
2,81,90,1.37,4,4,173.9,1116811,3.22,136.6,1893000.0
3,97,90,1.89,2,4,173.9,1116811,3.22,136.6,1984141.53
2,96,180,1.35,3,42,179.25,906543,0.16,195.5,2736839.68
3,102,150,1.49,4,6,184.68,1147951,5.02,166.8,2230743.41
3,91,210,2.9,4,49,195.55,1077350,1.92,184.8,4593255.14
5,98,225,1.47,4,9,193.4,809256,0.18,222.4,3434263.44
4,98,150,0.64,0,14,179.25,906543,0.16,195.5,2063517.44
6,92,250,5.79,2,24,195.55,1077350,1.92,184.8,2121446.9
3,98,80,2.77,4,9,195.55,1077350,1.92,184.8,2310000.0
2,104,110,1.02,0,13,179.25,906543,0.16,195.5,1679656.72
5,96,240,3.46,4,14,193.4,809256,0.18,222.4,2771667.17
6,102,250,6.32,0,30,184.68,1147951,5.02,166.8,4173923.64
5,98,100,0.0,6,21,212.37,788332,0.1,205.3,1792465.99
5,98,140,1.48,2,18,193.4,809256,0.18,222.4,1521591.7
2,98,99,1.0,0,8,173.9,1116811,3.22,136.6,2847752.55
5,100,190,0.84,0,30,179.25,906543,0.16,195.5,4064000.0
6,96,150,1.3,0,85,195.55,1077350,1.92,184.8,2229617.68
4,100,100,2.54,0,6,212.37,788332,0.1,205.3,1159374.74
2,92,121,1.32,5,1,173.9,1116811,3.22,136.6,1929525.0
4,92,180,1.3,2,20,195.55,1077350,1.92,184.8,3360682.02
2,98,140,15.7,0,7,212.37,788332,0.1,205.3,1953814.88
2,99,150,1.36,4,5,195.55,1077350,1.92,184.8,2238899.8
4,104,225,0.4,3,18,173.9,1116811,3.22,136.6,4058723.91
2,100,115,1.36,0,14,180.9,1161282,4.97,148.2,2823388.83
4,98,90,0.0,0,12,193.4,809256,0.18,222.4,1179595.0
5,100,250,0.28,6,20,212.37,788332,0.1,205.3,2377986.2
4,98,210,8.32,4,54,193.4,809256,0.18,222.4,1585025.0
4,98,235,2.15,0,50,212.37,788332,0.1,205.3,3031864.46
6,98,265,5.18,2,9,179.25,906543,0.16,195.5,1086777.99
4,100,110,0.78,0,21,193.4,809256,0.18,222.4,1448886.0
3,104,135,5.0,2,7,195.55,1077350,1.92,184.8,4302390.0
5,102,120,15.5,0,26,212.37,788332,0.1,205.3,2180576.5
5,88,260,1.55,5,20,179.25,906543,0.16,195.5,4307575.66
4,98,105,1.26,6,4,193.4,809256,0.18,222.4,1148462.38
5,108,98,7.82,6,3,179.25,906543,0.16,195.5,2076079.0
