BIDS,CPPR,ContDays,LEN,LANE,WDays,CPI,ContSpend,PLR,PPI,ContAmnt
4,100,290,1.27,4,74,179.25,906543,0.16,195.5,5745323.46
3,88,190,7.55,0,146,163.1,991356,1.35,133.7,5088420.74
4,100,250,13.98,2,27,173.9,1116811,3.22,136.6,5740000.0
4,101,180,1.69,0,60,180.9,1161282,4.97,148.2,6638000.31
4,100,490,3.51,0,27,179.25,906543,0.16,195.5,10081508.63
4,104,255,2.1,0,11,184.68,1147951,5.02,166.8,5449013.83
5,100,555,1.69,0,184,163.1,991356,1.35,133.7,12574699.84
3,97,180,0.55,2,30,179.25,906543,0.16,195.5,5046000.0
5,100,225,5.86,4,20,180.9,1161282,4.97,148.2,7987000.0
2,100,222,4.0,5,16,180.9,1161282,4.97,148.2,7365422.48
3,94,180,1.37,4,43,184.68,1147951,5.02,166.8,10979000.0
2,82,240,2.38,2,37,193.4,809256,0.18,222.4,11407933.46
3,95,270,1.24,4,269,212.37,788332,0.1,205.3,6483238.08
3,91,775,1.24,0,59,163.1,991356,1.35,133.7,15278797.9
6,98,230,1.06,4,28,193.4,809256,0.18,222.4,6821744.16
5,101,550,0.42,2,87,212.37,788332,0.1,205.3,9444488.88
2,99,355,1.13,3,39,193.4,809256,0.18,222.4,7257192.4
2,98,385,6.04,0,61,184.68,1147951,5.02,166.8,15748953.97
3,97,180,2.97,6,5,180.9,1161282,4.97,148.2,5845318.0
6,104,427,3.25,2,97,184.68,1147951,5.02,166.8,10060369.77
6,104,280,1.43,0,83,212.37,788332,0.1,205.3,6617367.56
7,98,305,21.56,2,13,195.55,1077350,1.92,184.8,5550243.52
4,100,200,10.33,2,116,195.55,1077350,1.92,184.8,5149777.95
4,84,290,1.63,2,18,173.9,1116811,3.22,136.6,7967143.13
3,70,190,1.09,6,76,212.37,788332,0.1,205.3,5262910.45
3,90,200,1.24,4,73,163.1,991356,1.35,133.7,6781059.24
4,102,621,0.25,0,67,212.37,788332,0.1,205.3,9628539.54
5,100,345,9.15,0,15,180.9,1161282,4.97,148.2,6399777.49
5,104,496,2.25,0,33,195.55,1077350,1.92,184.8,6022071.08
4,90,220,2.47,6,149,179.25,906543,0.16,195.5,6954026.0
2,104,300,1.73,0,19,180.9,1161282,4.97,148.2,7739818.33
4,96,250,2.76,6,28,179.25,906543,0.16,195.5,7265411.53
6,98,160,0.05,0,32,195.55,1077350,1.92,184.8,5321563.94
2,102,330,1.06,4,76,195.55,1077350,1.92,184.8,11481219.7
2,66,240,1.85,4,36,173.9,1116811,3.22,136.6,16771370.0
3,75,300,2.44,6,35,180.9,1161282,4.97,148.2,5584137.53
4,84,310,4.01,0,125,163.1,991356,1.35,133.7,6069615.37
3,88,270,8.64,3,259,193.4,809256,0.18,222.4,12599739.35
4,90,200,4.79,2,86,212.37,788332,0.1,205.3,5376123.0
4,81,330,0.85,6,33,195.55,1077350,1.92,184.8,9384826.54
3,90,305,3.69,4,100,195.55,1077350,1.92,184.8,5049714.49
2,96,175,0.91,2,50,195.55,1077350,1.92,184.8,5244604.07
2,105,130,3.57,0,7,180.9,1161282,4.97,148.2,5265915.0
3,89,380,3.2,0,58,173.9,1116811,3.22,136.6,12826748.99
4,94,280,1.14,0,60,179.25,906543,0.16,195.5,5269727.25
3,96,180,1.55,6,23,184.68,1147951,5.02,166.8,5223787.09
5,77,196,6.1,0,9,212.37,788332,0.1,205.3,6245041.03
2,108,320,12.23,6,6,173.9,1116811,3.22,136.6,7695245.06
3,94,270,5.67,0,47,180.9,1161282,4.97,148.2,14625507.2
5,100,469,1.91,0,76,195.55,1077350,1.92,184.8,18986800.0
2,81,174,1.52,4,72,173.9,1116811,3.22,136.6,6653701.0
4,99,290,2.68,4,9,184.68,1147951,5.02,166.8,10767000.0
2,86,395,0.91,0,280,163.1,991356,1.35,133.7,5309754.66
2,100,310,8.46,5,61,193.4,809256,0.18,222.4,12947121.1
4,100,150,0.29,0,2,180.9,1161282,4.97,148.2,5062692.97
2,99,330,2.12,3,6,173.9,1116811,3.22,136.6,7392135.14
3,102,170,4.55,4,6,193.4,809256,0.18,222.4,5280012.96
2,94,95,1.23,6,8,195.55,1077350,1.92,184.8,8387640.28
4,96,400,0.05,0,76,163.1,991356,1.35,133.7,7977226.12
1,95,210,3.62,0,20,180.9,1161282,4.97,148.2,10144811.0
