BIDS,CPPR,ContDays,LEN,LANE,WeatherDelayDays,CPI,ContSpend,PLR,PPI,ContAmnt,Client,source_index
3,80,340,0.73,1,108,163.1,991356,1.35,133.7,6843164.73,Client 1,0
4,87,245,0.68,1,43,163.1,991356,1.35,133.7,2495669.34,Client 1,1
4,96,400,0.05,1,76,163.1,991356,1.35,133.7,7977226.12,Client 1,3
5,78,300,2.25,2,47,173.9,1116811,3.22,136.6,1840296.23,Client 1,7
4,83,220,4.31,2,9,173.9,1116811,3.22,136.6,964052.3,Client 1,8
4,92,354,2.83,1,74,173.9,1116811,3.22,136.6,7252328.75,Client 1,10
4,94,350,1.35,4,21,173.9,1116811,3.22,136.6,7984612.74,Client 1,11
3,98,250,1.12,1,36,173.9,1116811,3.22,136.6,4971060.0,Client 1,13
3,100,360,0.47,1,9,173.9,1116811,3.22,136.6,3392726.04,Client 1,15
3,103,157,0.13,5,18,173.9,1116811,3.22,136.6,2957855.0,Client 1,16
4,100,390,0.6,1,119,157.6,891497,1.13,137.0,2278124.06,Client 1,17
5,83,212,3.28,1,7,180.9,1161282,4.97,148.2,6552155.0,Client 1,18
4,90,266,2.45,1,19,180.9,1161282,4.97,148.2,4415000.0,Client 1,21
3,97,141,2.46,1,0,180.9,1161282,4.97,148.2,1698200.0,Client 1,25
4,98,400,1.54,6,22,180.9,1161282,4.97,148.2,7877979.0,Client 1,26
3,98,155,1.1,4,0,180.9,1161282,4.97,148.2,1190433.6,Client 1,29
4,100,362,3.9,6,20,180.9,1161282,4.97,148.2,5953455.7,Client 1,30
6,100,415,2.94,1,39,180.9,1161282,4.97,148.2,4823222.45,Client 1,31
4,101,180,1.69,1,60,180.9,1161282,4.97,148.2,6638000.31,Client 1,33
7,102,172,5.47,1,15,180.9,1161282,4.97,148.2,2591893.26,Client 1,34
3,104,290,1.65,1,16,180.9,1161282,4.97,148.2,3659478.43,Client 1,36
2,104,300,1.73,1,19,180.9,1161282,4.97,148.2,7739818.33,Client 1,37
4,104,240,0.28,6,5,180.9,1161282,4.97,148.2,4373202.08,Client 1,38
