round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,0.99999565,3907348.5,2983923.5,-0.99999565,0.35128006,-1.3991029262542725,0.9999853372573853,148,1592.2974365234375,0.9999913573265076,150,1628.6629638671875,0.9999985098838806,140,1392.454443359375,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,0.9999837,3907217.8,2983853.5,-0.9999837,0.3512683,-1.398942470550537,0.9999650716781616,148,1539.9151611328125,0.9999747276306152,150,1572.845263671875,0.9999873042106628,140,1334.860595703125,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.9999385,3906829.5,2983625.5,-0.9999385,0.3512334,-1.398465871810913,0.9998843669891357,148,1458.0908447265624,0.999917209148407,150,1493.994384765625,0.9999261498451233,140,1247.22802734375,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.9997997,3905998.0,2983043.8,-0.9997997,0.35115865,-1.3974449634552002,0.9997730255126953,148,1373.983056640625,0.9997152090072632,150,1402.33759765625,0.999704897403717,140,1178.15126953125,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.9994684,3904528.5,2981863.8,-0.9994684,0.35102654,-1.3956410884857178,0.999485433101654,148,1322.30537109375,0.9991716146469116,150,1312.5256103515626,0.9994325637817383,140,1115.0335693359375,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.99896026,3902072.8,2979947.2,-0.99896026,0.35080576,-1.3926289081573486,0.9991098642349243,148,1213.014306640625,0.9984041452407837,150,1244.9602783203125,0.9990131855010986,140,1063.786767578125,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.9977291,3896831.5,2975723.5,-0.9977291,0.35033455,-1.3862054347991943,0.998147189617157,148,1126.563623046875,0.9965553283691406,150,1142.3673828125,0.998123824596405,140,974.0404296875,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.99605674,3889900.5,2970003.2,-0.99605674,0.34971145,-1.3777246475219727,0.9968060851097107,148,1040.0711303710937,0.9936338663101196,150,1045.323974609375,0.9965716600418091,140,864.5150390625,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.9928664,3877282.8,2959463.0,-0.9928664,0.34857708,-1.3623244762420654,0.9938210844993591,148,938.9536376953125,0.9891533255577087,150,931.4817504882812,0.9939534068107605,140,774.1380859375,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.98780173,3856372.2,2942487.8,-0.98780173,0.34669718,-1.3369128704071045,0.9892231822013855,148,826.0701416015625,0.9826969504356384,150,844.5888305664063,0.989628791809082,140,701.8130737304688,0.3378995433789954,0.3424657534246575,0.319634703196347
11,size_only,0.0005,20,0.9798397,3828678.8,2918284.5,-0.9798397,0.34420747,-1.3034694194793701,0.9823916554450989,148,727.1343139648437,0.9718195199966431,150,752.8190307617188,0.9794232249259949,140,605.19140625,0.3378995433789954,0.3424657534246575,0.319634703196347
12,size_only,0.0005,20,0.9648231,3779646.5,2875518.8,-0.9648231,0.33979934,-1.2448480129241943,0.9715755581855774,148,633.09013671875,0.9537608623504639,150,633.2286499023437,0.9654697775840759,140,523.6382263183593,0.3378995433789954,0.3424657534246575,0.319634703196347
13,size_only,0.0005,20,0.9472472,3709755.0,2818607.0,-0.9472472,0.3335159,-1.1625943183898926,0.9509387016296387,148,521.3882873535156,0.9330511689186096,150,561.2981079101562,0.9454378485679626,140,412.2982543945312,0.3378995433789954,0.3424657534246575,0.319634703196347
14,size_only,0.0005,20,0.917224,3611311.8,2732325.5,-0.917224,0.32466564,-1.0493426322937012,0.9277704954147339,148,433.68848876953126,0.8973563313484192,150,426.3235778808594,0.92024165391922,140,325.3241333007812,0.3378995433789954,0.3424657534246575,0.319634703196347
15,size_only,0.0005,20,0.8684324,3474251.0,2602836.0,-0.8684324,0.31234354,-0.8967362642288208,0.877227783203125,148,345.7536376953125,0.855339527130127,150,324.83826904296876,0.8726982474327087,140,259.64325256347655,0.3378995433789954,0.3424657534246575,0.319634703196347
16,size_only,0.0005,20,0.80519116,3281099.8,2426955.5,-0.80519116,0.2949788,-0.6917004585266113,0.8247865438461304,148,265.5085510253906,0.8023473024368286,150,243.01293029785157,0.8331273198127747,140,186.40333251953126,0.3378995433789954,0.3424657534246575,0.319634703196347
17,size_only,0.0005,20,0.7233834,3071002.8,2213877.8,-0.72169507,0.27609056,-0.48198914527893066,0.7639343738555908,148,198.54295043945314,0.7131450176239014,150,197.33374633789063,0.7579172849655151,140,128.44845428466797,0.3378995433789954,0.3424657534246575,0.319634703196347
18,size_only,0.0005,20,0.6250201,2830821.2,1960873.6,-0.61190176,0.25449765,-0.2592427730560303,0.7022072672843933,148,135.87026824951172,0.6252735257148743,150,140.26114044189453,0.6147437691688538,140,85.09674301147462,0.3378995433789954,0.3424657534246575,0.319634703196347
19,size_only,0.0005,20,0.52421623,2554739.8,1668945.9,-0.47132677,0.22967727,-0.02559983730316162,0.6046378016471863,148,97.79805908203124,0.5247877240180969,150,103.43875885009766,0.4842720031738281,140,53.3875244140625,0.3378995433789954,0.3424657534246575,0.319634703196347
20,size_only,0.0005,20,0.43056878,2271459.5,1406206.4,-0.32193527,0.20420969,0.18923574686050415,0.5253987908363342,148,70.26707153320312,0.43122392892837524,150,85.73023910522461,0.36384665966033936,140,36.400505447387694,0.3378995433789954,0.3424657534246575,0.319634703196347
