round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,aggregation_delta_norm,server_update_norm,server_update_clipped,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.03,13.034546861055594,0.5,True,0.9999370574951172,148,1553.1192138671875,13.109766845152377,13.109766845152377,1.9998741149902344,0.9999568462371826,150,1569.96220703125,12.963841657728189,12.963841657728189,1.9999136924743652,0.9999964833259583,140,1304.350146484375,13.461358610088878,13.461358610088878,1.9999929666519165,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.03,12.742165054835327,0.5,True,0.9999014139175415,148,1529.8861572265625,12.856574714199509,12.856574714199509,1.999802827835083,0.9999305605888367,150,1543.7158935546875,12.693750367184549,12.693750367184549,1.9998611211776733,0.9999806880950928,140,1309.2326904296874,13.133496039429215,13.133496039429215,1.9999613761901855,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.03,12.446779123889115,0.5,True,0.9998752474784851,148,1513.07861328125,12.557614298756272,12.557614298756272,1.9997504949569702,0.9998857378959656,150,1545.7141845703125,12.333092138804915,12.333092138804915,1.9997714757919312,0.9999750852584839,140,1290.9504150390626,12.961226779180231,12.961226779180231,1.9999501705169678,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.9999999,3907391.0,2983944.5,-0.9999999,0.35128388,-1.3991551399230957,fedyogi,1.0,0.03,12.259572451192028,0.5,True,0.9998511075973511,148,1499.755126953125,12.331917079597696,12.331917079597696,1.9997022151947021,0.9998863339424133,150,1518.420751953125,12.19246035065443,12.19246035065443,1.9997726678848267,0.9999617338180542,140,1299.159912109375,12.826423991065932,12.826423991065932,1.9999234676361084,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.99999964,3907388.2,2983943.2,-0.99999964,0.35128364,-1.3991520404815674,fedyogi,1.0,0.03,12.133853725139005,0.5,True,0.9998155832290649,148,1487.6469970703124,12.266242375293157,12.266242375293157,1.9996311664581299,0.9998490214347839,150,1497.3139404296876,12.219109023814662,12.219109023814662,1.9996980428695679,0.999919056892395,140,1272.177783203125,12.633766548430884,12.633766548430884,1.99983811378479,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.999999,3907381.0,2983939.8,-0.999999,0.35128298,-1.3991427421569824,fedyogi,1.0,0.03,12.315674310980736,0.5,True,0.9998077750205994,148,1454.13974609375,12.3730486952958,12.3730486952958,1.9996155500411987,0.9998287558555603,150,1485.3223876953125,12.583953904537962,12.583953904537962,1.9996575117111206,0.9998834133148193,140,1265.5138671875,12.67520368668827,12.67520368668827,1.9997668266296387,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.99999774,3907364.2,2983931.2,-0.99999774,0.35128146,-1.3991224765777588,fedyogi,1.0,0.03,12.594220696502898,0.5,True,0.9997815489768982,148,1450.5806396484375,12.710240713001248,12.710240713001248,1.9995630979537964,0.9998045563697815,150,1467.1335693359374,13.0462120499793,13.0462120499793,1.999609112739563,0.9998446702957153,140,1268.6548583984375,12.772828641470944,12.772828641470944,1.9996893405914307,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.99999505,3907329.0,2983914.2,-0.99999505,0.3512783,-1.3990790843963623,fedyogi,1.0,0.03,13.023250521047384,0.5,True,0.9997634887695312,148,1451.197119140625,13.273278640683243,13.273278640683243,1.9995269775390625,0.9997382164001465,150,1475.6466796875,13.499578336499875,13.499578336499875,1.999476432800293,0.999792754650116,140,1237.155712890625,13.047014082505424,13.047014082505424,1.999585509300232,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.9999901,3907265.0,2983882.8,-0.9999901,0.35127255,-1.3990004062652588,fedyogi,1.0,0.03,13.655229437512773,0.5,True,0.9997637867927551,148,1424.37607421875,13.932514145712732,13.932514145712732,1.9995275735855103,0.9996723532676697,150,1461.7548095703125,14.36218997446766,14.36218997446766,1.9993447065353394,0.9997206926345825,140,1241.5294677734375,13.432284880524163,13.432284880524163,1.999441385269165,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.99998116,3907150.5,2983824.8,-0.99998116,0.35126227,-1.3988597393035889,fedyogi,1.0,0.03,14.534919637487292,0.5,True,0.9997124671936035,148,1413.8548828125,15.041911923030414,15.041911923030414,1.999424934387207,0.9995903372764587,150,1422.0769775390625,15.316145666120317,15.316145666120317,1.9991806745529175,0.99964439868927,140,1210.581298828125,14.020780729844633,14.020780729844633,1.99928879737854,0.3378995433789954,0.3424657534246575,0.319634703196347
11,size_only,0.0005,20,0.9999648,3906957.8,2983724.5,-0.9999648,0.35124493,-1.3986232280731201,fedyogi,1.0,0.03,15.455513806182354,0.5,True,0.9997094869613647,148,1410.0066162109374,16.08391513631012,16.08391513631012,1.9994189739227295,0.999507486820221,150,1433.05693359375,16.624364243841082,16.624364243841082,1.999014973640442,0.9995801448822021,140,1230.6830322265625,14.501270183841761,14.501270183841761,1.9991602897644043,0.3378995433789954,0.3424657534246575,0.319634703196347
12,size_only,0.0005,20,0.9999358,3906636.5,2983553.0,-0.9999358,0.35121605,-1.3982288837432861,fedyogi,1.0,0.03,16.7678740564747,0.5,True,0.9996371865272522,148,1403.2051513671875,17.49066926873106,17.49066926873106,1.9992743730545044,0.9993621706962585,150,1431.119921875,18.133222244520493,18.133222244520493,1.998724341392517,0.9994761943817139,140,1202.8147705078125,15.53336482863411,15.53336482863411,1.9989523887634277,0.3378995433789954,0.3424657534246575,0.319634703196347
13,size_only,0.0005,20,0.9998867,3906128.0,2983273.0,-0.9998867,0.35117033,-1.3976047039031982,fedyogi,1.0,0.03,18.15799098824668,0.5,True,0.9996365904808044,148,1406.1079833984375,18.92211714745086,18.92211714745086,1.9992731809616089,0.9993610382080078,150,1411.4426025390626,19.872034877676327,19.872034877676327,1.9987220764160156,0.9994723200798035,140,1192.1964599609375,16.446231019972416,16.446231019972416,1.998944640159607,0.3378995433789954,0.3424657534246575,0.319634703196347
14,size_only,0.0005,20,0.9998057,3905336.8,2982826.2,-0.9998057,0.3510992,-1.3966329097747803,fedyogi,1.0,0.03,19.92141205296096,0.5,True,0.9995924234390259,148,1355.8225341796874,20.715654361263436,20.715654361263436,1.9991848468780518,0.9992935061454773,150,1389.877978515625,21.64587105250489,21.64587105250489,1.9985870122909546,0.9995148181915283,140,1201.417626953125,18.072523067405246,18.072523067405246,1.9990296363830566,0.3378995433789954,0.3424657534246575,0.319634703196347
15,size_only,0.0005,20,0.9996732,3904110.0,2982118.2,-0.9996732,0.3509889,-1.395127773284912,fedyogi,1.0,0.03,21.95353201841718,0.5,True,0.9995077252388,148,1360.9342041015625,22.7727360698653,22.7727360698653,1.9990154504776,0.9991822242736816,150,1381.3905517578125,23.661180622637794,23.661180622637794,1.9983644485473633,0.9993396401405334,140,1165.21806640625,20.208019857743977,20.208019857743977,1.998679280281067,0.3378995433789954,0.3424657534246575,0.319634703196347
16,size_only,0.0005,20,0.9994644,3902246.8,2981026.5,-0.9994644,0.3508214,-1.3928422927856445,fedyogi,1.0,0.03,23.92558324999243,0.5,True,0.999523937702179,148,1355.699072265625,24.815997341725225,24.815997341725225,1.999047875404358,0.9990174174308777,150,1369.064306640625,25.80089046069415,25.80089046069415,1.9980348348617554,0.9993100762367249,140,1172.99794921875,21.76880540018302,21.76880540018302,1.9986201524734497,0.3378995433789954,0.3424657534246575,0.319634703196347
17,size_only,0.0005,20,0.9991483,3899545.0,2979413.2,-0.9991483,0.35057852,-1.3895299434661865,fedyogi,1.0,0.03,25.52888610197353,0.5,True,0.9994475841522217,148,1342.3255859375,26.542520954625868,26.542520954625868,1.9988951683044434,0.9990496635437012,150,1357.982470703125,27.432672209339895,27.432672209339895,1.9980993270874023,0.9990483522415161,140,1146.67060546875,23.265346252052257,23.265346252052257,1.9980967044830322,0.3378995433789954,0.3424657534246575,0.319634703196347
18,size_only,0.0005,20,0.9986928,3895742.5,2977121.5,-0.9986928,0.35023665,-1.3848719596862793,fedyogi,1.0,0.03,27.70228241277251,0.5,True,0.9993462562561035,148,1347.6186279296876,28.645739045166426,28.645739045166426,1.998692512512207,0.9988862872123718,150,1353.618017578125,29.611456487839526,29.611456487839526,1.9977725744247437,0.9991484880447388,140,1140.177978515625,25.35954739003487,25.35954739003487,1.9982969760894775,0.3378995433789954,0.3424657534246575,0.319634703196347
19,size_only,0.0005,20,0.99807674,3890655.8,2974045.0,-0.99807674,0.34977934,-1.378648281097412,fedyogi,1.0,0.03,29.97323327241538,0.5,True,0.9993127584457397,148,1319.7926513671875,30.667959768576306,30.667959768576306,1.9986255168914795,0.9988526701927185,150,1340.6017333984375,32.33226299591966,32.33226299591966,1.997705340385437,0.9989080429077148,140,1135.6873046875,27.457420957814815,27.457420957814815,1.9978160858154297,0.3378995433789954,0.3424657534246575,0.319634703196347
20,size_only,0.0005,20,0.99731725,3884415.0,2970271.5,-0.99731725,0.34921828,-1.371023178100586,fedyogi,1.0,0.03,31.69396514833982,0.5,True,0.9992715120315552,148,1293.738037109375,33.46916659982531,33.46916659982531,1.9985430240631104,0.9986392855644226,150,1318.826708984375,33.47511058869269,33.47511058869269,1.9972785711288452,0.998886227607727,140,1156.7298828125,28.55545900641513,28.55545900641513,1.997772455215454,0.3378995433789954,0.3424657534246575,0.319634703196347
