round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,aggregation_delta_norm,server_update_norm,server_update_clipped,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.012,13.034546861055594,0.73687884867614,False,0.9999370574951172,148,1553.1192138671875,13.109766845152377,13.109766845152377,1.9998741149902344,0.9999568462371826,150,1569.96220703125,12.963841657728189,12.963841657728189,1.9999136924743652,0.9999964833259583,140,1304.350146484375,13.461358610088878,13.461358610088878,1.9999929666519165,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,1.0,3907391.2,2983944.8,-1.0,0.3512839,-1.399155616760254,fedyogi,1.0,0.012,12.60422903173481,1.0663980590514732,False,0.9998840689659119,148,1523.43642578125,12.721815343181767,12.721815343181767,1.9997681379318237,0.9999217987060547,150,1536.7885009765625,12.538992459275837,12.538992459275837,1.9998435974121094,0.9999772310256958,140,1303.0545166015625,13.032971648488628,13.032971648488628,1.9999544620513916,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.9999986,3907376.0,2983937.2,-0.9999986,0.35128254,-1.3991365432739258,fedyogi,1.0,0.012,12.14733974130185,1.2361640978981316,False,0.9998462796211243,148,1489.959375,12.242855374827911,12.242855374827911,1.9996925592422485,0.9998569488525391,150,1522.961083984375,12.152464354605609,12.152464354605609,1.9997138977050781,0.9999454021453857,140,1272.0587158203125,12.64573680024246,12.64573680024246,1.9998908042907715,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.9999855,3907195.2,2983850.0,-0.9999855,0.3512663,-1.3989148139953613,fedyogi,1.0,0.012,12.629139867828167,1.3533889989285413,False,0.9997966885566711,148,1460.614111328125,12.825142005729207,12.825142005729207,1.9995933771133423,0.9997779726982117,150,1479.3864501953126,12.888482229841669,12.888482229841669,1.9995559453964233,0.9998664855957031,140,1262.7663330078126,12.902531494448779,12.902531494448779,1.9997329711914062,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.99990606,3906208.8,2983346.0,-0.99990606,0.3511776,-1.3977036476135254,fedyogi,1.0,0.012,14.575142246139412,1.4438747390670048,False,0.9996674060821533,148,1427.3520751953124,14.98802028566989,14.98802028566989,1.9993348121643066,0.9996263384819031,150,1436.2291015625,15.543037718538057,15.543037718538057,1.9992526769638062,0.9997132420539856,140,1215.4449462890625,14.173439252601723,14.173439252601723,1.9994264841079712,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.9995473,3902727.8,2981368.5,-0.9995473,0.35086465,-1.3934321403503418,fedyogi,1.0,0.012,19.09436729131343,1.5060906954474302,False,0.9995893239974976,148,1374.8092529296875,19.78585305402279,19.78585305402279,1.9991786479949951,0.9993425607681274,150,1400.337548828125,20.870480932667558,20.870480932667558,1.9986851215362549,0.9995501637458801,140,1192.04462890625,17.445374123000803,17.445374123000803,1.9991003274917603,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.9981336,3891990.0,2974569.5,-0.9981336,0.3498993,-1.380279779434204,fedyogi,1.0,0.012,24.839436461645587,1.5331910915211606,False,0.9993617534637451,148,1347.2543701171876,25.745814197841753,25.745814197841753,1.9987235069274902,0.9990596771240234,150,1357.9109375,27.367200743533736,27.367200743533736,1.9981193542480469,0.9993779063224792,140,1168.56484375,22.216330061873165,22.216330061873165,1.9987558126449585,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.9934835,3860561.0,2953574.5,-0.9934835,0.34707373,-1.3419923782348633,fedyogi,1.0,0.012,32.23669050279635,1.542413424653904,False,0.9992404580116272,148,1319.8650146484374,34.139112761380446,34.139112761380446,1.9984809160232544,0.9986475706100464,150,1339.1726806640625,34.64116987777806,34.64116987777806,1.9972951412200928,0.9988224506378174,140,1124.5272705078125,28.42977262253023,28.42977262253023,1.9976449012756348,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.9814191,3779900.0,2899283.8,-0.9814191,0.33982214,-1.2451493740081787,fedyogi,1.0,0.012,41.57188318118743,1.5409631681952638,False,0.9989744424819946,148,1271.09697265625,41.69814902138996,41.69814902138996,1.9979488849639893,0.9979843497276306,150,1301.199560546875,44.50845818172513,44.50845818172513,1.9959686994552612,0.99852454662323,140,1098.1128173828124,39.010734009470106,39.010734009470106,1.99704909324646,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.95433515,3592428.8,2774089.2,-0.95433515,0.322968,-1.0279672145843506,fedyogi,1.0,0.012,52.530417586288536,1.5281101945580664,False,0.9985009431838989,148,1227.9219482421875,52.66042628177406,52.66042628177406,1.9970018863677979,0.9973960518836975,150,1233.0189697265625,55.99656579287907,55.99656579287907,1.994792103767395,0.9979445338249207,140,1042.5354736328125,49.42017989603368,49.42017989603368,1.9958890676498413,0.3378995433789954,0.3424657534246575,0.319634703196347
