round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,0.9999999,3907391.0,2983944.5,-0.9999999,0.35128388,-1.3991551399230957,fedyogi,1.0,0.4,1.0,12.915946570628485,7.974730931035119,False,True,False,0.9999827146530151,148,1590.8580078125,13.033866944639296,13.033866944639296,1.9999654293060303,0.9999911785125732,150,1616.7021728515624,12.964246313896492,12.964246313896492,1.9999823570251465,0.9999985098838806,140,1377.5969970703125,13.256413958385922,13.256413958385922,1.9999970197677612,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,0.999932,3906591.5,2983541.0,-0.999932,0.351212,-1.3981733322143555,fedyogi,1.0,0.4,1.0,6.264072489189495,5.937503561597339,False,True,True,0.9999374747276306,148,1520.958935546875,6.7655271707926925,6.7655271707926925,1.9998749494552612,0.9999322295188904,150,1540.4052978515624,6.574673519525407,6.574673519525407,1.9998644590377808,0.9999854564666748,140,1296.549462890625,6.575761232948027,6.575761232948027,1.9999709129333496,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.9996732,3904011.8,2982123.2,-0.9996732,0.35098007,-1.3950071334838867,fedyogi,1.0,0.4,1.0,4.093884744271933,2.4485486871583975,False,True,True,0.999825656414032,148,1434.084423828125,4.886618820477604,4.886618820477604,1.999651312828064,0.9998088479042053,150,1459.9849853515625,5.555792261122424,5.555792261122424,1.9996176958084106,0.9999029636383057,140,1239.0548583984375,3.584904343473986,3.584904343473986,1.9998059272766113,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.99932986,3902151.0,2980748.5,-0.99932986,0.3508128,-1.3927247524261475,fedyogi,1.0,0.4,1.0,4.967782034522671,3.250571862615342,False,True,True,0.9995523691177368,148,1362.0599365234375,6.281823235099895,6.281823235099895,1.9991047382354736,0.9994444847106934,150,1374.1452392578126,6.328670817840233,6.328670817840233,1.9988889694213867,0.9996833801269531,140,1153.5968017578125,3.744792153760817,3.744792153760817,1.9993667602539062,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.9987769,3899968.5,2978811.5,-0.9987769,0.35061657,-1.3900489807128906,fedyogi,1.0,0.4,1.0,5.118973480315771,3.4996359012984133,False,True,True,0.9990259408950806,148,1269.8288818359374,6.045216502723163,6.045216502723163,1.9980518817901611,0.9982702136039734,150,1296.4669189453125,6.885289179178529,6.885289179178529,1.9965404272079468,0.9990114569664001,140,1092.0035522460937,4.6046948605024145,4.6046948605024145,1.9980229139328003,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.99761236,3895219.0,2974770.5,-0.99761236,0.3501896,-1.3842310905456543,fedyogi,1.0,0.4,1.0,5.867423882754688,3.7923512018359764,False,True,True,0.9982078075408936,148,1189.338720703125,6.341871882050382,6.341871882050382,1.996415615081787,0.9965469241142273,150,1188.544140625,8.482466384695893,8.482466384695893,1.9930938482284546,0.9979024529457092,140,998.0873168945312,4.726209582031694,4.726209582031694,1.9958049058914185,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.99537325,3884980.2,2966611.0,-0.99537325,0.3492691,-1.371713399887085,fedyogi,1.0,0.4,1.0,6.669094696276622,3.8358231726170895,False,True,True,0.9967061281204224,148,1091.550537109375,7.134770999077103,7.134770999077103,1.9934122562408447,0.9941558837890625,150,1107.7186645507813,8.915761100373102,8.915761100373102,1.988311767578125,0.9960463047027588,140,937.8941040039062,5.681838869822167,5.681838869822167,1.9920926094055176,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.9911114,3865223.5,2950957.2,-0.9911114,0.34749293,-1.3476526737213135,fedyogi,1.0,0.4,1.0,8.031978964832655,3.939943508545019,False,True,True,0.9943467378616333,148,977.5010864257813,8.918005460216554,8.918005460216554,1.9886934757232666,0.9895601868629456,150,1010.3256469726563,10.646705860907344,10.646705860907344,1.9791203737258911,0.992656946182251,140,822.2246704101562,6.312708584710245,6.312708584710245,1.985313892364502,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.9844312,3834172.0,2926588.8,-0.9844312,0.34470132,-1.3100841045379639,fedyogi,1.0,0.4,1.0,9.380315684536688,4.051233466868678,False,True,True,0.9894989132881165,148,886.1048950195312,8.869809368042276,8.869809368042276,1.978997826576233,0.9852995872497559,150,901.7089111328125,12.447223296218558,12.447223296218558,1.9705991744995117,0.9887918829917908,140,772.6612060546875,8.348036828199218,8.348036828199218,1.9775837659835815,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.9740107,3791565.5,2890640.2,-0.9740107,0.3408709,-1.259028434753418,fedyogi,1.0,0.4,1.0,9.971515840053616,3.841618024252133,False,True,True,0.9850064516067505,148,796.7469482421875,9.051092726015355,9.051092726015355,1.970012903213501,0.9768438935279846,150,785.7672485351562,12.93159172815686,12.93159172815686,1.9536877870559692,0.9826075434684753,140,684.5638549804687,9.470048772932943,9.470048772932943,1.9652150869369507,0.3378995433789954,0.3424657534246575,0.319634703196347
11,size_only,0.0005,20,0.9572306,3728461.5,2835045.2,-0.9572306,0.3351977,-1.1844592094421387,fedyogi,1.0,0.4,1.0,11.21684554178671,3.91414700815556,False,True,True,0.9757939577102661,148,692.4328979492187,10.463786577495572,10.463786577495572,1.9515879154205322,0.9614253044128418,150,696.2856323242188,13.226207945187788,13.226207945187788,1.9228506088256836,0.9700515270233154,140,575.7601867675781,11.19355869682618,11.19355869682618,1.9401030540466309,0.3378995433789954,0.3424657534246575,0.319634703196347
12,size_only,0.0005,20,0.9351701,3659823.5,2768816.0,-0.9351701,0.32902697,-1.1047711372375488,fedyogi,1.0,0.4,1.0,12.196297996469369,3.7864638972465454,False,True,True,0.9635421633720398,148,583.4222290039063,10.619502125464876,10.619502125464876,1.9270843267440796,0.939649760723114,150,587.2792236328125,15.644453686571154,15.644453686571154,1.879299521446228,0.9507675170898438,140,470.3241333007812,11.761633143279134,11.761633143279134,1.9015350341796875,0.3378995433789954,0.3424657534246575,0.319634703196347
13,size_only,0.0005,20,0.90800244,3570503.0,2686167.0,-0.90800244,0.32099682,-1.0032880306243896,fedyogi,1.0,0.4,1.0,11.070579578145894,3.682165400940725,False,True,True,0.9407473206520081,148,490.79771728515624,10.035853246352563,10.035853246352563,1.8814946413040161,0.907733142375946,150,501.44776611328126,12.210672342776666,12.210672342776666,1.815466284751892,0.9270095825195312,140,409.2626220703125,12.455854606734036,12.455854606734036,1.8540191650390625,0.3378995433789954,0.3424657534246575,0.319634703196347
14,size_only,0.0005,20,0.87116665,3452411.8,2573970.8,-0.87116665,0.31038016,-0.8729654550552368,fedyogi,1.0,0.4,1.0,10.436121479842217,3.5732524236604015,False,True,True,0.9110233187675476,148,378.41114501953126,8.714301593044066,8.714301593044066,1.8220466375350952,0.875950038433075,150,403.2132141113281,13.114921475848769,13.114921475848769,1.75190007686615,0.8860967755317688,140,312.5155334472656,11.32243312259465,11.32243312259465,1.7721935510635376,0.3378995433789954,0.3424657534246575,0.319634703196347
15,size_only,0.0005,20,0.8256319,3298461.8,2432994.2,-0.8256319,0.29653966,-0.7096513509750366,fedyogi,1.0,0.4,1.0,9.51266074623246,3.418818933179441,False,True,True,0.8786748647689819,148,313.2630920410156,8.834135355344987,8.834135355344987,1.7573497295379639,0.8047884106636047,150,309.72698974609375,11.216261675668935,11.216261675668935,1.6095768213272095,0.8388962149620056,140,245.9757049560547,10.386377667249116,10.386377667249116,1.676657795906067,0.3378995433789954,0.3424657534246575,0.319634703196347
16,size_only,0.0005,20,0.7591115,3116135.2,2248688.0,-0.7591115,0.2801481,-0.5258688926696777,fedyogi,1.0,0.4,1.0,9.840838809481196,3.531940536323887,False,True,True,0.8016498684883118,148,250.3660919189453,8.898152459430849,8.898152459430849,1.6032997369766235,0.7289696931838989,150,230.0487518310547,10.670630962674565,10.670630962674565,1.4579393863677979,0.7788696885108948,140,172.82498779296876,12.011131049624105,12.011131049624105,1.5424997806549072,0.3378995433789954,0.3424657534246575,0.319634703196347
