round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,0.99999857,3907377.8,2983937.5,-0.99999857,0.3512827,-1.3991389274597168,fedyogi,1.0,0.4,1.0,13.034546861055594,7.92726351992472,False,True,False,0.9999370574951172,148,1553.1192138671875,13.109766845152377,13.109766845152377,1.9998741149902344,0.9999568462371826,150,1569.96220703125,12.963841657728189,12.963841657728189,1.9999136924743652,0.9999964833259583,140,1304.350146484375,13.461358610088878,13.461358610088878,1.9999929666519165,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,0.9997039,3904480.0,2982312.2,-0.9997039,0.35102218,-1.3955817222595215,fedyogi,1.0,0.4,1.0,6.396960211914255,6.0130873796948565,False,True,True,0.9997721314430237,148,1461.944580078125,6.588699708829906,6.588699708829906,1.9995442628860474,0.999804675579071,150,1473.12919921875,6.839504882035272,6.839504882035272,1.999609351158142,0.9999298453330994,140,1246.4584228515625,6.727688034961733,6.727688034961733,1.9998596906661987,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.9991169,3900304.0,2979606.8,-0.9991169,0.35064673,-1.3904602527618408,fedyogi,1.0,0.4,1.0,4.276144690678153,2.673763216771751,False,True,True,0.9995045065879822,148,1367.77939453125,4.747266196182899,4.747266196182899,1.9990090131759644,0.999374508857727,150,1401.20263671875,5.687514211712396,5.687514211712396,1.998749017715454,0.9996684193611145,140,1165.016650390625,3.695569436382794,3.695569436382794,1.999336838722229,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.9984525,3897548.8,2977241.8,-0.9984525,0.35039905,-1.3870840072631836,fedyogi,1.0,0.4,1.0,5.405467994506516,3.6836506177192665,False,True,True,0.999061107635498,148,1286.4405029296875,6.014219103892181,6.014219103892181,1.998122215270996,0.9982593655586243,150,1299.9371826171875,6.745972982721323,6.745972982721323,1.9965187311172485,0.9992362260818481,140,1102.4910888671875,4.747736185051131,4.747736185051131,1.9984724521636963,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.99740577,3893415.5,2973594.8,-0.99740577,0.35002744,-1.382023811340332,fedyogi,1.0,0.4,1.0,5.387711648100138,3.720987121954283,False,True,True,0.9981387257575989,148,1201.8922119140625,6.203907396897862,6.203907396897862,1.9962774515151978,0.9963352084159851,150,1198.6162353515624,6.93560563570083,6.93560563570083,1.9926704168319702,0.9981949329376221,140,1005.6732666015625,4.8822558623590435,4.8822558623590435,1.9963898658752441,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.99511427,3883961.8,2965500.5,-0.99511427,0.34917754,-1.3704700469970703,fedyogi,1.0,0.4,1.0,6.565323116658629,3.92376272362154,False,True,True,0.9966247081756592,148,1083.0325317382812,6.883022177394483,6.883022177394483,1.9932494163513184,0.9930805563926697,150,1104.7956787109374,8.849776037694907,8.849776037694907,1.9861611127853394,0.9964087605476379,140,927.7894409179687,5.407387702859155,5.407387702859155,1.9928175210952759,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.99101335,3865825.8,2950598.0,-0.99101335,0.34754705,-1.348384141921997,fedyogi,1.0,0.4,1.0,7.216531796812233,3.9302216821466733,False,True,True,0.9934959411621094,148,988.0170776367188,7.013864305991874,7.013864305991874,1.9869918823242188,0.9873102903366089,150,990.3368530273438,9.260187323368143,9.260187323368143,1.9746205806732178,0.994238018989563,140,847.4029052734375,6.835480219894222,6.835480219894222,1.988476037979126,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.98439455,3835311.0,2926172.0,-0.98439455,0.34480372,-1.3114566802978516,fedyogi,1.0,0.4,1.0,7.600975471396071,3.921288711564569,False,True,True,0.9901686310768127,148,901.9452758789063,7.730496880956732,7.730496880956732,1.9803372621536255,0.9795745015144348,150,908.7330078125,10.3296167264307,10.3296167264307,1.9591490030288696,0.9870477318763733,140,749.490625,6.350306220140253,6.350306220140253,1.9740954637527466,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.9743978,3790354.5,2890533.2,-0.9743978,0.34076202,-1.2575857639312744,fedyogi,1.0,0.4,1.0,7.93960467003342,3.8745287040815084,False,True,True,0.9824429750442505,148,788.2530151367188,7.024328130117002,7.024328130117002,1.964885950088501,0.9678617715835571,150,816.0148193359375,10.590375245264509,10.590375245264509,1.9357235431671143,0.9805096387863159,140,665.7259765625,7.781858369071602,7.781858369071602,1.9610192775726318,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.9594786,3724555.2,2838678.0,-0.9594786,0.3348465,-1.179884433746338,fedyogi,1.0,0.4,1.0,8.285387353701845,3.654260667719409,False,True,True,0.9729803204536438,148,680.2450317382812,7.032993817309086,7.032993817309086,1.9459606409072876,0.9501587748527527,150,679.8777709960938,10.693703781953097,10.693703781953097,1.9003175497055054,0.9723918437957764,140,562.4010192871094,8.88227146505833,8.88227146505833,1.9447836875915527,0.3378995433789954,0.3424657534246575,0.319634703196347
