round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,1.0,3907391.5,2983945.0,-1.0,0.35128394,-1.399155855178833,fedyogi,1.0,0.4,1.0,12.892148661700933,7.841843004385616,False,True,False,,,,,,,,,,,0.9999853372573853,148,1592.2974365234375,12.975546725462204,12.975546725462204,1.9999706745147705,0.9999913573265076,150,1628.6629638671875,12.890776627666082,12.890776627666082,1.9999827146530151,0.9999985098838806,140,1392.454443359375,13.317380255097033,13.317380255097033,1.9999970197677612,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,0.99997205,3907076.2,2983781.8,-0.99997205,0.3512556,-1.398768424987793,fedyogi,1.0,0.4,1.0,6.507806573657879,5.980155209972084,False,True,True,,,,,,,,,,,0.9999650716781616,148,1539.91513671875,6.82537043917216,6.82537043917216,1.9999301433563232,0.9999747276306152,150,1572.84521484375,6.937668605609916,6.937668605609916,1.9999494552612305,0.9999873042106628,140,1334.8606201171874,6.963363699279573,6.963363699279573,1.9999746084213257,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.99989295,3906346.8,2983369.5,-0.99989295,0.35119,-1.3978731632232666,fedyogi,1.0,0.4,1.0,4.982601691663141,3.118283084225268,False,True,True,,,,,,,,,,,0.9998851418495178,148,1458.4568603515625,5.694570443807603,5.694570443807603,1.9997702836990356,0.9999184012413025,150,1494.4644287109375,5.715157179022412,5.715157179022412,1.999836802482605,0.9999280571937561,140,1247.5615234375,4.963197391484669,4.963197391484669,1.9998561143875122,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.99963504,3904795.0,2982292.2,-0.99963504,0.3510505,-1.3959684371948242,fedyogi,1.0,0.4,1.0,5.796924983170838,3.768034561830217,False,True,True,,,,,,,,,,,0.9997743368148804,148,1375.4149658203125,6.343986066458902,6.343986066458902,1.9995486736297607,0.9997219443321228,150,1403.764453125,6.688113867729037,6.688113867729037,1.9994438886642456,0.9997119903564453,140,1179.7942138671874,5.797461944352454,5.797461944352454,1.9994239807128906,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.99906576,3902434.5,2980317.2,-0.99906576,0.35083827,-1.3930723667144775,fedyogi,1.0,0.4,1.0,6.440775576177835,4.217755879961475,False,True,True,,,,,,,,,,,0.9995014667510986,148,1325.4383544921875,6.881871787545335,6.881871787545335,1.9990029335021973,0.999188244342804,150,1315.7010009765625,7.1709735634439475,7.1709735634439475,1.998376488685608,0.9994361400604248,140,1117.6709228515624,6.7608198939629025,6.7608198939629025,1.9988722801208496,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.998255,3898700.2,2977315.5,-0.998255,0.35050255,-1.3884947299957275,fedyogi,1.0,0.4,1.0,7.125053058447739,4.09706359935002,False,True,True,,,,,,,,,,,0.9991459250450134,148,1217.4605224609375,7.444511368883289,7.444511368883289,1.9982918500900269,0.9984697103500366,150,1249.6214111328125,8.050064667979925,8.050064667979925,1.9969394207000732,0.9990115761756897,140,1068.2935546875,7.189868335694795,7.189868335694795,1.9980231523513794,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.996497,3890654.8,2970964.0,-0.996497,0.34977925,-1.3786468505859375,fedyogi,1.0,0.4,1.0,8.129615551735258,4.243459153884644,False,True,True,,,,,,,,,,,0.9982523918151855,148,1133.9627197265625,8.669767817929761,8.669767817929761,1.996504783630371,0.9967380166053772,150,1150.0546630859376,8.627999304641937,8.627999304641937,1.9934760332107544,0.9981693625450134,140,981.45078125,8.390099470066438,8.390099470066438,1.9963387250900269,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.9939303,3879568.0,2961915.5,-0.9939303,0.3487825,-1.365109920501709,fedyogi,1.0,0.4,1.0,9.63892387082473,3.9858754787199695,False,True,True,,,,,,,,,,,0.9969979524612427,148,1052.02119140625,10.12818435595038,10.12818435595038,1.9939959049224854,0.9940643310546875,150,1057.20361328125,9.483398359006095,9.483398359006095,1.988128662109375,0.9967516660690308,140,876.0517822265625,10.58897103786595,10.58897103786595,1.9935033321380615,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.98970604,3862005.8,2947371.5,-0.98970604,0.34720364,-1.343745231628418,fedyogi,1.0,0.4,1.0,10.508752943374777,3.9273726464722842,False,True,True,,,,,,,,,,,0.9942072629928589,148,953.8831665039063,9.737233968911381,9.737233968911381,1.9884145259857178,0.9899334907531738,150,946.7535278320313,10.708405946681868,10.708405946681868,1.9798669815063477,0.9944174885749817,140,787.7226684570312,12.25177353442281,12.25177353442281,1.9888349771499634,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.9832606,3833102.2,2924366.0,-0.9832606,0.34460515,-1.3087949752807617,fedyogi,1.0,0.4,1.0,11.734258995854605,3.9327733430324687,False,True,True,,,,,,,,,,,0.9899821281433105,148,842.3436401367187,11.515092917040006,11.515092917040006,1.979964256286621,0.9838560819625854,150,861.7609130859375,12.522237499842818,12.522237499842818,1.967712163925171,0.9902676343917847,140,717.1507690429687,12.171349805874142,12.171349805874142,1.9805352687835693,0.3378995433789954,0.3424657534246575,0.319634703196347
11,size_only,0.0005,20,0.97414184,3797353.2,2894555.0,-0.97414184,0.3413912,-1.265930414199829,fedyogi,1.0,0.4,1.0,12.91739473594237,3.8957065300154046,False,True,True,,,,,,,,,,,0.9840502738952637,148,746.0125366210938,12.500504111974623,12.500504111974623,1.9681005477905273,0.973771333694458,150,772.2632690429688,14.246276616089691,14.246276616089691,1.947542667388916,0.9816328883171082,140,622.7396728515625,12.881227066511851,12.881227066511851,1.9632657766342163,0.3378995433789954,0.3424657534246575,0.319634703196347
12,size_only,0.0005,20,0.9577493,3738882.0,2845147.5,-0.9577493,0.33613452,-1.1966865062713623,fedyogi,1.0,0.4,1.0,14.018048620023244,3.8182373415636923,False,True,True,,,,,,,,,,,0.9742318391799927,148,653.46787109375,14.54267364496194,14.54267364496194,1.9484636783599854,0.9578490853309631,150,653.5647827148438,14.833118663796096,14.833118663796096,1.9156981706619263,0.9678633213043213,140,541.0189208984375,13.518620372492505,13.518620372492505,1.9357266426086426,0.3378995433789954,0.3424657534246575,0.319634703196347
13,size_only,0.0005,20,0.94035864,3664979.0,2786985.8,-0.94035864,0.32949045,-1.1107051372528076,fedyogi,1.0,0.4,1.0,13.329333248373134,3.7757094957615043,False,True,True,,,,,,,,,,,0.9562475085258484,148,540.9144775390625,14.083115546723514,14.083115546723514,1.9124950170516968,0.939171314239502,150,580.9621520996094,13.903949573532822,13.903949573532822,1.878342628479004,0.9499198198318481,140,430.2325744628906,12.949207728306032,12.949207728306032,1.8998396396636963,0.3378995433789954,0.3424657534246575,0.319634703196347
14,size_only,0.0005,20,0.914,3566256.8,2703632.2,-0.914,0.32061508,-0.9985260963439941,fedyogi,1.0,0.4,1.0,13.468669708261267,3.9380670747825146,False,True,True,,,,,,,,,,,0.9355180859565735,148,454.3137451171875,13.244552588464769,13.244552588464769,1.871036171913147,0.9033948183059692,150,446.53456420898436,14.212274282619832,14.212274282619832,1.8067896366119385,0.9266394376754761,140,341.9251434326172,14.058053830487754,14.058053830487754,1.8532788753509521,0.3378995433789954,0.3424657534246575,0.319634703196347
15,size_only,0.0005,20,0.8629826,3412331.5,2562606.2,-0.8629826,0.30677682,-0.8297301530838013,fedyogi,1.0,0.4,1.0,13.727347577422508,3.9109436587548823,False,True,True,,,,,,,,,,,0.8879832029342651,148,362.86675720214845,11.743665487033338,11.743665487033338,1.7759664058685303,0.8665253520011902,150,342.4338317871094,14.604268210616565,14.604268210616565,1.7330507040023804,0.885029673576355,140,276.6554443359375,16.011747628010674,16.011747628010674,1.77005934715271,0.3378995433789954,0.3424657534246575,0.319634703196347
16,size_only,0.0005,20,0.79799193,3213074.5,2378074.8,-0.79799193,0.28886315,-0.6222813129425049,fedyogi,1.0,0.4,1.0,13.309655260696422,3.8146399642604454,False,True,True,,,,,,,,,,,0.8407593965530396,148,282.9834686279297,10.937293197484104,10.937293197484104,1.681518793106079,0.8161628842353821,150,258.3239410400391,16.06731932784147,16.06731932784147,1.6323257684707642,0.8409984111785889,140,199.64059143066407,14.008963037261152,14.008963037261152,1.6819968223571777,0.3378995433789954,0.3424657534246575,0.319634703196347
17,size_only,0.0005,20,0.71583796,2989215.2,2152742.8,-0.7126432,0.26873767,-0.40410304069519043,fedyogi,1.0,0.4,1.0,12.393061005097877,3.551834292120691,False,True,True,,,,,,,,,,,0.7841775417327881,148,214.06454162597657,10.790699897461442,10.790699897461442,1.5683550834655762,0.729165256023407,150,212.24228210449218,12.464480492237975,12.464480492237975,1.458330512046814,0.7711438536643982,140,140.61459350585938,15.25982755771124,15.25982755771124,1.5422877073287964,0.3378995433789954,0.3424657534246575,0.319634703196347
18,size_only,0.0005,20,0.6200574,2757869.5,1896086.4,-0.6015626,0.24793912,-0.19517648220062256,fedyogi,1.0,0.4,1.0,11.64211926592625,3.462412978639136,False,True,True,,,,,,,,,,,0.7177711129188538,148,149.54571838378905,9.566926829149475,9.566926829149475,1.411929965019226,0.6443168520927429,150,154.40082855224608,13.352332287365401,13.352332287365401,1.2886337041854858,0.6508960127830505,140,94.64430236816406,13.291077625108956,13.291077625108956,1.301792025566101,0.3378995433789954,0.3424657534246575,0.319634703196347
19,size_only,0.0005,20,0.54124594,2525431.2,1657372.2,-0.48417988,0.22704236,-0.0022029876708984375,fedyogi,1.0,0.4,1.0,9.862135865621203,3.3337096614765085,False,True,True,,,,,,,,,,,0.6298401355743408,148,107.59766006469727,7.357842590671848,7.357842590671848,1.191439151763916,0.5558013319969177,150,111.4966323852539,11.1508390423503,11.1508390423503,1.1077923774719238,0.556601881980896,140,62.52481307983398,12.962819946714085,12.962819946714085,1.0715336799621582,0.3378995433789954,0.3424657534246575,0.319634703196347
20,size_only,0.0005,20,0.47479254,2290220.0,1461393.1,-0.34826767,0.2058963,0.17578798532485962,fedyogi,1.0,0.4,1.0,9.48786131515095,3.426097733328301,False,True,True,,,,,,,,,,,0.5562463402748108,148,76.53464584350586,8.745032808373328,8.745032808373328,0.9944396018981934,0.4506995677947998,150,91.28782730102539,10.110915378814001,10.110915378814001,0.8639295697212219,0.4160599112510681,140,39.99071769714355,11.326805107380155,11.326805107380155,0.6966612339019775,0.3378995433789954,0.3424657534246575,0.319634703196347
