round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,mas_validation_guided_candidate,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,0.5,0.2,1.0,12.89745730028549,4.456303221489743,False,True,False,candidate_002_lr0p5_ep+0,candidate_002_lr0p5_ep+0,accepted_llm_near_best,1.024730320991678,error_compensation,30,0.027401777018830564,0.002,0.003,0.4,0.9999853372573853,148,1592.2974365234375,12.975546725462204,12.975546725462204,1.9999706745147705,0.9999913573265076,150,1628.6629638671875,12.890776627666082,12.890776627666082,1.9999827146530151,0.9999985098838806,140,1392.454443359375,13.317380255097033,13.317380255097033,1.9999970197677612,0.3333312007939722,0.33333320750026546,0.3333355917057623
2,mas_validation_guided_candidate,0.0005,20,0.99999744,3907356.5,2983928.0,-0.99999744,0.35128078,-1.3991129398345947,fedyogi,0.5,0.2,1.0,9.324987387798572,4.687748307809897,False,True,True,candidate_003_lr0p5_ep+0,candidate_003_lr0p5_ep+0,accepted_llm_near_best,1.024685770627533,error_compensation,30,4.053299525463849e-06,0.002,0.003,0.4,0.9999656677246094,148,1512.9521728515624,9.513346169477066,9.513346169477066,1.9999313354492188,0.9999698996543884,150,1558.3949951171876,9.647878698859484,9.647878698859484,1.9999397993087769,0.9999870657920837,140,1320.7705810546875,9.671306884187121,9.671306884187121,1.9999741315841675,0.33333048548241767,0.3333318961620573,0.33333761835552506
3,mas_validation_guided_candidate,0.0005,20,0.999875,3906137.8,2983267.8,-0.999875,0.3511712,-1.3976161479949951,fedyogi,1.0,0.4,1.0,6.790292991208325,5.678297482795597,False,True,True,size_anchor,candidate_004_lr0p5_ep+0,fallback_conservative_epsilon,1.025837206168784,size_anchor,30,0.027405830318356028,0.002,0.003,0.4,0.9998830556869507,148,1471.61328125,7.066675870241611,7.066675870241611,1.9997661113739014,0.9999143481254578,150,1503.882568359375,7.4373531088022675,7.4373531088022675,1.9998286962509155,0.9999173283576965,140,1256.53115234375,6.9594150460039454,6.9594150460039454,1.999834656715393,0.3378995433789954,0.3424657534246575,0.319634703196347
4,mas_validation_guided_candidate,0.0005,20,0.9995923,3904129.5,2981993.8,-0.9995923,0.35099065,-1.3951516151428223,fedyogi,1.0,0.4,1.0,5.686409362505164,3.409202826473391,False,True,True,size_anchor,candidate_003_lr0p5_ep+0,fallback_conservative_epsilon,1.0230174930219385,size_anchor,30,0.0,0.002,0.003,0.4,0.9997678995132446,148,1392.0498291015624,6.230556854329107,6.230556854329107,1.9995357990264893,0.9997455477714539,150,1420.0021240234375,6.666610309245089,6.666610309245089,1.9994910955429077,0.9997384548187256,140,1216.435595703125,5.67280342301435,5.67280342301435,1.9994769096374512,0.3378995433789954,0.3424657534246575,0.319634703196347
5,mas_validation_guided_candidate,0.0005,20,0.99895895,3900997.2,2979580.2,-0.99895895,0.35070905,-1.3913099765777588,fedyogi,1.0,0.4,1.0,6.5796478663692435,3.8802359329822558,False,True,True,size_anchor,candidate_003_lr0p5_ep+0,fallback_conservative_epsilon,1.0228755507694842,size_anchor,30,0.0,0.002,0.003,0.4,0.99954754114151,148,1308.34775390625,7.230392975433331,7.230392975433331,1.99909508228302,0.9992222189903259,150,1320.1998291015625,7.678316788517571,7.678316788517571,1.9984444379806519,0.9994384050369263,140,1147.137841796875,6.321270195980234,6.321270195980234,1.9988768100738525,0.3378995433789954,0.3424657534246575,0.319634703196347
6,mas_validation_guided_candidate,0.0005,20,0.9981655,3897511.0,2976718.0,-0.9981655,0.35039565,-1.387037754058838,fedyogi,1.0,0.4,1.0,7.658417770372177,4.278858379168288,False,True,True,size_anchor,candidate_003_lr0p5_ep+0,fallback_conservative_epsilon,1.0225154215848873,size_anchor,30,0.0,0.002,0.003,0.4,0.9990696907043457,148,1238.2796142578125,8.003625374637362,8.003625374637362,1.9981393814086914,0.9982292652130127,150,1244.5606689453125,8.751158668130799,8.751158668130799,1.9964585304260254,0.9990392327308655,140,1043.2067626953126,7.6656656241375,7.6656656241375,1.998078465461731,0.3378995433789954,0.3424657534246575,0.319634703196347
7,mas_validation_guided_candidate,0.0005,20,0.99642575,3889818.5,2970508.8,-0.99642575,0.34970406,-1.37762451171875,fedyogi,1.0,0.4,1.0,8.30957817058666,4.02860807911598,False,True,True,size_anchor,candidate_003_lr0p5_ep+0,fallback_conservative_epsilon,1.0205752806617423,size_anchor,30,0.0,0.002,0.003,0.4,0.9981551766395569,148,1135.1892333984374,8.261318356500054,8.261318356500054,1.9963103532791138,0.9965618252754211,150,1167.5001220703125,9.541347352817604,9.541347352817604,1.9931236505508423,0.9981648325920105,140,977.4933837890625,8.484290388706816,8.484290388706816,1.996329665184021,0.3378995433789954,0.3424657534246575,0.319634703196347
8,mas_validation_guided_candidate,0.0005,20,0.99359715,3877678.0,2960679.5,-0.99359715,0.3486126,-1.3628058433532715,fedyogi,1.0,0.4,1.0,9.786561672623485,4.0964315987849895,False,True,True,size_anchor,candidate_009_lr0p5_ep+0,fallback_conservative_epsilon,1.0178705869771267,size_anchor,30,0.0,0.002,0.003,0.4,0.9966486096382141,148,1046.1004028320312,9.63872141588976,9.63872141588976,1.9932972192764282,0.9942255616188049,150,1054.7936767578126,10.33714486856865,10.33714486856865,1.9884511232376099,0.9970381259918213,140,901.4884399414062,10.839763807663804,10.839763807663804,1.9940762519836426,0.3378995433789954,0.3424657534246575,0.319634703196347
9,mas_validation_guided_candidate,0.0005,20,0.9865771,3849858.8,2937630.5,-0.9865771,0.3461116,-1.3290252685546875,fedyogi,0.5,0.2,1.0,10.989461531455072,2.501401467393669,False,True,True,candidate_009_lr0p5_ep+0,candidate_009_lr0p5_ep+0,accepted_llm_near_best,1.010639733448948,local_grid,30,0.12739726027397258,0.002,0.003,0.4,0.9944092631340027,148,978.8632568359375,10.387179726923819,10.387179726923819,1.9888185262680054,0.9902971982955933,150,952.8816528320312,12.356426034298718,12.356426034298718,1.9805943965911865,0.9941667914390564,140,788.5607421875,11.473407909383107,11.473407909383107,1.9883335828781128,0.2833333333333333,0.3333333333333333,0.3833333333333333
10,mas_validation_guided_candidate,0.0005,20,0.9747078,3804183.8,2899198.8,-0.9747078,0.3420053,-1.2740895748138428,fedyogi,0.5,0.2,1.0,14.667165150856992,2.548883611804278,False,True,True,previous_accepted_lr0p5_ep+0,previous_accepted_lr0p5_ep+0,accepted,0.9976558316298784,previous_accepted,30,0.0,0.002,0.003,0.4,0.9908482432365417,148,838.2562744140625,15.412751869433638,15.412751869433638,1.9816964864730835,0.9843038320541382,150,847.6972290039063,14.64087175483085,14.64087175483085,1.9686076641082764,0.9903636574745178,140,700.1805053710938,14.985393124559542,14.985393124559542,1.9807273149490356,0.2833333333333333,0.3333333333333333,0.3833333333333333
