round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,aggregation_weight
1,size_only,Client 1,148,1592.2974365234375,0.9999853372573853,3987787.5,3242024.5,-0.9999853372573853,0.3378995433789954
1,size_only,Client 2,150,1628.6629638671875,0.9999913573265076,4608958.5,3895077.0,-0.9999913573265076,0.3424657534246575
1,size_only,Client 3,140,1392.454443359375,0.9999985098838806,2321858.75,1997774.5,-0.9999985098838806,0.319634703196347
2,perf_only,Client 1,148,1541.25751953125,0.9999662637710571,3987589.25,3241909.75,-0.9999662637710571,0.3333366315329686
2,perf_only,Client 2,150,1573.9230224609375,0.9999727010726929,4608819.0,3894975.25,-0.9999727010726929,0.33333448568809176
2,perf_only,Client 3,140,1317.9810546875,0.9999895095825195,2321816.5,1997745.75,-0.9999895095825195,0.3333288827789396
3,perf_only,Client 1,148,1456.8484130859374,0.9998789429664612,3987004.5,3241494.25,-0.9998789429664612,0.3333319091639342
3,perf_only,Client 2,150,1476.3451171875,0.9998506307601929,4608284.5,3894480.5,-0.9998506307601929,0.33334134792612413
3,perf_only,Client 3,140,1237.4966064453124,0.9998944401741028,2321482.5,1997483.375,-0.9998944401741028,0.3333267429099416
4,perf_only,Client 1,148,1367.4931640625,0.99972003698349,3986096.0,3240801.5,-0.99972003698349,0.33332378705397553
4,perf_only,Client 2,150,1414.5505859375,0.9996544718742371,4607553.5,3893734.0,-0.9996544718742371,0.33334564899654445
4,perf_only,Client 3,140,1188.5251953125,0.9996997117996216,2320871.25,1996980.5,-0.9996997117996216,0.33333056394948
5,perf_only,Client 1,148,1286.0581298828124,0.9994766116142273,3984377.5,3239620.75,-0.9994766116142273,0.3332665663717027
5,perf_only,Client 2,150,1296.7888671875,0.9989874958992004,4605150.5,3891219.75,-0.9989874958992004,0.3334297373347063
5,perf_only,Client 3,140,1089.9468627929687,0.9993652701377869,2319766.0,1996098.875,-0.9993652701377869,0.333303696293591
6,size_only,Client 1,148,1202.174755859375,0.9988439679145813,3980757.5,3236940.5,-0.9988439679145813,0.3378995433789954
6,size_only,Client 2,150,1223.3658203125,0.9979198575019836,4600874.5,3887017.75,-0.9979198575019836,0.3424657534246575
6,size_only,Client 3,140,1020.4794067382812,0.9988905787467957,2318119.5,1994830.875,-0.9988905787467957,0.319634703196347
7,perf_only,Client 1,148,1124.1724853515625,0.9979881644248962,3975123.25,3232920.75,-0.9979881644248962,0.3331093811500249
7,perf_only,Client 2,150,1119.3889404296874,0.9960663318634033,4594002.0,3879977.75,-0.9960663318634033,0.3337520891625799
7,perf_only,Client 3,140,936.1915771484375,0.9979008436203003,2314757.5,1992315.5,-0.9979008436203003,0.33313852968739505
8,perf_only,Client 1,148,1017.585888671875,0.996442973613739,3966351.75,3226458.25,-0.996442973613739,0.3328389935125603
8,perf_only,Client 2,150,1037.412060546875,0.9927871227264404,4581556.0,3867459.75,-0.9927871227264404,0.3340646424721981
8,perf_only,Client 3,140,841.2563842773437,0.9956730604171753,2307509.75,1986835.125,-0.9956730604171753,0.3330963640152416
9,perf_only,Client 1,148,910.5909912109375,0.9935138821601868,3951399.0,3214879.5,-0.9935138821601868,0.33221396382445983
9,perf_only,Client 2,150,923.32734375,0.985551118850708,4552519.5,3838688.5,-0.985551118850708,0.33489808484803674
9,perf_only,Client 3,140,761.6810791015625,0.9915023446083069,2295878.0,1977432.875,-0.9915023446083069,0.3328879513275033
