round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,0.99999565,3907348.5,2983923.5,-0.99999565,0.35128006,-1.3991029262542725,0.9999853372573853,148,1592.2974365234375,0.9999913573265076,150,1628.6629638671875,0.9999985098838806,140,1392.454443359375,0.3378995433789954,0.3424657534246575,0.319634703196347
2,perf_only,0.0005,20,0.9999844,3907221.8,2983856.2,-0.9999844,0.35126865,-1.3989474773406982,0.9999662637710571,148,1541.25751953125,0.9999727010726929,150,1573.9230224609375,0.9999895095825195,140,1317.9810546875,0.3333366315329686,0.33333448568809176,0.3333288827789396
3,perf_only,0.0006,20,0.9999105,3906644.5,2983502.0,-0.9999105,0.35121676,-1.3982384204864502,0.9998789429664612,148,1456.8484130859374,0.9998506307601929,150,1476.3451171875,0.9998944401741028,140,1237.4966064453124,0.3333319091639342,0.33334134792612413,0.3333267429099416
4,perf_only,0.0005,20,0.9997439,3905807.0,2982870.8,-0.9997439,0.35114148,-1.3972101211547852,0.99972003698349,148,1367.4931640625,0.9996544718742371,150,1414.5505859375,0.9996997117996216,140,1188.5251953125,0.33332378705397553,0.33334564899654445,0.33333056394948
5,perf_only,0.0005,20,0.99937946,3904116.5,2981528.2,-0.99937946,0.3509895,-1.3951356410980225,0.9994766116142273,148,1286.0581298828124,0.9989874958992004,150,1296.7888671875,0.9993652701377869,140,1089.9468627929687,0.3332665663717027,0.3334297373347063,0.333303696293591
6,size_only,0.0005,20,0.9987197,3901110.2,2979150.8,-0.9987197,0.3507192,-1.391448736190796,0.9988439679145813,148,1202.174755859375,0.9979198575019836,150,1223.3658203125,0.9988905787467957,140,1020.4794067382812,0.3378995433789954,0.3424657534246575,0.319634703196347
7,perf_only,0.0005,20,0.99757856,3896021.5,2975005.2,-0.99757856,0.35026172,-1.3852136135101318,0.9979881644248962,148,1124.1724853515625,0.9960663318634033,150,1119.3889404296874,0.9979008436203003,140,936.1915771484375,0.3331093811500249,0.3337520891625799,0.33313852968739505
8,perf_only,0.0005,20,0.99550843,3887274.2,2967831.5,-0.99550843,0.34947532,-1.3745152950286865,0.996442973613739,148,1017.585888671875,0.9927871227264404,150,1037.412060546875,0.9956730604171753,140,841.2563842773437,0.3328389935125603,0.3340646424721981,0.3330963640152416
9,perf_only,0.0005,20,0.99144286,3871677.8,2954713.0,-0.99144286,0.34807318,-1.355499505996704,0.9935138821601868,148,910.5909912109375,0.985551118850708,150,923.32734375,0.9915023446083069,140,761.6810791015625,0.33221396382445983,0.33489808484803674,0.3328879513275033
10,perf_only,0.0005,20,0.9863216,3850886.0,2937926.0,-0.9863216,0.34620395,-1.330268144607544,0.9877642393112183,148,812.137548828125,0.9784550070762634,150,803.0798706054687,0.9861417412757874,140,680.8281982421875,0.33209798378777655,0.33525763249296325,0.33264438371926025
11,perf_only,0.0005,20,0.9775392,3819084.2,2911494.2,-0.9775392,0.3433449,-1.2919390201568604,0.9801406860351562,148,690.6260620117188,0.9669538736343384,150,730.4255859375,0.97777259349823,140,557.3072143554688,0.33155845810155354,0.33608007467964324,0.3323614672188032
12,perf_only,0.0005,20,0.9619605,3759848.2,2862075.5,-0.9619605,0.33801943,-1.2213921546936035,0.9675257802009583,148,599.3320556640625,0.9485682249069214,150,595.2124877929688,0.9586901068687439,140,483.9101623535156,0.330119966129415,0.3367175526283635,0.33316248124222136
13,perf_only,0.0005,20,0.9391823,3684730.5,2797004.2,-0.9391823,0.33126616,-1.133516788482666,0.9503376483917236,148,514.1320190429688,0.9296649098396301,150,504.2568725585937,0.9347501397132874,140,401.49921875,0.3290651055297214,0.3363824405220376,0.33455245394824096
14,perf_only,0.0005,20,0.9037814,3568194.8,2694957.8,-0.9037814,0.3207893,-1.0006985664367676,0.9196782112121582,148,400.690087890625,0.8880525827407837,150,420.3740478515625,0.9049805402755737,140,326.99907836914065,0.32766976361502986,0.3393388367506954,0.33299139963427465
15,perf_only,0.0005,20,0.8539878,3416996.2,2556398.0,-0.8539878,0.3071962,-0.8347361087799072,0.8735538125038147,148,336.4312683105469,0.8399478793144226,150,330.3697509765625,0.863667905330658,140,262.5486358642578,0.32771242008466966,0.3408240295717713,0.3314635503435589
16,perf_only,0.0005,20,0.7755819,3210885.0,2346890.0,-0.7755819,0.2886663,-0.620071291923523,0.8108747005462646,148,260.1865295410156,0.7711336016654968,150,270.9307891845703,0.7972232103347778,140,203.17292175292968,0.32587517421991186,0.3426694374957267,0.3314553882843613
17,perf_only,0.0005,20,0.6940403,2989489.2,2121316.8,-0.68448114,0.2687623,-0.404360294342041,0.7487240433692932,148,199.975,0.6999583840370178,150,192.54043884277343,0.7383431792259216,140,138.6285430908203,0.32428271888996724,0.3468752591964143,0.3288420219136184
18,perf_only,0.0005,20,0.606528,2751087.0,1866028.9,-0.577734,0.24732935,-0.18930494785308838,0.6928341388702393,148,132.084814453125,0.614883303642273,150,135.27454071044923,0.6614382266998291,140,102.871875,0.31503611635783846,0.35497424496447666,0.3299896386776848
19,perf_only,0.0005,20,0.50206995,2477860.0,1568233.2,-0.43653435,0.2227656,0.0351981520652771,0.6202731728553772,148,97.37535400390625,0.5120846629142761,150,109.92579879760743,0.5268656015396118,140,56.949300384521486,0.295110678793767,0.35745881098849563,0.34743051021773746
20,perf_only,0.0005,20,0.43574643,2283689.8,1378692.6,-0.2931656,0.20530921,0.18048137426376343,0.5295220613479614,148,51.869422149658206,0.4412505030632019,150,68.50874099731445,0.46511733531951904,140,51.78519477844238,0.2995341293573728,0.3594553855441351,0.3410104850984922
