round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,continuous_weight_search,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,0.5,0.2,1.0,12.892148661700933,4.456999534904617,False,True,False,size_anchor_lr0p5_ep+0,,accepted,1.0244569995349047,size_anchor,30,0.0,0.002,,0.4,0.9999853372573853,148,1592.2974365234375,12.975546725462204,12.975546725462204,1.9999706745147705,0.9999913573265076,150,1628.6629638671875,12.890776627666082,12.890776627666082,1.9999827146530151,0.9999985098838806,140,1392.454443359375,13.317380255097033,13.317380255097033,1.9999970197677612,0.3378995433789954,0.3424657534246575,0.319634703196347
2,continuous_weight_search,0.0005,20,0.99999744,3907356.0,2983927.8,-0.99999744,0.35128072,-1.3991122245788574,fedyogi,0.5,0.2,1.0,9.324648813007798,4.686810676502191,False,True,True,size_anchor_lr0p5_ep+0,,accepted,1.02468479246323,size_anchor,30,0.0,0.002,,0.4,0.9999656677246094,148,1512.9106201171876,9.51050994234426,9.51050994234426,1.9999313354492188,0.9999697804450989,150,1558.3952392578126,9.650885052408523,9.650885052408523,1.9999395608901978,0.9999870657920837,140,1320.77939453125,9.671693441726438,9.671693441726438,1.9999741315841675,0.3378995433789954,0.3424657534246575,0.319634703196347
3,continuous_weight_search,0.0005,20,0.9998749,3906133.5,2983266.0,-0.9998749,0.35117084,-1.397611379623413,fedyogi,1.0,0.4,1.0,6.803518722555249,5.686675983770082,False,True,True,size_anchor,,fallback_conservative_epsilon,1.02557145841728,size_anchor,30,0.0,0.002,,0.4,0.9998830556869507,148,1471.562646484375,7.071370355254597,7.071370355254597,1.9997661113739014,0.9999140501022339,150,1503.81435546875,7.4531279817521625,7.4531279817521625,1.9998281002044678,0.9999170303344727,140,1256.571728515625,6.973291953459255,6.973291953459255,1.9998340606689453,0.3378995433789954,0.3424657534246575,0.319634703196347
4,continuous_weight_search,0.0005,20,0.99959195,3904127.2,2981992.8,-0.99959195,0.35099047,-1.3951489925384521,fedyogi,1.0,0.4,1.0,5.705093581612927,3.414314864462278,False,True,True,size_anchor,,fallback_conservative_epsilon,1.023022386310881,size_anchor,30,0.0,0.002,,0.4,0.9997668266296387,148,1391.96982421875,6.237167096405205,6.237167096405205,1.9995336532592773,0.9997448325157166,150,1419.8593994140624,6.701566549786219,6.701566549786219,1.999489665031433,0.9997374415397644,140,1216.4635009765625,5.688051588489161,5.688051588489161,1.9994748830795288,0.3378995433789954,0.3424657534246575,0.319634703196347
5,continuous_weight_search,0.0005,20,0.99895465,3900975.5,2979563.5,-0.99895465,0.3507071,-1.3912832736968994,fedyogi,1.0,0.4,1.0,6.606112188488256,3.8904386727624747,False,True,True,size_anchor,,fallback_conservative_epsilon,1.0228816622464472,size_anchor,30,0.0,0.002,,0.4,0.9995483756065369,148,1308.2959716796875,7.256131968645373,7.256131968645373,1.9990967512130737,0.9992222785949707,150,1320.16142578125,7.706079179070117,7.706079179070117,1.9984445571899414,0.9994362592697144,140,1147.1855712890624,6.349597830690391,6.349597830690391,1.9988725185394287,0.3378995433789954,0.3424657534246575,0.319634703196347
6,continuous_weight_search,0.0005,20,0.99748564,3893770.2,2974007.2,-0.99748564,0.35005933,-1.382458209991455,fedyogi,0.5,0.2,1.0,7.690940177303075,2.684793892766778,False,True,True,size_anchor_lr0p5_ep+0,,accepted,1.0202689473065394,size_anchor,30,0.0,0.002,,0.4,0.9990698099136353,148,1238.1281494140626,8.009624299805623,8.009624299805623,1.9981396198272705,0.9982314109802246,150,1244.4477294921876,8.79510940570523,8.79510940570523,1.9964628219604492,0.9990399479866028,140,1043.224462890625,7.697851555328887,7.697851555328887,1.9980798959732056,0.3378995433789954,0.3424657534246575,0.319634703196347
7,continuous_weight_search,0.0005,20,0.9943206,3879216.2,2962494.5,-0.9943206,0.3487509,-1.3646812438964844,fedyogi,0.5,0.2,1.0,9.847041148921367,2.7771244675991276,False,True,True,size_anchor_lr0p5_ep+0,,accepted,1.0172940216691373,size_anchor,30,0.0,0.002,,0.4,0.9981586337089539,148,1135.110693359375,9.741239929642315,9.741239929642315,1.9963172674179077,0.9965566396713257,150,1167.4121826171875,11.033677863149853,11.033677863149853,1.9931132793426514,0.9981673359870911,140,977.5988647460938,9.91739243144595,9.91739243144595,1.9963346719741821,0.3378995433789954,0.3424657534246575,0.319634703196347
8,continuous_weight_search,0.0005,20,0.9889219,3856067.2,2943717.8,-0.9889219,0.34666976,-1.336543321609497,fedyogi,0.5,0.2,1.0,12.73385788730396,2.867233446819411,False,True,True,size_anchor_lr0p5_ep+0,,accepted,1.0120928415572472,size_anchor,30,0.0,0.002,,0.4,0.9966552257537842,148,1045.9501953125,12.506446134967215,12.506446134967215,1.9933104515075684,0.9942266345024109,150,1054.7961059570312,13.254185961937722,13.254185961937722,1.9884532690048218,0.997033953666687,140,901.2470703125,13.583717641500465,13.583717641500465,1.994067907333374,0.3378995433789954,0.3424657534246575,0.319634703196347
9,continuous_weight_search,0.0005,20,0.97898036,3817100.0,2911212.0,-0.97898036,0.3431665,-1.2895581722259521,fedyogi,0.5,0.2,1.0,15.342327544162035,2.8150221141528338,False,True,True,candidate_003_lr0p5_ep+0,,accepted,1.0032495290073107,local_grid,30,0.09999999999999998,0.002,,0.4,0.9944503307342529,148,979.1862060546875,14.662789293173587,14.662789293173587,1.9889006614685059,0.9903015494346619,150,953.49775390625,16.524112199359397,16.524112199359397,1.9806030988693237,0.9941924214363098,140,789.1705810546875,15.706207597609207,15.706207597609207,1.9883848428726196,0.2878995433789954,0.3424657534246575,0.369634703196347
10,continuous_weight_search,0.0005,20,0.96273154,3756066.5,2859135.8,-0.96273154,0.33767945,-1.2169256210327148,fedyogi,0.5,0.2,1.0,18.93051218094413,2.7737024343016525,False,True,True,candidate_009_lr0p5_ep+0,,accepted,0.986361009025231,local_grid,30,0.0273972602739726,0.002,,0.4,0.9908799529075623,148,838.5638793945312,19.646349139028512,19.646349139028512,1.9817599058151245,0.9843019247055054,150,848.4155883789062,18.77685153037213,18.77685153037213,1.9686038494110107,0.9903535842895508,140,700.715673828125,19.198482368359173,19.198482368359173,1.9807071685791016,0.2833333333333333,0.3333333333333333,0.3833333333333333
11,continuous_weight_search,0.0005,20,0.93898183,3668810.0,2784975.5,-0.93898183,0.32983488,-1.1151204109191895,fedyogi,0.5,0.2,1.0,21.323853342869494,2.7648892958762015,False,True,True,previous_accepted_lr0p5_ep+0,,accepted,0.9625409582217337,previous_accepted,30,0.0,0.002,,0.4,0.9823897480964661,148,753.0238525390625,20.9791411177867,20.9791411177867,1.9647794961929321,0.9724482297897339,150,744.405810546875,21.260385873292183,21.260385873292183,1.9448964595794678,0.9848861694335938,140,644.817529296875,22.116325315973423,22.116325315973423,1.9697723388671875,0.2833333333333333,0.3333333333333333,0.3833333333333333
12,continuous_weight_search,0.0005,20,0.90576845,3550959.5,2685066.0,-0.90576845,0.31923983,-0.9814178943634033,fedyogi,0.5,0.2,1.0,24.074703848421123,2.6875706869368527,False,True,True,previous_accepted_lr0p5_ep+0,,accepted,0.9293995925146347,previous_accepted,30,0.0,0.002,,0.4,0.9752395153045654,148,658.1378784179688,23.892985234100294,23.892985234100294,1.9504790306091309,0.9579488039016724,150,659.612060546875,27.118912966638057,27.118912966638057,1.9158976078033447,0.9744347333908081,140,542.9271545410156,22.163829235105368,22.163829235105368,1.9488694667816162,0.2833333333333333,0.3333333333333333,0.3833333333333333
13,continuous_weight_search,0.0005,20,0.8595023,3398400.0,2548474.5,-0.8595023,0.30552435,-0.8148200511932373,fedyogi,0.5,0.2,1.0,25.61816699474167,2.6211836427612303,False,True,True,previous_accepted_lr0p5_ep+0,,accepted,0.8827795376867217,previous_accepted,30,0.0,0.002,,0.4,0.9591322541236877,148,558.148046875,25.053311857979498,25.053311857979498,1.9182645082473755,0.9355992674827576,150,553.7696533203125,25.5595338113537,25.5595338113537,1.8711985349655151,0.952387273311615,140,442.1886352539062,26.70179729509363,26.70179729509363,1.90477454662323,0.2833333333333333,0.3333333333333333,0.3833333333333333
14,continuous_weight_search,0.0005,20,0.7909146,3189445.8,2352817.8,-0.7909146,0.28673887,-0.5985088348388672,fedyogi,0.5,0.2,1.0,28.55394278193649,2.4959618337139173,False,True,True,previous_accepted_lr0p5_ep+0,,accepted,0.8135412717349514,previous_accepted,30,0.0,0.002,,0.4,0.9353505373001099,148,444.3740661621094,26.792532940728403,26.792532940728403,1.8707010746002197,0.907435953617096,150,459.89844970703126,29.163724419413015,29.163724419413015,1.814871907234192,0.933975875377655,140,364.2144470214844,29.75597928907295,29.75597928907295,1.86795175075531,0.2833333333333333,0.3333333333333333,0.3833333333333333
15,continuous_weight_search,0.0005,20,0.7116146,2914688.5,2095704.2,-0.70273256,0.26203752,-0.3349621295928955,fedyogi,0.5,0.2,1.0,29.49688491004582,2.5893243278689484,False,True,True,previous_accepted_lr0p5_ep+0,,accepted,0.7333880438532062,previous_accepted,30,0.0,0.002,,0.4,0.905397891998291,148,355.36797485351565,28.09900727225953,28.09900727225953,1.810795783996582,0.8695529103279114,150,361.6293701171875,30.884599345763093,30.884599345763093,1.7391058206558228,0.8957602381706238,140,278.8177429199219,29.69027074436944,29.69027074436944,1.7915204763412476,0.2833333333333333,0.3333333333333333,0.3833333333333333
