test_mape,test_rmse,test_mae,test_mpe,test_nrmse,val_mape,val_rmse,val_mae,val_mpe,command,scenario,scenario_key,seed,split_seed,success,result_file,test_r2,best_val_mape,best_epoch,best_round,server_optimizer,server_lr,server_beta1,server_beta2,server_tau,max_coordinate_step_ratio,llm_temperature,use_llm,num_rounds,server_lr_scale,update_clip_norm,adaptive_mode,candidate_budget,weight_grid_step,min_client_weight,max_client_weight,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,llm_provider,test_mape_corrected,test_rmse_corrected,test_mae_corrected,test_mpe_corrected,test_r2_corrected,bias_correction_value,elapsed_seconds,code_commit,code_dirty,seed_result_file
0.5505,1390877.45,1049122.08,0.2221,0.156,0.4521,1828687.96,1177272.08,0.1784,D:\Python\python.exe experiments/scenario_A_centralized.py --seed 42,GBR传统机器学习,A,42,42,True,results\centralized_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5768,1460138.69,1125654.45,0.2324,0.1638,0.4636,1804209.46,1188399.66,0.1798999999999999,D:\Python\python.exe experiments/scenario_A_centralized.py --seed 123,GBR传统机器学习,A,123,42,True,results\centralized_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.56,1500143.71,1098676.21,0.2306,0.1682999999999999,0.4445,1787097.33,1163420.76,0.1714999999999999,D:\Python\python.exe experiments/scenario_A_centralized.py --seed 456,GBR传统机器学习,A,456,42,True,results\centralized_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5533,1413360.41,1078304.55,0.2141,0.1585,0.4366,1658363.16,1091737.62,0.1629,D:\Python\python.exe experiments/scenario_A_centralized.py --seed 789,GBR传统机器学习,A,789,42,True,results\centralized_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5481,1448399.64,1111146.06,0.2112,0.1625,0.4289,1786419.88,1157436.02,0.1823,D:\Python\python.exe experiments/scenario_A_centralized.py --seed 2024,GBR传统机器学习,A,2024,42,True,results\centralized_results.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5002,1459400.38,1004333.38,0.1762999999999999,0.1637,,,,,D:\Python\python.exe experiments/scenario_A_prime.py --seed 42,ANN传统神经网络,A_prime,42,42,True,results\centralized_nn_results.csv,0.4988,0.3215999999999999,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5578,1501278.62,1065038.12,0.211,0.1684,,,,,D:\Python\python.exe experiments/scenario_A_prime.py --seed 123,ANN传统神经网络,A_prime,123,42,True,results\centralized_nn_results.csv,0.4696,0.3624,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5678,1556067.62,1092374.0,0.1992,0.1746,,,,,D:\Python\python.exe experiments/scenario_A_prime.py --seed 456,ANN传统神经网络,A_prime,456,42,True,results\centralized_nn_results.csv,0.4302,0.3435,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5078,1431269.38,993218.5,0.1711,0.1606,,,,,D:\Python\python.exe experiments/scenario_A_prime.py --seed 789,ANN传统神经网络,A_prime,789,42,True,results\centralized_nn_results.csv,0.518,0.3186,79.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4694,1483441.25,1035793.5,0.0942,0.1664,,,,,D:\Python\python.exe experiments/scenario_A_prime.py --seed 2024,ANN传统神经网络,A_prime,2024,42,True,results\centralized_nn_results.csv,0.4822,0.3328,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4207,1700182.5,1198032.62,-0.1651999999999999,0.1907,,,,,D:\Python\python.exe experiments/scenario_B_fedavg.py --num_rounds 20 --seed 42,传统联邦学习,B,42,42,True,results\fedavg_results.csv,0.3198,0.4058,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5064,1612047.88,1118802.0,-0.0081,0.1808,,,,,D:\Python\python.exe experiments/scenario_B_fedavg.py --num_rounds 20 --seed 123,传统联邦学习,B,123,42,True,results\fedavg_results.csv,0.3885,0.3981,,19.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5616,1678045.25,1203470.5,-0.026,0.1882,,,,,D:\Python\python.exe experiments/scenario_B_fedavg.py --num_rounds 20 --seed 456,传统联邦学习,B,456,42,True,results\fedavg_results.csv,0.3374,0.3663,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5414,1665254.0,1226601.5,-0.0762,0.1868,,,,,D:\Python\python.exe experiments/scenario_B_fedavg.py --num_rounds 20 --seed 789,传统联邦学习,B,789,42,True,results\fedavg_results.csv,0.3475,0.3465,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5514,1927505.62,1466428.0,-0.3268999999999999,0.2162,,,,,D:\Python\python.exe experiments/scenario_B_fedavg.py --num_rounds 20 --seed 2024,传统联邦学习,B,2024,42,True,results\fedavg_results.csv,0.1257,0.4307,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.4366,1782489.25,1265104.88,-0.0327,0.2,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --seed 42,多智能体协同联邦学习,C,42,42,True,results\scenario_c_results.csv,0.2523,0.3851,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5015,1556034.0,1084908.0,0.0425,0.1746,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --seed 123,多智能体协同联邦学习,C,123,42,True,results\scenario_c_results.csv,0.4302,0.4111,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5071,1554766.38,1095856.62,0.07,0.1744,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --seed 456,多智能体协同联邦学习,C,456,42,True,results\scenario_c_results.csv,0.4312,0.3975,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.5357999999999999,1566194.5,1140622.5,0.1762,0.1757,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --seed 789,多智能体协同联邦学习,C,789,42,True,results\scenario_c_results.csv,0.4228,0.3415999999999999,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.547,1948425.25,1449777.38,-0.0169,0.2186,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --use_llm --seed 2024,多智能体协同联邦学习,C,2024,42,True,results\scenario_c_results.csv,0.1067,0.4440999999999999,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.42322993,1714227.6,1224472.6,-0.21280834,0.19229856,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --output_prefix fedyogi --method_key FEDYOGI --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 42,自适应联邦学习（FedYogi-TR）,FEDYOGI,42,42,True,results\fedyogi_results.csv,0.3085143566131592,0.40201727,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,fixed_strategy,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.42108616,1502451.1,1065231.8,-0.013124837,0.4688135981559753,-0.20233919,55.57113337516785,c58bfb6,True,results\multi_seed\FEDYOGI_seed42_result.csv
0.4993004,1650754.5,1148863.2,-0.06968589,0.18517828,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --output_prefix fedyogi --method_key FEDYOGI --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 123,自适应联邦学习（FedYogi-TR）,FEDYOGI,123,42,True,results\fedyogi_results.csv,0.3587740063667297,0.40090227,,19.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,fixed_strategy,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.504412,1538097.5,1065852.2,0.0382103,0.4433093667030334,-0.10392517,55.42477297782898,c58bfb6,True,results\multi_seed\FEDYOGI_seed123_result.csv
0.53500766,1630241.0,1173248.6,-0.057859857,0.18287711,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --output_prefix fedyogi --method_key FEDYOGI --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 456,自适应联邦学习（FedYogi-TR）,FEDYOGI,456,42,True,results\fedyogi_results.csv,0.3746115565299988,0.38121969,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,fixed_strategy,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.5476677,1484384.2,1058086.8,0.086512655,0.4815118312835693,-0.13287699,54.2487359046936,c58bfb6,True,results\multi_seed\FEDYOGI_seed456_result.csv
0.56067306,1590030.1,1143978.9,0.017715065,0.17836633,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --output_prefix fedyogi --method_key FEDYOGI --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 789,自适应联邦学习（FedYogi-TR）,FEDYOGI,789,42,True,results\fedyogi_results.csv,0.4050823450088501,0.4293516,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,fixed_strategy,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.5987982,1589515.8,1161188.0,0.125872,0.4054672122001648,-0.096065074,55.79834365844727,c58bfb6,True,results\multi_seed\FEDYOGI_seed789_result.csv
0.58628196,1910852.8,1463069.4,-0.33065173,0.21435556,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --output_prefix fedyogi --method_key FEDYOGI --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 2024,自适应联邦学习（FedYogi-TR）,FEDYOGI,2024,42,True,results\fedyogi_results.csv,0.1407873630523681,0.47479254,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,fixed_strategy,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.5771771,1623505.8,1185684.2,0.027029445,0.3797684907913208,-0.34826767,53.93982648849487,c58bfb6,True,results\multi_seed\FEDYOGI_seed2024_result.csv
0.42802858,1649887.9,1183534.0,-0.17539088,0.18508106,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --adaptive_mode validation_guided --output_prefix vg_fedyogi_tr --method_key VG_FEDYOGI_TR --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 42,验证引导自适应联邦学习（VG-FedYogi-TR）,VG_FEDYOGI_TR,42,42,True,results\vg_fedyogi_tr_results.csv,0.3594470024108886,0.39601135,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,validation_guided,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.44650054,1499625.9,1092046.9,0.027999476,0.4708095192909241,-0.19785063,77.38536834716797,c58bfb6,True,results\multi_seed\VG_FEDYOGI_TR_seed42_result.csv
0.44955593,1512120.0,1051215.0,0.04300722,0.16962653,,,,,D:\Python\python.exe experiments/scenario_C_llm.py --num_rounds 20 --strategy size_only --server_optimizer fedyogi --adaptive_mode validation_guided --output_prefix vg_fedyogi_tr --method_key VG_FEDYOGI_TR --server_lr 0.4 --max_coordinate_step_ratio 1 --seed 123,验证引导自适应联邦学习（VG-FedYogi-TR）,VG_FEDYOGI_TR,123,42,True,results\vg_fedyogi_tr_results.csv,0.4619548916816711,0.3896073,,20.0,fedyogi,0.4,0.9,0.99,0.001,1.0,0.8,False,20.0,1.0,,validation_guided,30.0,0.05,0.05,0.8,0.002,0.002,0.4,deepseek,0.43974143,1531497.2,1060951.9,0.00062142586,0.448076844215393,0.042359456,73.53053212165833,c58bfb6,True,results\multi_seed\VG_FEDYOGI_TR_seed123_result.csv
