round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,aggregation_weight
1,size_only,Client 1,148,1592.2974365234375,0.99998534,3987787.5,3242024.5,-0.99998534,0.3378995433789954
1,size_only,Client 2,150,1628.6629638671875,0.99999136,4608958.5,3895077.0,-0.99999136,0.3424657534246575
1,size_only,Client 3,140,1392.454443359375,0.9999985,2321858.8,1997774.5,-0.9999985,0.319634703196347
2,size_only,Client 1,148,1539.9151611328125,0.9999651,3987550.5,3241897.0,-0.9999651,0.3378995433789954
2,size_only,Client 2,150,1572.845263671875,0.9999747,4608826.0,3894982.8,-0.9999747,0.3424657534246575
2,size_only,Client 3,140,1334.860595703125,0.9999873,2321805.2,1997738.6,-0.9999873,0.319634703196347
3,size_only,Client 1,148,1458.0908447265624,0.99988437,3987099.8,3241541.8,-0.99988437,0.3378995433789954
3,size_only,Client 2,150,1493.994384765625,0.9999172,4608581.5,3894753.2,-0.9999172,0.3424657534246575
3,size_only,Client 3,140,1247.22802734375,0.99992615,2321521.0,1997546.6,-0.99992615,0.319634703196347
4,size_only,Client 1,148,1373.983056640625,0.999773,3986325.2,3241000.8,-0.999773,0.3378995433789954
4,size_only,Client 2,150,1402.33759765625,0.9997152,4607795.0,3893971.8,-0.9997152,0.3424657534246575
4,size_only,Client 3,140,1178.15126953125,0.9997049,2320833.5,1996971.8,-0.9997049,0.319634703196347
5,size_only,Client 1,148,1322.30537109375,0.99948543,3984606.0,3239731.0,-0.99948543,0.3378995433789954
5,size_only,Client 2,150,1312.5256103515626,0.9991716,4605982.5,3892003.8,-0.9991716,0.3424657534246575
5,size_only,Client 3,140,1115.0335693359375,0.99943256,2319962.5,1996267.1,-0.99943256,0.319634703196347
6,size_only,Client 1,148,1213.014306640625,0.99910986,3982022.8,3237949.5,-0.99910986,0.3378995433789954
6,size_only,Client 2,150,1244.9602783203125,0.99840415,4602889.0,3888949.0,-0.99840415,0.3424657534246575
6,size_only,Client 3,140,1063.786767578125,0.9990132,2318600.8,1995181.5,-0.9990132,0.319634703196347
7,size_only,Client 1,148,1126.563623046875,0.9981472,3976821.0,3234022.2,-0.9981472,0.3378995433789954
7,size_only,Client 2,150,1142.3673828125,0.9965553,4595990.0,3881915.8,-0.9965553,0.3424657534246575
7,size_only,Client 3,140,974.0404296875,0.9981238,2315291.5,1992758.5,-0.9981238,0.319634703196347
8,size_only,Client 1,148,1040.0711303710937,0.9968061,3970166.0,3228732.5,-0.9968061,0.3378995433789954
8,size_only,Client 2,150,1045.323974609375,0.99363387,4584731.0,3870604.2,-0.99363387,0.3424657534246575
8,size_only,Client 3,140,864.5150390625,0.99657166,2310052.8,1988714.0,-0.99657166,0.319634703196347
9,size_only,Client 1,148,938.9536376953125,0.9938211,3954084.0,3216446.5,-0.9938211,0.3378995433789954
9,size_only,Client 2,150,931.4817504882812,0.9891533,4567654.0,3853395.8,-0.9891533,0.3424657534246575
9,size_only,Client 3,140,774.1380859375,0.9939534,2301427.8,1982018.6,-0.9939534,0.319634703196347
10,size_only,Client 1,148,826.0701416015625,0.9892232,3927041.0,3196762.2,-0.9892232,0.3378995433789954
10,size_only,Client 2,150,844.5888305664063,0.98269695,4543788.0,3828795.2,-0.98269695,0.3424657534246575
10,size_only,Client 3,140,701.8130737304688,0.9896288,2287136.2,1971110.5,-0.9896288,0.319634703196347
11,size_only,Client 1,148,727.1343139648437,0.98239166,3894225.2,3170924.8,-0.98239166,0.3378995433789954
