round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,aggregation_weight
1,size_only,Client 1,148,1566.14521484375,0.9999083,3987420.0,3241734.0,-0.9999083,0.3378995433789954
1,size_only,Client 2,150,1602.7912109375,0.9999754,4608825.5,3894990.0,-0.9999754,0.3424657534246575
1,size_only,Client 3,140,1353.9082275390624,0.99999595,2321843.5,1997765.8,-0.99999595,0.319634703196347
2,size_only,Client 1,148,1471.4344482421875,0.9997996,3986769.5,3241253.5,-0.9997996,0.3378995433789954
2,size_only,Client 2,150,1500.8188232421876,0.9998409,4607628.0,3894196.8,-0.9998409,0.3424657534246575
2,size_only,Client 3,140,1288.8967041015626,0.9999502,2321635.0,1997620.6,-0.9999502,0.319634703196347
3,size_only,Client 1,148,1398.790283203125,0.9995785,3985078.5,3240107.5,-0.9995785,0.3378995433789954
3,size_only,Client 2,150,1403.0432373046874,0.99956495,4606473.0,3893074.5,-0.99956495,0.3424657534246575
3,size_only,Client 3,140,1225.1602294921875,0.999767,2320861.0,1997062.6,-0.999767,0.319634703196347
4,size_only,Client 1,148,1303.43427734375,0.9991157,3982033.2,3237965.8,-0.9991157,0.3378995433789954
4,size_only,Client 2,150,1312.0725830078125,0.9989108,4603798.5,3890524.8,-0.9989108,0.3424657534246575
4,size_only,Client 3,140,1103.9975830078124,0.9992203,2318830.5,1995532.5,-0.9992203,0.319634703196347
5,size_only,Client 1,148,1220.219091796875,0.99861515,3978465.5,3235538.2,-0.99861515,0.3378995433789954
5,size_only,Client 2,150,1253.9268798828125,0.9974126,4597397.5,3884403.2,-0.9974126,0.3424657534246575
5,size_only,Client 3,140,1043.1705444335937,0.9986838,2316895.0,1994088.9,-0.9986838,0.319634703196347
6,size_only,Client 1,148,1151.3343139648437,0.99739003,3970165.0,3229736.0,-0.99739003,0.3378995433789954
6,size_only,Client 2,150,1167.5161376953124,0.9950199,4588581.5,3875363.2,-0.9950199,0.3424657534246575
6,size_only,Client 3,140,967.1775512695312,0.99736524,2312323.2,1990606.0,-0.99736524,0.319634703196347
7,size_only,Client 1,148,1028.586767578125,0.9950966,3956199.2,3219352.8,-0.9950966,0.3378995433789954
7,size_only,Client 2,150,1035.937451171875,0.99121845,4570928.5,3859220.8,-0.99121845,0.3424657534246575
7,size_only,Client 3,140,876.739501953125,0.99434376,2301968.8,1982747.5,-0.99434376,0.319634703196347
8,size_only,Client 1,148,948.2555541992188,0.99204105,3936955.2,3205464.5,-0.99204105,0.3378995433789954
8,size_only,Client 2,150,937.2461669921875,0.9832765,4538489.5,3827823.5,-0.9832765,0.3424657534246575
8,size_only,Client 3,140,784.6602416992188,0.99057007,2288758.5,1972705.5,-0.99057007,0.319634703196347
9,size_only,Client 1,148,844.5041625976562,0.9869936,3902256.8,3181402.8,-0.9869936,0.3378995433789954
9,size_only,Client 2,150,870.2473510742187,0.97369254,4489745.0,3785786.5,-0.97369254,0.3424657534246575
9,size_only,Client 3,140,717.9742919921875,0.9840175,2270465.0,1957484.0,-0.9840175,0.319634703196347
10,size_only,Client 1,148,742.6475830078125,0.9815705,3865001.8,3155482.2,-0.9815705,0.3378995433789954
10,size_only,Client 2,150,748.9735107421875,0.9623877,4431955.5,3736074.5,-0.9623877,0.3424657534246575
10,size_only,Client 3,140,621.9796691894531,0.9726343,2242158.2,1934280.5,-0.9726343,0.319634703196347
11,size_only,Client 1,148,644.5782470703125,0.96977824,3800472.0,3106082.0,-0.96977824,0.3378995433789954
11,size_only,Client 2,150,635.6290405273437,0.94655246,4373712.0,3678161.8,-0.94655246,0.3424657534246575
11,size_only,Client 3,140,526.6130126953125,0.9599491,2207724.0,1906213.8,-0.9599491,0.319634703196347
12,size_only,Client 1,148,570.4124084472656,0.9551802,3726353.0,3048818.5,-0.9551802,0.3378995433789954
12,size_only,Client 2,150,546.4924987792969,0.91981083,4265350.0,3573426.5,-0.91981083,0.3424657534246575
12,size_only,Client 3,140,451.85045166015624,0.9447083,2153887.0,1865267.5,-0.9447083,0.319634703196347
13,size_only,Client 1,148,456.9682250976563,0.93897045,3657506.8,2988515.2,-0.93897045,0.3378995433789954
13,size_only,Client 2,150,460.8370422363281,0.8925052,4155546.8,3468924.8,-0.8925052,0.3424657534246575
13,size_only,Client 3,140,336.51171875,0.9155986,2071808.6,1799192.5,-0.9155986,0.319634703196347
14,size_only,Client 1,148,362.0201477050781,0.9041804,3481054.2,2852222.0,-0.9041804,0.3378995433789954
14,size_only,Client 2,150,368.8037414550781,0.8524437,4016551.2,3330234.5,-0.8524437,0.3424657534246575
14,size_only,Client 3,140,278.55995483398436,0.87899745,2070146.5,1777062.0,-0.87899745,0.319634703196347
15,size_only,Client 1,148,266.92433471679686,0.85713184,3322179.5,2718125.0,-0.85713184,0.3378995433789954
15,size_only,Client 2,150,275.4602813720703,0.81862944,3884764.5,3205353.5,-0.81862944,0.3424657534246575
15,size_only,Client 3,140,179.70983276367187,0.8103879,1928621.0,1651183.8,-0.8103879,0.319634703196347
16,size_only,Client 1,148,211.33045349121093,0.796182,3143986.8,2542835.2,-0.796182,0.3378995433789954
16,size_only,Client 2,150,200.6882293701172,0.7541236,3616516.0,2959820.5,-0.7541236,0.3424657534246575
16,size_only,Client 3,140,156.46560974121093,0.72458196,1785358.1,1513849.1,-0.72458196,0.319634703196347
17,size_only,Client 1,148,137.2781723022461,0.7224224,2878673.8,2302782.8,-0.7224224,0.3378995433789954
17,size_only,Client 2,150,133.6740264892578,0.6542458,3312070.0,2618632.0,-0.6542458,0.3424657534246575
17,size_only,Client 3,140,95.96592712402344,0.6204173,1572765.9,1306479.5,-0.60155517,0.319634703196347
18,size_only,Client 1,148,96.45941314697265,0.58702135,2477044.2,1905994.1,-0.5822777,0.3378995433789954
18,size_only,Client 2,150,89.4072479248047,0.5453804,2976232.8,2258332.8,-0.544429,0.3424657534246575
18,size_only,Client 3,140,50.36931037902832,0.5148656,1299468.5,1064690.1,-0.41980678,0.319634703196347
19,size_only,Client 1,148,63.89799118041992,0.49257097,2162001.8,1597214.2,-0.44157586,0.3378995433789954
19,size_only,Client 2,150,56.93710479736328,0.42942062,2580922.0,1851835.1,-0.4012615,0.3424657534246575
19,size_only,Client 3,140,38.149444580078125,0.47865444,999523.06,826479.7,-0.13045166,0.319634703196347
20,size_only,Client 1,148,35.65511131286621,0.40582687,1913074.6,1320563.9,-0.29635295,0.3378995433789954
