round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,0.9999809,3907211.5,2983858.0,-0.9999809,0.35126776,-1.3989348411560059,0.9999083,148,1566.14521484375,0.9999754,150,1602.7912109375,0.99999595,140,1353.9082275390624,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,0.9999157,3906344.0,2983438.8,-0.9999157,0.35118976,-1.39786958694458,0.9997996,148,1471.4344482421875,0.9998409,150,1500.8188232421876,0.9999502,140,1288.8967041015626,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.99973726,3904908.8,2982563.2,-0.99973726,0.35106072,-1.3961079120635986,0.9995785,148,1398.790283203125,0.99956495,150,1403.0432373046874,0.999767,140,1225.1602294921875,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.9992514,3902362.5,2980661.8,-0.9992514,0.3508318,-1.39298415184021,0.9991157,148,1303.43427734375,0.9989108,150,1312.0725830078125,0.9992203,140,1103.9975830078124,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.99856454,3898955.2,2978064.2,-0.99856454,0.3505255,-1.3888070583343506,0.99861515,148,1220.219091796875,0.9974126,150,1253.9268798828125,0.9986838,140,1043.1705444335937,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.99714863,3892975.8,2973085.8,-0.99714863,0.34998792,-1.381485939025879,0.99739003,148,1151.3343139648437,0.9950199,150,1167.5161376953124,0.99736524,140,967.1775512695312,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.9948697,3882566.8,2964757.8,-0.9948697,0.34905213,-1.3687677383422852,0.9950966,148,1028.586767578125,0.99121845,150,1035.937451171875,0.99434376,140,876.739501953125,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.9906864,3863435.0,2949840.5,-0.9906864,0.34733212,-1.3454804420471191,0.99204105,148,948.2555541992188,0.9832765,150,937.2461669921875,0.99057007,140,784.6602416992188,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.98418665,3833021.2,2926184.5,-0.98418665,0.34459785,-1.3086977005004883,0.9869936,148,844.5041625976562,0.97369254,150,870.2473510742187,0.9840175,140,717.9742919921875,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.9763472,3797024.0,2897957.8,-0.9763472,0.3413616,-1.2655377388000488,0.9815705,148,742.6475830078125,0.9623877,150,748.9735107421875,0.9726343,140,621.9796691894531,0.3378995433789954,0.3424657534246575,0.319634703196347
11,size_only,0.0005,20,0.96402013,3743051.8,2855750.0,-0.96402013,0.33650938,-1.2015891075134277,0.96977824,148,644.5782470703125,0.94655246,150,635.6290405273437,0.9599491,140,526.6130126953125,0.3378995433789954,0.3424657534246575,0.319634703196347
12,size_only,0.0005,20,0.9461708,3677819.0,2800686.5,-0.9461708,0.33064482,-1.1255204677581787,0.9551802,148,570.4124084472656,0.91981083,150,546.4924987792969,0.9447083,140,451.85045166015624,0.3378995433789954,0.3424657534246575,0.319634703196347
13,size_only,0.0005,20,0.91668046,3583903.8,2717634.0,-0.91668046,0.32220158,-1.0183537006378174,0.93897045,148,456.9682250976563,0.8925052,150,460.8370422363281,0.9155986,140,336.51171875,0.3378995433789954,0.3424657534246575,0.319634703196347
14,size_only,0.0005,20,0.8832189,3490878.2,2632044.8,-0.8832189,0.31383836,-0.9149349927902222,0.9041804,148,362.0201477050781,0.8524437,150,368.8037414550781,0.87899745,140,278.55995483398436,0.3378995433789954,0.3424657534246575,0.319634703196347
15,size_only,0.0005,20,0.8310463,3327315.0,2492976.0,-0.8310463,0.29913366,-0.7396924495697021,0.85713184,148,266.92433471679686,0.81862944,150,275.4602813720703,0.8103879,140,179.70983276367187,0.3378995433789954,0.3424657534246575,0.319634703196347
16,size_only,0.0005,20,0.75515175,3134053.8,2301951.8,-0.75515175,0.281759,-0.5434674024581909,0.796182,148,211.33045349121093,0.7541236,150,200.6882293701172,0.72458196,140,156.46560974121093,0.3378995433789954,0.3424657534246575,0.319634703196347
17,size_only,0.0005,20,0.65334976,2890617.2,2051753.6,-0.65278465,0.25987348,-0.3130030632019043,0.7224224,148,137.2781723022461,0.6542458,150,133.6740264892578,0.6204173,140,95.96592712402344,0.3378995433789954,0.3424657534246575,0.319634703196347
18,size_only,0.0005,20,0.5394741,2591283.8,1752227.1,-0.50466985,0.23296267,-0.05515086650848389,0.58702135,148,96.45941314697265,0.5453804,150,89.4072479248047,0.5148656,140,50.36931037902832,0.3378995433789954,0.3424657534246575,0.319634703196347
19,size_only,0.0005,20,0.4467279,2302942.8,1476810.0,-0.31627843,0.20704012,0.16660505533218384,0.49257097,148,63.89799118041992,0.42942062,150,56.93710479736328,0.47865444,140,38.149444580078125,0.3378995433789954,0.3424657534246575,0.319634703196347
20,size_only,0.0005,20,0.40579975,2050573.9,1268093.0,-0.15274614,0.18435153,0.3392525911331177,0.40582687,148,35.65511131286621,0.37006322,150,34.37325325012207,0.3648726,140,33.34232864379883,0.3378995433789954,0.3424657534246575,0.319634703196347
