round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,aggregation_weight
1,size_only,Client 1,148,1566.158251953125,0.99990875,3987421.5,3241735.2,-0.99990875,0.3378995433789954
1,size_only,Client 2,150,1602.8050048828125,0.9999754,4608825.5,3894989.5,-0.9999754,0.3424657534246575
1,size_only,Client 3,140,1353.9193359375,0.99999595,2321843.5,1997765.8,-0.99999595,0.319634703196347
2,perf_only,Client 1,148,1471.4498291015625,0.999799,3986765.5,3241250.5,-0.999799,0.3333547939440754
2,perf_only,Client 2,150,1500.835400390625,0.999841,4607628.0,3894196.8,-0.999841,0.3333408036094197
2,perf_only,Client 3,140,1288.911376953125,0.9999502,2321635.0,1997620.5,-0.9999502,0.33330440244650483
3,hybrid,Client 1,148,1398.8338134765625,0.9995779,3985075.5,3240106.0,-0.9995779,0.33562654743729725
3,hybrid,Client 2,150,1403.126806640625,0.9995663,4606476.5,3893078.8,-0.9995663,0.3379115806281566
3,hybrid,Client 3,140,1225.185498046875,0.99977136,2320880.0,1997076.0,-0.99977136,0.32646187193454607
4,fairness_clip,Client 1,148,1303.6239990234376,0.99911237,3982014.5,3237952.0,-0.99911237,0.3365269383589347
4,fairness_clip,Client 2,150,1312.17392578125,0.9989118,4603796.0,3890526.0,-0.9989118,0.33974336363300683
4,fairness_clip,Client 3,140,1103.9897705078124,0.9992308,2318865.0,1995559.5,-0.9992308,0.32372969800805856
5,fairness_clip,Client 1,148,1220.315478515625,0.9986126,3978447.2,3235526.2,-0.9986126,0.33649250456308344
5,fairness_clip,Client 2,150,1254.0689453125,0.997416,4597418.0,3884421.0,-0.997416,0.3398087731913871
5,fairness_clip,Client 3,140,1043.2489501953125,0.99869645,2316933.0,1994120.0,-0.99869645,0.3236987222455294
6,hybrid,Client 1,148,1151.4535400390625,0.99738765,3970117.0,3229711.5,-0.99738765,0.33548466295647694
6,hybrid,Client 2,150,1167.616162109375,0.995035,4588711.0,3875459.0,-0.995035,0.3381615217093108
6,hybrid,Client 3,140,967.11357421875,0.99737823,2312363.8,1990638.9,-0.99737823,0.32635381533421215
7,fairness_clip,Client 1,148,1028.6107543945313,0.99510676,3956195.2,3219372.0,-0.99510676,0.3363759419326802
7,fairness_clip,Client 2,150,1036.1757080078125,0.99121755,4571003.5,3859256.5,-0.99121755,0.3399640515943469
7,fairness_clip,Client 3,140,876.8651977539063,0.99441504,2302062.8,1982865.5,-0.99441504,0.32366000647297294
8,hybrid,Client 1,148,947.8537963867187,0.99209636,3937083.5,3205621.2,-0.99209636,0.33503769441402487
8,hybrid,Client 2,150,937.36552734375,0.9832648,4538683.0,3827886.0,-0.9832648,0.3388125787203614
8,hybrid,Client 3,140,784.6148681640625,0.9906383,2288947.8,1972863.5,-0.9906383,0.3261497268656137
9,hybrid,Client 1,148,844.4960693359375,0.98708844,3902622.8,3181753.2,-0.98708844,0.3347046514193218
9,hybrid,Client 2,150,870.5059814453125,0.97372997,4490556.5,3786171.0,-0.97372997,0.3392617235716927
9,hybrid,Client 3,140,717.8395385742188,0.9843484,2271159.5,1958154.0,-0.9843484,0.3260336250089855
10,hybrid,Client 1,148,742.38115234375,0.9817007,3865518.0,3155960.5,-0.9817007,0.3339928038231046
10,hybrid,Client 2,150,748.9893798828125,0.96233,4432244.5,3736028.8,-0.96233,0.3395980556356309
10,hybrid,Client 3,140,621.355859375,0.9725741,2242263.0,1934358.9,-0.9725741,0.3264091405412645
11,hybrid,Client 1,148,644.1022094726562,0.9697591,3800912.2,3106330.0,-0.9697591,0.333719034112577
11,hybrid,Client 2,150,635.3838623046875,0.94659704,4375330.0,3678915.0,-0.94659704,0.34003383635562545
11,hybrid,Client 3,140,525.1581787109375,0.96008354,2208144.8,1906566.6,-0.96008354,0.3262471295317975
12,hybrid,Client 1,148,569.3747314453125,0.95514756,3725567.8,3048438.0,-0.95514756,0.33297967630402714
12,hybrid,Client 2,150,546.1790832519531,0.92061806,4269128.0,3577011.8,-0.92061806,0.34141502390891465
12,hybrid,Client 3,140,450.8413879394531,0.945019,2154631.8,1865930.9,-0.945019,0.3256052997870582
13,hybrid,Client 1,148,456.8574279785156,0.93908954,3658449.8,2989103.0,-0.93908954,0.33146417833492503
13,hybrid,Client 2,150,459.92884521484376,0.89242345,4154971.5,3468729.2,-0.89242345,0.3422453822424455
13,hybrid,Client 3,140,334.6923461914063,0.91675824,2076455.6,1802761.1,-0.91675824,0.3262904394226294
14,hybrid,Client 1,148,362.088525390625,0.90387774,3479900.0,2851348.8,-0.90387774,0.3310309077979888
14,hybrid,Client 2,150,365.92681884765625,0.8565217,4025812.8,3343463.2,-0.8565217,0.34227526462270025
14,hybrid,Client 3,140,278.1178863525391,0.877904,2068211.0,1774724.2,-0.877904,0.326693827579311
15,hybrid,Client 1,148,266.2651763916016,0.85712004,3322707.5,2718709.5,-0.85712004,0.3300524512112233
15,hybrid,Client 2,150,275.50792541503904,0.8191562,3885373.0,3206476.8,-0.8191562,0.33980185318684836
15,hybrid,Client 3,140,180.13686828613282,0.81069493,1930660.4,1652205.4,-0.81069493,0.3301456956019283
16,hybrid,Client 1,148,210.7913818359375,0.79511636,3142999.8,2540033.2,-0.79511636,0.3276714624579624
16,hybrid,Client 2,150,200.49753112792968,0.7538222,3610953.5,2955184.5,-0.7538222,0.3386492832089315
16,hybrid,Client 3,140,155.8271224975586,0.7258761,1787055.5,1515583.2,-0.7258761,0.33367925433310597
17,hybrid,Client 1,148,137.43177337646483,0.7213916,2876049.0,2299939.2,-0.7213916,0.3220433432085353
17,hybrid,Client 2,150,133.8301742553711,0.65345246,3311149.5,2616396.5,-0.65345246,0.3402434946561198
17,hybrid,Client 3,140,96.30819854736328,0.62081504,1574557.2,1309330.0,-0.60077715,0.33771316213534486
18,hybrid,Client 1,148,97.07836151123047,0.58711416,2481141.5,1908299.0,-0.5826403,0.32435158679979836
18,hybrid,Client 2,150,89.85966644287109,0.542895,2966129.2,2250205.0,-0.5419761,0.33929224279524284
18,hybrid,Client 3,140,50.363351821899414,0.5168188,1298567.0,1066105.0,-0.42120144,0.3363561704049587
19,hybrid,Client 1,148,64.28430938720703,0.4892148,2148370.0,1584028.6,-0.4404277,0.3272199804472577
19,hybrid,Client 2,150,56.882955932617186,0.42949867,2575412.2,1847837.0,-0.39868322,0.35150842284243355
19,hybrid,Client 3,140,37.92612495422363,0.479567,997166.94,824541.25,-0.12770015,0.32127159671030875
20,hybrid,Client 1,148,35.810554885864256,0.40440843,1910193.1,1315483.9,-0.29598847,0.32438964218091526
20,hybrid,Client 2,150,34.49636001586914,0.36938003,2274445.8,1589591.4,-0.24759623,0.3414131081199142
20,hybrid,Client 3,140,33.33998603820801,0.36048406,800585.94,607974.75,-0.020108966,0.33419724969917053
