round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,0.9999809,3907211.8,2983858.0,-0.9999809,0.35126776,-1.398935079574585,0.99990875,148,1566.158251953125,0.9999754,150,1602.8050048828125,0.99999595,140,1353.9193359375,0.3378995433789954,0.3424657534246575,0.319634703196347
2,perf_only,0.0005,20,0.99991506,3906343.0,2983437.2,-0.99991506,0.35118967,-1.3978683948516846,0.999799,148,1471.4498291015625,0.999841,150,1500.835400390625,0.9999502,140,1288.911376953125,0.3333547939440754,0.3333408036094197,0.33330440244650483
3,hybrid,0.0005,20,0.99973744,3904920.0,2982567.5,-0.99973744,0.35106173,-1.3961215019226074,0.9995779,148,1398.8338134765625,0.9995663,150,1403.126806640625,0.99977136,140,1225.185498046875,0.33562654743729725,0.3379115806281566,0.32646187193454607
4,fairness_clip,0.0005,20,0.99925244,3902365.5,2980666.5,-0.99925244,0.35083207,-1.3929877281188965,0.99911237,148,1303.6239990234376,0.9989118,150,1312.17392578125,0.9992308,140,1103.9897705078124,0.3365269383589347,0.33974336363300683,0.32372969800805856
5,fairness_clip,0.0005,20,0.9985662,3898957.8,2978070.2,-0.9985662,0.3505257,-1.388810396194458,0.9986126,148,1220.315478515625,0.997416,150,1254.0689453125,0.99869645,140,1043.2489501953125,0.33649250456308344,0.3398087731913871,0.3236987222455294
6,hybrid,0.0005,20,0.9971419,3892964.0,2973074.0,-0.9971419,0.34998685,-1.3814716339111328,0.99738765,148,1151.4535400390625,0.995035,150,1167.616162109375,0.99737823,140,967.11357421875,0.33548466295647694,0.3381615217093108,0.32635381533421215
7,fairness_clip,0.0005,20,0.9948735,3882579.8,2964778.5,-0.9948735,0.3490533,-1.368783712387085,0.99510676,148,1028.6107543945313,0.99121755,150,1036.1757080078125,0.99441504,140,876.8651977539063,0.3363759419326802,0.3399640515943469,0.32366000647297294
8,hybrid,0.0005,20,0.99069583,3863569.2,2949922.8,-0.99069583,0.3473442,-1.3456435203552246,0.99209636,148,947.8537963867187,0.9832648,150,937.36552734375,0.9906383,140,784.6148681640625,0.33503769441402487,0.3388125787203614,0.3261497268656137
9,hybrid,0.0005,20,0.98422736,3833344.0,2926435.5,-0.98422736,0.34462687,-1.309086561203003,0.98708844,148,844.4960693359375,0.97372997,150,870.5059814453125,0.9843484,140,717.8395385742188,0.3347046514193218,0.3392617235716927,0.3260336250089855
10,hybrid,0.0005,20,0.97635806,3797322.8,2898175.5,-0.97635806,0.34138846,-1.2658944129943848,0.9817007,148,742.38115234375,0.96233,150,748.9893798828125,0.9725741,140,621.355859375,0.3339928038231046,0.3395980556356309,0.3264091405412645
11,hybrid,0.0005,20,0.96402615,3744251.8,2856403.0,-0.96402615,0.33661726,-1.2030010223388672,0.9697591,148,644.1022094726562,0.94659704,150,635.3838623046875,0.96008354,140,525.1581787109375,0.333719034112577,0.34003383635562545,0.3262471295317975
12,hybrid,0.0005,20,0.94584465,3678113.0,2800660.2,-0.94584465,0.33067122,-1.1258602142333984,0.95514756,148,569.3747314453125,0.92061806,150,546.1790832519531,0.945019,140,450.8413879394531,0.33297967630402714,0.34141502390891465,0.3256052997870582
13,hybrid,0.0005,20,0.9162116,3584142.0,2717568.0,-0.9162116,0.322223,-1.0186221599578857,0.93908954,148,456.8574279785156,0.89242345,150,459.92884521484376,0.91675824,140,334.6923461914063,0.33146417833492503,0.3422453822424455,0.3262904394226294
14,hybrid,0.0005,20,0.88246393,3492823.5,2632482.0,-0.88246393,0.31401327,-0.9170697927474976,0.90387774,148,362.088525390625,0.8565217,150,365.92681884765625,0.877904,140,278.1178863525391,0.3310309077979888,0.34227526462270025,0.326693827579311
15,hybrid,0.0005,20,0.8297434,3323234.0,2489315.8,-0.8297434,0.29876676,-0.7354274988174438,0.85712004,148,266.2651763916016,0.8191562,150,275.50792541503904,0.81069493,140,180.13686828613282,0.3300524512112233,0.33980185318684836,0.3301456956019283
16,hybrid,0.0005,20,0.7538836,3130315.5,2298079.2,-0.7538836,0.2814229,-0.539787769317627,0.79511636,148,210.7913818359375,0.7538222,150,200.49753112792968,0.7258761,140,155.8271224975586,0.3276714624579624,0.3386492832089315,0.33367925433310597
17,hybrid,0.0005,20,0.65016437,2883485.8,2043397.0,-0.6493069,0.2592323,-0.30653250217437744,0.7213916,148,137.43177337646483,0.65345246,150,133.8301742553711,0.62081504,140,96.30819854736328,0.3220433432085353,0.3402434946561198,0.33771316213534486
18,hybrid,0.0005,20,0.53455365,2587273.8,1742255.6,-0.5003218,0.23260215,-0.0518876314163208,0.58711416,148,97.07836151123047,0.542895,150,89.85966644287109,0.5168188,140,50.363351821899414,0.32435158679979836,0.33929224279524284,0.3363561704049587
19,hybrid,0.0005,20,0.4438585,2294493.0,1467912.8,-0.31226373,0.20628045,0.17270946502685547,0.4892148,148,64.28430938720703,0.42949867,150,56.882955932617186,0.479567,140,37.92612495422363,0.3272199804472577,0.35150842284243355,0.32127159671030875
20,hybrid,0.0005,20,0.40589976,2050509.1,1265257.9,-0.14651124,0.18434572,0.33929431438446045,0.40440843,148,35.810554885864256,0.36938003,150,34.49636001586914,0.36048406,140,33.33998603820801,0.32438964218091526,0.3414131081199142,0.33419724969917053
