test_mape,test_rmse,test_mae,test_r2,test_mpe,seed,scenario,success,test_mape_corrected,test_rmse_corrected,test_mae_corrected,test_mpe_corrected,test_r2_corrected
0.4446,1436501.62,1026088.56,0.5144,0.0625,42,B,True,,,,,
0.5064,1612047.88,1118802.0,0.3885,-0.008100000000000001,123,B,True,,,,,
0.5616,1678045.25,1203470.5,0.3374,-0.026000000000000002,456,B,True,,,,,
0.5152,1482134.12,1079485.25,0.4831,0.0727,789,B,True,,,,,
0.5542,1555598.5,1096808.62,0.4306,0.0999,2024,B,True,,,,,
0.4201,1699808.75,1195271.5,0.3201,-0.1609,42,C,True,0.42090000000000005,1544123.12,1071628.75,-0.013999999999999999,0.4389
0.5065999999999999,1612435.12,1120110.5,0.3882,-0.009399999999999999,123,C,True,0.5127,1554845.12,1084023.25,0.044500000000000005,0.4311
0.5576,1678119.0,1202705.38,0.3373,-0.025699999999999997,456,C,True,0.5683,1565709.25,1107515.25,0.08560000000000001,0.4231
0.5452,1673390.12,1231216.62,0.3411,-0.07440000000000001,789,C,True,0.5761999999999999,1518840.5,1120890.75,0.1039,0.4572
0.5529,1925105.88,1463514.12,0.1279,-0.3152,2024,C,True,0.5247999999999999,1543439.12,1121960.38,0.0013,0.4394
