test_mape,test_rmse,test_mae,test_mpe,test_r2,id,name,seed,success,elapsed_seconds,test_mape_corrected,test_rmse_corrected,test_mae_corrected,test_mpe_corrected,test_r2_corrected,description
0.4207,1700182.5,1198032.62,-0.16519999999999999,0.3198,ab-1,传统联邦学习（FedAvg）,42,True,47.11937856674194,,,,,,
0.5064,1612047.88,1118802.0,-0.008100000000000001,0.3885,ab-1,传统联邦学习（FedAvg）,123,True,36.26305174827576,,,,,,
0.5616,1678045.25,1203470.5,-0.026000000000000002,0.3374,ab-1,传统联邦学习（FedAvg）,456,True,33.473679065704346,,,,,,
0.5414,1665254.0,1226601.5,-0.0762,0.3475,ab-1,传统联邦学习（FedAvg）,789,True,34.25772476196289,,,,,,
0.5514,1927505.62,1466428.0,-0.32689999999999997,0.1257,ab-1,传统联邦学习（FedAvg）,2024,True,32.85213255882263,,,,,,
0.42060000000000003,1700433.88,1198376.75,-0.1656,0.3196,ab-2,传统联邦学习（FedAvg+FedProx）,42,True,43.658448219299316,,,,,,
0.5063,1612330.25,1119006.62,-0.008199999999999999,0.3883,ab-2,传统联邦学习（FedAvg+FedProx）,123,True,43.054184913635254,,,,,,
0.5611,1677242.88,1202713.12,-0.026099999999999998,0.338,ab-2,传统联邦学习（FedAvg+FedProx）,456,True,44.897833585739136,,,,,,
0.5415,1665256.0,1226685.25,-0.0761,0.3475,ab-2,传统联邦学习（FedAvg+FedProx）,789,True,44.12575173377991,,,,,,
0.5515,1927509.62,1466459.88,-0.3268,0.1257,ab-2,传统联邦学习（FedAvg+FedProx）,2024,True,42.78248596191406,,,,,,
0.4153,1697736.25,1187615.88,-0.1548,0.3218,ab-3,多智能体协同联邦学习（固定性能加权）,42,True,40.8794367313385,,,,,,
0.5081,1616989.62,1124282.62,-0.0096,0.3847,ab-3,多智能体协同联邦学习（固定性能加权）,123,True,46.91647791862488,,,,,,
0.5427000000000001,1666054.38,1191998.62,-0.0245,0.3468,ab-3,多智能体协同联邦学习（固定性能加权）,456,True,43.29571223258972,,,,,,
0.5465,1680766.25,1232150.0,-0.07490000000000001,0.3352,ab-3,多智能体协同联邦学习（固定性能加权）,789,True,41.078707456588745,,,,,,
0.5644,1919836.62,1464296.88,-0.2888,0.1327,ab-3,多智能体协同联邦学习（固定性能加权）,2024,True,39.26375412940979,,,,,,
0.41950000000000004,1699977.0,1193595.5,-0.1583,0.32,ab-4,多智能体协同联邦学习（固定混合加权）,42,True,40.58959746360779,,,,,,
0.507,1614110.12,1121768.88,-0.0095,0.3869,ab-4,多智能体协同联邦学习（固定混合加权）,123,True,41.48917245864868,,,,,,
0.5545,1676009.0,1202005.12,-0.0256,0.339,ab-4,多智能体协同联邦学习（固定混合加权）,456,True,39.037083864212036,,,,,,
0.5468999999999999,1676092.5,1231954.25,-0.07339999999999999,0.3389,ab-4,多智能体协同联邦学习（固定混合加权）,789,True,39.27727031707764,,,,,,
0.5564,1923535.5,1464260.62,-0.3078,0.1293,ab-4,多智能体协同联邦学习（固定混合加权）,2024,True,40.44675850868225,,,,,,
0.435,1732693.62,1230766.25,-0.1894,0.2935,ab-5,多智能体协同联邦学习（LLM动态决策）,42,True,150.87039852142334,0.4328,1540926.5,1087136.75,-0.0254,0.4413,
0.498,1563950.38,1084871.0,0.0167,0.4244,ab-5,多智能体协同联邦学习（LLM动态决策）,123,True,153.6459412574768,0.503,1540809.12,1068045.0,0.042300000000000004,0.4413,
0.5456,1815059.25,1342078.12,-0.16269999999999998,0.2248,ab-5,多智能体协同联邦学习（LLM动态决策）,456,True,156.9620020389557,0.5355,1521837.88,1054971.62,0.0885,0.455,
0.5347999999999999,1618879.5,1196527.75,-0.10189999999999999,0.3833,ab-5,多智能体协同联邦学习（LLM动态决策）,789,True,157.2316539287567,0.5664,1468560.88,1102885.12,0.1005,0.4925,
0.5375,1905091.38,1401928.38,-0.3019,0.146,ab-5,多智能体协同联邦学习（LLM动态决策）,2024,True,150.55957674980164,0.5349,1605225.88,1166890.0,-0.0123,0.3937,
0.435,1732693.62,1230766.25,-0.1894,0.2935,ab-6,多智能体协同联邦学习（LLM动态决策+偏差校正）,42,True,150.87039852142334,0.4328,1540926.5,1087136.75,-0.0254,0.4413,Derived bias-corrected metrics from ab-5
0.498,1563950.38,1084871.0,0.0167,0.4244,ab-6,多智能体协同联邦学习（LLM动态决策+偏差校正）,123,True,153.6459412574768,0.503,1540809.12,1068045.0,0.042300000000000004,0.4413,Derived bias-corrected metrics from ab-5
0.5456,1815059.25,1342078.12,-0.16269999999999998,0.2248,ab-6,多智能体协同联邦学习（LLM动态决策+偏差校正）,456,True,156.9620020389557,0.5355,1521837.88,1054971.62,0.0885,0.455,Derived bias-corrected metrics from ab-5
0.5347999999999999,1618879.5,1196527.75,-0.10189999999999999,0.3833,ab-6,多智能体协同联邦学习（LLM动态决策+偏差校正）,789,True,157.2316539287567,0.5664,1468560.88,1102885.12,0.1005,0.4925,Derived bias-corrected metrics from ab-5
0.5375,1905091.38,1401928.38,-0.3019,0.146,ab-6,多智能体协同联邦学习（LLM动态决策+偏差校正）,2024,True,150.55957674980164,0.5349,1605225.88,1166890.0,-0.0123,0.3937,Derived bias-corrected metrics from ab-5
