server_lr,update_clip_norm,max_coordinate_step_ratio,seed,success,elapsed_seconds,log_file,result_file,scenario,scenario_key,num_rounds,best_round,best_val_mape,server_optimizer,server_beta1,server_beta2,server_tau,server_lr_scale,adaptive_mode,candidate_budget,weight_grid_step,min_client_weight,max_client_weight,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,use_llm,llm_provider,llm_temperature,test_mape,test_rmse,test_mae,test_mpe,test_nrmse,test_r2,test_mape_corrected,test_rmse_corrected,test_mae_corrected,test_mpe_corrected,test_r2_corrected,bias_correction_value
0.2,,1.0,777,True,112.06501340866089,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p2.log,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p2_results.csv,自适应联邦学习（FedYogi-TR）,FEDYOGI,20,17,0.4911609,fedyogi,0.9,0.99,0.001,1.0,fixed_strategy,30,0.05,0.05,0.8,0.002,0.002,0.4,False,deepseek,0.8,0.49565277,1763106.9,1287278.9,-0.28223014,0.19778173,0.268518328666687,0.52627283,1690918.6,1231421.6,-0.06970976,0.3271912932395935,-0.22844525
0.2,2.0,1.0,777,True,112.11214542388916,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p2_clip_2.log,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p2_clip_2_results.csv,自适应联邦学习（FedYogi-TR）,FEDYOGI,20,20,0.7562442,fedyogi,0.9,0.99,0.001,1.0,fixed_strategy,30,0.05,0.05,0.8,0.002,0.002,0.4,False,deepseek,0.8,0.8270985,2747714.0,2260448.5,-0.7484736,0.30823296,-0.776598334312439,0.89969355,2173768.8,1658324.8,0.03187871,-0.1119182109832763,-0.7562442
0.2,,0.75,777,True,112.14903903007507,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p2_trust_0p75.log,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p2_trust_0p75_results.csv,自适应联邦学习（FedYogi-TR）,FEDYOGI,20,20,0.6893472,fedyogi,0.9,0.99,0.001,1.0,fixed_strategy,30,0.05,0.05,0.8,0.002,0.002,0.4,False,deepseek,0.8,0.7569197,2620076.5,2117015.8,-0.6879831,0.29391482,-0.6153779029846191,0.7016402,1807884.5,1373639.5,0.0020682944,0.2308915853500366,-0.6886271
0.2,2.0,0.75,777,True,112.80585098266602,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p2_clip_2_trust_0p75.log,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p2_clip_2_trust_0p75_results.csv,自适应联邦学习（FedYogi-TR）,FEDYOGI,20,20,0.9010957,fedyogi,0.9,0.99,0.001,1.0,fixed_strategy,30,0.05,0.05,0.8,0.002,0.002,0.4,False,deepseek,0.8,0.9190165,3241025.0,2668838.8,-0.90338635,0.36357158,-1.4717864990234375,0.9497141,2203963.2,1704827.8,-0.023160666,-0.1430227756500244,-0.9010957
0.3,,1.0,777,True,96.10287022590637,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p3.log,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p3_results.csv,自适应联邦学习（FedYogi-TR）,FEDYOGI,20,20,0.36241484,fedyogi,0.9,0.99,0.001,1.0,fixed_strategy,30,0.05,0.05,0.8,0.002,0.002,0.4,False,deepseek,0.8,0.4546385,1579434.2,1111166.0,0.0020629994,0.17717771,0.4129848480224609,0.45425045,1580494.9,1111917.9,0.0003427052,0.4121962785720825,0.0017197672
0.3,2.0,1.0,777,True,95.54837775230408,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p3_clip_2.log,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p3_clip_2_results.csv,自适应联邦学习（FedYogi-TR）,FEDYOGI,20,20,0.933155,fedyogi,0.9,0.99,0.001,1.0,fixed_strategy,30,0.05,0.05,0.8,0.002,0.002,0.4,False,deepseek,0.8,0.9371604,3353937.8,2756139.8,-0.9371604,0.3762379,-1.6470136642456057,0.94119763,2276908.8,1746440.4,-0.059919827,-0.2199370861053466,-0.933155
0.3,,0.75,777,True,96.67939305305481,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p3_trust_0p75.log,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p3_trust_0p75_results.csv,自适应联邦学习（FedYogi-TR）,FEDYOGI,20,20,0.7634477,fedyogi,0.9,0.99,0.001,1.0,fixed_strategy,30,0.05,0.05,0.8,0.002,0.002,0.4,False,deepseek,0.8,0.80868345,2835972.8,2310642.5,-0.7593555,0.31813365,-0.892562747001648,0.70444536,1829288.6,1381367.5,0.017299226,0.2125723361968994,-0.7634477
0.3,2.0,0.75,777,True,96.7494866847992,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p3_clip_2_trust_0p75.log,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p3_clip_2_trust_0p75_results.csv,自适应联邦学习（FedYogi-TR）,FEDYOGI,20,20,0.9727098,fedyogi,0.9,0.99,0.001,1.0,fixed_strategy,30,0.05,0.05,0.8,0.002,0.002,0.4,False,deepseek,0.8,0.9762961,3492668.5,2866259.2,-0.9762961,0.39180043,-1.8705224990844729,0.92450607,2580731.2,1958986.2,-0.1314163,-0.5672264099121094,-0.9727098
0.4,,1.0,777,True,102.0588014125824,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p4.log,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p4_results.csv,自适应联邦学习（FedYogi-TR）,FEDYOGI,20,20,0.3372348,fedyogi,0.9,0.99,0.001,1.0,fixed_strategy,30,0.05,0.05,0.8,0.002,0.002,0.4,False,deepseek,0.8,0.4656743,1652132.5,1179579.9,-0.06043051,0.18533285,0.3577029705047607,0.47778538,1575892.0,1125042.2,0.021519266,0.4156149625778198,-0.08022342
0.4,,0.75,777,True,102.5609438419342,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p4_trust_0p75.log,C:\Users\23079\Desktop\科研\federate_easy - 重新搞点图片\results\adaptive_pilot\adaptive_pilot_fedyogi_lr_0p4_trust_0p75_results.csv,自适应联邦学习（FedYogi-TR）,FEDYOGI,20,20,0.7668864,fedyogi,0.9,0.99,0.001,1.0,fixed_strategy,30,0.05,0.05,0.8,0.002,0.002,0.4,False,deepseek,0.8,0.8117903,2844156.8,2318657.8,-0.76254344,0.3190517,-0.9035016298294068,0.7102428,1837190.2,1390269.8,0.018630305,0.2057551145553589,-0.7668864
