scenario,round,strategy,lr,local_epochs,test_mape,test_rmse,test_mae,test_mpe,test_nrmse,test_r2,val_mape,val_rmse,val_mae,val_r2,seed
B_FedAvg,1,size_only,0.0005,20,0.9999942,3595523.5,2945890.0,-0.9999942,0.4033385,-2.042078971862793,0.99999744,3907379.0,2983937.5,-1.3991403579711914,20
B_FedAvg,2,size_only,0.0005,20,0.9999746,3595380.2,2945797.5,-0.9999746,0.40332243,-2.0418362617492676,0.9999863,3907252.5,2983873.8,-1.3989851474761963,20
B_FedAvg,3,size_only,0.0005,20,0.9999262,3595067.8,2945578.5,-0.9999262,0.40328738,-2.0413076877593994,0.99994457,3906873.0,2983651.8,-1.3985192775726318,20
B_FedAvg,4,size_only,0.0005,20,0.99979335,3594404.5,2945054.5,-0.99979335,0.40321296,-2.0401852130889893,0.99980557,3905972.8,2983039.8,-1.397413969039917,20
B_FedAvg,5,size_only,0.0005,20,0.9995225,3592854.0,2943935.0,-0.9995225,0.40303904,-2.0375633239746094,0.9994996,3904351.0,2981818.5,-1.3954236507415771,20
B_FedAvg,6,size_only,0.0005,20,0.99906236,3590040.0,2941964.5,-0.99906236,0.40272337,-2.032806634902954,0.99896955,3901764.8,2979776.8,-1.3922510147094727,20
B_FedAvg,7,size_only,0.0005,20,0.9980992,3584860.8,2938193.0,-0.9980992,0.40214238,-2.0240626335144043,0.9976781,3896462.0,2975319.8,-1.3857529163360596,20
B_FedAvg,8,size_only,0.0005,20,0.9966485,3577083.0,2932489.8,-0.9966485,0.40126988,-2.0109546184539795,0.9959283,3888341.2,2968664.2,-1.3758189678192139,20
B_FedAvg,9,size_only,0.0005,20,0.9938878,3564091.8,2922591.0,-0.9938878,0.39981255,-1.989123821258545,0.9927456,3873556.0,2957087.0,-1.3577854633331299,20
B_FedAvg,10,size_only,0.0005,20,0.9892698,3546911.5,2908899.8,-0.9892698,0.3978853,-1.960376262664795,0.9880896,3853034.8,2940765.2,-1.332869529724121,20
B_FedAvg,11,size_only,0.0005,20,0.9815779,3519568.0,2886488.0,-0.9815779,0.39481795,-1.9149084091186523,0.9793091,3820268.0,2913107.8,-1.2933602333068848,20
B_FedAvg,12,size_only,0.0005,20,0.9663512,3470876.2,2846705.2,-0.9663512,0.3893558,-1.834813117980957,0.9661382,3769266.0,2870881.2,-1.232534408569336,20
B_FedAvg,13,size_only,0.0005,20,0.94697875,3403607.8,2792182.5,-0.94697875,0.38180977,-1.7259957790374756,0.9471834,3703360.5,2813405.5,-1.1551451683044434,20
B_FedAvg,14,size_only,0.0005,20,0.9283939,3319413.2,2722805.2,-0.9137374,0.372365,-1.5927989482879639,0.91831595,3627719.8,2737898.2,-1.068007230758667,20
B_FedAvg,15,size_only,0.0005,20,0.9078708,3190815.0,2617140.8,-0.8643946,0.35793912,-1.3957936763763428,0.8767293,3505660.8,2623356.8,-0.9311872720718384,20
B_FedAvg,16,size_only,0.0005,20,0.8677963,3037694.5,2475234.5,-0.7919161,0.34076238,-1.171372890472412,0.8284811,3373643.8,2488932.5,-0.788475751876831,20
B_FedAvg,17,size_only,0.0005,20,0.81032395,2813643.0,2267860.0,-0.6965714,0.31562874,-0.8628768920898438,0.74652267,3155456.5,2265007.2,-0.5646206140518188,20
B_FedAvg,18,size_only,0.0005,20,0.7501631,2558945.5,2042417.4,-0.59406924,0.28705728,-0.5408780574798584,0.6601492,2926065.0,2029831.5,-0.34540343284606934,20
B_FedAvg,19,size_only,0.0005,20,0.683927,2246916.0,1763046.8,-0.46465415,0.25205445,-0.1880093812942505,0.5568279,2635490.2,1730815.0,-0.09145903587341309,20
B_FedAvg,20,size_only,0.0005,20,0.6043309,1993857.5,1509748.4,-0.3162429,0.22366686,0.06452018022537231,0.47741458,2420454.5,1499607.9,0.07938408851623535,20
B_FedAvg,21,size_only,0.0005,20,0.5409991,1735191.0,1280470.4,-0.15863924,0.19465019,0.2914985418319702,0.42303804,2171750.5,1326896.4,0.2588527202606201,20
B_FedAvg,22,size_only,0.0005,20,0.5354959,1671159.6,1236973.9,-0.08014468,0.18746728,0.34282344579696655,0.40513054,2046376.5,1260467.6,0.34195488691329956,20
B_FedAvg,23,size_only,0.0005,20,0.51886046,1533100.8,1100813.9,0.060081184,0.17198011,0.4469205141067505,0.40062293,1897159.5,1162271.6,0.43442225456237793,20
B_FedAvg,24,size_only,0.0005,20,0.5622118,1461583.1,1083965.2,0.16440399,0.16395742,0.4973181486129761,0.4188139,1839660.8,1126307.1,0.4681856036186218,20
B_FedAvg,25,size_only,0.0005,20,0.53712535,1460360.6,1058664.6,0.15060993,0.16382028,0.49815869331359863,0.41538042,1866691.0,1137404.2,0.45244282484054565,20
B_FedAvg,26,size_only,0.0005,20,0.5756944,1447564.2,1059683.4,0.21983778,0.16238481,0.5069149136543274,0.42062944,1846865.5,1145514.1,0.46401190757751465,20
B_FedAvg,27,size_only,0.0005,20,0.58386326,1470876.9,1100248.1,0.20467263,0.16499996,0.4909050464630127,0.42767978,1884885.9,1166987.9,0.44171661138534546,20
B_FedAvg,28,size_only,0.0005,20,0.5525572,1452639.4,1071489.5,0.1874509,0.16295412,0.5034513175487518,0.42771447,1847953.2,1145871.2,0.4633803963661194,20
B_FedAvg,29,size_only,0.0005,20,0.5695556,1457092.0,1049853.9,0.22871672,0.16345361,0.5004026293754578,0.46062323,1885134.8,1181972.2,0.44156914949417114,20
B_FedAvg,30,size_only,0.0005,20,0.5725098,1476074.4,1067839.5,0.21413738,0.16558301,0.4873007535934448,0.43632132,1931830.2,1188839.6,0.41356146335601807,20
B_FedAvg,31,size_only,0.0005,20,0.60020703,1459892.0,1064238.6,0.25313902,0.16376771,0.4984806776046753,0.46212965,1890056.6,1192799.5,0.43864935636520386,20
B_FedAvg,32,size_only,0.0005,20,0.5884438,1462510.9,1063098.2,0.23365705,0.16406149,0.49667978286743164,0.4732348,1901324.8,1210984.1,0.43193602561950684,20
B_FedAvg,33,size_only,0.0005,20,0.5704079,1476222.1,1092734.2,0.1754929,0.16559958,0.4871981143951416,0.46522087,1883846.6,1212116.6,0.44233202934265137,20
C_MAS_FL_LLM,1,size_only,0.0005,20,0.9999942,3595523.5,2945890.0,-0.9999942,0.4033385,-2.042078971862793,0.99999744,3907379.0,2983937.5,-1.3991403579711914,20
C_MAS_FL_LLM,2,size_only,0.0005,20,0.99997133,3595336.5,2945774.8,-0.99997133,0.4033175,-2.041762351989746,0.9999852,3907247.5,2983869.2,-1.3989791870117188,20
C_MAS_FL_LLM,3,perf_only,0.0005,20,0.9999297,3595090.0,2945592.8,-0.9999297,0.40328985,-2.0413453578948975,0.99994624,3906921.8,2983672.5,-1.3985788822174072,20
C_MAS_FL_LLM,4,perf_only,0.0005,20,0.99980307,3594385.2,2945067.8,-0.99980307,0.40321082,-2.0401530265808105,0.999818,3906079.2,2983101.2,-1.3975446224212646,20
C_MAS_FL_LLM,5,perf_only,0.0005,20,0.99953854,3592862.2,2943965.0,-0.99953854,0.40303996,-2.037576913833618,0.9995492,3904602.0,2982007.2,-1.3957314491271973,20
C_MAS_FL_LLM,6,perf_only,0.0005,20,0.9990363,3589878.0,2941854.2,-0.9990363,0.4027052,-2.0325334072113037,0.9990285,3902010.8,2979978.0,-1.3925526142120361,20
C_MAS_FL_LLM,7,perf_only,0.0005,20,0.9981696,3584968.8,2938321.2,-0.9981696,0.40215448,-2.024244785308838,0.99800164,3897201.5,2976111.2,-1.3866586685180664,20
C_MAS_FL_LLM,8,perf_only,0.0005,20,0.9968508,3578395.8,2933392.5,-0.9968508,0.40141714,-2.01316499710083,0.9961333,3889079.2,2969520.2,-1.376720905303955,20
C_MAS_FL_LLM,9,perf_only,0.0005,20,0.99452186,3568024.8,2925363.2,-0.99452186,0.40025374,-1.9957246780395508,0.9932616,3876390.0,2959359.5,-1.361236572265625,20
C_MAS_FL_LLM,10,perf_only,0.0005,20,0.99003404,3548607.0,2910213.8,-0.99003404,0.3980755,-1.9632070064544678,0.9880961,3853925.0,2941531.0,-1.3339476585388184,20
