round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,aggregation_weight
1,size_only,Client 1,148,1592.2831787109376,0.99998534,3987787.8,3242024.5,-0.99998534,0.3378995433789954
1,size_only,Client 2,150,1628.647900390625,0.99999136,4608958.5,3895077.0,-0.99999136,0.3424657534246575
1,size_only,Client 3,140,1392.4431884765625,0.9999985,2321858.8,1997774.5,-0.9999985,0.319634703196347
2,size_only,Client 1,148,1539.899658203125,0.9999651,3987550.5,3241896.8,-0.9999651,0.3378995433789954
2,size_only,Client 2,150,1572.8317626953126,0.9999747,4608826.0,3894983.2,-0.9999747,0.3424657534246575
2,size_only,Client 3,140,1334.8492919921875,0.9999873,2321805.0,1997738.2,-0.9999873,0.319634703196347
3,size_only,Client 1,148,1458.072412109375,0.9998844,3987100.5,3241542.0,-0.9998844,0.3378995433789954
3,size_only,Client 2,150,1493.97880859375,0.99991727,4608582.0,3894753.2,-0.99991727,0.3424657534246575
3,size_only,Client 3,140,1247.215576171875,0.99992615,2321521.0,1997546.5,-0.99992615,0.319634703196347
4,size_only,Client 1,148,1373.965185546875,0.999773,3986325.5,3241000.8,-0.999773,0.3378995433789954
4,size_only,Client 2,150,1402.3179931640625,0.9997155,4607796.0,3893973.0,-0.9997155,0.3424657534246575
4,size_only,Client 3,140,1178.13525390625,0.9997051,2320834.5,1996972.6,-0.9997051,0.319634703196347
5,size_only,Client 1,148,1322.288427734375,0.99948543,3984605.5,3239730.2,-0.99948543,0.3378995433789954
5,size_only,Client 2,150,1312.5082275390625,0.9991702,4605978.0,3891998.2,-0.9991702,0.3424657534246575
5,size_only,Client 3,140,1115.01513671875,0.9994323,2319961.5,1996266.6,-0.9994323,0.319634703196347
6,size_only,Client 1,148,1212.9967529296875,0.99910975,3982022.5,3237948.5,-0.99910975,0.3378995433789954
6,size_only,Client 2,150,1244.9407958984375,0.9984037,4602888.0,3888947.2,-0.9984037,0.3424657534246575
6,size_only,Client 3,140,1063.7697021484375,0.99901456,2318604.8,1995184.9,-0.99901456,0.319634703196347
7,size_only,Client 1,148,1126.54658203125,0.99814767,3976821.5,3234023.5,-0.99814767,0.3378995433789954
7,size_only,Client 2,150,1142.3478759765626,0.99655765,4596000.0,3881925.5,-0.99655765,0.3424657534246575
