round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,size_only,Client 1,148,1553.1192138671875,0.9999370574951172,3987416.5,3241793.75,-0.9999370574951172,13.109766845152377,13.109766845152377,1.9998741149902344,0.3378995433789954
1,size_only,Client 2,150,1569.96220703125,0.9999568462371826,4608771.0,3894918.0,-0.9999568462371826,12.963841657728189,12.963841657728189,1.9999136924743652,0.3424657534246575
1,size_only,Client 3,140,1304.350146484375,0.9999964833259583,2321849.5,1997768.25,-0.9999964833259583,13.461358610088878,13.461358610088878,1.9999929666519165,0.319634703196347
2,size_only,Client 1,148,1529.8861572265625,0.9999014139175415,3987255.0,3241661.5,-0.9999014139175415,12.856574714199509,12.856574714199509,1.999802827835083,0.3378995433789954
2,size_only,Client 2,150,1543.7158935546875,0.9999305605888367,4608579.0,3894779.0,-0.9999305605888367,12.693750367184549,12.693750367184549,1.9998611211776733,0.3424657534246575
2,size_only,Client 3,140,1309.2326904296874,0.9999806880950928,2321775.25,1997720.0,-0.9999806880950928,13.133496039429215,13.133496039429215,1.9999613761901855,0.319634703196347
3,size_only,Client 1,148,1513.07861328125,0.9998752474784851,3987038.0,3241522.0,-0.9998752474784851,12.557614298756272,12.557614298756272,1.9997504949569702,0.3378995433789954
3,size_only,Client 2,150,1545.7141845703125,0.9998857378959656,4608265.0,3894542.0,-0.9998857378959656,12.333092138804915,12.333092138804915,1.9997714757919312,0.3424657534246575
3,size_only,Client 3,140,1290.9504150390626,0.9999750852584839,2321754.0,1997702.875,-0.9999750852584839,12.961226779180231,12.961226779180231,1.9999501705169678,0.319634703196347
4,size_only,Client 1,148,1499.755126953125,0.9998511075973511,3986819.75,3241394.5,-0.9998511075973511,12.331917079597696,12.331917079597696,1.9997022151947021,0.3378995433789954
4,size_only,Client 2,150,1518.420751953125,0.9998863339424133,4608276.0,3894554.0,-0.9998863339424133,12.19246035065443,12.19246035065443,1.9997726678848267,0.3424657534246575
4,size_only,Client 3,140,1299.159912109375,0.9999617338180542,2321696.25,1997662.0,-0.9999617338180542,12.826423991065932,12.826423991065932,1.9999234676361084,0.319634703196347
5,size_only,Client 1,148,1487.6469970703124,0.9998155832290649,3986611.75,3241221.75,-0.9998155832290649,12.266242375293157,12.266242375293157,1.9996311664581299,0.3378995433789954
5,size_only,Client 2,150,1497.3139404296876,0.9998490214347839,4608071.5,3894393.25,-0.9998490214347839,12.219109023814662,12.219109023814662,1.9996980428695679,0.3424657534246575
5,size_only,Client 3,140,1272.177783203125,0.999919056892395,2321505.0,1997527.125,-0.999919056892395,12.633766548430884,12.633766548430884,1.99983811378479,0.319634703196347
6,size_only,Client 1,148,1454.13974609375,0.9998077750205994,3986483.25,3241150.0,-0.9998077750205994,12.3730486952958,12.3730486952958,1.9996155500411987,0.3378995433789954
6,size_only,Client 2,150,1485.3223876953125,0.9998287558555603,4607952.5,3894299.25,-0.9998287558555603,12.583953904537962,12.583953904537962,1.9996575117111206,0.3424657534246575
6,size_only,Client 3,140,1265.5138671875,0.9998834133148193,2321387.25,1997430.0,-0.9998834133148193,12.67520368668827,12.67520368668827,1.9997668266296387,0.319634703196347
7,size_only,Client 1,148,1450.5806396484375,0.9997815489768982,3986300.75,3241019.25,-0.9997815489768982,12.710240713001248,12.710240713001248,1.9995630979537964,0.3378995433789954
7,size_only,Client 2,150,1467.1335693359374,0.9998045563697815,4607896.0,3894217.25,-0.9998045563697815,13.0462120499793,13.0462120499793,1.999609112739563,0.3424657534246575
7,size_only,Client 3,140,1268.6548583984375,0.9998446702957153,2321193.0,1997302.25,-0.9998446702957153,12.772828641470944,12.772828641470944,1.9996893405914307,0.319634703196347
8,size_only,Client 1,148,1451.197119140625,0.9997634887695312,3986226.75,3240939.75,-0.9997634887695312,13.273278640683243,13.273278640683243,1.9995269775390625,0.3378995433789954
