round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,aggregation_delta_norm,server_update_norm,server_update_clipped,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.001,200.42429845673166,200.00000942691997,False,0.9999370574951172,148,1553.1192138671875,13.109766845152377,13.109766845152377,1.9998741149902344,0.9999568462371826,150,1569.96220703125,12.963841657728189,12.963841657728189,1.9999136924743652,0.9999964833259583,140,1304.350146484375,13.461358610088878,13.461358610088878,1.9999929666519165,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.001,200.4233652656313,200.00002153833228,False,0.9999421834945679,148,1542.3370849609375,13.098078533142091,13.098078533142091,1.9998843669891357,0.999957263469696,150,1556.6599853515625,13.003066675987473,13.003066675987473,1.999914526939392,0.999989926815033,140,1322.822900390625,13.3773203675626,13.3773203675626,1.999979853630066,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.001,200.41997573481788,200.00003346907548,False,0.9999150633811951,148,1538.050341796875,13.021523650723928,13.021523650723928,1.9998301267623901,0.9999216794967651,150,1572.4789794921876,12.885167286072171,12.885167286072171,1.9998433589935303,0.9999919533729553,140,1313.4141845703125,13.418353455155962,13.418353455155962,1.9999839067459106,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.001,200.41175752746662,200.0000435696477,False,0.9999009966850281,148,1537.5292236328125,12.883108568990703,12.883108568990703,1.9998019933700562,0.9999371767044067,150,1556.2396728515625,12.714312634425411,12.714312634425411,1.9998743534088135,0.9999869465827942,140,1334.5597412109375,13.379154214771004,13.379154214771004,1.9999738931655884,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.001,200.40790900806846,200.00005208289787,False,0.9998859763145447,148,1530.2671630859375,12.835593071657737,12.835593071657737,1.9997719526290894,0.9999116659164429,150,1543.422021484375,12.67738158874706,12.67738158874706,1.9998233318328857,0.9999895095825195,140,1314.071240234375,13.305794999251525,13.305794999251525,1.999979019165039,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.001,200.40216572924268,200.00005945369904,False,0.9998826384544373,148,1504.5086669921875,12.696903336682734,12.696903336682734,1.9997652769088745,0.9999175667762756,150,1540.8791015625,12.605402676426648,12.605402676426648,1.9998351335525513,0.999984860420227,140,1309.3576904296874,13.21240787144519,13.21240787144519,1.999969720840454,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.001,200.40051439442968,200.00006474331897,False,0.9998812675476074,148,1510.1637939453126,12.765567563614475,12.765567563614475,1.9997625350952148,0.9999225735664368,150,1530.118701171875,12.570349793222146,12.570349793222146,1.9998451471328735,0.9999803900718689,140,1323.0501220703125,13.109412665709955,13.109412665709955,1.9999607801437378,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.001,200.39263358305115,200.00006899020477,False,0.9998908042907715,148,1518.6573486328125,12.60971846275233,12.60971846275233,1.999781608581543,0.9999213814735413,150,1544.000732421875,12.407448406668596,12.407448406668596,1.9998427629470825,0.9999682307243347,140,1296.1692626953125,13.094547326838985,13.094547326838985,1.9999364614486694,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.001,200.3917138219244,200.00007167104076,False,0.9998915791511536,148,1497.510400390625,12.591050284957184,12.591050284957184,1.9997831583023071,0.9999045133590698,150,1537.600830078125,12.449024324266823,12.449024324266823,1.9998090267181396,0.9999589920043945,140,1311.4361328125,13.018640287054776,13.018640287054776,1.999917984008789,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.001,200.38359438757234,200.00007358058258,False,0.9998649954795837,148,1493.0707275390625,12.501142187113624,12.501142187113624,1.9997299909591675,0.9998800158500671,150,1507.7560302734375,12.354907324438573,12.354907324438573,1.9997600317001343,0.99996018409729,140,1283.6261962890626,12.871165190538136,12.871165190538136,1.99992036819458,0.3378995433789954,0.3424657534246575,0.319634703196347
