round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.2,1.0,12.915946570628485,4.513605052998174,False,True,False,,,,,,,,,,,0.9999827146530151,148,1590.8580078125,13.033866944639296,13.033866944639296,1.9999654293060303,0.9999911785125732,150,1616.7021728515624,12.964246313896492,12.964246313896492,1.9999823570251465,0.9999985098838806,140,1377.5969970703125,13.256413958385922,13.256413958385922,1.9999970197677612,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,0.99999607,3907339.2,2983919.8,-0.99999607,0.35127923,-1.3990914821624756,fedyogi,1.0,0.2,1.0,9.131257259606349,4.721513382728994,False,True,True,,,,,,,,,,,0.9999374747276306,148,1520.958935546875,9.40195229415186,9.40195229415186,1.9998749494552612,0.9999322295188904,150,1540.4052978515624,9.274496009976394,9.274496009976394,1.9998644590377808,0.9999854564666748,140,1296.549462890625,9.509643198745318,9.509643198745318,1.9999709129333496,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.9997911,3904931.8,2982685.2,-0.9997911,0.35106277,-1.3961360454559326,fedyogi,1.0,0.2,1.0,6.0128649259929885,3.9901082558010796,False,True,True,,,,,,,,,,,0.9998255372047424,148,1434.07919921875,6.482640994204316,6.482640994204316,1.9996510744094849,0.9998088479042053,150,1459.9930908203125,6.919067979274811,6.919067979274811,1.9996176958084106,0.9999030232429504,140,1239.0489501953125,6.011059527211336,6.011059527211336,1.9998060464859009,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.9987503,3897404.8,2977910.5,-0.9987503,0.35038608,-1.3869078159332275,fedyogi,1.0,0.2,1.0,5.49606819808365,2.4389826794693352,False,True,True,,,,,,,,,,,0.9995522499084473,148,1362.071875,6.782032833199185,6.782032833199185,1.9991044998168945,0.9994450807571411,150,1374.141064453125,6.726152058405638,6.726152058405638,1.9988901615142822,0.9996837973594666,140,1153.615234375,4.341888054744082,4.341888054744082,1.999367594718933,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.99699515,3888823.8,2971216.2,-0.99699515,0.34961465,-1.3764088153839111,fedyogi,1.0,0.2,1.0,6.6211280289368855,2.3141140862085754,False,True,True,,,,,,,,,,,0.9990272521972656,148,1269.98505859375,7.323770597811101,7.323770597811101,1.9980545043945312,0.9982726573944092,150,1296.6177001953124,8.342230683081862,8.342230683081862,1.9965453147888184,0.999012291431427,140,1092.180126953125,5.876822998460542,5.876822998460542,1.998024582862854,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.99363136,3874061.5,2959116.2,-0.99363136,0.34828746,-1.3584010601043701,fedyogi,1.0,0.2,1.0,8.604823811772347,2.699655078426831,False,True,True,,,,,,,,,,,0.9982132315635681,148,1189.5549926757812,8.915707140621127,8.915707140621127,1.9964264631271362,0.9965541958808899,150,1188.8191650390625,11.22174569632031,11.22174569632031,1.9931083917617798,0.9979058504104614,140,998.2431518554688,6.847454092166315,6.847454092166315,1.9958117008209229,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.98797965,3848760.8,2938631.2,-0.98797965,0.3460129,-1.3276968002319336,fedyogi,1.0,0.2,1.0,10.550531536782708,2.8535651437206355,False,True,True,,,,,,,,,,,0.9967184662818909,148,1092.15234375,10.832904158378037,10.832904158378037,1.9934369325637817,0.9941748380661011,150,1108.2425170898437,12.891689203669127,12.891689203669127,1.9883496761322021,0.996059000492096,140,938.3134155273438,8.845164273433864,8.845164273433864,1.992118000984192,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.97661656,3797789.8,2897533.5,-0.97661656,0.34143046,-1.2664515972137451,fedyogi,1.0,0.2,1.0,13.20926718055721,2.870280888516137,False,True,True,,,,,,,,,,,0.9943866729736328,148,978.12666015625,13.953318657845609,13.953318657845609,1.9887733459472656,0.9896149039268494,150,1011.0086669921875,15.928309999442394,15.928309999442394,1.9792298078536987,0.992690920829773,140,822.8027709960937,10.572811054111733,10.572811054111733,1.985381841659546,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.9593158,3718146.0,2834682.0,-0.9593158,0.3342703,-1.1723883152008057,fedyogi,1.0,0.2,1.0,15.926294850330375,2.8436387339612135,False,True,True,,,,,,,,,,,0.9895732402801514,148,887.3618408203125,15.192284360805587,15.192284360805587,1.9791464805603027,0.9854306578636169,150,902.8756591796875,19.144841895629146,19.144841895629146,1.9708613157272339,0.9889011383056641,140,773.4911743164063,14.152145778058939,14.152145778058939,1.9778022766113281,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.9332673,3609586.8,2743385.5,-0.9332673,0.32451054,-1.0473852157592773,fedyogi,1.0,0.2,1.0,17.98507710248628,2.6428026518177115,False,True,True,,,,,,,,,,,0.9851081967353821,148,798.0646118164062,16.67870914383991,16.67870914383991,1.9702163934707642,0.9770195484161377,150,786.925341796875,21.05707134296345,21.05707134296345,1.9540390968322754,0.9827041625976562,140,685.735546875,16.95034459381584,16.95034459381584,1.9654083251953125,0.3378995433789954,0.3424657534246575,0.319634703196347
11,size_only,0.0005,20,0.8912999,3459456.2,2605466.2,-0.8912999,0.31101346,-0.8806166648864746,fedyogi,1.0,0.2,1.0,20.709243065172803,2.7750361078526296,False,True,True,,,,,,,,,,,0.9759641885757446,148,694.1910034179688,19.65900375214562,19.65900375214562,1.9519283771514893,0.9618510007858276,150,697.8648193359375,22.74675170395908,22.74675170395908,1.9237020015716553,0.9701970219612122,140,577.0793884277343,20.32641857535185,20.32641857535185,1.9403940439224243,0.3378995433789954,0.3424657534246575,0.319634703196347
12,size_only,0.0005,20,0.8377131,3305259.2,2445379.0,-0.8377131,0.2971508,-0.7167049646377563,fedyogi,1.0,0.2,1.0,23.140942133392297,2.6415349567097106,False,True,True,,,,,,,,,,,0.9637387990951538,148,585.4319213867187,20.986306618171323,20.986306618171323,1.9274775981903076,0.9409608244895935,150,589.305859375,26.825885280405384,26.825885280405384,1.881921648979187,0.9509938359260559,140,471.9168395996094,22.187567217141417,22.187567217141417,1.9019876718521118,0.3378995433789954,0.3424657534246575,0.319634703196347
13,size_only,0.0005,20,0.7806756,3133833.0,2273475.2,-0.7806756,0.28173915,-0.5432500839233398,fedyogi,1.0,0.2,1.0,22.940003627039005,2.6595382003573227,False,True,True,,,,,,,,,,,0.9408704042434692,148,492.40972900390625,21.408503366754804,21.408503366754804,1.8817408084869385,0.9081727862358093,150,503.1854248046875,24.189527793837254,24.189527793837254,1.8163455724716187,0.9270389080047607,140,411.11830444335936,23.924976795176242,23.924976795176242,1.8540778160095215,0.3378995433789954,0.3424657534246575,0.319634703196347
14,size_only,0.0005,20,0.7148274,2947917.8,2072569.9,-0.7148274,0.26502493,-0.3655742406845093,fedyogi,1.0,0.2,1.0,23.359609452896844,2.7123043472253054,False,True,True,,,,,,,,,,,0.9113021492958069,148,380.4584899902344,20.279905716011957,20.279905716011957,1.8226042985916138,0.8765029907226562,150,404.9055969238281,26.531229379914233,26.531229379914233,1.7530059814453125,0.8871546387672424,140,314.3419128417969,23.891860505172197,23.891860505172197,1.7743092775344849,0.3378995433789954,0.3424657534246575,0.319634703196347
