round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,size_only,Client 1,148,1590.8580078125,0.9999827146530151,3987786.75,3242020.75,-0.9999827146530151,13.033866944639296,13.033866944639296,1.9999654293060303,0.3378995433789954
1,size_only,Client 2,150,1616.7021728515624,0.9999911785125732,4608966.5,3895077.5,-0.9999911785125732,12.964246313896492,12.964246313896492,1.9999823570251465,0.3424657534246575
1,size_only,Client 3,140,1377.5969970703125,0.9999985098838806,2321857.25,1997774.0,-0.9999985098838806,13.256413958385922,13.256413958385922,1.9999970197677612,0.319634703196347
2,size_only,Client 1,148,1539.09306640625,0.9999551177024841,3987562.25,3241870.25,-0.9999551177024841,9.348414246718933,9.348414246718933,1.9999102354049683,0.3378995433789954
2,size_only,Client 2,150,1559.534619140625,0.9999513030052185,4608674.5,3894864.5,-0.9999513030052185,9.249946830596766,9.249946830596766,1.999902606010437,0.3424657534246575
2,size_only,Client 3,140,1313.7612548828124,0.9999901652336121,2321804.0,1997743.5,-0.9999901652336121,9.528860888373964,9.528860888373964,1.9999803304672241,0.319634703196347
3,size_only,Client 1,148,1471.6015869140624,0.9998924136161804,3987069.0,3241544.0,-0.9998924136161804,5.9641836266250134,5.9641836266250134,1.9997848272323608,0.3378995433789954
3,size_only,Client 2,150,1499.0198486328125,0.9998939037322998,4608317.5,3894586.5,-0.9998939037322998,6.267153042666859,6.267153042666859,1.9997878074645996,0.3424657534246575
3,size_only,Client 3,140,1273.545166015625,0.9999549388885498,2321608.75,1997621.125,-0.9999549388885498,5.7535900327270415,5.7535900327270415,1.9999098777770996,0.319634703196347
4,size_only,Client 1,148,1418.6940673828126,0.9997429847717285,3986033.75,3240800.75,-0.9997429847717285,5.453977970171893,5.453977970171893,1.999485969543457,0.3378995433789954
4,size_only,Client 2,150,1434.2357177734375,0.9997383952140808,4607421.0,3893851.75,-0.9997383952140808,5.137159937545094,5.137159937545094,1.9994767904281616,0.3424657534246575
4,size_only,Client 3,140,1206.0626220703125,0.9998622536659241,2321121.5,1997305.75,-0.9998622536659241,3.6123644389201197,3.6123644389201197,1.9997245073318481,0.319634703196347
5,size_only,Client 1,148,1351.2459716796875,0.999526858329773,3984655.5,3239802.75,-0.999526858329773,5.574200914803296,5.574200914803296,1.999053716659546,0.3378995433789954
5,size_only,Client 2,150,1379.721435546875,0.9992581605911255,4605204.5,3891848.0,-0.9992581605911255,5.910007986748642,5.910007986748642,1.998516321182251,0.3424657534246575
5,size_only,Client 3,140,1164.1382568359375,0.9995925426483154,2319760.0,1996410.5,-0.9995925426483154,4.573800774607299,4.573800774607299,1.9991850852966309,0.319634703196347
