round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,size_only,Client 1,148,1590.8580078125,0.9999827146530151,3987786.75,3242020.75,-0.9999827146530151,13.033866944639296,13.033866944639296,1.9999654293060303,0.3378995433789954
1,size_only,Client 2,150,1616.7021728515624,0.9999911785125732,4608966.5,3895077.5,-0.9999911785125732,12.964246313896492,12.964246313896492,1.9999823570251465,0.3424657534246575
1,size_only,Client 3,140,1377.5969970703125,0.9999985098838806,2321857.25,1997774.0,-0.9999985098838806,13.256413958385922,13.256413958385922,1.9999970197677612,0.319634703196347
2,size_only,Client 1,148,1577.2089599609376,0.9999762177467346,3987729.5,3241980.75,-0.9999762177467346,11.143109213178866,11.143109213178866,1.9999524354934692,0.3378995433789954
2,size_only,Client 2,150,1597.3289306640625,0.9999785423278809,4608865.5,3895007.25,-0.9999785423278809,11.058562416122134,11.058562416122134,1.9999570846557617,0.3424657534246575
2,size_only,Client 3,140,1351.0370361328125,0.9999959468841553,2321844.25,1997766.0,-0.9999959468841553,11.429085005173274,11.429085005173274,1.9999918937683105,0.319634703196347
3,size_only,Client 1,148,1549.5251220703126,0.99996417760849,3987610.25,3241911.5,-0.99996417760849,9.207293782775903,9.207293782775903,1.99992835521698,0.3378995433789954
3,size_only,Client 2,150,1579.971826171875,0.9999765157699585,4608849.5,3894995.75,-0.9999765157699585,9.121057694214839,9.121057694214839,1.999953031539917,0.3424657534246575
3,size_only,Client 3,140,1344.65263671875,0.9999930262565613,2321824.5,1997754.875,-0.9999930262565613,9.459472234604647,9.459472234604647,1.9999860525131226,0.319634703196347
4,size_only,Client 1,148,1538.088525390625,0.9999464154243469,3987479.75,3241817.75,-0.9999464154243469,7.489639320884913,7.489639320884913,1.9998928308486938,0.3378995433789954
4,size_only,Client 2,150,1554.8214111328125,0.9999643564224243,4608753.5,3894927.25,-0.9999643564224243,7.348683771161189,7.348683771161189,1.9999287128448486,0.3424657534246575
4,size_only,Client 3,140,1310.4283203125,0.9999889731407166,2321799.75,1997740.5,-0.9999889731407166,7.525572760104012,7.525572760104012,1.999977946281433,0.319634703196347
5,size_only,Client 1,148,1506.18076171875,0.9999301433563232,3987365.75,3241738.5,-0.9999301433563232,5.66924911773122,5.66924911773122,1.9998602867126465,0.3378995433789954
5,size_only,Client 2,150,1532.8314208984375,0.9999271035194397,4608530.0,3894750.75,-0.9999271035194397,5.593798611550342,5.593798611550342,1.9998542070388794,0.3424657534246575
5,size_only,Client 3,140,1298.95927734375,0.9999771118164062,2321714.25,1997692.25,-0.9999771118164062,5.785293568506538,5.785293568506538,1.9999542236328125,0.319634703196347
