round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.5,1.0,12.915946570628485,2.0,True,True,False,,,,,,,,,,,0.9999827146530151,148,1590.8580078125,13.033866944639296,13.033866944639296,1.9999654293060303,0.9999911785125732,150,1616.7021728515624,12.964246313896492,12.964246313896492,1.9999823570251465,0.9999985098838806,140,1377.5969970703125,13.256413958385922,13.256413958385922,1.9999970197677612,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.5,1.0,10.967012276335948,2.0,True,True,True,,,,,,,,,,,0.9999772906303406,148,1580.357861328125,11.107785392572334,11.107785392572334,1.9999545812606812,0.9999799132347107,150,1600.255126953125,11.017416345363037,11.017416345363037,1.9999598264694214,0.9999964237213135,140,1353.7286865234375,11.388807403254985,11.388807403254985,1.999992847442627,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,1.0,3907391.8,2983945.0,-1.0,0.35128394,-1.399156093597412,fedyogi,1.0,0.5,1.0,8.941453189889947,2.0,True,True,True,,,,,,,,,,,0.9999674558639526,148,1554.580029296875,9.146231812024936,9.146231812024936,1.9999349117279053,0.9999791979789734,150,1584.9820068359375,9.038735347473851,9.038735347473851,1.9999583959579468,0.9999940395355225,140,1349.4439697265625,9.397857860779208,9.397857860779208,1.999988079071045,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,1.0,3907391.5,2983944.8,-1.0,0.35128394,-1.399155855178833,fedyogi,1.0,0.5,1.0,7.000701969074499,2.0,True,True,True,,,,,,,,,,,0.9999507069587708,148,1543.7947265625,7.40105552849626,7.40105552849626,1.9999014139175415,0.9999688863754272,150,1560.359228515625,7.258366456477537,7.258366456477537,1.9999377727508545,0.9999903440475464,140,1315.221240234375,7.457028563742504,7.457028563742504,1.9999806880950928,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.9999991,3907382.8,2983940.2,-0.9999991,0.35128313,-1.3991451263427734,fedyogi,1.0,0.5,1.0,5.094319776560774,2.0,True,True,True,,,,,,,,,,,0.9999354481697083,148,1511.479443359375,5.569862012739058,5.569862012739058,1.9998708963394165,0.9999341368675232,150,1537.969189453125,5.48659312297809,5.48659312297809,1.9998682737350464,0.9999799728393555,140,1303.632373046875,5.7009401348169675,5.7009401348169675,1.999959945678711,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.9999844,3907216.2,2983854.5,-0.9999844,0.35126817,-1.3989405632019043,fedyogi,1.0,0.5,1.0,3.692052885820365,2.0,True,True,True,,,,,,,,,,,0.9998920559883118,148,1491.192822265625,4.307678138109588,4.307678138109588,1.9997841119766235,0.9998899698257446,150,1495.20859375,4.372312083637057,4.372312083637057,1.9997799396514893,0.9999625086784363,140,1258.1174560546874,4.142121418419914,4.142121418419914,1.9999250173568726,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.99985796,3905946.8,2983162.0,-0.99985796,0.35115403,-1.3973820209503174,fedyogi,1.0,0.5,1.0,3.119546840322364,2.0,True,True,True,,,,,,,,,,,0.9998055696487427,148,1436.041650390625,4.028576573254295,4.028576573254295,1.9996111392974854,0.9997976422309875,150,1469.8968017578125,4.1753326418598675,4.1753326418598675,1.999595284461975,0.9999141693115234,140,1251.7426513671876,3.238922741880707,3.238922741880707,1.9998283386230469,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.99964905,3904455.8,2982208.2,-0.99964905,0.35101998,-1.3955519199371338,fedyogi,1.0,0.5,1.0,3.9760883363342856,2.0,True,True,True,,,,,,,,,,,0.9996185302734375,148,1363.8337158203126,5.222201536393035,5.222201536393035,1.999237060546875,0.9994349479675293,150,1409.4770263671876,5.094102973388556,5.094102973388556,1.9988698959350586,0.9997276663780212,140,1160.8825073242188,3.333361203163341,3.333361203163341,1.9994553327560425,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.9994104,3903280.8,2981293.5,-0.9994104,0.35091436,-1.3941104412078857,fedyogi,1.0,0.5,1.0,4.634899564145802,2.0,True,True,True,,,,,,,,,,,0.9993268251419067,148,1311.175,5.567432345559583,5.567432345559583,1.9986536502838135,0.9990388751029968,150,1329.7771240234374,6.325711761559814,6.325711761559814,1.9980777502059937,0.9994194507598877,140,1155.425244140625,3.610746091115401,3.610746091115401,1.9988389015197754,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.9991355,3902118.2,2980305.0,-0.9991355,0.35080984,-1.3926846981048584,fedyogi,1.0,0.5,1.0,5.066411004861129,2.0,True,True,True,,,,,,,,,,,0.9989616274833679,148,1274.5382568359375,6.054678852968636,6.054678852968636,1.9979232549667358,0.9982603788375854,150,1279.73544921875,7.152917501434521,7.152917501434521,1.996520757675171,0.9990940093994141,140,1113.5836181640625,3.7863429127317527,3.7863429127317527,1.9981880187988281,0.3378995433789954,0.3424657534246575,0.319634703196347
