round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,coherence_guided,Client 1,148,1592.2974365234375,0.9999853372573853,3987787.5,3242024.5,-0.9999853372573853,12.975546725462204,12.975546725462204,1.9999706745147705,0.33743188046262534
1,coherence_guided,Client 2,150,1628.6629638671875,0.9999913573265076,4608958.5,3895077.0,-0.9999913573265076,12.890776627666082,12.890776627666082,1.9999827146530151,0.3428565564200829
1,coherence_guided,Client 3,140,1392.454443359375,0.9999985098838806,2321858.75,1997774.5,-0.9999985098838806,13.317380255097033,13.317380255097033,1.9999970197677612,0.3197115631172918
2,coherence_guided,Client 1,148,1539.9146240234375,0.9999650716781616,3987550.5,3241896.75,-0.9999650716781616,5.843915341393215,5.843915341393215,1.9999301433563232,0.33682527128900625
2,coherence_guided,Client 2,150,1572.844091796875,0.9999747276306152,4608826.0,3894983.25,-0.9999747276306152,5.9635661580391774,5.9635661580391774,1.9999494552612305,0.344315063070665
2,coherence_guided,Client 3,140,1334.861865234375,0.9999873042106628,2321805.25,1997738.625,-0.9999873042106628,5.902771824324528,5.902771824324528,1.9999746084213257,0.3188596656403287
3,coherence_guided,Client 1,148,1458.4107177734375,0.9998851418495178,3987101.75,3241544.5,-0.9998851418495178,5.740004111344086,5.740004111344086,1.9997702836990356,0.3391635146536882
3,coherence_guided,Client 2,150,1494.4113525390626,0.9999184012413025,4608580.5,3894755.0,-0.9999184012413025,5.750941788933515,5.750941788933515,1.999836802482605,0.3451847023552535
3,coherence_guided,Client 3,140,1247.5255859375,0.9999279379844666,2321527.25,1997552.0,-0.9999279379844666,5.016786847129166,5.016786847129166,1.999855875968933,0.3156517829910583
4,coherence_guided,Client 1,148,1375.2949951171875,0.999774158000946,3986334.5,3241008.25,-0.999774158000946,6.08365644764998,6.08365644764998,1.999548316001892,0.34055539000505924
4,coherence_guided,Client 2,150,1403.628271484375,0.9997217059135437,4607802.5,3893989.0,-0.9997217059135437,6.410646553084239,6.410646553084239,1.9994434118270874,0.3482652409471073
4,coherence_guided,Client 3,140,1179.692578125,0.9997115731239319,2320853.75,1996989.125,-0.9997115731239319,5.506215481885352,5.506215481885352,1.9994231462478638,0.31117936904783344
5,coherence_guided,Client 1,148,1325.2531494140626,0.9995017647743225,3984707.75,3239805.0,-0.9995017647743225,6.160028899492779,6.160028899492779,1.999003529548645,0.3382806787850785
5,coherence_guided,Client 2,150,1315.5072021484375,0.9991873502731323,4606020.0,3892054.75,-0.9991873502731323,6.387163408228516,6.387163408228516,1.9983747005462646,0.34547010479321627
5,coherence_guided,Client 3,140,1117.5027587890625,0.9994356632232666,2319970.25,1996273.375,-0.9994356632232666,6.069704081167199,6.069704081167199,1.9988713264465332,0.31624921642170517
6,coherence_guided,Client 1,148,1217.125,0.9991462230682373,3982261.75,3238116.75,-0.9991462230682373,6.35148979557621,6.35148979557621,1.9982924461364746,0.3359309653385244
6,coherence_guided,Client 2,150,1249.316845703125,0.9984689950942993,4603078.0,3889177.25,-0.9984689950942993,6.900576332090244,6.900576332090244,1.9969379901885986,0.3497602469935015
6,coherence_guided,Client 3,140,1067.9956665039062,0.9990084171295166,2318587.0,1995167.75,-0.9990084171295166,6.0532094209173,6.0532094209173,1.9980168342590332,0.31430878766797415
7,coherence_guided,Client 1,148,1133.57734375,0.9982518553733826,3977454.0,3234482.5,-0.9982518553733826,7.059721171283596,7.059721171283596,1.9965037107467651,0.34030624084496636
7,coherence_guided,Client 2,150,1149.6402099609375,0.9967296123504639,4596602.0,3882573.0,-0.9967296123504639,7.023637537096782,7.023637537096782,1.9934592247009277,0.3442187314862873
7,coherence_guided,Client 3,140,981.0983520507813,0.9981610178947449,2315507.75,1992884.625,-0.9981610178947449,6.829175065253983,6.829175065253983,1.9963220357894897,0.3154750276687463
8,coherence_guided,Client 1,148,1051.5134521484374,0.9969941973686218,3971245.75,3229518.75,-0.9969941973686218,7.932325280404938,7.932325280404938,1.9939883947372437,0.3378470324984927
