round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,coherence_guided,0.0005,20,0.9999999,3907390.8,2983944.5,-0.9999999,0.35128385,-1.3991549015045166,fedyogi,1.0,0.5,1.0,12.89216254259847,9.272473198029035,False,True,False,,,,,,,,,,,0.9999853372573853,148,1592.2974365234375,12.975546725462204,12.975546725462204,1.9999706745147705,0.9999913573265076,150,1628.6629638671875,12.890776627666082,12.890776627666082,1.9999827146530151,0.9999985098838806,140,1392.454443359375,13.317380255097033,13.317380255097033,1.9999970197677612,0.33743188046262534,0.3428565564200829,0.3197115631172918
2,coherence_guided,0.0005,20,0.9999695,3907059.0,2983770.2,-0.9999695,0.35125402,-1.398747444152832,fedyogi,1.0,0.5,1.0,5.43031336952551,4.857509582676507,False,True,True,,,,,,,,,,,0.9999650716781616,148,1539.9146240234375,5.843915341393215,5.843915341393215,1.9999301433563232,0.9999747276306152,150,1572.844091796875,5.9635661580391774,5.9635661580391774,1.9999494552612305,0.9999873042106628,140,1334.861865234375,5.902771824324528,5.902771824324528,1.9999746084213257,0.33682527128900625,0.344315063070665,0.3188596656403287
3,coherence_guided,0.0005,20,0.9999041,3906413.8,2983415.5,-0.9999041,0.35119602,-1.3979551792144775,fedyogi,1.0,0.5,1.0,5.034864519185493,3.50371913525332,False,True,True,,,,,,,,,,,0.9998851418495178,148,1458.4107177734375,5.740004111344086,5.740004111344086,1.9997702836990356,0.9999184012413025,150,1494.4113525390626,5.750941788933515,5.750941788933515,1.999836802482605,0.9999279379844666,140,1247.5255859375,5.016786847129166,5.016786847129166,1.999855875968933,0.3391635146536882,0.3451847023552535,0.3156517829910583
4,coherence_guided,0.0005,20,0.99970883,3905287.5,2982613.8,-0.99970883,0.35109478,-1.3965725898742676,fedyogi,1.0,0.5,1.0,5.506723884571777,4.2650025362688115,False,True,True,,,,,,,,,,,0.999774158000946,148,1375.2949951171875,6.08365644764998,6.08365644764998,1.999548316001892,0.9997217059135437,150,1403.628271484375,6.410646553084239,6.410646553084239,1.9994434118270874,0.9997115731239319,140,1179.692578125,5.506215481885352,5.506215481885352,1.9994231462478638,0.34055539000505924,0.3482652409471073,0.31117936904783344
5,coherence_guided,0.0005,20,0.99930406,3903673.0,2981230.8,-0.99930406,0.35094962,-1.3945915699005127,fedyogi,1.0,0.5,1.0,5.643679732545385,4.502737453622194,False,True,True,,,,,,,,,,,0.9995017647743225,148,1325.2531494140626,6.160028899492779,6.160028899492779,1.999003529548645,0.9991873502731323,150,1315.5072021484375,6.387163408228516,6.387163408228516,1.9983747005462646,0.9994356632232666,140,1117.5027587890625,6.069704081167199,6.069704081167199,1.9988713264465332,0.3382806787850785,0.34547010479321627,0.31624921642170517
6,coherence_guided,0.0005,20,0.9986837,3900758.0,2978913.0,-0.9986837,0.35068756,-1.3910167217254639,fedyogi,1.0,0.5,1.0,5.922556299008269,4.451250104303524,False,True,True,,,,,,,,,,,0.9991462230682373,148,1217.125,6.35148979557621,6.35148979557621,1.9982924461364746,0.9984689950942993,150,1249.316845703125,6.900576332090244,6.900576332090244,1.9969379901885986,0.9990084171295166,140,1067.9956665039062,6.0532094209173,6.0532094209173,1.9980168342590332,0.3359309653385244,0.3497602469935015,0.31430878766797415
7,coherence_guided,0.0005,20,0.9974149,3894984.5,2974339.2,-0.9974149,0.3501685,-1.383944034576416,fedyogi,1.0,0.5,1.0,6.4325339515840305,4.5617115861064725,False,True,True,,,,,,,,,,,0.9982518553733826,148,1133.57734375,7.059721171283596,7.059721171283596,1.9965037107467651,0.9967296123504639,150,1149.6402099609375,7.023637537096782,7.023637537096782,1.9934592247009277,0.9981610178947449,140,981.0983520507813,6.829175065253983,6.829175065253983,1.9963220357894897,0.34030624084496636,0.3442187314862873,0.3154750276687463
8,coherence_guided,0.0005,20,0.99546826,3886657.0,2967522.2,-0.99546826,0.34941983,-1.3737614154815674,fedyogi,1.0,0.5,1.0,7.321920169344429,4.428240668249552,False,True,True,,,,,,,,,,,0.9969941973686218,148,1051.5134521484374,7.932325280404938,7.932325280404938,1.9939883947372437,0.9940500855445862,150,1056.740185546875,7.289467864495083,7.289467864495083,1.9881001710891724,0.9967314600944519,140,875.7386352539063,8.393626180437629,8.393626180437629,1.9934629201889038,0.3378470324984927,0.3418136177465464,0.32033934975496087
9,coherence_guided,0.0005,20,0.9922834,3873619.8,2956668.2,-0.9922834,0.34824777,-1.357862949371338,fedyogi,1.0,0.5,1.0,7.530745735941659,4.491886324710887,False,True,True,,,,,,,,,,,0.9941855072975159,148,953.3124267578125,6.979637204658548,6.979637204658548,1.9883710145950317,0.989905595779419,150,946.2115356445313,7.803176138556929,7.803176138556929,1.979811191558838,0.9944126605987549,140,787.1646118164062,9.37720064946289,9.37720064946289,1.9888253211975098,0.3342716166024672,0.34202059011833036,0.3237077932792025
10,coherence_guided,0.0005,20,0.9875146,3852089.8,2939590.0,-0.9875146,0.34631217,-1.3317253589630127,fedyogi,1.0,0.5,1.0,8.010810673344732,4.552740192654206,False,True,True,,,,,,,,,,,0.989966630935669,148,841.7488891601563,7.902274299656059,7.902274299656059,1.979933261871338,0.983807384967804,150,861.1319580078125,8.883104239222021,8.883104239222021,1.967614769935608,0.9902447462081909,140,716.6412353515625,8.702465552393647,8.702465552393647,1.9804894924163818,0.33842639753425746,0.34372626141996404,0.31784734104577855
11,coherence_guided,0.0005,20,0.9804002,3824607.2,2916537.8,-0.9804002,0.34384143,-1.2985730171203613,fedyogi,1.0,0.5,1.0,8.423244714897955,4.5437726762108275,False,True,True,,,,,,,,,,,0.9840039610862732,148,745.33876953125,8.186648497468477,8.186648497468477,1.9680079221725464,0.9736891388893127,150,771.5608642578125,9.828902931206267,9.828902931206267,1.9473782777786255,0.981536328792572,140,622.2285522460937,8.604215321741187,8.604215321741187,1.963072657585144,0.3360984825848986,0.3452533131887236,0.31864820422637774
12,coherence_guided,0.0005,20,0.9677681,3779697.5,2878533.0,-0.9677681,0.33980393,-1.2449088096618652,fedyogi,1.0,0.5,1.0,8.750264985291057,4.461949928306202,False,True,True,,,,,,,,,,,0.9741519093513489,148,652.7722778320312,9.411085457885388,9.411085457885388,1.9483038187026978,0.9577133059501648,150,652.8252319335937,9.721761132382753,9.721761132382753,1.9154266119003296,0.9674921035766602,140,540.2925048828125,8.482101280729719,8.482101280729719,1.9349842071533203,0.34076358908312027,0.3425284608195212,0.3167079500973586
13,coherence_guided,0.0005,20,0.9528913,3719130.2,2829995.0,-0.9528913,0.33435878,-1.1735386848449707,fedyogi,1.0,0.5,1.0,7.396308983376639,4.199773298197771,False,True,True,,,,,,,,,,,0.9560829997062683,148,540.2553039550781,8.425116947149858,8.425116947149858,1.9121659994125366,0.9389930367469788,150,580.13623046875,8.174193581174736,8.174193581174736,1.8779860734939575,0.949492871761322,140,429.6744812011719,7.290598536984229,7.290598536984229,1.898985743522644,0.3372497374464138,0.344393740475178,0.31835652207840814
14,coherence_guided,0.0005,20,0.9301533,3635009.0,2758871.2,-0.9301533,0.32679608,-1.0763258934020996,fedyogi,1.0,0.5,1.0,7.092980288137425,4.356890706426195,False,True,True,,,,,,,,,,,0.9353190064430237,148,453.4812316894531,7.243949126835194,7.243949126835194,1.8706380128860474,0.9031012654304504,150,445.777685546875,8.073163922926714,8.073163922926714,1.8062025308609009,0.9264701008796692,140,341.3862030029297,7.995492776031084,7.995492776031084,1.8529402017593384,0.3362796461823233,0.34659475357942404,0.3171256002382527
