round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,size_only,Client 1,148,1566.14521484375,0.9999083280563354,3987420.0,3241734.0,-0.9999083280563354,13.203016282337005,13.203016282337005,1.999816656112671,0.3378995433789954
1,size_only,Client 2,150,1602.7912109375,0.9999753832817078,4608825.5,3894990.0,-0.9999753832817078,12.958913281385462,12.958913281385462,1.9999507665634155,0.3424657534246575
1,size_only,Client 3,140,1353.9082275390624,0.9999959468841553,2321843.5,1997765.75,-0.9999959468841553,13.43915357357034,13.43915357357034,1.9999918937683105,0.319634703196347
2,size_only,Client 1,148,1484.339892578125,0.9997623562812805,3986406.5,3241019.5,-0.9997623562812805,4.545613912187926,4.545613912187926,1.999524712562561,0.3378995433789954
2,size_only,Client 2,150,1492.4426025390626,0.9998188018798828,4607519.5,3894107.25,-0.9998188018798828,4.66533847447805,4.66533847447805,1.9996376037597656,0.3424657534246575
2,size_only,Client 3,140,1278.936083984375,0.9999468326568604,2321612.75,1997607.75,-0.9999468326568604,3.844230641171913,3.844230641171913,1.9998936653137207,0.319634703196347
3,size_only,Client 1,148,1381.4776611328125,0.9995010495185852,3984492.75,3239703.25,-0.9995010495185852,6.317763758475383,6.317763758475383,1.9990020990371704,0.3378995433789954
3,size_only,Client 2,150,1412.2293701171875,0.9995813965797424,4606369.5,3893082.5,-0.9995813965797424,5.345278805628895,5.345278805628895,1.9991627931594849,0.3424657534246575
3,size_only,Client 3,140,1197.602783203125,0.9997313022613525,2320686.0,1996949.75,-0.9997313022613525,4.1393184076065195,4.1393184076065195,1.999462604522705,0.319634703196347
4,size_only,Client 1,148,1311.48642578125,0.9992305636405945,3982706.75,3238435.5,-0.9992305636405945,5.068034777205616,5.068034777205616,1.998461127281189,0.3378995433789954
4,size_only,Client 2,150,1337.0397705078126,0.999049723148346,4604521.0,3891153.75,-0.999049723148346,5.080140615890802,5.080140615890802,1.998099446296692,0.3424657534246575
