round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,validation_source,strict_checkpoint_policy,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,0.9999592981926383,3667854.0525114154,3067836.385844749,-0.9999592981926383,0.0,0.0,fedavg,1.0,1.0,,13.037010464015566,13.037010464015566,False,False,False,,,,,,,,,,,client_reported,final_round,0.9999083280563354,148,1566.14521484375,13.203016282337005,13.203016282337005,1.999816656112671,0.9999753832817078,150,1602.7912109375,12.958913281385462,12.958913281385462,1.9999507665634155,0.9999959468841553,140,1353.9082275390624,13.43915357357034,13.43915357357034,1.9999918937683105,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,0.9998406520172886,3666990.5753424657,3067242.142694064,-0.9998406520172886,0.0,0.0,fedavg,1.0,1.0,,3.834038170755838,3.834038170755838,False,False,False,,,,,,,,,,,client_reported,final_round,0.9997623562812805,148,1484.339892578125,4.545613912187926,4.545613912187926,1.999524712562561,0.9998188018798828,150,1492.4426025390626,4.66533847447805,4.66533847447805,1.9996376037597656,0.9999468326568604,140,1278.936083984375,3.844230641171913,3.844230641171913,1.9998936653137207,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.9996021624025144,3665653.8630136987,3066236.121004566,-0.9996021624025144,0.0,0.0,fedavg,1.0,1.0,,4.794161613573388,4.794161613573388,False,False,False,,,,,,,,,,,client_reported,final_round,0.9995010495185852,148,1381.4776611328125,6.317763758475383,6.317763758475383,1.9990020990371704,0.9995813965797424,150,1412.2293701171875,5.345278805628895,5.345278805628895,1.9991627931594849,0.9997313022613525,140,1197.602783203125,4.1393184076065195,4.1393184076065195,1.999462604522705,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.9991640405023479,3663741.9383561644,3064656.8184931506,-0.9991640405023479,0.0,0.0,fedavg,1.0,1.0,,3.8875399509837583,3.8875399509837583,False,False,False,,,,,,,,,,,client_reported,final_round,0.9992305636405945,148,1311.48642578125,5.068034777205616,5.068034777205616,1.998461127281189,0.999049723148346,150,1337.0397705078126,5.080140615890802,5.080140615890802,1.998099446296692,0.9992161989212036,140,1157.63671875,3.392528035519716,3.392528035519716,1.9984323978424072,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.9981612742763676,3659149.593607306,3060803.8744292236,-0.9981612742763676,0.0,0.0,fedavg,1.0,1.0,,3.5817272754327334,3.5817272754327334,False,False,False,,,,,,,,,,,client_reported,final_round,0.9986916780471802,148,1229.051220703125,4.5899494058866654,4.5899494058866654,1.9973833560943604,0.997432291507721,150,1247.0183349609374,5.097813825892776,5.097813825892776,1.994864583015442,0.9983816146850586,140,1058.808935546875,3.601536763445317,3.601536763445317,1.9967632293701172,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.9964041296205565,3651767.02283105,3054321.801369863,-0.9964041296205565,0.0,0.0,fedavg,1.0,1.0,,3.985508043345354,3.985508043345354,False,False,False,,,,,,,,,,,client_reported,final_round,0.997658371925354,148,1138.6631591796875,5.85887577052497,5.85887577052497,1.995316743850708,0.994521975517273,150,1152.4400146484375,5.0634053149504545,5.0634053149504545,1.989043951034546,0.9970948100090027,140,984.7684814453125,3.7192217352813137,3.7192217352813137,1.9941896200180054,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.9930157503580939,3636597.913242009,3041963.091324201,-0.9930157503580939,0.0,0.0,fedavg,1.0,1.0,,2.930638582253916,2.930638582253916,False,False,False,,,,,,,,,,,client_reported,final_round,0.9955095052719116,148,1050.0701416015625,4.112789372814445,4.112789372814445,1.9910190105438232,0.9905878305435181,150,1058.2820434570312,4.5616459269560385,4.5616459269560385,1.9811756610870361,0.9929808378219604,140,885.0121948242188,3.4118420779109826,3.4118420779109826,1.985961675643921,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.9875304717995804,3611192.915525114,3020960.23630137,-0.9875304717995804,0.0,0.0,fedavg,1.0,1.0,,3.0233089669732953,3.0233089669732953,False,False,False,,,,,,,,,,,client_reported,final_round,0.9921053051948547,148,947.84140625,4.457260535391406,4.457260535391406,1.9842106103897095,0.982326090335846,150,978.1117797851563,4.780089885350005,4.780089885350005,1.964652180671692,0.9882703423500061,140,775.7749267578125,3.2920502982457767,3.2920502982457767,1.9765406847000122,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.9801281140819532,3577847.4817351596,2994055.8538812785,-0.9801281140819532,0.0,0.0,fedavg,1.0,1.0,,2.834341479679687,2.834341479679687,False,False,False,,,,,,,,,,,client_reported,final_round,0.9871783256530762,148,828.4103271484375,3.6339135664069717,3.6339135664069717,1.9743566513061523,0.9737796783447266,150,858.2336669921875,5.178887971030453,5.178887971030453,1.9475593566894531,0.9794769287109375,140,700.2840576171875,4.501843157043715,4.501843157043715,1.958953857421875,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.9728623081560004,3541610.102739726,2965305.046803653,-0.9728623081560004,0.0,0.0,fedavg,1.0,1.0,,2.6567122578415154,2.6567122578415154,False,False,False,,,,,,,,,,,client_reported,final_round,0.9795917868614197,148,732.4301391601563,3.5831436890105017,3.5831436890105017,1.9591835737228394,0.9652183651924133,150,753.3730102539063,4.937577005207665,4.937577005207665,1.9304367303848267,0.9739382266998291,140,622.022412109375,4.7076852558862585,4.7076852558862585,1.9478764533996582,0.3378995433789954,0.3424657534246575,0.319634703196347
