round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,llm_strict_generative_coherence,Client 1,148,1566.158251953125,0.9999087452888489,3987421.5,3241735.25,-0.9999087452888489,13.202980828336942,13.202980828336942,1.9998174905776978,0.3378943378943379
1,llm_strict_generative_coherence,Client 2,150,1602.8050048828125,0.9999753832817078,4608825.5,3894989.5,-0.9999753832817078,12.958765266907944,12.958765266907944,1.9999507665634155,0.34245834245834245
1,llm_strict_generative_coherence,Client 3,140,1353.9193359375,0.9999959468841553,2321843.5,1997765.75,-0.9999959468841553,13.438986621784245,13.438986621784245,1.9999918937683105,0.3196473196473197
2,llm_strict_generative_coherence,Client 1,148,1484.3551513671875,0.9997621774673462,3986405.75,3241018.75,-0.9997621774673462,4.767234473115076,4.767234473115076,1.9995243549346924,0.337902
2,llm_strict_generative_coherence,Client 2,150,1492.459228515625,0.9998189806938171,4607520.0,3894107.75,-0.9998189806938171,4.845386945499001,4.845386945499001,1.9996379613876343,0.342532
2,llm_strict_generative_coherence,Client 3,140,1278.9505615234375,0.9999468326568604,2321612.75,1997607.75,-0.9999468326568604,4.164000211324699,4.164000211324699,1.9998936653137207,0.319566
3,llm_strict_generative_coherence,Client 1,148,1381.5289306640625,0.9994995594024658,3984472.25,3239693.75,-0.9994995594024658,7.5186046975511465,7.5186046975511465,1.9989991188049316,0.337977
3,llm_strict_generative_coherence,Client 2,150,1412.292578125,0.9995825886726379,4606366.0,3893082.5,-0.9995825886726379,6.622054157448743,6.622054157448743,1.9991651773452759,0.342482
3,llm_strict_generative_coherence,Client 3,140,1197.5755126953125,0.999735414981842,2320701.25,1996961.125,-0.999735414981842,5.146359622892844,5.146359622892844,1.999470829963684,0.319541
4,llm_strict_generative_coherence,Client 1,148,1311.865087890625,0.9992376565933228,3982756.25,3238465.25,-0.9992376565933228,6.722300466267396,6.722300466267396,1.9984753131866455,0.337985
4,llm_strict_generative_coherence,Client 2,150,1337.307666015625,0.9990594983100891,4604521.5,3891175.5,-0.9990594983100891,6.674129809979656,6.674129809979656,1.9981189966201782,0.342512
4,llm_strict_generative_coherence,Client 3,140,1157.669189453125,0.9992309212684631,2318628.5,1995456.875,-0.9992309212684631,4.987748822612705,4.987748822612705,1.9984618425369263,0.319503
5,llm_strict_generative_coherence,Client 1,148,1229.927392578125,0.9986968636512756,3978646.75,3235688.0,-0.9986968636512756,5.567875212375376,5.567875212375376,1.9973937273025513,0.338047
5,llm_strict_generative_coherence,Client 2,150,1247.9935546875,0.9974758625030518,4598153.5,3884920.5,-0.9974758625030518,6.033167257136435,6.033167257136435,1.9949517250061035,0.342754
5,llm_strict_generative_coherence,Client 3,140,1059.7222900390625,0.9984162449836731,2315623.0,1993213.375,-0.9984162449836731,4.48885262296464,4.48885262296464,1.9968324899673462,0.319199
6,llm_strict_generative_coherence,Client 1,148,1140.681201171875,0.9977035522460938,3972791.25,3231352.25,-0.9977035522460938,6.440461942587538,6.440461942587538,1.9954071044921875,0.338213
6,llm_strict_generative_coherence,Client 2,150,1154.67109375,0.9946682453155518,4587478.0,3874117.5,-0.9946682453155518,5.529459961935122,5.529459961935122,1.9893364906311035,0.342552
6,llm_strict_generative_coherence,Client 3,140,985.9547485351562,0.9971652626991272,2311056.5,1989843.375,-0.9971652626991272,4.272265371283433,4.272265371283433,1.9943305253982544,0.319235
7,llm_strict_generative_coherence,Client 1,148,1054.32490234375,0.9956007599830627,3959614.0,3221834.25,-0.9956007599830627,4.517216677169086,4.517216677169086,1.9912015199661255,0.3380523380523381
7,llm_strict_generative_coherence,Client 2,150,1062.9196166992188,0.9907686114311218,4569203.0,3857590.0,-0.9907686114311218,4.886892539517858,4.886892539517858,1.9815372228622437,0.343039343039343
7,llm_strict_generative_coherence,Client 3,140,888.3191772460938,0.9932470321655273,2298829.25,1980067.125,-0.9932470321655273,3.75422405200964,3.75422405200964,1.9864940643310547,0.31890831890831894
8,llm_strict_generative_coherence,Client 1,148,955.9839965820313,0.992357075214386,3935923.0,3205610.0,-0.992357075214386,4.966493718184303,4.966493718184303,1.984714150428772,0.33855
8,llm_strict_generative_coherence,Client 2,150,985.3262573242188,0.9826462268829346,4533275.0,3824112.0,-0.9826462268829346,5.118917912914648,5.118917912914648,1.9652924537658691,0.342996
8,llm_strict_generative_coherence,Client 3,140,783.75048828125,0.9886353015899658,2285993.0,1969428.625,-0.9886353015899658,3.6211295112926574,3.6211295112926574,1.9772706031799316,0.318454
9,llm_strict_generative_coherence,Client 1,148,836.6905883789062,0.9876619577407837,3905694.5,3184172.75,-0.9876619577407837,4.211984419533137,4.211984419533137,1.9753239154815674,0.338422
9,llm_strict_generative_coherence,Client 2,150,867.3331298828125,0.9741806983947754,4493802.5,3788511.25,-0.9741806983947754,5.508734914267536,5.508734914267536,1.9483613967895508,0.343167
9,llm_strict_generative_coherence,Client 3,140,707.8421020507812,0.9797633290290833,2258931.0,1947755.375,-0.9797633290290833,4.617271901116343,4.617271901116343,1.9595266580581665,0.318411
10,llm_strict_generative_coherence,Client 1,148,741.4794921875,0.9803277254104614,3858939.25,3150225.75,-0.9803277254104614,4.114246566937793,4.114246566937793,1.9606554508209229,0.3383053383053383
