round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,llm_control_action,llm_anchor_l1_limit,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,validation_source,strict_checkpoint_policy,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,llm_strict_generative_coherence,0.0005,20,0.999959439175314,3667854.5593607305,3067836.6369863013,-0.999959439175314,0.0,0.0,fedyogi,1.5,0.75,1.0,13.036941118923409,12.054924588355055,False,True,False,global_underfit_recovery,0.12,,,,,,,,,,,client_reported,final_round,0.9999087452888489,148,1566.158251953125,13.202980828336942,13.202980828336942,1.9998174905776978,0.9999753832817078,150,1602.8050048828125,12.958765266907944,12.958765266907944,1.9999507665634155,0.9999959468841553,140,1353.9193359375,13.438986621784245,13.438986621784245,1.9999918937683105,0.3378943378943379,0.34245834245834245,0.3196473196473197
2,llm_strict_generative_coherence,0.0005,20,0.9998406528337905,3666990.493150685,3067242.0605022833,-0.9998406528337905,0.0,0.0,fedyogi,1.5,0.75,1.0,4.0992063416858535,3.3678989867793128,False,True,True,global_underfit_recovery,0.12,,,,,,,,,,,client_reported,final_round,0.9997621774673462,148,1484.3551513671875,4.767234473115076,4.767234473115076,1.9995243549346924,0.9998189806938171,150,1492.459228515625,4.845386945499001,4.845386945499001,1.9996379613876343,0.9999468326568604,140,1278.9505615234375,4.164000211324699,4.164000211324699,1.9998936653137207,0.337902,0.342532,0.319566
3,llm_strict_generative_coherence,0.0005,20,0.9996033817121427,3665650.611872146,3066236.546803653,-0.9996033817121427,0.0,0.0,fedyogi,1.5,0.75,1.0,6.0658536337990485,4.683412135830946,False,True,True,global_underfit_recovery,0.12,,,,,,,,,,,client_reported,final_round,0.9994995594024658,148,1381.5289306640625,7.5186046975511465,7.5186046975511465,1.9989991188049316,0.9995825886726379,150,1412.292578125,6.622054157448743,6.622054157448743,1.9991651773452759,0.999735414981842,140,1197.5755126953125,5.146359622892844,5.146359622892844,1.999470829963684,0.337977,0.342482,0.319541
4,llm_strict_generative_coherence,0.0005,20,0.9991744906390638,3663776.5753424657,3064687.544520548,-0.9991744906390638,0.0,0.0,fedyogi,1.5,0.75,1.0,5.682073368830771,4.890150936413265,False,True,True,global_underfit_recovery,0.12,,,,,,,,,,,client_reported,final_round,0.9992376565933228,148,1311.865087890625,6.722300466267396,6.722300466267396,1.9984753131866455,0.9990594983100891,150,1337.307666015625,6.674129809979656,6.674129809979656,1.9981189966201782,0.9992309212684631,140,1157.669189453125,4.987748822612705,4.987748822612705,1.9984618425369263,0.337985,0.342512,0.319503
5,llm_strict_generative_coherence,0.0005,20,0.9981890171085863,3659246.493150685,3060889.8892694064,-0.9981890171085863,0.0,0.0,fedyogi,1.5,0.75,1.0,4.685225488312935,4.240173672310225,False,True,True,global_underfit_recovery,0.12,,,,,,,,,,,client_reported,final_round,0.9986968636512756,148,1229.927392578125,5.567875212375376,5.567875212375376,1.9973937273025513,0.9974758625030518,150,1247.9935546875,6.033167257136435,6.033167257136435,1.9949517250061035,0.9984162449836731,140,1059.7222900390625,4.48885262296464,4.48885262296464,1.9968324899673462,0.338047,0.342754,0.319199
6,llm_strict_generative_coherence,0.0005,20,0.9964920075516722,3652152.3173515983,3054648.014840183,-0.9964920075516722,0.0,0.0,fedyogi,1.5,0.75,1.0,4.611028043231072,4.449988574705848,False,True,True,global_underfit_recovery,0.12,,,,,,,,,,,client_reported,final_round,0.9977035522460938,148,1140.681201171875,6.440461942587538,6.440461942587538,1.9954071044921875,0.9946682453155518,150,1154.67109375,5.529459961935122,5.529459961935122,1.9893364906311035,0.9971652626991272,140,985.9547485351562,4.272265371283433,4.272265371283433,1.9943305253982544,0.338213,0.342552,0.319235
7,llm_strict_generative_coherence,0.0005,20,0.9931935814961995,3637532.915525114,3042646.955479452,-0.9931935814961995,0.0,0.0,fedyogi,1.5,0.75,1.0,3.3463153621329225,3.167808726469041,False,True,True,global_underfit_recovery,0.12,,,,,,,,,,,client_reported,final_round,0.9956007599830627,148,1054.32490234375,4.517216677169086,4.517216677169086,1.9912015199661255,0.9907686114311218,150,1062.9196166992188,4.886892539517858,4.886892539517858,1.9815372228622437,0.9932470321655273,140,888.3191772460938,3.75422405200964,3.75422405200964,1.9864940643310547,0.3380523380523381,0.343039343039343,0.31890831890831894
8,llm_strict_generative_coherence,0.0005,20,0.9878418342163574,3613120.7168949773,3022299.2865296802,-0.9878418342163574,0.0,0.0,fedyogi,1.5,0.75,1.0,3.4810244718630363,3.3137998054329993,False,True,True,global_underfit_recovery,0.12,,,,,,,,,,,client_reported,final_round,0.992357075214386,148,955.9839965820313,4.966493718184303,4.966493718184303,1.984714150428772,0.9826462268829346,150,985.3262573242188,5.118917912914648,5.118917912914648,1.9652924537658691,0.9886353015899658,140,783.75048828125,3.6211295112926574,3.6211295112926574,1.9772706031799316,0.33855,0.342996,0.318454
9,llm_strict_generative_coherence,0.0005,20,0.9805204122578173,3580738.586757991,2995936.0890410957,-0.9805204122578173,0.0,0.0,fedyogi,1.5,0.75,1.0,3.2608452396958314,2.93099648205968,False,True,True,global_underfit_recovery,0.12,,,,,,,,,,,client_reported,final_round,0.9876619577407837,148,836.6905883789062,4.211984419533137,4.211984419533137,1.9753239154815674,0.9741806983947754,150,867.3331298828125,5.508734914267536,5.508734914267536,1.9483613967895508,0.9797633290290833,140,707.8421020507812,4.617271901116343,4.617271901116343,1.9595266580581665,0.338422,0.343167,0.318411
10,llm_strict_generative_coherence,0.0005,20,0.9737246371295354,3545454.6666666665,2968381.1609589043,-0.9737246371295354,0.0,0.0,fedyogi,1.5,0.75,1.0,3.345893406866312,3.0588773144056742,False,True,True,global_underfit_recovery,0.12,,,,,,,,,,,client_reported,final_round,0.9803277254104614,148,741.4794921875,4.114246566937793,4.114246566937793,1.9606554508209229,0.9660736918449402,150,762.2970947265625,5.480249309741001,5.480249309741001,1.9321473836898804,0.9749416708946228,140,631.4298095703125,5.200755190537564,5.200755190537564,1.9498833417892456,0.3383053383053383,0.34287034287034285,0.3188243188243188
