round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,strict_coherence_guided,Client 1,148,1566.158251953125,0.9999087452888489,3987421.5,3241735.25,-0.9999087452888489,13.202980828336942,13.202980828336942,1.9998174905776978,0.3376465897568846
1,strict_coherence_guided,Client 2,150,1602.8050048828125,0.9999753832817078,4608825.5,3894989.5,-0.9999753832817078,12.958765266907944,12.958765266907944,1.9999507665634155,0.3421021887825305
1,strict_coherence_guided,Client 3,140,1353.9193359375,0.9999959468841553,2321843.5,1997765.75,-0.9999959468841553,13.438986621784245,13.438986621784245,1.9999918937683105,0.3202512214605848
2,strict_coherence_guided,Client 1,148,1484.360791015625,0.9997620582580566,3986405.75,3241018.75,-0.9997620582580566,6.213409045298881,6.213409045298881,1.9995241165161133,0.33750661319499176
2,strict_coherence_guided,Client 2,150,1492.4613037109375,0.9998189806938171,4607520.5,3894107.75,-0.9998189806938171,6.194809619778227,6.194809619778227,1.9996379613876343,0.3430693925820014
2,strict_coherence_guided,Client 3,140,1278.959228515625,0.9999468922615051,2321613.25,1997607.75,-0.9999468922615051,5.909954905435086,5.909954905435086,1.9998937845230103,0.31942399422300677
3,strict_coherence_guided,Client 1,148,1381.529296875,0.9994995594024658,3984472.25,3239693.5,-0.9994995594024658,7.750431124728616,7.750431124728616,1.9989991188049316,0.3415187414067711
3,strict_coherence_guided,Client 2,150,1412.2928955078125,0.9995825886726379,4606365.5,3893082.0,-0.9995825886726379,6.803554849330987,6.803554849330987,1.9991651773452759,0.3430133609175883
3,strict_coherence_guided,Client 3,140,1197.5796630859375,0.9997355341911316,2320701.75,1996961.375,-0.9997355341911316,5.380661087980381,5.380661087980381,1.9994710683822632,0.31546789767564065
4,strict_coherence_guided,Client 1,148,1311.9275390625,0.9992388486862183,3982762.75,3238470.0,-0.9992388486862183,7.564546396490028,7.564546396490028,1.9984776973724365,0.34145652975191854
4,strict_coherence_guided,Client 2,150,1337.385400390625,0.9990593791007996,4604520.5,3891174.75,-0.9990593791007996,7.305630371305275,7.305630371305275,1.9981187582015991,0.34315033608084905
4,strict_coherence_guided,Client 3,140,1157.7615966796875,0.9992302656173706,2318626.5,1995455.125,-0.9992302656173706,5.845516734672785,5.845516734672785,1.9984605312347412,0.31539313416723247
5,strict_coherence_guided,Client 1,148,1230.018603515625,0.998698890209198,3978656.5,3235696.25,-0.998698890209198,6.553939981857768,6.553939981857768,1.997397780418396,0.34157998331482287
5,strict_coherence_guided,Client 2,150,1248.093017578125,0.9974762797355652,4598154.5,3884922.0,-0.9974762797355652,7.194009729312659,7.194009729312659,1.9949525594711304,0.35180584208923404
5,strict_coherence_guided,Client 3,140,1059.8838500976562,0.9984164834022522,2315624.25,1993214.5,-0.9984164834022522,5.448777204819374,5.448777204819374,1.9968329668045044,0.3066141745959431
6,strict_coherence_guided,Client 1,148,1140.75595703125,0.997704267501831,3972793.75,3231353.75,-0.997704267501831,7.481682389170146,7.481682389170146,1.995408535003662,0.34717436114945116
6,strict_coherence_guided,Client 2,150,1154.755419921875,0.9946678280830383,4587444.0,3874101.5,-0.9946678280830383,6.426444407141168,6.426444407141168,1.9893356561660767,0.3438479671297015
6,strict_coherence_guided,Client 3,140,986.3595336914062,0.9971440434455872,2310999.0,1989792.875,-0.9971440434455872,5.300611472339548,5.300611472339548,1.9942880868911743,0.3089776717208474
7,strict_coherence_guided,Client 1,148,1054.4474365234375,0.9955979585647583,3959579.75,3221816.5,-0.9955979585647583,4.901001513759419,4.901001513759419,1.9911959171295166,0.336499915668539
7,strict_coherence_guided,Client 2,150,1063.063818359375,0.990766704082489,4569158.0,3857564.75,-0.990766704082489,5.568645209380073,5.568645209380073,1.981533408164978,0.3598674400570856
7,strict_coherence_guided,Client 3,140,888.530224609375,0.9932031631469727,2298762.5,1979990.0,-0.9932031631469727,4.7108067511228695,4.7108067511228695,1.9864063262939453,0.30363264427437536
8,strict_coherence_guided,Client 1,148,956.1907592773438,0.9923446774482727,3935909.0,3205580.25,-0.9923446774482727,5.309823452964743,5.309823452964743,1.9846893548965454,0.36632193668550656
8,strict_coherence_guided,Client 2,150,985.5522094726563,0.9826316833496094,4533040.0,3823978.5,-0.9826316833496094,5.3394264483772655,5.3394264483772655,1.9652633666992188,0.3628876163773732
8,strict_coherence_guided,Client 3,140,784.0307861328125,0.9885707497596741,2285817.0,1969284.25,-0.9885707497596741,3.8375359565820517,3.8375359565820517,1.9771414995193481,0.2707904469371203
9,strict_coherence_guided,Client 1,148,837.0139526367187,0.9876255393028259,3905572.5,3184051.75,-0.9876255393028259,4.305129246142969,4.305129246142969,1.9752510786056519,0.3647668021044661
