round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,validation_source,strict_checkpoint_policy,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,strict_coherence_guided,0.0005,20,0.999959439175314,3667854.5593607305,3067836.6369863013,-0.999959439175314,0.0,0.0,fedyogi,1.0,0.5,1.0,13.037197711186963,9.408391572620673,False,True,False,,,,,,,,,,,client_reported,final_round,0.9999087452888489,148,1566.158251953125,13.202980828336942,13.202980828336942,1.9998174905776978,0.9999753832817078,150,1602.8050048828125,12.958765266907944,12.958765266907944,1.9999507665634155,0.9999959468841553,140,1353.9193359375,13.438986621784245,13.438986621784245,1.9999918937683105,0.3376465897568846,0.3421021887825305,0.3202512214605848
2,strict_coherence_guided,0.0005,20,0.999840631604739,3666990.8242009133,3067242.0605022833,-0.999840631604739,0.0,0.0,fedyogi,1.0,0.5,1.0,5.735355077737984,5.04262149222316,False,True,True,,,,,,,,,,,client_reported,final_round,0.9997620582580566,148,1484.360791015625,6.213409045298881,6.213409045298881,1.9995241165161133,0.9998189806938171,150,1492.4613037109375,6.194809619778227,6.194809619778227,1.9996379613876343,0.9999468922615051,140,1278.959228515625,5.909954905435086,5.909954905435086,1.9998937845230103,0.33750661319499176,0.3430693925820014,0.31942399422300677
3,strict_coherence_guided,0.0005,20,0.9996034198155687,3665650.600456621,3066236.371004566,-0.9996034198155687,0.0,0.0,fedyogi,1.0,0.5,1.0,6.3034522278847,3.828834798083201,False,True,True,,,,,,,,,,,client_reported,final_round,0.9994995594024658,148,1381.529296875,7.750431124728616,7.750431124728616,1.9989991188049316,0.9995825886726379,150,1412.2928955078125,6.803554849330987,6.803554849330987,1.9991651773452759,0.9997355341911316,140,1197.5796630859375,5.380661087980381,5.380661087980381,1.9994710683822632,0.3415187414067711,0.3430133609175883,0.31546789767564065
4,strict_coherence_guided,0.0005,20,0.9991746430527674,3663777.7899543378,3064688.3333333335,-0.9991746430527674,0.0,0.0,fedyogi,1.0,0.5,1.0,6.514638476240831,4.466563962693381,False,True,True,,,,,,,,,,,client_reported,final_round,0.9992388486862183,148,1311.9275390625,7.564546396490028,7.564546396490028,1.9984776973724365,0.9990593791007996,150,1337.385400390625,7.305630371305275,7.305630371305275,1.9981187582015991,0.9992302656173706,140,1157.7615966796875,5.845516734672785,5.845516734672785,1.9984605312347412,0.34145652975191854,0.34315033608084905,0.31539313416723247
5,strict_coherence_guided,0.0005,20,0.9981899209762817,3659250.529680365,3060893.5502283103,-0.9981899209762817,0.0,0.0,fedyogi,1.0,0.5,1.0,5.8821339523836915,4.461162228850597,False,True,True,,,,,,,,,,,client_reported,final_round,0.998698890209198,148,1230.018603515625,6.553939981857768,6.553939981857768,1.997397780418396,0.9974762797355652,150,1248.093017578125,7.194009729312659,7.194009729312659,1.9949525594711304,0.9984164834022522,140,1059.8838500976562,5.448777204819374,5.448777204819374,1.9968329668045044,0.34157998331482287,0.35180584208923404,0.3066141745959431
6,strict_coherence_guided,0.0005,20,0.9964853239386049,3652123.1392694064,3054626.9006849313,-0.9964853239386049,0.0,0.0,fedyogi,1.0,0.5,1.0,5.767353437964841,4.671184245885821,False,True,True,,,,,,,,,,,client_reported,final_round,0.997704267501831,148,1140.75595703125,7.481682389170146,7.481682389170146,1.995408535003662,0.9946678280830383,150,1154.755419921875,6.426444407141168,6.426444407141168,1.9893356561660767,0.9971440434455872,140,986.3595336914062,5.300611472339548,5.300611472339548,1.9942880868911743,0.34717436114945116,0.3438479671297015,0.3089776717208474
7,strict_coherence_guided,0.0005,20,0.9931779596359218,3637484.595890411,3042607.658675799,-0.9931779596359218,0.0,0.0,fedyogi,1.0,0.5,1.0,4.200918846173523,3.686020247871329,False,True,True,,,,,,,,,,,client_reported,final_round,0.9955979585647583,148,1054.4474365234375,4.901001513759419,4.901001513759419,1.9911959171295166,0.990766704082489,150,1063.063818359375,5.568645209380073,5.568645209380073,1.981533408164978,0.9932031631469727,140,888.530224609375,4.7108067511228695,4.7108067511228695,1.9864063262939453,0.336499915668539,0.3598674400570856,0.30363264427437536
8,strict_coherence_guided,0.0005,20,0.987812031349635,3612979.2511415523,3022197.3675799086,-0.987812031349635,0.0,0.0,fedyogi,1.0,0.5,1.0,3.945044151206978,3.553887733916371,False,True,True,,,,,,,,,,,client_reported,final_round,0.9923446774482727,148,956.1907592773438,5.309823452964743,5.309823452964743,1.9846893548965454,0.9826316833496094,150,985.5522094726563,5.3394264483772655,5.3394264483772655,1.9652633666992188,0.9885707497596741,140,784.0307861328125,3.8375359565820517,3.8375359565820517,1.9771414995193481,0.36632193668550656,0.3628876163773732,0.2707904469371203
9,strict_coherence_guided,0.0005,20,0.9805305344329033,3580576.8607305936,2995909.2956621004,-0.9805305344329033,0.0,0.0,fedyogi,1.0,0.5,1.0,3.4671855280131085,3.094035535939419,False,True,True,,,,,,,,,,,client_reported,final_round,0.9876255393028259,148,837.0139526367187,4.305129246142969,4.305129246142969,1.9752510786056519,0.9742401242256165,150,867.4302612304688,5.546138616183289,5.546138616183289,1.948480248451233,0.9797698259353638,140,708.8486938476562,4.703406798297234,4.703406798297234,1.9595396518707275,0.3647668021044661,0.3739302297967964,0.2613029680987375
10,strict_coherence_guided,0.0005,20,0.9736271394442205,3545166.392694064,2968150.7043378996,-0.9736271394442205,0.0,0.0,fedyogi,1.0,0.5,1.0,3.4309718517289083,3.037667953975935,False,True,True,,,,,,,,,,,client_reported,final_round,0.9802259206771851,148,741.9560668945312,4.07719340558035,4.07719340558035,1.9604518413543701,0.9661012887954712,150,762.7275390625,5.491341908706241,5.491341908706241,1.9322025775909424,0.9747146964073181,140,632.6913940429688,5.375430096319849,5.375430096319849,1.9494293928146362,0.35629419947012264,0.35796846446340397,0.28573733606647334
