round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,size_only,Client 1,148,1553.1192138671875,0.9999370574951172,3987416.5,3241793.75,-0.9999370574951172,13.109766845152377,13.109766845152377,1.9998741149902344,0.3378995433789954
1,size_only,Client 2,150,1569.96220703125,0.9999568462371826,4608771.0,3894918.0,-0.9999568462371826,12.963841657728189,12.963841657728189,1.9999136924743652,0.3424657534246575
1,size_only,Client 3,140,1304.350146484375,0.9999964833259583,2321849.5,1997768.25,-0.9999964833259583,13.461358610088878,13.461358610088878,1.9999929666519165,0.319634703196347
2,size_only,Client 1,148,1461.944580078125,0.9997721314430237,3986145.0,3240935.25,-0.9997721314430237,11.075349548391333,11.075349548391333,1.9995442628860474,0.3378995433789954
2,size_only,Client 2,150,1473.12919921875,0.999804675579071,4607769.5,3894150.75,-0.999804675579071,10.982187523583578,10.982187523583578,1.999609351158142,0.3424657534246575
2,size_only,Client 3,140,1246.4584228515625,0.9999298453330994,2321549.25,1997563.75,-0.9999298453330994,11.37807413426121,11.37807413426121,1.9998596906661987,0.319634703196347
3,size_only,Client 1,148,1367.7853515625,0.9995020627975464,3984195.25,3239586.0,-0.9995020627975464,9.288789552692137,9.288789552692137,1.9990041255950928,0.3378995433789954
3,size_only,Client 2,150,1401.1883056640625,0.9993793964385986,4605463.0,3892239.5,-0.9993793964385986,9.612792657190887,9.612792657190887,1.9987587928771973,0.3424657534246575
3,size_only,Client 3,140,1165.1083984375,0.9996702671051025,2320483.5,1996784.875,-0.9996702671051025,9.363884694533295,9.363884694533295,1.999340534210205,0.319634703196347
4,size_only,Client 1,148,1287.0893798828124,0.9990634918212891,3981431.75,3237570.0,-0.9990634918212891,9.270832533508607,9.270832533508607,1.9981269836425781,0.3378995433789954
4,size_only,Client 2,150,1300.4866455078125,0.9982766509056091,4600649.0,3887729.25,-0.9982766509056091,9.788030166390435,9.788030166390435,1.9965533018112183,0.3424657534246575
4,size_only,Client 3,140,1102.8076049804688,0.9992406368255615,2318757.25,1995545.375,-0.9992406368255615,8.810286019495882,8.810286019495882,1.998481273651123,0.319634703196347
5,size_only,Client 1,148,1203.0393310546874,0.9981488585472107,3974616.5,3232952.75,-0.9981488585472107,10.48710690695699,10.48710690695699,1.9962977170944214,0.3378995433789954
5,size_only,Client 2,150,1198.9028076171876,0.9963039755821228,4593221.0,3880345.75,-0.9963039755821228,11.138143353600197,11.138143353600197,1.9926079511642456,0.3424657534246575
5,size_only,Client 3,140,1006.3490356445312,0.9981832504272461,2314399.25,1992470.625,-0.9981832504272461,9.280911455771239,9.280911455771239,1.9963665008544922,0.319634703196347
6,size_only,Client 1,148,1084.5953857421875,0.9966480135917664,3965562.0,3226206.75,-0.9966480135917664,13.024641472136913,13.024641472136913,1.9932960271835327,0.3378995433789954
6,size_only,Client 2,150,1105.7727416992188,0.993110179901123,4580096.0,3867602.5,-0.993110179901123,15.121327345935152,15.121327345935152,1.986220359802246,0.3424657534246575
6,size_only,Client 3,140,929.1077880859375,0.9964306950569153,2308531.0,1988026.0,-0.9964306950569153,11.541677945649397,11.541677945649397,1.9928613901138306,0.319634703196347
7,size_only,Client 1,148,990.2013305664062,0.9936560392379761,3945922.25,3212068.5,-0.9936560392379761,15.741337480586912,15.741337480586912,1.9873120784759521,0.3378995433789954
7,size_only,Client 2,150,992.416650390625,0.9874944090843201,4554544.0,3844230.0,-0.9874944090843201,18.037668961717905,18.037668961717905,1.9749888181686401,0.3424657534246575
7,size_only,Client 3,140,848.9438232421875,0.9942848682403564,2298952.25,1981464.0,-0.9942848682403564,15.17338005171256,15.17338005171256,1.988569736480713,0.319634703196347
8,size_only,Client 1,148,905.1813110351562,0.990201473236084,3925049.75,3196759.25,-0.990201473236084,19.428890330659012,19.428890330659012,1.980402946472168,0.3378995433789954
