round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,aggregation_delta_norm,server_update_norm,server_update_clipped,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,0.9999999,3907390.2,2983944.0,-0.9999999,0.35128382,-1.3991544246673584,fedyogi,1.0,0.2,13.034546861055594,4.478848945382807,False,0.9999370574951172,148,1553.1192138671875,13.109766845152377,13.109766845152377,1.9998741149902344,0.9999568462371826,150,1569.96220703125,12.963841657728189,12.963841657728189,1.9999136924743652,0.9999964833259583,140,1304.350146484375,13.461358610088878,13.461358610088878,1.9999929666519165,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,0.9999437,3906812.8,2983634.5,-0.9999437,0.3512319,-1.3984453678131104,fedyogi,1.0,0.2,9.266713792042136,4.694666160311937,False,0.9997721314430237,148,1461.944580078125,9.404403634681653,9.404403634681653,1.9995442628860474,0.999804675579071,150,1473.12919921875,9.415634142266914,9.415634142266914,1.999609351158142,0.9999298453330994,140,1246.4584228515625,9.665522272326674,9.665522272326674,1.9998596906661987,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.9988031,3896866.5,2977841.0,-0.9988031,0.3503377,-1.3862483501434326,fedyogi,1.0,0.2,6.3184433463794205,4.023955881961299,False,0.9995040893554688,148,1367.7887939453126,6.534268470361,6.534268470361,1.9990081787109375,0.9993743896484375,150,1401.2008056640625,7.16099353190243,7.16099353190243,1.998748779296875,0.9996682405471802,140,1165.0161865234375,6.3053905746464824,6.3053905746464824,1.9993364810943604,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.9961337,3882749.2,2967239.0,-0.9961337,0.34906852,-1.368990421295166,fedyogi,1.0,0.2,6.341737750403188,2.560507364200395,False,0.9990612864494324,148,1286.5668212890625,6.797811361078964,6.797811361078964,1.9981225728988647,0.9982616901397705,150,1300.0842529296874,7.549282783100508,7.549282783100508,1.996523380279541,0.9992363452911377,140,1102.5942016601562,5.8338822351610355,5.8338822351610355,1.9984726905822754,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.99264896,3868051.5,2954778.0,-0.99264896,0.34774718,-1.3510892391204834,fedyogi,1.0,0.2,7.621931061619628,2.500732785851213,False,0.9981389045715332,148,1202.08466796875,8.284507339762095,8.284507339762095,1.9962778091430664,0.9963375926017761,150,1198.7840576171875,9.042453189504718,9.042453189504718,1.9926751852035522,0.9981961846351624,140,1005.8378295898438,6.8445541807405945,6.8445541807405945,1.9963923692703247,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.9870796,3847958.2,2936175.0,-0.9870796,0.34594074,-1.3267261981964111,fedyogi,1.0,0.2,10.1117744749658,2.847607165198191,False,0.9966260194778442,148,1083.245654296875,10.21172687115191,10.21172687115191,1.9932520389556885,0.9930877685546875,150,1105.0143676757812,12.35721192049297,12.35721192049297,1.986175537109375,0.9964155554771423,140,927.9827026367187,8.626077080850367,8.626077080850367,1.9928311109542847,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.9791096,3814715.2,2907755.0,-0.9791096,0.3429521,-1.286698341369629,fedyogi,1.0,0.2,12.09833581884715,2.910745958766931,False,0.9935019612312317,148,988.2541625976562,11.719723175408168,11.719723175408168,1.9870039224624634,0.9873226284980774,150,990.5770751953125,14.044370199758081,14.044370199758081,1.9746452569961548,0.9942485094070435,140,847.6385986328125,11.362735645405158,11.362735645405158,1.988497018814087,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.96449345,3748463.2,2853881.2,-0.96449345,0.3369959,-1.2079596519470215,fedyogi,1.0,0.2,13.963299324725062,2.874020061466868,False,0.9901701211929321,148,902.459130859375,13.878845364792278,13.878845364792278,1.9803402423858643,0.9795925617218018,150,909.2460815429688,16.571635552084356,16.571635552084356,1.9591851234436035,0.9870831370353699,140,749.9256591796875,12.21424642022983,12.21424642022983,1.9741662740707397,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.9411512,3645144.8,2770672.8,-0.9411512,0.32770732,-1.087921380996704,fedyogi,1.0,0.2,15.714830551402082,2.838682589786924,False,0.9824647307395935,148,788.8283935546875,14.52314311133132,14.52314311133132,1.964929461479187,0.9679070711135864,150,816.6119140625,18.282379737686743,18.282379737686743,1.9358141422271729,0.9805552363395691,140,666.2360595703125,15.071461851002843,15.071461851002843,1.9611104726791382,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.9087842,3507160.8,2659482.2,-0.9087842,0.31530222,-0.93284010887146,fedyogi,1.0,0.2,17.49655085603073,2.640690226716745,False,0.9730908274650574,148,681.3346313476562,15.990256323834142,15.990256323834142,1.9461816549301147,0.950385332107544,150,681.06005859375,19.648284289111295,19.648284289111295,1.900770664215088,0.9725475311279297,140,563.354150390625,17.681991276862977,17.681991276862977,1.9450950622558594,0.3378995433789954,0.3424657534246575,0.319634703196347
