round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,llm_generative_coherence,Client 1,148,1566.158251953125,0.9999087452888489,3987421.5,3241735.25,-0.9999087452888489,13.202980828336942,13.202980828336942,1.9998174905776978,0.3378743378743379
1,llm_generative_coherence,Client 2,150,1602.8050048828125,0.9999753832817078,4608825.5,3894989.5,-0.9999753832817078,12.958765266907944,12.958765266907944,1.9999507665634155,0.3424293424293424
1,llm_generative_coherence,Client 3,140,1353.9193359375,0.9999959468841553,2321843.5,1997765.75,-0.9999959468841553,13.438986621784245,13.438986621784245,1.9999918937683105,0.3196963196963197
2,llm_generative_coherence,Client 1,148,1471.4506103515625,0.9997990131378174,3986765.75,3241250.5,-0.9997990131378174,5.177347299164704,5.177347299164704,1.9995980262756348,0.337498
2,llm_generative_coherence,Client 2,150,1500.835791015625,0.9998409748077393,4607628.0,3894196.75,-0.9998409748077393,5.424427137240892,5.424427137240892,1.9996819496154785,0.342514
2,llm_generative_coherence,Client 3,140,1288.9119140625,0.9999501705169678,2321635.0,1997620.5,-0.9999501705169678,5.605576686939675,5.605576686939675,1.9999003410339355,0.319988
3,llm_generative_coherence,Client 1,148,1398.6796875,0.9995790719985962,3985086.25,3240112.0,-0.9995790719985962,6.744939706319682,6.744939706319682,1.9991581439971924,0.338426
3,llm_generative_coherence,Client 2,150,1403.0016845703126,0.9995668530464172,4606474.0,3893078.25,-0.9995668530464172,6.02820268264268,6.02820268264268,1.9991337060928345,0.342108
3,llm_generative_coherence,Client 3,140,1225.4199951171875,0.9997733235359192,2320889.0,1997082.5,-0.9997733235359192,6.147327969587834,6.147327969587834,1.9995466470718384,0.319466
4,llm_generative_coherence,Client 1,148,1303.710888671875,0.999109148979187,3981984.5,3237929.25,-0.999109148979187,7.29578390914832,7.29578390914832,1.998218297958374,0.338007661992338
