round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,llm_generative_coherence,0.0005,20,0.9999972,3907355.8,2983929.0,-0.9999972,0.35128072,-1.3991117477416992,fedyogi,1.0,0.6,1.0,13.036962253280521,10.628719289089414,False,True,False,,,,,,,,,,,0.9999087452888489,148,1566.158251953125,13.202980828336942,13.202980828336942,1.9998174905776978,0.9999753832817078,150,1602.8050048828125,12.958765266907944,12.958765266907944,1.9999507665634155,0.9999959468841553,140,1353.9193359375,13.438986621784245,13.438986621784245,1.9999918937683105,0.3378743378743379,0.3424293424293424,0.3196963196963197
2,llm_generative_coherence,0.0005,20,0.99974555,3903884.2,2982290.0,-0.99974555,0.3509686,-1.394850730895996,fedyogi,1.0,0.6,1.0,4.891368470010628,4.0795634988929965,False,True,True,,,,,,,,,,,0.9997990131378174,148,1471.4506103515625,5.177347299164704,5.177347299164704,1.9995980262756348,0.9998409748077393,150,1500.835791015625,5.424427137240892,5.424427137240892,1.9996819496154785,0.9999501705169678,140,1288.9119140625,5.605576686939675,5.605576686939675,1.9999003410339355,0.337498,0.342514,0.319988
3,llm_generative_coherence,0.0005,20,0.9992117,3899325.0,2979617.0,-0.9992117,0.35055873,-1.3892602920532227,fedyogi,1.0,0.6,1.0,5.834279656593901,4.134682839110725,False,True,True,,,,,,,,,,,0.9995790719985962,148,1398.6796875,6.744939706319682,6.744939706319682,1.9991581439971924,0.9995668530464172,150,1403.0016845703126,6.02820268264268,6.02820268264268,1.9991337060928345,0.9997733235359192,140,1225.4199951171875,6.147327969587834,6.147327969587834,1.9995466470718384,0.338426,0.342108,0.319466
4,llm_generative_coherence,0.0005,20,0.9988734,3899413.0,2978880.2,-0.9988734,0.35056663,-1.3893680572509766,fedyogi,1.0,0.6,1.0,6.702731345614826,4.9980967551441875,False,True,True,,,,,,,,,,,0.999109148979187,148,1303.710888671875,7.29578390914832,7.29578390914832,1.998218297958374,0.9989362955093384,150,1312.5852783203125,7.42641702265609,7.42641702265609,1.9978725910186768,0.999225914478302,140,1104.5293579101562,6.708503924122438,6.708503924122438,1.998451828956604,0.338007661992338,0.3427836572163428,0.31920868079131925
5,llm_generative_coherence,0.0005,20,0.9983804,3897925.8,2977331.5,-0.9983804,0.35043293,-1.3875455856323242,fedyogi,1.0,0.6,1.0,5.468104326591677,4.736530908019643,False,True,True,,,,,,,,,,,0.9986140727996826,148,1221.260205078125,6.712118040381808,6.712118040381808,1.9972281455993652,0.9975473284721375,150,1255.264208984375,6.369134042317555,6.369134042317555,1.995094656944275,0.9986774921417236,140,1044.1711059570312,4.798799558915089,4.798799558915089,1.9973549842834473,0.338322,0.343106,0.318572
6,llm_generative_coherence,0.0005,20,0.99700344,3892124.5,2972494.0,-0.99700344,0.3499114,-1.3804442882537842,fedyogi,1.0,0.6,1.0,4.256711179021979,3.9172675469670954,False,True,True,,,,,,,,,,,0.9974459409713745,148,1153.019580078125,5.905416970628863,5.905416970628863,1.994891881942749,0.9952690601348877,150,1169.0017578125,5.424013744708626,5.424013744708626,1.9905381202697754,0.9974486827850342,140,968.1684448242188,4.188844206538039,4.188844206538039,1.9948973655700684,0.34000765999234,0.34280565719434286,0.3171866828133172
7,llm_generative_coherence,0.0005,20,0.994479,3880801.2,2963336.8,-0.994479,0.3488934,-1.3666136264801025,fedyogi,1.0,0.6,1.0,4.2717395972061905,4.084673977964545,False,True,True,,,,,,,,,,,0.9953134655952454,148,1031.652294921875,5.319976443750382,5.319976443750382,1.9906269311904907,0.9917771220207214,150,1038.9637084960937,6.340385536348081,6.340385536348081,1.9835542440414429,0.9946627020835876,140,878.9455810546875,3.816281559634769,3.816281559634769,1.9893254041671753,0.339361,0.344788,0.315851
8,llm_generative_coherence,0.0005,20,0.99102503,3863615.2,2950361.0,-0.99102503,0.34734833,-1.3456995487213135,fedyogi,1.0,0.6,1.0,3.776128957759514,3.471608658078574,False,True,True,,,,,,,,,,,0.9925684928894043,148,955.508154296875,5.140411964829277,5.140411964829277,1.9851369857788086,0.9844947457313538,150,943.9024658203125,5.838674806548683,5.838674806548683,1.9689894914627075,0.9913354516029358,140,790.0081909179687,4.098060872168779,4.098060872168779,1.9826709032058716,0.339094,0.346141,0.314765
9,llm_generative_coherence,0.0005,20,0.9853336,3835983.2,2929125.2,-0.9853336,0.34486416,-1.3122670650482178,fedyogi,1.0,0.6,1.0,4.003934784648765,3.258246221572472,False,True,True,,,,,,,,,,,0.9878197908401489,148,850.9489501953125,4.591905004139814,4.591905004139814,1.9756395816802979,0.9758642911911011,150,875.3244750976562,5.5700675192349385,5.5700675192349385,1.9517285823822021,0.9852271676063538,140,726.4262939453125,4.414151044975217,4.414151044975217,1.9704543352127075,0.338568,0.343335,0.318097
10,llm_generative_coherence,0.0005,20,0.97804666,3800100.2,2901578.0,-0.97804666,0.34163818,-1.2692101001739502,fedyogi,1.0,0.6,1.0,3.430048240713877,2.7680983990512367,False,True,True,,,,,,,,,,,0.982365071773529,148,749.6005615234375,4.478787865170379,4.478787865170379,1.964730143547058,0.9645004272460938,150,757.3248291015625,5.105631676753393,5.105631676753393,1.9290008544921875,0.9754460453987122,140,631.4006225585938,4.767169832539419,4.767169832539419,1.9508920907974243,0.339337,0.343798,0.316865
11,llm_generative_coherence,0.0005,20,0.965005,3744904.2,2857637.8,-0.965005,0.33667594,-1.2037687301635742,fedyogi,1.0,0.6,1.0,3.65967894417521,2.606835236861376,False,True,True,,,,,,,,,,,0.9719300270080566,148,655.6170532226563,4.1375731284365775,4.1375731284365775,1.9438600540161133,0.9493499398231506,150,645.3741943359375,5.27006045127685,5.27006045127685,1.8986998796463013,0.9613997936248779,140,537.4632141113282,5.357367225184232,5.357367225184232,1.9227995872497559,0.3394673394673395,0.3419143419143419,0.31861831861831863
12,llm_generative_coherence,0.0005,20,0.9489665,3683539.8,2806484.2,-0.9489665,0.3311591,-1.1321380138397217,fedyogi,1.0,0.6,1.0,4.081362133204994,3.2103873264502614,False,True,True,,,,,,,,,,,0.9582202434539795,148,580.5412536621094,4.8134337604499065,4.8134337604499065,1.916440486907959,0.925811767578125,150,558.7329528808593,4.816458686718153,4.816458686718153,1.85162353515625,0.9442564845085144,140,467.1220642089844,5.832180208010281,5.832180208010281,1.8885129690170288,0.33930266069733933,0.3403716596283404,0.32032567967432035
13,llm_generative_coherence,0.0005,20,0.92531455,3608116.2,2738874.0,-0.92531455,0.32437834,-1.0457172393798828,fedyogi,1.0,0.6,1.0,4.577552755644994,3.989592496087914,False,True,True,,,,,,,,,,,0.9422023296356201,148,468.37188110351565,5.837832569956281,5.837832569956281,1.8844046592712402,0.8976842761039734,150,475.7223693847656,5.757239685536915,5.757239685536915,1.7953685522079468,0.9141526818275452,140,358.3786560058594,5.470801834908702,5.470801834908702,1.8283053636550903,0.338149,0.34444,0.317411
14,llm_generative_coherence,0.0005,20,0.89366907,3525043.0,2658622.5,-0.89366907,0.31690988,-0.9526007175445557,fedyogi,1.0,0.6,1.0,4.627132502372082,3.9214462267746115,False,True,True,,,,,,,,,,,0.9097331166267395,148,373.83369140625,4.68077607788797,4.68077607788797,1.819466233253479,0.8499048352241516,150,382.62944946289065,5.663372717424648,5.663372717424648,1.6998096704483032,0.8878691792488098,140,294.57518310546874,6.990833164541729,6.990833164541729,1.7757383584976196,0.336111,0.342884,0.321005
15,llm_generative_coherence,0.0005,20,0.8476659,3374849.2,2525496.8,-0.8476659,0.3034071,-0.7897539138793945,fedyogi,1.0,0.6,1.0,5.123583640308277,3.459494031847315,False,True,True,,,,,,,,,,,0.8706854581832886,148,285.5700653076172,4.505886659414358,4.505886659414358,1.7413709163665771,0.8158943057060242,150,291.1358581542969,5.689296427144402,5.689296427144402,1.6317886114120483,0.8287899494171143,140,192.62696533203126,8.462789583989998,8.462789583989998,1.6575798988342285,0.334858,0.34359,0.321552
