round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,mas_validation_guided_candidate,0.0005,20,0.9999999,3907390.8,2983944.5,-0.9999999,0.35128385,-1.3991549015045166,fedyogi,0.5,0.2,1.0,13.04306230936836,4.460577002214265,False,True,False,candidate_002_lr0p5_ep+0,candidate_002_lr0p5_ep+0,accepted_llm_near_best,1.024734676439966,error_compensation,30,0.02742120905304446,0.002,0.003,0.4,0.9999087452888489,148,1566.158251953125,13.202980828336942,13.202980828336942,1.9998174905776978,0.9999753832817078,150,1602.8050048828125,12.958765266907944,12.958765266907944,1.9999507665634155,0.9999959468841553,140,1353.9193359375,13.438986621784245,13.438986621784245,1.9999918937683105,0.33331623936243054,0.3333384529147002,0.3333453077228693
2,mas_validation_guided_candidate,0.0005,20,0.9999733,3906987.0,2983762.0,-0.9999733,0.35124755,-1.3986589908599854,fedyogi,0.5,0.2,1.0,9.5939388110125,4.785840597183236,False,True,True,candidate_003_lr0p5_ep+0,candidate_003_lr0p5_ep+0,accepted_llm_near_best,1.024761760101559,error_compensation,30,4.325105862740264e-05,0.002,0.003,0.4,0.9998405575752258,148,1478.4522216796875,9.851122117710755,9.851122117710755,1.9996811151504517,0.9998242259025574,150,1488.7869384765625,9.654918952480127,9.654918952480127,1.9996484518051147,0.9999564290046692,140,1282.537646484375,10.003662430036899,10.003662430036899,1.9999128580093384,0.3333222719637221,0.3333168273853865,0.3333609006508914
3,mas_validation_guided_candidate,0.0005,20,0.9991071,3897871.5,2978935.2,-0.9991071,0.35042804,-1.387479543685913,fedyogi,1.0,0.4,1.0,7.8065045876329755,5.670990310281815,False,True,True,size_anchor,previous_accepted_lr0p5_ep+0,fallback_conservative_epsilon,1.0251134006357536,size_anchor,30,0.02745239490908874,0.002,0.003,0.4,0.9995530843734741,148,1402.4029541015625,8.132788935145797,8.132788935145797,1.9991061687469482,0.9995033740997314,150,1413.195263671875,8.170838530705485,8.170838530705485,1.999006748199463,0.9997004270553589,140,1202.936572265625,7.973862049423173,7.973862049423173,1.9994008541107178,0.3378995433789954,0.3424657534246575,0.319634703196347
4,mas_validation_guided_candidate,0.0005,20,0.9965881,3881912.5,2968263.8,-0.9965881,0.3489933,-1.367969274520874,fedyogi,0.5,0.2,1.0,7.849691313366233,2.344294270985342,False,True,True,size_anchor_lr0p5_ep+0,size_anchor_lr0p5_ep+0,accepted,1.0190556085915494,size_anchor,30,0.0,0.002,0.003,0.4,0.9992088675498962,148,1290.662060546875,8.795561152562078,8.795561152562078,1.9984177350997925,0.999009370803833,150,1351.7627197265624,8.186915154087192,8.186915154087192,1.998018741607666,0.999266505241394,140,1134.303662109375,7.6194503710039,7.6194503710039,1.998533010482788,0.3378995433789954,0.3424657534246575,0.319634703196347
5,mas_validation_guided_candidate,0.0005,20,0.99242514,3861891.0,2952630.2,-0.99242514,0.34719333,-1.3436059951782227,fedyogi,0.5,0.2,1.0,9.036259114013946,2.5655088368771146,False,True,True,candidate_004_lr0p5_ep+0,candidate_004_lr0p5_ep+0,accepted_llm_near_best,1.0162813920918818,local_grid,30,0.09999999999999998,0.002,0.003,0.4,0.998635470867157,148,1222.32958984375,9.01359071172372,9.01359071172372,1.997270941734314,0.9975483417510986,150,1246.4283203125,9.620530119845295,9.620530119845295,1.9950966835021973,0.9985700249671936,140,1043.564501953125,9.731004367101077,9.731004367101077,1.9971400499343872,0.2878995433789954,0.3924657534246575,0.319634703196347
6,mas_validation_guided_candidate,0.0005,20,0.98645365,3842031.2,2933736.8,-0.98645365,0.34540787,-1.3195641040802002,fedyogi,0.5,0.2,1.0,11.022201243013983,2.9441878194721256,False,True,True,previous_accepted_lr0p5_ep+0,previous_accepted_lr0p5_ep+0,accepted,1.0098623451585682,previous_accepted,30,0.0,0.002,0.003,0.4,0.9974262714385986,148,1132.571484375,11.360115785659179,11.360115785659179,1.9948525428771973,0.9949537515640259,150,1149.3847900390624,11.794509120979559,11.794509120979559,1.9899075031280518,0.9973109364509583,140,952.5640625,10.697294725130376,10.697294725130376,1.9946218729019165,0.2878995433789954,0.3924657534246575,0.319634703196347
7,mas_validation_guided_candidate,0.0005,20,0.9805617,3821023.8,2914474.0,-0.9805617,0.34351924,-1.2942676544189453,fedyogi,0.5,0.2,1.0,10.629860169162404,2.9833657063166807,False,True,True,candidate_004_lr0p5_ep+0,candidate_004_lr0p5_ep+0,accepted_llm_near_best,1.0051939002789179,local_grid,30,0.09999999999999998,0.002,0.003,0.4,0.9953296780586243,148,1046.23271484375,12.016128205458411,12.016128205458411,1.9906593561172485,0.9907248616218567,150,1045.6132934570312,11.446934416019094,11.446934416019094,1.9814497232437134,0.9940767288208008,140,891.8429077148437,9.757050969098886,9.757050969098886,1.9881534576416016,0.2878995433789954,0.3424657534246575,0.369634703196347
8,mas_validation_guided_candidate,0.0005,20,0.97242546,3788434.0,2886815.5,-0.97242546,0.34058934,-1.2552988529205322,fedyogi,0.5,0.2,1.0,10.597075302156021,3.0742101928193803,False,True,True,candidate_009_lr0p5_ep+0,candidate_009_lr0p5_ep+0,accepted_llm_near_best,0.9965593621712077,local_grid,30,0.0273972602739726,0.002,0.003,0.4,0.9929845929145813,148,943.6866455078125,11.304957964451862,11.304957964451862,1.9859691858291626,0.985366940498352,150,956.32470703125,12.595126076575042,12.595126076575042,1.970733880996704,0.9908000230789185,140,807.1102905273438,9.253934959511792,9.253934959511792,1.981600046157837,0.2833333333333333,0.3333333333333333,0.3833333333333333
9,mas_validation_guided_candidate,0.0005,20,0.96386784,3754788.8,2858708.0,-0.96386784,0.33756456,-1.2154176235198975,fedyogi,0.5,0.2,1.0,10.6465026390957,3.1257373378089723,False,True,True,previous_accepted_lr0p5_ep+0,previous_accepted_lr0p5_ep+0,accepted,0.9878007948682122,previous_accepted,30,0.0,0.002,0.003,0.4,0.9881606101989746,148,862.7590454101562,12.852194808219192,12.852194808219192,1.9763212203979492,0.9748338460922241,150,870.785498046875,11.850014561859462,11.850014561859462,1.9496676921844482,0.9850526452064514,140,717.8561157226562,9.235242763087559,9.235242763087559,1.9701052904129028,0.2833333333333333,0.3333333333333333,0.3833333333333333
10,mas_validation_guided_candidate,0.0005,20,0.9533108,3708504.2,2821135.2,-0.9533108,0.33340347,-1.1611363887786865,fedyogi,0.5,0.2,1.0,10.419403420825407,3.0075377528999896,False,True,True,previous_accepted_lr0p5_ep+0,previous_accepted_lr0p5_ep+0,accepted,0.9771631676261757,previous_accepted,30,0.0,0.002,0.003,0.4,0.9816692471504211,148,729.153857421875,11.559778200484997,11.559778200484997,1.9633384943008423,0.9638378024101257,150,763.8517944335938,11.698031025754876,11.698031025754876,1.9276756048202515,0.9755315780639648,140,652.9431518554687,9.581056823078013,9.581056823078013,1.9510631561279297,0.2833333333333333,0.3333333333333333,0.3833333333333333
