round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,llm_generative_coherence,Client 1,148,1592.2974365234375,0.9999853372573853,3987787.5,3242024.5,-0.9999853372573853,12.975546725462204,12.975546725462204,1.9999706745147705,0.33789
1,llm_generative_coherence,Client 2,150,1628.6629638671875,0.9999913573265076,4608958.5,3895077.0,-0.9999913573265076,12.890776627666082,12.890776627666082,1.9999827146530151,0.342474
1,llm_generative_coherence,Client 3,140,1392.454443359375,0.9999985098838806,2321858.75,1997774.5,-0.9999985098838806,13.317380255097033,13.317380255097033,1.9999970197677612,0.319636
2,llm_generative_coherence,Client 1,148,1539.91513671875,0.9999650716781616,3987550.5,3241896.75,-0.9999650716781616,5.84366562469361,5.84366562469361,1.9999301433563232,0.337878
2,llm_generative_coherence,Client 2,150,1572.845263671875,0.9999747276306152,4608826.0,3894982.75,-0.9999747276306152,5.963764243273673,5.963764243273673,1.9999494552612305,0.342503
2,llm_generative_coherence,Client 3,140,1334.8608642578124,0.9999873042106628,2321805.25,1997738.625,-0.9999873042106628,5.903042739047793,5.903042739047793,1.9999746084213257,0.319619
3,llm_generative_coherence,Client 1,148,1458.40830078125,0.999885082244873,3987101.75,3241544.25,-0.999885082244873,5.740698950412709,5.740698950412709,1.999770164489746,0.337925
3,llm_generative_coherence,Client 2,150,1494.411962890625,0.9999184012413025,4608580.5,3894755.0,-0.9999184012413025,5.752749344398044,5.752749344398044,1.999836802482605,0.34252
3,llm_generative_coherence,Client 3,140,1247.524609375,0.9999280571937561,2321527.25,1997552.0,-0.9999280571937561,5.017662466583873,5.017662466583873,1.9998561143875122,0.319555
4,llm_generative_coherence,Client 1,148,1375.2972412109375,0.9997742176055908,3986334.5,3241008.5,-0.9997742176055908,6.0867661693325115,6.0867661693325115,1.9995484352111816,0.337953
4,llm_generative_coherence,Client 2,150,1403.6502685546875,0.9997218251228333,4607803.5,3893990.25,-0.9997218251228333,6.411402269064126,6.411402269064126,1.9994436502456665,0.342582
4,llm_generative_coherence,Client 3,140,1179.6896240234375,0.9997118711471558,2320855.25,1996990.25,-0.9997118711471558,5.503750376650698,5.503750376650698,1.9994237422943115,0.319465
5,llm_generative_coherence,Client 1,148,1325.275,0.9995014667510986,3984709.0,3239804.75,-0.9995014667510986,6.163221559526415,6.163221559526415,1.9990029335021973,0.3379083379083379
5,llm_generative_coherence,Client 2,150,1315.5521728515625,0.9991880655288696,4606023.0,3892057.25,-0.9991880655288696,6.37948595419893,6.37948595419893,1.9983761310577393,0.3425263425263425
5,llm_generative_coherence,Client 3,140,1117.51494140625,0.9994356632232666,2319972.25,1996274.0,-0.9994356632232666,6.056954336939902,6.056954336939902,1.9988713264465332,0.3195653195653196
6,llm_generative_coherence,Client 1,148,1217.180810546875,0.9991455078125,3982263.25,3238116.0,-0.9991455078125,6.347219025591433,6.347219025591433,1.998291015625,0.337861
6,llm_generative_coherence,Client 2,150,1249.3393310546876,0.9984689950942993,4603082.0,3889178.5,-0.9984689950942993,6.889146811107067,6.889146811107067,1.9969379901885986,0.342612
6,llm_generative_coherence,Client 3,140,1068.0174194335937,0.9990096688270569,2318593.0,1995171.75,-0.9990096688270569,6.042581016033412,6.042581016033412,1.9980193376541138,0.319527
7,llm_generative_coherence,Client 1,148,1133.5861083984375,0.9982513785362244,3977465.0,3234487.0,-0.9982513785362244,7.0521816653034035,7.0521816653034035,1.9965027570724487,0.33795
7,llm_generative_coherence,Client 2,150,1149.685791015625,0.9967324137687683,4596629.5,3882592.5,-0.9967324137687683,7.003103031661865,7.003103031661865,1.9934648275375366,0.3425
7,llm_generative_coherence,Client 3,140,981.0927368164063,0.9981662034988403,2315524.75,1992898.5,-0.9981662034988403,6.818677554141703,6.818677554141703,1.9963324069976807,0.31955
8,llm_generative_coherence,Client 1,148,1051.5616088867187,0.9969953298568726,3971286.0,3229537.0,-0.9969953298568726,7.923198604215871,7.923198604215871,1.9939906597137451,0.33789866210133795
8,llm_generative_coherence,Client 2,150,1056.786181640625,0.9940555095672607,4586424.0,3872286.75,-0.9940555095672607,7.27228615199051,7.27228615199051,1.9881110191345215,0.34245165754834245
