round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,llm_generative_coherence,0.0005,20,0.9999999,3907390.8,2983944.5,-0.9999999,0.35128385,-1.3991549015045166,fedyogi,1.0,0.5,1.0,12.892149142184019,9.272456764918395,False,True,False,,,,,,,,,,,0.9999853372573853,148,1592.2974365234375,12.975546725462204,12.975546725462204,1.9999706745147705,0.9999913573265076,150,1628.6629638671875,12.890776627666082,12.890776627666082,1.9999827146530151,0.9999985098838806,140,1392.454443359375,13.317380255097033,13.317380255097033,1.9999970197677612,0.33789,0.342474,0.319636
2,llm_generative_coherence,0.0005,20,0.9999695,3907059.0,2983770.5,-0.9999695,0.35125402,-1.3987476825714111,fedyogi,1.0,0.5,1.0,5.430047551417398,4.857522431613473,False,True,True,,,,,,,,,,,0.9999650716781616,148,1539.91513671875,5.84366562469361,5.84366562469361,1.9999301433563232,0.9999747276306152,150,1572.845263671875,5.963764243273673,5.963764243273673,1.9999494552612305,0.9999873042106628,140,1334.8608642578124,5.903042739047793,5.903042739047793,1.9999746084213257,0.337878,0.342503,0.319619
3,llm_generative_coherence,0.0005,20,0.99990374,3906412.0,2983414.2,-0.99990374,0.35119587,-1.3979530334472656,fedyogi,1.0,0.5,1.0,5.032706743206807,3.5018376971801297,False,True,True,,,,,,,,,,,0.999885082244873,148,1458.40830078125,5.740698950412709,5.740698950412709,1.999770164489746,0.9999184012413025,150,1494.411962890625,5.752749344398044,5.752749344398044,1.999836802482605,0.9999280571937561,140,1247.524609375,5.017662466583873,5.017662466583873,1.9998561143875122,0.337925,0.34252,0.319555
4,llm_generative_coherence,0.0005,20,0.9997073,3905288.2,2982611.2,-0.9997073,0.35109484,-1.396573543548584,fedyogi,1.0,0.5,1.0,5.497720001843523,4.2620034771312,False,True,True,,,,,,,,,,,0.9997742176055908,148,1375.2972412109375,6.0867661693325115,6.0867661693325115,1.9995484352111816,0.9997218251228333,150,1403.6502685546875,6.411402269064126,6.411402269064126,1.9994436502456665,0.9997118711471558,140,1179.6896240234375,5.503750376650698,5.503750376650698,1.9994237422943115,0.337953,0.342582,0.319465
5,llm_generative_coherence,0.0005,20,0.99930143,3903676.8,2981229.0,-0.99930143,0.35094997,-1.3945963382720947,fedyogi,1.0,0.5,1.0,5.635455497897696,4.5021649101122705,False,True,True,,,,,,,,,,,0.9995014667510986,148,1325.275,6.163221559526415,6.163221559526415,1.9990029335021973,0.9991880655288696,150,1315.5521728515625,6.37948595419893,6.37948595419893,1.9983761310577393,0.9994356632232666,140,1117.51494140625,6.056954336939902,6.056954336939902,1.9988713264465332,0.3379083379083379,0.3425263425263425,0.3195653195653196
6,llm_generative_coherence,0.0005,20,0.9986836,3900774.0,2978920.5,-0.9986836,0.350689,-1.3910362720489502,fedyogi,1.0,0.5,1.0,5.904291904273939,4.4501193521461095,False,True,True,,,,,,,,,,,0.9991455078125,148,1217.180810546875,6.347219025591433,6.347219025591433,1.998291015625,0.9984689950942993,150,1249.3393310546876,6.889146811107067,6.889146811107067,1.9969379901885986,0.9990096688270569,140,1068.0174194335937,6.042581016033412,6.042581016033412,1.9980193376541138,0.337861,0.342612,0.319527
7,llm_generative_coherence,0.0005,20,0.9974093,3894989.0,2974334.2,-0.9974093,0.3501689,-1.3839495182037354,fedyogi,1.0,0.5,1.0,6.415966610654858,4.562457379621583,False,True,True,,,,,,,,,,,0.9982513785362244,148,1133.5861083984375,7.0521816653034035,7.0521816653034035,1.9965027570724487,0.9967324137687683,150,1149.685791015625,7.003103031661865,7.003103031661865,1.9934648275375366,0.9981662034988403,140,981.0927368164063,6.818677554141703,6.818677554141703,1.9963324069976807,0.33795,0.3425,0.31955
8,llm_generative_coherence,0.0005,20,0.9954754,3886702.5,2967556.0,-0.9954754,0.34942394,-1.373816967010498,fedyogi,1.0,0.5,1.0,7.310182061860624,4.428919162061827,False,True,True,,,,,,,,,,,0.9969953298568726,148,1051.5616088867187,7.923198604215871,7.923198604215871,1.9939906597137451,0.9940555095672607,150,1056.786181640625,7.27228615199051,7.27228615199051,1.9881110191345215,0.9967448115348816,140,875.6525390625,8.390762919343883,8.390762919343883,1.9934896230697632,0.33789866210133795,0.34245165754834245,0.31964968035031965
9,llm_generative_coherence,0.0005,20,0.9923384,3873720.2,2956797.5,-0.9923384,0.3482568,-1.357985496520996,fedyogi,1.0,0.5,1.0,7.502710829353195,4.490308489248129,False,True,True,,,,,,,,,,,0.9941991567611694,148,953.3579345703125,6.968179416577809,6.968179416577809,1.9883983135223389,0.9899128079414368,150,946.2228759765625,7.779933079765701,7.779933079765701,1.9798256158828735,0.9944071173667908,140,787.2422485351562,9.359609944556597,9.359609944556597,1.9888142347335815,0.337827,0.342456,0.319717
10,llm_generative_coherence,0.0005,20,0.98751986,3852185.2,2939647.5,-0.98751986,0.34632075,-1.331840991973877,fedyogi,1.0,0.5,1.0,7.9910535875375235,4.552972648231129,False,True,True,,,,,,,,,,,0.9899729490280151,148,841.7510009765625,7.884524576343715,7.884524576343715,1.9799458980560303,0.9838220477104187,150,861.173388671875,8.858519252899479,8.858519252899479,1.9676440954208374,0.9902426600456238,140,716.6093872070312,8.689464352874321,8.689464352874321,1.9804853200912476,0.33791066208933795,0.3424906575093425,0.3195986804013196
11,llm_generative_coherence,0.0005,20,0.98046213,3824933.0,2916790.2,-0.98046213,0.3438707,-1.298964500427246,fedyogi,1.0,0.5,1.0,8.39622473933624,4.541246296684541,False,True,True,,,,,,,,,,,0.984013020992279,148,745.4015014648437,8.16571523378716,8.16571523378716,1.968026041984558,0.9737165570259094,150,771.6266845703125,9.800190966502441,9.800190966502441,1.9474331140518188,0.9815808534622192,140,622.1884399414063,8.585618425547942,8.585618425547942,1.9631617069244385,0.337863,0.342522,0.319615
12,llm_generative_coherence,0.0005,20,0.9677105,3779786.8,2878528.5,-0.9677105,0.33981195,-1.2450149059295654,fedyogi,1.0,0.5,1.0,8.718855913604816,4.462419105454307,False,True,True,,,,,,,,,,,0.9741683602333069,148,652.8233154296875,9.381965918996174,9.381965918996174,1.9483367204666138,0.9577417969703674,150,652.8968994140625,9.680567809941511,9.680567809941511,1.9154835939407349,0.9677143096923828,140,540.41982421875,8.469979263829073,8.469979263829073,1.9354286193847656,0.337957,0.342466,0.319577
13,llm_generative_coherence,0.0005,20,0.9528234,3718984.0,2829892.5,-0.9528234,0.33434564,-1.1733675003051758,fedyogi,1.0,0.5,1.0,7.377834557232077,4.197906077775725,False,True,True,,,,,,,,,,,0.9561203122138977,148,540.2669006347656,8.409231643691102,8.409231643691102,1.9122406244277954,0.9389951825141907,150,580.2886352539062,8.138262280125794,8.138262280125794,1.8779903650283813,0.9497275948524475,140,429.67791137695315,7.294869912314147,7.294869912314147,1.899455189704895,0.3378873378873379,0.3425013425013425,0.3196113196113196
14,llm_generative_coherence,0.0005,20,0.93022114,3635331.2,2759151.5,-0.93022114,0.32682505,-1.0766942501068115,fedyogi,1.0,0.5,1.0,7.079778827541693,4.35488124328713,False,True,True,,,,,,,,,,,0.9353412985801697,148,453.64013671875,7.228453942516371,7.228453942516371,1.8706825971603394,0.9031267762184143,150,445.8627136230469,8.052937354176969,8.052937354176969,1.8062535524368286,0.9264387488365173,140,341.3972442626953,8.002739893185726,8.002739893185726,1.8528774976730347,0.337867,0.342547,0.319586
15,llm_generative_coherence,0.0005,20,0.8877983,3507856.0,2642418.0,-0.8877983,0.31536472,-0.9336063861846924,fedyogi,1.0,0.5,1.0,6.835769833967505,4.396283349908114,False,True,True,,,,,,,,,,,0.8876490592956543,148,362.26392517089846,5.643565109858813,5.643565109858813,1.7752981185913086,0.8661983609199524,150,341.82960815429686,8.042821378627536,8.042821378627536,1.7323967218399048,0.8846052885055542,140,276.1232055664062,9.181825222394076,9.181825222394076,1.7692105770111084,0.33747,0.342679,0.319851
16,llm_generative_coherence,0.0005,20,0.8314586,3337510.0,2485151.2,-0.8314586,0.3000502,-0.7503694295883179,fedyogi,1.0,0.5,1.0,6.049974800128363,4.084435785221668,False,True,True,,,,,,,,,,,0.840289294719696,148,282.40101318359376,4.782575634697008,4.782575634697008,1.680578589439392,0.8157185316085815,150,257.7703857421875,8.993420718604005,8.993420718604005,1.631437063217163,0.8408434391021729,140,199.23272094726562,6.979889871293468,6.979889871293468,1.6816868782043457,0.337253,0.342873,0.319874
17,llm_generative_coherence,0.0005,20,0.75316954,3128734.2,2276770.0,-0.75316954,0.28128076,-0.5382324457168579,fedyogi,1.0,0.5,1.0,4.907355580349844,3.4796771604851666,False,True,True,,,,,,,,,,,0.7835655212402344,148,213.5203125,4.274706210782552,4.274706210782552,1.5671310424804688,0.7286419868469238,150,211.7118713378906,5.687639886246262,5.687639886246262,1.4572839736938477,0.7704414129257202,140,140.23965148925782,7.946494625402409,7.946494625402409,1.5408828258514404,0.337348,0.342647,0.320005
18,llm_generative_coherence,0.0005,20,0.65490246,2906224.5,2031300.8,-0.6482629,0.2612766,-0.32722008228302,fedyogi,1.0,0.5,1.0,3.963520907927939,3.255196337391323,False,True,True,,,,,,,,,,,0.7172182202339172,148,149.10929260253906,3.976288222020115,3.976288222020115,1.4104111194610596,0.6434738636016846,150,154.01531982421875,5.885335159842024,5.885335159842024,1.2869477272033691,0.649455726146698,140,94.309814453125,5.9595681493263255,5.9595681493263255,1.298911452293396,0.336475,0.343154,0.320371
19,llm_generative_coherence,0.0005,20,0.5679889,2646776.0,1773212.9,-0.52662677,0.23795155,-0.10082674026489258,fedyogi,1.0,0.5,1.0,3.1511102536139517,2.1794458402007466,False,True,True,,,,,,,,,,,0.6290693879127502,148,107.25247650146484,4.583107220055392,4.583107220055392,1.1894652843475342,0.5547744631767273,150,111.1441879272461,4.911529436878651,4.911529436878651,1.1056922674179077,0.5554635524749756,140,62.214422607421874,6.106289404653911,6.106289404653911,1.0693385601043701,0.335807,0.343532,0.320661
