round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,llm_strict_generative_coherence,Client 1,148,1566.158251953125,0.9999087452888489,3987421.5,3241735.25,-0.9999087452888489,13.202980828336942,13.202980828336942,1.9998174905776978,0.3378943378943379
1,llm_strict_generative_coherence,Client 2,150,1602.8050048828125,0.9999753832817078,4608825.5,3894989.5,-0.9999753832817078,12.958765266907944,12.958765266907944,1.9999507665634155,0.34245834245834245
1,llm_strict_generative_coherence,Client 3,140,1353.9193359375,0.9999959468841553,2321843.5,1997765.75,-0.9999959468841553,13.438986621784245,13.438986621784245,1.9999918937683105,0.3196473196473197
2,llm_strict_generative_coherence,Client 1,148,1484.3551513671875,0.9997621774673462,3986405.75,3241018.75,-0.9997621774673462,6.213546598758211,6.213546598758211,1.9995243549346924,0.33789166210833793
2,llm_strict_generative_coherence,Client 2,150,1492.459228515625,0.9998189806938171,4607520.0,3894107.75,-0.9998189806938171,6.195115680523845,6.195115680523845,1.9996379613876343,0.3424776575223425
2,llm_strict_generative_coherence,Client 3,140,1278.9505615234375,0.9999468326568604,2321612.75,1997607.75,-0.9999468326568604,5.910345884660374,5.910345884660374,1.9998936653137207,0.31963068036931963
3,llm_strict_generative_coherence,Client 1,148,1381.529541015625,0.9994995594024658,3984471.75,3239693.5,-0.9994995594024658,7.750320726022203,7.750320726022203,1.9989991188049316,0.337972
3,llm_strict_generative_coherence,Client 2,150,1412.2928955078125,0.9995824098587036,4606365.0,3893082.0,-0.9995824098587036,6.804559062383569,6.804559062383569,1.9991648197174072,0.342477
3,llm_strict_generative_coherence,Client 3,140,1197.57822265625,0.9997352957725525,2320700.75,1996960.625,-0.9997352957725525,5.381158193330107,5.381158193330107,1.999470591545105,0.319551
4,llm_strict_generative_coherence,Client 1,148,1311.9443115234376,0.9992381930351257,3982759.75,3238467.75,-0.9992381930351257,7.563093316691045,7.563093316691045,1.9984763860702515,0.337971
4,llm_strict_generative_coherence,Client 2,150,1337.3962158203126,0.9990599751472473,4604523.0,3891177.25,-0.9990599751472473,7.302420286297004,7.302420286297004,1.9981199502944946,0.342479
4,llm_strict_generative_coherence,Client 3,140,1157.739306640625,0.9992308020591736,2318628.75,1995456.625,-0.9992308020591736,5.84330415216111,5.84330415216111,1.9984616041183472,0.31955
5,llm_strict_generative_coherence,Client 1,148,1230.052392578125,0.9986977577209473,3978651.0,3235692.25,-0.9986977577209473,6.556549509558569,6.556549509558569,1.9973955154418945,0.337974
5,llm_strict_generative_coherence,Client 2,150,1248.11572265625,0.9974765777587891,4598157.0,3884924.25,-0.9974765777587891,7.19176363054503,7.19176363054503,1.9949531555175781,0.342652
5,llm_strict_generative_coherence,Client 3,140,1059.8416015625,0.9984179735183716,2315629.75,1993218.25,-0.9984179735183716,5.446638364668797,5.446638364668797,1.9968359470367432,0.319374
6,llm_strict_generative_coherence,Client 1,148,1140.828857421875,0.997705340385437,3972798.0,3231358.75,-0.997705340385437,7.479203399065656,7.479203399065656,1.995410680770874,0.3380863380863381
6,llm_strict_generative_coherence,Client 2,150,1154.817724609375,0.9946693778038025,4587483.0,3874122.5,-0.9946693778038025,6.426095770766738,6.426095770766738,1.989338755607605,0.3424953424953425
6,llm_strict_generative_coherence,Client 3,140,986.105224609375,0.9971689581871033,2311068.75,1989853.125,-0.9971689581871033,5.27883206949634,5.27883206949634,1.9943379163742065,0.3194183194183194
7,llm_strict_generative_coherence,Client 1,148,1054.6010375976562,0.9956073760986328,3959644.0,3221859.0,-0.9956073760986328,4.915317953030344,4.915317953030344,1.9912147521972656,0.33788
7,llm_strict_generative_coherence,Client 2,150,1063.1915161132813,0.9907718300819397,4569213.0,3857601.25,-0.9907718300819397,5.560035231558382,5.560035231558382,1.9815436601638794,0.342816
7,llm_strict_generative_coherence,Client 3,140,888.5430908203125,0.9932537078857422,2298852.0,1980084.25,-0.9932537078857422,4.69633573997855,4.69633573997855,1.9865074157714844,0.319304
8,llm_strict_generative_coherence,Client 1,148,956.2883666992187,0.9923691153526306,3935983.0,3205658.75,-0.9923691153526306,5.28718750243855,5.28718750243855,1.9847382307052612,0.3384706615293385
8,llm_strict_generative_coherence,Client 2,150,985.640234375,0.9826595187187195,4533329.5,3824164.75,-0.9826595187187195,5.34135989528983,5.34135989528983,1.965319037437439,0.34287565712434287
8,llm_strict_generative_coherence,Client 3,140,784.0280395507813,0.988652765750885,2286055.75,1969475.125,-0.988652765750885,3.8301938956276795,3.8301938956276795,1.97730553150177,0.31865368134631866
9,llm_strict_generative_coherence,Client 1,148,837.031689453125,0.9876807332038879,3905790.25,3184248.0,-0.9876807332038879,4.355189442817123,4.355189442817123,1.9753614664077759,0.338471
9,llm_strict_generative_coherence,Client 2,150,867.70048828125,0.9742028117179871,4493896.0,3788598.0,-0.9742028117179871,5.568667322294776,5.568667322294776,1.9484056234359741,0.34314
9,llm_strict_generative_coherence,Client 3,140,708.110107421875,0.9797875285148621,2259010.25,1947815.375,-0.9797875285148621,4.600817851516114,4.600817851516114,1.9595750570297241,0.318389
10,llm_strict_generative_coherence,Client 1,148,741.8069458007812,0.9803633689880371,3859107.5,3150364.5,-0.9803633689880371,4.1972697319305174,4.1972697319305174,1.9607267379760742,0.33831766168233834
