round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,llm_strict_generative_coherence,0.0005,20,0.9999978116580418,3663116.2008928573,3063689.9866071427,-0.9999978116580418,0.0,0.0,fedyogi,1.0,0.5,1.0,13.036941118923409,9.408298866154313,False,True,False,,,,,,,,,,,0.9999087452888489,148,1566.158251953125,13.202980828336942,13.202980828336942,1.9998174905776978,0.9999753832817078,150,1602.8050048828125,12.958765266907944,12.958765266907944,1.9999507665634155,0.9999959468841553,140,1353.9193359375,13.438986621784245,13.438986621784245,1.9999918937683105,0.3378943378943379,0.34245834245834245,0.3196473196473197
2,llm_strict_generative_coherence,0.0005,20,0.9996976149933678,3660884.9151785714,3062132.875,-0.9996976149933678,0.0,0.0,fedyogi,1.0,0.5,1.0,5.735522337805336,5.042714907354121,False,True,True,,,,,,,,,,,0.9997621774673462,148,1484.3551513671875,6.213546598758211,6.213546598758211,1.9995243549346924,0.9998189806938171,150,1492.459228515625,6.195115680523845,6.195115680523845,1.9996379613876343,0.9999468326568604,140,1278.9505615234375,5.910345884660374,5.910345884660374,1.9998936653137207,0.33789166210833793,0.3424776575223425,0.31963068036931963
3,llm_strict_generative_coherence,0.0005,20,0.998919489128249,3656075.2589285714,3058564.8526785714,-0.998919489128249,0.0,0.0,fedyogi,1.0,0.5,1.0,6.294336838329337,3.825920397598566,False,True,True,,,,,,,,,,,0.9994995594024658,148,1381.529541015625,7.750320726022203,7.750320726022203,1.9989991188049316,0.9995824098587036,150,1412.2928955078125,6.804559062383569,6.804559062383569,1.9991648197174072,0.9997352957725525,140,1197.57822265625,5.381158193330107,5.381158193330107,1.999470591545105,0.337972,0.342477,0.319551
4,llm_strict_generative_coherence,0.0005,20,0.9985710744346891,3655333.6026785714,3057633.0714285714,-0.9985710744346891,0.0,0.0,fedyogi,1.0,0.5,1.0,6.50481720343639,4.461127767123702,False,True,True,,,,,,,,,,,0.9992381930351257,148,1311.9443115234376,7.563093316691045,7.563093316691045,1.9984763860702515,0.9990599751472473,150,1337.3962158203126,7.302420286297004,7.302420286297004,1.9981199502944946,0.9992308020591736,140,1157.739306640625,5.84330415216111,5.84330415216111,1.9984616041183472,0.337971,0.342479,0.31955
5,llm_strict_generative_coherence,0.0005,20,0.9982335173657962,3654832.754464286,3056724.816964286,-0.9982335173657962,0.0,0.0,fedyogi,1.0,0.5,1.0,5.855633781485416,4.438844821228827,False,True,True,,,,,,,,,,,0.9986977577209473,148,1230.052392578125,6.556549509558569,6.556549509558569,1.9973955154418945,0.9974765777587891,150,1248.11572265625,7.19176363054503,7.19176363054503,1.9949531555175781,0.9984179735183716,140,1059.8416015625,5.446638364668797,5.446638364668797,1.9968359470367432,0.337974,0.342652,0.319374
6,llm_strict_generative_coherence,0.0005,20,0.9970029752169337,3650009.1071428573,3052256.0535714286,-0.9970029752169337,0.0,0.0,fedyogi,1.0,0.5,1.0,5.734574597211777,4.641034749563707,False,True,True,,,,,,,,,,,0.997705340385437,148,1140.828857421875,7.479203399065656,7.479203399065656,1.995410680770874,0.9946693778038025,150,1154.817724609375,6.426095770766738,6.426095770766738,1.989338755607605,0.9971689581871033,140,986.105224609375,5.27883206949634,5.27883206949634,1.9943379163742065,0.3380863380863381,0.3424953424953425,0.3194183194183194
7,llm_strict_generative_coherence,0.0005,20,0.9943079565252576,3638474.933035714,3042115.7678571427,-0.9943079565252576,0.0,0.0,fedyogi,1.0,0.5,1.0,4.171691656404825,3.653731910632541,False,True,True,,,,,,,,,,,0.9956073760986328,148,1054.6010375976562,4.915317953030344,4.915317953030344,1.9912147521972656,0.9907718300819397,150,1063.1915161132813,5.560035231558382,5.560035231558382,1.9815436601638794,0.9932537078857422,140,888.5430908203125,4.69633573997855,4.69633573997855,1.9865074157714844,0.33788,0.342816,0.319304
8,llm_strict_generative_coherence,0.0005,20,0.9895288177898952,3616019.3214285714,3023275.316964286,-0.9895288177898952,0.0,0.0,fedyogi,1.0,0.5,1.0,3.8084921222092314,3.4203656491125414,False,True,True,,,,,,,,,,,0.9923691153526306,148,956.2883666992187,5.28718750243855,5.28718750243855,1.9847382307052612,0.9826595187187195,150,985.640234375,5.34135989528983,5.34135989528983,1.965319037437439,0.988652765750885,140,784.0280395507813,3.8301938956276795,3.8301938956276795,1.97730553150177,0.3384706615293385,0.34287565712434287,0.31865368134631866
9,llm_strict_generative_coherence,0.0005,20,0.983357313488211,3586465.7678571427,2999158.0401785714,-0.983357313488211,0.0,0.0,fedyogi,1.0,0.5,1.0,3.349867479817447,2.9416731435561942,False,True,True,,,,,,,,,,,0.9876807332038879,148,837.031689453125,4.355189442817123,4.355189442817123,1.9753614664077759,0.9742028117179871,150,867.70048828125,5.568667322294776,5.568667322294776,1.9484056234359741,0.9797875285148621,140,708.110107421875,4.600817851516114,4.600817851516114,1.9595750570297241,0.338471,0.34314,0.318389
10,llm_strict_generative_coherence,0.0005,20,0.9761305132082531,3551072.379464286,2970408.5446428573,-0.9761305132082531,0.0,0.0,fedyogi,1.0,0.5,1.0,3.4251124608773624,3.0287211407245698,False,True,True,,,,,,,,,,,0.9803633689880371,148,741.8069458007812,4.1972697319305174,4.1972697319305174,1.9607267379760742,0.9660926461219788,150,762.6850341796875,5.532351177380151,5.532351177380151,1.9321852922439575,0.9749684929847717,140,631.74072265625,5.23405184929418,5.23405184929418,1.9499369859695435,0.33831766168233834,0.3428486571513429,0.3188336811663188
