round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,llm_validation_preview_generative,Client 1,148,1566.158251953125,0.9999087452888489,3987421.5,3241735.25,-0.9999087452888489,13.202980828336942,13.202980828336942,1.9998174905776978,0.3378995433789954
1,llm_validation_preview_generative,Client 2,150,1602.8050048828125,0.9999753832817078,4608825.5,3894989.5,-0.9999753832817078,12.958765266907944,12.958765266907944,1.9999507665634155,0.3424657534246575
1,llm_validation_preview_generative,Client 3,140,1353.9193359375,0.9999959468841553,2321843.5,1997765.75,-0.9999959468841553,13.438986621784245,13.438986621784245,1.9999918937683105,0.319634703196347
2,llm_validation_preview_generative,Client 1,148,1451.6837158203125,0.9997442960739136,3986369.5,3240971.25,-0.9997442960739136,9.690171250441416,9.690171250441416,1.9994885921478271,0.3378995433789954
2,llm_validation_preview_generative,Client 2,150,1491.598193359375,0.999862790107727,4607912.5,3894356.25,-0.999862790107727,8.728605270936528,8.728605270936528,1.999725580215454,0.3424657534246575
2,llm_validation_preview_generative,Client 3,140,1255.9164306640625,0.9999478459358215,2321623.25,1997613.75,-0.9999478459358215,9.310113500381467,9.310113500381467,1.999895691871643,0.319634703196347
3,llm_validation_preview_generative,Client 1,148,1390.9746826171875,0.9995353817939758,3984803.5,3239923.0,-0.9995353817939758,7.829846400117497,7.829846400117497,1.9990707635879517,0.3378995433789954
3,llm_validation_preview_generative,Client 2,150,1426.3520751953124,0.999544620513916,4606408.5,3893000.75,-0.999544620513916,6.932737916193215,6.932737916193215,1.999089241027832,0.3424657534246575
3,llm_validation_preview_generative,Client 3,140,1198.596728515625,0.9996252059936523,2320229.0,1996628.25,-0.9996252059936523,7.652183802573323,7.652183802573323,1.9992504119873047,0.319634703196347
4,llm_validation_preview_generative,Client 1,148,1311.458837890625,0.999168872833252,3982119.25,3238057.75,-0.999168872833252,8.381465338743293,8.381465338743293,1.998337745666504,0.3378995433789954
4,llm_validation_preview_generative,Client 2,150,1321.4327392578125,0.9989107251167297,4603461.5,3890369.75,-0.9989107251167297,7.462825218992493,7.462825218992493,1.9978214502334595,0.3424657534246575
4,llm_validation_preview_generative,Client 3,140,1128.5254272460938,0.9993547797203064,2319403.0,1995942.5,-0.9993547797203064,6.658463037709971,6.658463037709971,1.9987095594406128,0.319634703196347
5,llm_validation_preview_generative,Client 1,148,1227.967724609375,0.9986284971237183,3978648.25,3235578.5,-0.9986284971237183,7.906643252828812,7.906643252828812,1.9972569942474365,0.3378995433789954
5,llm_validation_preview_generative,Client 2,150,1237.4737548828125,0.9975455403327942,4598570.0,3885243.25,-0.9975455403327942,9.435319230492892,9.435319230492892,1.9950910806655884,0.3424657534246575
5,llm_validation_preview_generative,Client 3,140,1044.6854858398438,0.998718798160553,2316865.75,1994104.25,-0.998718798160553,7.5733986105817905,7.5733986105817905,1.997437596321106,0.319634703196347
6,llm_validation_preview_generative,Client 1,148,1117.783984375,0.9973047375679016,3970424.25,3229576.75,-0.9973047375679016,8.749869158462554,8.749869158462554,1.9946094751358032,0.3378995433789954
6,llm_validation_preview_generative,Client 2,150,1156.1650634765624,0.9949325919151306,4588187.0,3874946.0,-0.9949325919151306,9.158184593702137,9.158184593702137,1.9898651838302612,0.3424657534246575
6,llm_validation_preview_generative,Client 3,140,963.45888671875,0.9967476725578308,2310707.25,1989182.625,-0.9967476725578308,8.72484095544559,8.72484095544559,1.9934953451156616,0.319634703196347
7,llm_validation_preview_generative,Client 1,148,1042.1958740234375,0.9954361915588379,3958108.75,3220760.5,-0.9954361915588379,10.700509526371397,10.700509526371397,1.9908723831176758,0.3378995433789954
7,llm_validation_preview_generative,Client 2,150,1077.9714233398438,0.9911503195762634,4572837.0,3860035.0,-0.9911503195762634,9.955626076109732,9.955626076109732,1.9823006391525269,0.3424657534246575
7,llm_validation_preview_generative,Client 3,140,884.8823120117188,0.9934207201004028,2299898.5,1980708.625,-0.9934207201004028,8.111498728059093,8.111498728059093,1.9868414402008057,0.319634703196347
8,llm_validation_preview_generative,Client 1,148,954.838037109375,0.9917628765106201,3934923.5,3204122.5,-0.9917628765106201,9.949530650458659,9.949530650458659,1.9835257530212402,0.2878995433789954
8,llm_validation_preview_generative,Client 2,150,956.1179809570312,0.9848596453666687,4544724.0,3833931.0,-0.9848596453666687,10.684257195313785,10.684257195313785,1.9697192907333374,0.3424657534246575
8,llm_validation_preview_generative,Client 3,140,796.3202758789063,0.9888334274291992,2285490.0,1969303.125,-0.9888334274291992,8.37053436488121,8.37053436488121,1.9776668548583984,0.369634703196347
9,llm_validation_preview_generative,Client 1,148,860.7432006835937,0.9869411587715149,3907108.75,3183054.5,-0.9869411587715149,9.3568863122417,9.3568863122417,1.9738823175430298,0.2878995433789954
9,llm_validation_preview_generative,Client 2,150,856.3790161132813,0.9759260416030884,4506131.0,3797671.25,-0.9759260416030884,10.173438596759995,10.173438596759995,1.9518520832061768,0.3424657534246575
9,llm_validation_preview_generative,Client 3,140,730.5356689453125,0.9835354685783386,2266923.75,1955223.5,-0.9835354685783386,6.881004240353278,6.881004240353278,1.9670709371566772,0.369634703196347
10,llm_validation_preview_generative,Client 1,148,742.9310302734375,0.9786303639411926,3854002.75,3145002.75,-0.9786303639411926,8.49077203110197,8.49077203110197,1.9572607278823853,0.2878995433789954
10,llm_validation_preview_generative,Client 2,150,760.5322143554688,0.9635342955589294,4450230.5,3746496.75,-0.9635342955589294,10.184022850148882,10.184022850148882,1.9270685911178589,0.3424657534246575
10,llm_validation_preview_generative,Client 3,140,635.4314575195312,0.9729301929473877,2238209.5,1931264.0,-0.9729301929473877,7.214426457410051,7.214426457410051,1.9458603858947754,0.369634703196347
11,llm_validation_preview_generative,Client 1,148,644.87177734375,0.9699648022651672,3799301.5,3105982.0,-0.9699648022651672,7.68343661289099,7.68343661289099,1.9399296045303345,0.2878995433789954
11,llm_validation_preview_generative,Client 2,150,665.9591796875,0.9479008913040161,4376291.0,3681741.5,-0.9479008913040161,9.798523955369614,9.798523955369614,1.8958017826080322,0.3424657534246575
11,llm_validation_preview_generative,Client 3,140,539.3308044433594,0.9577528834342957,2194846.0,1896251.75,-0.9577528834342957,7.404762796823034,7.404762796823034,1.9155057668685913,0.369634703196347
12,llm_validation_preview_generative,Client 1,148,551.9572326660157,0.9554813504219055,3720205.75,3044754.0,-0.9554813504219055,8.603804598819252,8.603804598819252,1.910962700843811,0.2878995433789954
12,llm_validation_preview_generative,Client 2,150,568.583544921875,0.9242477416992188,4282242.0,3592211.0,-0.9242477416992188,9.62759232662408,9.62759232662408,1.8484954833984375,0.3424657534246575
12,llm_validation_preview_generative,Client 3,140,450.81439208984375,0.934619665145874,2139559.75,1847744.375,-0.934619665145874,7.736170487887915,7.736170487887915,1.869239330291748,0.369634703196347
13,llm_validation_preview_generative,Client 1,148,463.91474609375,0.931851863861084,3607205.5,2952801.5,-0.931851863861084,8.214128399132097,8.214128399132097,1.863703727722168,0.2878995433789954
13,llm_validation_preview_generative,Client 2,150,472.7491088867188,0.8855482339859009,4157091.5,3459399.75,-0.8855482339859009,8.058837223231707,8.058837223231707,1.7710964679718018,0.3424657534246575
13,llm_validation_preview_generative,Client 3,140,353.77800903320315,0.9137652516365051,2075063.375,1800766.125,-0.9137652516365051,8.615371196422915,8.615371196422915,1.8275305032730103,0.369634703196347
14,llm_validation_preview_generative,Client 1,148,383.4317626953125,0.8998767733573914,3451617.25,2823927.0,-0.8998767733573914,8.373820285876588,8.373820285876588,1.7997535467147827,0.2878995433789954
