round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,llm_validation_preview_generative,Client 1,148,1566.158251953125,0.9999087452888489,3987421.5,3241735.25,-0.9999087452888489,13.202980828336942,13.202980828336942,1.9998174905776978,0.3378995433789954
1,llm_validation_preview_generative,Client 2,150,1602.8050048828125,0.9999753832817078,4608825.5,3894989.5,-0.9999753832817078,12.958765266907944,12.958765266907944,1.9999507665634155,0.3424657534246575
1,llm_validation_preview_generative,Client 3,140,1353.9193359375,0.9999959468841553,2321843.5,1997765.75,-0.9999959468841553,13.438986621784245,13.438986621784245,1.9999918937683105,0.319634703196347
2,llm_validation_preview_generative,Client 1,148,1471.449853515625,0.9997989535331726,3986765.0,3241250.5,-0.9997989535331726,8.900593336186674,8.900593336186674,1.9995979070663452,0.3378995433789954
2,llm_validation_preview_generative,Client 2,150,1500.8354248046876,0.9998409748077393,4607628.5,3894196.75,-0.9998409748077393,8.884050147625043,8.884050147625043,1.9996819496154785,0.3424657534246575
2,llm_validation_preview_generative,Client 3,140,1288.911376953125,0.9999501705169678,2321635.0,1997620.625,-0.9999501705169678,9.422122577441904,9.422122577441904,1.9999003410339355,0.319634703196347
3,llm_validation_preview_generative,Client 1,148,1398.6759765625,0.9995790719985962,3985086.25,3240111.75,-0.9995790719985962,7.772852172573431,7.772852172573431,1.9991581439971924,0.3378995433789954
3,llm_validation_preview_generative,Client 2,150,1403.012646484375,0.9995668530464172,4606473.5,3893079.25,-0.9995668530464172,6.886022955053514,6.886022955053514,1.9991337060928345,0.3424657534246575
3,llm_validation_preview_generative,Client 3,140,1225.428271484375,0.9997733235359192,2320889.25,1997082.625,-0.9997733235359192,7.434175468602906,7.434175468602906,1.9995466470718384,0.319634703196347
4,llm_validation_preview_generative,Client 1,148,1303.7744140625,0.9991094470024109,3981985.25,3237930.0,-0.9991094470024109,7.929804941991707,7.929804941991707,1.9982188940048218,0.3378995433789954
4,llm_validation_preview_generative,Client 2,150,1312.6422119140625,0.9989364147186279,4603842.5,3890600.5,-0.9989364147186279,8.02603894945192,8.02603894945192,1.9978728294372559,0.3424657534246575
4,llm_validation_preview_generative,Client 3,140,1104.5959228515626,0.9992266893386841,2318869.25,1995557.5,-0.9992266893386841,7.534240840274962,7.534240840274962,1.9984533786773682,0.319634703196347
5,llm_validation_preview_generative,Client 1,148,1221.300537109375,0.9986111521720886,3978508.75,3235542.25,-0.9986111521720886,9.165568075330208,9.165568075330208,1.9972223043441772,0.3378995433789954
5,llm_validation_preview_generative,Client 2,150,1255.402490234375,0.9975426197052002,4597818.5,3884876.75,-0.9975426197052002,8.81402556675087,8.81402556675087,1.9950852394104004,0.3424657534246575
5,llm_validation_preview_generative,Client 3,140,1044.24755859375,0.9986786246299744,2316945.5,1994105.5,-0.9986786246299744,7.114921631537212,7.114921631537212,1.9973572492599487,0.319634703196347
6,llm_validation_preview_generative,Client 1,148,1153.1517578125,0.9974430203437805,3970649.5,3230033.75,-0.9974430203437805,9.994410398009867,9.994410398009867,1.994886040687561,0.3378995433789954
6,llm_validation_preview_generative,Client 2,150,1169.1537841796876,0.9952692985534668,4589690.5,3876400.0,-0.9952692985534668,8.796807457320211,8.796807457320211,1.9905385971069336,0.3424657534246575
6,llm_validation_preview_generative,Client 3,140,968.3139282226563,0.9974509477615356,2312704.0,1990866.875,-0.9974509477615356,8.082185360597876,8.082185360597876,1.9949018955230713,0.319634703196347
7,llm_validation_preview_generative,Client 1,148,1031.94833984375,0.9953151345252991,3957866.25,3220477.5,-0.9953151345252991,9.788288080904998,9.788288080904998,1.9906302690505981,0.3378995433789954
7,llm_validation_preview_generative,Client 2,150,1039.244921875,0.9917794466018677,4573968.5,3861779.0,-0.9917794466018677,11.151040555402622,11.151040555402622,1.9835588932037354,0.3424657534246575
7,llm_validation_preview_generative,Client 3,140,879.26494140625,0.9946703314781189,2303443.0,1983774.0,-0.9946703314781189,7.8455507907142215,7.8455507907142215,1.9893406629562378,0.319634703196347
8,llm_validation_preview_generative,Client 1,148,955.8753295898438,0.9925820231437683,3941399.0,3208430.75,-0.9925820231437683,10.402037713959789,10.402037713959789,1.9851640462875366,0.3378995433789954
8,llm_validation_preview_generative,Client 2,150,944.2863647460938,0.9845141172409058,4545252.0,3833499.0,-0.9845141172409058,10.54047382557842,10.54047382557842,1.9690282344818115,0.3424657534246575
8,llm_validation_preview_generative,Client 3,140,790.2474365234375,0.9913827180862427,2291833.0,1974966.875,-0.9913827180862427,7.733827153538847,7.733827153538847,1.9827654361724854,0.319634703196347
9,llm_validation_preview_generative,Client 1,148,851.5724365234375,0.9878633618354797,3909354.25,3186063.5,-0.9878633618354797,8.827226722010133,8.827226722010133,1.9757267236709595,0.2878995433789954
9,llm_validation_preview_generative,Client 2,150,875.9829711914062,0.9759039878845215,4501911.0,3795848.5,-0.9759039878845215,10.175209321899157,10.175209321899157,1.951807975769043,0.3424657534246575
9,llm_validation_preview_generative,Client 3,140,726.619482421875,0.9853226542472839,2275068.0,1961000.0,-0.9853226542472839,8.697887889624369,8.697887889624369,1.9706453084945679,0.369634703196347
10,llm_validation_preview_generative,Client 1,148,750.2908325195312,0.9824126362800598,3873140.5,3160406.5,-0.9824126362800598,9.169041151067121,9.169041151067121,1.9648252725601196,0.2878995433789954
10,llm_validation_preview_generative,Client 2,150,757.9969482421875,0.9645152688026428,4441330.0,3744700.25,-0.9645152688026428,9.775798125444386,9.775798125444386,1.9290305376052856,0.3424657534246575
10,llm_validation_preview_generative,Client 3,140,631.4990356445312,0.9755703806877136,2248604.75,1939450.875,-0.9755703806877136,8.537814879509366,8.537814879509366,1.9511407613754272,0.369634703196347
11,llm_validation_preview_generative,Client 1,148,656.142529296875,0.9720209240913391,3814555.25,3116035.5,-0.9720209240913391,8.517449162526429,8.517449162526429,1.9440418481826782,0.2878995433789954
11,llm_validation_preview_generative,Client 2,150,646.1229736328125,0.9494138956069946,4380184.5,3685634.5,-0.9494138956069946,9.801680140543342,9.801680140543342,1.8988277912139893,0.3424657534246575
11,llm_validation_preview_generative,Client 3,140,537.909619140625,0.9613520503044128,2211839.0,1909080.5,-0.9613520503044128,8.2884176599344,8.2884176599344,1.9227041006088257,0.369634703196347
12,llm_validation_preview_generative,Client 1,148,580.9037292480468,0.9582302570343018,3743095.5,3061167.75,-0.9582302570343018,9.207279712898416,9.207279712898416,1.9164605140686035,0.2878995433789954
12,llm_validation_preview_generative,Client 2,150,558.9502563476562,0.9261333346366882,4286209.0,3596378.0,-0.9261333346366882,9.45835245103076,9.45835245103076,1.8522666692733765,0.3424657534246575
12,llm_validation_preview_generative,Client 3,140,466.58494873046874,0.9446736574172974,2158249.5,1867513.75,-0.9446736574172974,9.822448207851274,9.822448207851274,1.8893473148345947,0.369634703196347
13,llm_validation_preview_generative,Client 1,148,469.1909118652344,0.9421616792678833,3680923.25,3004348.75,-0.9421616792678833,11.444591636654888,11.444591636654888,1.8843233585357666,0.2878995433789954
13,llm_validation_preview_generative,Client 2,150,475.98207397460936,0.8981641530990601,4176916.75,3489862.25,-0.8981641530990601,11.621401070345312,11.621401070345312,1.7963283061981201,0.3424657534246575
13,llm_validation_preview_generative,Client 3,140,357.68308715820314,0.9147409796714783,2071856.5,1797177.125,-0.9147409796714783,9.821944582042102,9.821944582042102,1.8294819593429565,0.369634703196347
14,llm_validation_preview_generative,Client 1,148,374.4470581054687,0.9095250368118286,3516248.5,2875790.0,-0.9095250368118286,11.142888410722493,11.142888410722493,1.8190500736236572,0.2878995433789954
