round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,llm_validation_preview_generative,0.0005,20,0.9999999,3907390.2,2983944.5,-0.9999999,0.35128382,-1.3991544246673584,fedyogi,0.5,0.25,1.0,13.036936016538236,5.378457035317721,False,True,False,size_anchor_lr0p5_ep+0,llm_mixture,fallback_best_score,1.0253783414023068,size_anchor,30,0.0,0.002,0.002,0.4,0.9999087452888489,148,1566.158251953125,13.202980828336942,13.202980828336942,1.9998174905776978,0.9999753832817078,150,1602.8050048828125,12.958765266907944,12.958765266907944,1.9999507665634155,0.9999959468841553,140,1353.9193359375,13.438986621784245,13.438986621784245,1.9999918937683105,0.3378995433789954,0.3424657534246575,0.319634703196347
2,llm_validation_preview_generative,0.0005,20,0.999948,3906648.8,2983601.0,-0.999948,0.35121715,-1.3982439041137695,fedyogi,0.5,0.25,1.0,8.770391073387854,5.408603879446715,False,True,True,size_anchor_lr0p5_ep+0,llm_mixture,fallback_best_score,1.0253608879771183,size_anchor,30,0.0,0.002,0.002,0.4,0.9997989535331726,148,1471.449853515625,8.900593336186674,8.900593336186674,1.9995979070663452,0.9998409748077393,150,1500.8354248046876,8.884050147625043,8.884050147625043,1.9996819496154785,0.9999501705169678,140,1288.911376953125,9.422122577441904,9.422122577441904,1.9999003410339355,0.3378995433789954,0.3424657534246575,0.319634703196347
3,llm_validation_preview_generative,0.0005,20,0.99924254,3899713.5,2979806.0,-0.99924254,0.35059366,-1.3897364139556885,fedyogi,1.0,0.5,1.0,6.960961129581524,4.9606656916673035,False,True,True,size_anchor,llm_mixture,fallback_conservative_epsilon,1.0242539775260024,size_anchor,30,0.0,0.002,0.002,0.4,0.9995790719985962,148,1398.6759765625,7.772852172573431,7.772852172573431,1.9991581439971924,0.9995668530464172,150,1403.012646484375,6.886022955053514,6.886022955053514,1.9991337060928345,0.9997733235359192,140,1225.428271484375,7.434175468602906,7.434175468602906,1.9995466470718384,0.3378995433789954,0.3424657534246575,0.319634703196347
4,llm_validation_preview_generative,0.0005,20,0.9972328,3887746.0,2971477.2,-0.9972328,0.34951773,-1.375091552734375,fedyogi,0.5,0.25,1.0,7.4237935215075845,2.6893953527859193,False,True,True,size_anchor_lr0p5_ep+0,llm_mixture,fallback_best_score,1.0200421194281033,size_anchor,30,0.0,0.002,0.002,0.4,0.9991094470024109,148,1303.7744140625,7.929804941991707,7.929804941991707,1.9982188940048218,0.9989364147186279,150,1312.6422119140625,8.02603894945192,8.02603894945192,1.9978728294372559,0.9992266893386841,140,1104.5959228515626,7.534240840274962,7.534240840274962,1.9984533786773682,0.3378995433789954,0.3424657534246575,0.319634703196347
5,llm_validation_preview_generative,0.0005,20,0.99469936,3876553.0,2962370.5,-0.99469936,0.34851146,-1.3614354133605957,fedyogi,0.5,0.25,1.0,8.034854620227742,3.055336211044764,False,True,True,size_anchor_lr0p5_ep+0,llm_mixture,fallback_best_score,1.0179502520302128,size_anchor,30,0.0,0.002,0.002,0.4,0.9986111521720886,148,1221.300537109375,9.165568075330208,9.165568075330208,1.9972223043441772,0.9975426197052002,150,1255.402490234375,8.81402556675087,8.81402556675087,1.9950852394104004,0.9986786246299744,140,1044.24755859375,7.114921631537212,7.114921631537212,1.9973572492599487,0.3378995433789954,0.3424657534246575,0.319634703196347
6,llm_validation_preview_generative,0.0005,20,0.9920784,3867687.0,2953908.0,-0.9920784,0.3477144,-1.3506460189819336,fedyogi,0.5,0.25,1.0,8.468260748149474,3.3263040966924544,False,True,True,size_anchor_lr0p5_ep+0,llm_mixture,fallback_best_score,1.015713223952764,size_anchor,30,0.0,0.002,0.002,0.4,0.9974430203437805,148,1153.1517578125,9.994410398009867,9.994410398009867,1.994886040687561,0.9952692985534668,150,1169.1537841796876,8.796807457320211,8.796807457320211,1.9905385971069336,0.9974509477615356,140,968.3139282226563,8.082185360597876,8.082185360597876,1.9949018955230713,0.3378995433789954,0.3424657534246575,0.319634703196347
7,llm_validation_preview_generative,0.0005,20,0.9891233,3855532.2,2943465.5,-0.9891233,0.34662166,-1.3358948230743408,fedyogi,0.5,0.25,1.0,9.208209333472128,3.5476697700815234,False,True,True,size_anchor_lr0p5_ep+0,llm_mixture,fallback_best_score,1.0130927635448772,size_anchor,30,0.0,0.002,0.002,0.4,0.9953151345252991,148,1031.94833984375,9.788288080904998,9.788288080904998,1.9906302690505981,0.9917794466018677,150,1039.244921875,11.151040555402622,11.151040555402622,1.9835588932037354,0.9946703314781189,140,879.26494140625,7.8455507907142215,7.8455507907142215,1.9893406629562378,0.3378995433789954,0.3424657534246575,0.319634703196347
8,llm_validation_preview_generative,0.0005,20,0.9841892,3831570.8,2925271.5,-0.9841892,0.34446746,-1.306950569152832,fedyogi,0.5,0.25,1.0,9.052283878276118,3.568888679246115,False,True,True,size_anchor_lr0p5_ep+0,llm_mixture,fallback_best_score,1.008310530558328,size_anchor,30,0.0,0.002,0.002,0.4,0.9925820231437683,148,955.8753295898438,10.402037713959789,10.402037713959789,1.9851640462875366,0.9845141172409058,150,944.2863647460938,10.54047382557842,10.54047382557842,1.9690282344818115,0.9913827180862427,140,790.2474365234375,7.733827153538847,7.733827153538847,1.9827654361724854,0.3378995433789954,0.3424657534246575,0.319634703196347
9,llm_validation_preview_generative,0.0005,20,0.9753048,3794386.2,2894831.0,-0.9753048,0.34112448,-1.2623910903930664,fedyogi,0.5,0.25,1.0,8.818696215368613,3.227461161917214,False,True,True,candidate_007_lr0p5_ep+0,llm_mixture,fallback_best_score,1.000168493929213,local_grid,30,0.09999999999999998,0.002,0.002,0.4,0.9878633618354797,148,851.5724365234375,8.827226722010133,8.827226722010133,1.9757267236709595,0.9759039878845215,150,875.9829711914062,10.175209321899157,10.175209321899157,1.951807975769043,0.9853226542472839,140,726.619482421875,8.697887889624369,8.697887889624369,1.9706453084945679,0.2878995433789954,0.3424657534246575,0.369634703196347
10,llm_validation_preview_generative,0.0005,20,0.96563375,3749004.5,2859350.5,-0.96563375,0.33704454,-1.208597183227539,fedyogi,0.5,0.25,1.0,8.506946553936364,2.893889845159281,False,True,True,previous_accepted_lr0p5_ep+0,llm_mixture,fallback_best_score,0.9893393924839761,previous_accepted,30,0.0,0.002,0.002,0.4,0.9824126362800598,148,750.2908325195312,9.169041151067121,9.169041151067121,1.9648252725601196,0.9645152688026428,150,757.9969482421875,9.775798125444386,9.775798125444386,1.9290305376052856,0.9755703806877136,140,631.4990356445312,8.537814879509366,8.537814879509366,1.9511407613754272,0.2878995433789954,0.3424657534246575,0.369634703196347
