round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,llm_validation_preview_generative,0.0005,20,0.9999999,3907390.2,2983944.5,-0.9999999,0.35128382,-1.3991544246673584,fedyogi,0.5,0.25,1.0,13.036936016538236,5.378457035317721,False,True,False,size_anchor_lr0p5_ep+0,llm_mixture,fallback_best_score,1.0253783414023068,size_anchor,30,0.0,0.002,0.002,0.4,0.9999087452888489,148,1566.158251953125,13.202980828336942,13.202980828336942,1.9998174905776978,0.9999753832817078,150,1602.8050048828125,12.958765266907944,12.958765266907944,1.9999507665634155,0.9999959468841553,140,1353.9193359375,13.438986621784245,13.438986621784245,1.9999918937683105,0.3378995433789954,0.3424657534246575,0.319634703196347
2,llm_validation_preview_generative,0.0005,20,0.99994266,3906591.5,2983569.0,-0.99994266,0.351212,-1.3981735706329346,fedyogi,0.5,0.25,1.0,8.92150013670373,5.390364605661323,False,True,True,size_anchor_lr0p5_ep+0,llm_mixture,fallback_best_score,1.0253372067992648,size_anchor,30,0.0,0.002,0.002,0.4,0.9997442960739136,148,1451.6837158203125,9.690171250441416,9.690171250441416,1.9994885921478271,0.999862790107727,150,1491.598193359375,8.728605270936528,8.728605270936528,1.999725580215454,0.9999478459358215,140,1255.9164306640625,9.310113500381467,9.310113500381467,1.999895691871643,0.3378995433789954,0.3424657534246575,0.319634703196347
3,llm_validation_preview_generative,0.0005,20,0.9990184,3897731.2,2978656.0,-0.9990184,0.35041544,-1.3873076438903809,fedyogi,1.0,0.5,1.0,7.074185546547449,4.98085242382466,False,True,True,size_anchor,llm_mixture,fallback_conservative_epsilon,1.0240634546863217,size_anchor,30,0.0,0.002,0.002,0.4,0.9995353817939758,148,1390.9746826171875,7.829846400117497,7.829846400117497,1.9990707635879517,0.999544620513916,150,1426.3520751953124,6.932737916193215,6.932737916193215,1.999089241027832,0.9996252059936523,140,1198.596728515625,7.652183802573323,7.652183802573323,1.9992504119873047,0.3378995433789954,0.3424657534246575,0.319634703196347
4,llm_validation_preview_generative,0.0005,20,0.99716836,3886177.5,2970794.2,-0.99716836,0.34937674,-1.3731753826141357,fedyogi,0.5,0.25,1.0,7.026238235213445,2.7359949534675985,False,True,True,size_anchor_lr0p5_ep+0,llm_mixture,fallback_best_score,1.0200311457103035,size_anchor,30,0.0,0.002,0.002,0.4,0.999168872833252,148,1311.458837890625,8.381465338743293,8.381465338743293,1.998337745666504,0.9989107251167297,150,1321.4327392578125,7.462825218992493,7.462825218992493,1.9978214502334595,0.9993547797203064,140,1128.5254272460938,6.658463037709971,6.658463037709971,1.9987095594406128,0.3378995433789954,0.3424657534246575,0.319634703196347
5,llm_validation_preview_generative,0.0005,20,0.99504536,3878307.8,2963640.0,-0.99504536,0.34866923,-1.3635737895965576,fedyogi,0.5,0.25,1.0,7.844747705921453,2.9959964622082245,False,True,True,size_anchor_lr0p5_ep+0,llm_mixture,fallback_best_score,1.0182341635097087,size_anchor,30,0.0,0.002,0.002,0.4,0.9986284971237183,148,1227.967724609375,7.906643252828812,7.906643252828812,1.9972569942474365,0.9975455403327942,150,1237.4737548828125,9.435319230492892,9.435319230492892,1.9950910806655884,0.998718798160553,140,1044.6854858398438,7.5733986105817905,7.5733986105817905,1.997437596321106,0.3378995433789954,0.3424657534246575,0.319634703196347
6,llm_validation_preview_generative,0.0005,20,0.9918747,3867760.8,2953667.5,-0.9918747,0.347721,-1.3507356643676758,fedyogi,0.5,0.25,1.0,8.460178166010609,3.3505148320598814,False,True,True,size_anchor_lr0p5_ep+0,llm_mixture,fallback_best_score,1.0155027527242109,size_anchor,30,0.0,0.002,0.002,0.4,0.9973047375679016,148,1117.783984375,8.749869158462554,8.749869158462554,1.9946094751358032,0.9949325919151306,150,1156.1650634765624,9.158184593702137,9.158184593702137,1.9898651838302612,0.9967476725578308,140,963.45888671875,8.72484095544559,8.72484095544559,1.9934953451156616,0.3378995433789954,0.3424657534246575,0.319634703196347
7,llm_validation_preview_generative,0.0005,20,0.98823494,3852819.8,2941166.5,-0.98823494,0.3463778,-1.3326094150543213,fedyogi,0.5,0.25,1.0,9.18292249225063,3.5395480507295813,False,True,True,size_anchor_lr0p5_ep+0,llm_mixture,fallback_best_score,1.012164883744089,size_anchor,30,0.0,0.002,0.002,0.4,0.9954361915588379,148,1042.1958740234375,10.700509526371397,10.700509526371397,1.9908723831176758,0.9911503195762634,150,1077.9714233398438,9.955626076109732,9.955626076109732,1.9823006391525269,0.9934207201004028,140,884.8823120117188,8.111498728059093,8.111498728059093,1.9868414402008057,0.3378995433789954,0.3424657534246575,0.319634703196347
8,llm_validation_preview_generative,0.0005,20,0.9813771,3826745.0,2918908.2,-0.9813771,0.3440336,-1.3011431694030762,fedyogi,0.5,0.25,1.0,9.19229193082035,3.5230175212215813,False,True,True,candidate_007_lr0p5_ep+0,llm_mixture,fallback_best_score,1.0063761181786846,local_grid,30,0.09999999999999998,0.002,0.002,0.4,0.9917628765106201,148,954.838037109375,9.949530650458659,9.949530650458659,1.9835257530212402,0.9848596453666687,150,956.1179809570312,10.684257195313785,10.684257195313785,1.9697192907333374,0.9888334274291992,140,796.3202758789063,8.37053436488121,8.37053436488121,1.9776668548583984,0.2878995433789954,0.3424657534246575,0.369634703196347
9,llm_validation_preview_generative,0.0005,20,0.9721922,3789756.5,2888255.0,-0.9721922,0.34070826,-1.256873369216919,fedyogi,0.5,0.25,1.0,8.119181415473895,3.15932289437507,False,True,True,previous_accepted_lr0p5_ep+0,llm_mixture,fallback_best_score,0.9958931876786158,previous_accepted,30,0.0,0.002,0.002,0.4,0.9869411587715149,148,860.7432006835937,9.3568863122417,9.3568863122417,1.9738823175430298,0.9759260416030884,150,856.3790161132813,10.173438596759995,10.173438596759995,1.9518520832061768,0.9835354685783386,140,730.5356689453125,6.881004240353278,6.881004240353278,1.9670709371566772,0.2878995433789954,0.3424657534246575,0.369634703196347
10,llm_validation_preview_generative,0.0005,20,0.96127295,3739421.0,2849229.8,-0.96127295,0.33618298,-1.1973202228546143,fedyogi,0.5,0.25,1.0,7.813707575680126,3.0095003279564887,False,True,True,previous_accepted_lr0p5_ep+0,llm_mixture,fallback_best_score,0.984980044785392,previous_accepted,30,0.0,0.002,0.002,0.4,0.9786303639411926,148,742.9310302734375,8.49077203110197,8.49077203110197,1.9572607278823853,0.9635342955589294,150,760.5322143554688,10.184022850148882,10.184022850148882,1.9270685911178589,0.9729301929473877,140,635.4314575195312,7.214426457410051,7.214426457410051,1.9458603858947754,0.2878995433789954,0.3424657534246575,0.369634703196347
11,llm_validation_preview_generative,0.0005,20,0.9450881,3673931.0,2795431.2,-0.9450881,0.33029526,-1.1210291385650635,fedyogi,0.5,0.25,1.0,7.4705522503294866,2.5145930992122625,False,True,True,previous_accepted_lr0p5_ep+0,llm_mixture,fallback_best_score,0.9684360719667431,previous_accepted,30,0.0,0.002,0.002,0.4,0.9699648022651672,148,644.87177734375,7.68343661289099,7.68343661289099,1.9399296045303345,0.9479008913040161,150,665.9591796875,9.798523955369614,9.798523955369614,1.8958017826080322,0.9577528834342957,140,539.3308044433594,7.404762796823034,7.404762796823034,1.9155057668685913,0.2878995433789954,0.3424657534246575,0.369634703196347
12,llm_validation_preview_generative,0.0005,20,0.9212434,3585040.5,2719252.5,-0.9212434,0.3223038,-1.0196342468261719,fedyogi,0.5,0.25,1.0,7.948530723237449,2.4904401993770744,False,True,True,previous_accepted_lr0p5_ep+0,llm_mixture,fallback_best_score,0.9447416277623195,previous_accepted,30,0.0,0.002,0.002,0.4,0.9554813504219055,148,551.9572326660157,8.603804598819252,8.603804598819252,1.910962700843811,0.9242477416992188,150,568.583544921875,9.62759232662408,9.62759232662408,1.8484954833984375,0.934619665145874,140,450.81439208984375,7.736170487887915,7.736170487887915,1.869239330291748,0.2878995433789954,0.3424657534246575,0.369634703196347
13,llm_validation_preview_generative,0.0005,20,0.8945015,3497107.0,2641742.8,-0.8945015,0.31439835,-0.9217746257781982,fedyogi,0.5,0.25,1.0,7.579100820371032,2.4825482398544705,False,True,True,previous_accepted_lr0p5_ep+0,llm_mixture,fallback_best_score,0.9180017589360749,previous_accepted,30,0.0,0.002,0.002,0.4,0.931851863861084,148,463.91474609375,8.214128399132097,8.214128399132097,1.863703727722168,0.8855482339859009,150,472.7491088867188,8.058837223231707,8.058837223231707,1.7710964679718018,0.9137652516365051,140,353.77800903320315,8.615371196422915,8.615371196422915,1.8275305032730103,0.2878995433789954,0.3424657534246575,0.369634703196347
14,llm_validation_preview_generative,0.0005,20,0.85774225,3398248.0,2545374.8,-0.85774225,0.3055107,-0.8146579265594482,fedyogi,0.5,0.25,1.0,8.465641278822451,2.5468787774567034,False,True,True,previous_accepted_lr0p5_ep+0,llm_mixture,fallback_best_score,0.880612824879599,previous_accepted,30,0.0,0.002,0.002,0.4,0.8998767733573914,148,383.4317626953125,8.373820285876588,8.373820285876588,1.7997535467147827,0.8504500985145569,150,379.67392578125,9.764037036168508,9.764037036168508,1.7009001970291138,0.8864604234695435,140,287.4933837890625,9.489094319521138,9.489094319521138,1.772920846939087,0.2878995433789954,0.3424657534246575,0.369634703196347
15,llm_validation_preview_generative,0.0005,20,0.79885346,3247210.2,2393298.5,-0.79885346,0.29193205,-0.6569348573684692,fedyogi,0.5,0.25,1.0,9.90388906075134,2.8712199564044325,False,True,True,previous_accepted_lr0p5_ep+0,llm_mixture,fallback_best_score,0.8212456415529314,previous_accepted,30,0.0,0.002,0.002,0.4,0.8645671010017395,148,296.90205078125,10.043592057495246,10.043592057495246,1.729134202003479,0.8015446066856384,150,300.7964111328125,9.438563902509621,9.438563902509621,1.6030892133712769,0.8321148753166199,140,185.5631561279297,12.36773248176841,12.36773248176841,1.6642297506332397,0.2878995433789954,0.3424657534246575,0.369634703196347
16,llm_validation_preview_generative,0.0005,20,0.7189357,3085881.2,2214744.2,-0.7143358,0.27742818,-0.4963839054107666,fedyogi,0.5,0.25,1.0,11.487858026888786,2.9197692378806184,False,True,True,previous_accepted_lr0p5_ep+0,llm_mixture,fallback_best_score,0.7397460770114708,previous_accepted,30,0.0,0.002,0.002,0.4,0.7823876142501831,148,220.46981506347657,10.792728610937434,10.792728610937434,1.5618746280670166,0.7522635459899902,150,226.9923858642578,11.581886167929644,11.581886167929644,1.5045270919799805,0.7348921298980713,140,134.22637176513672,13.506929913062319,13.506929913062319,1.4697842597961426,0.2878995433789954,0.3424657534246575,0.369634703196347
17,llm_validation_preview_generative,0.0005,20,0.58390075,2847609.0,1936858.0,-0.57361984,0.25600693,-0.27422261238098145,fedyogi,0.5,0.25,1.0,12.368679241338542,3.145204324394848,False,True,True,previous_accepted_lr0p5_ep+0,llm_mixture,fallback_best_score,0.6009149850794379,previous_accepted,30,0.0,0.002,0.002,0.4,0.6934504508972168,148,162.5071792602539,11.515249330171871,11.515249330171871,1.3705267906188965,0.6414794921875,150,139.18052520751954,13.360258943569017,13.360258943569017,1.282958984375,0.631812334060669,140,99.27762145996094,13.366565046458252,13.366565046458252,1.2568998336791992,0.2878995433789954,0.3424657534246575,0.369634703196347
18,llm_validation_preview_generative,0.0005,20,0.46066603,2536709.5,1618157.0,-0.41638765,0.22805631,-0.011174321174621582,fedyogi,0.5,0.25,1.0,12.10599693608632,3.087841346132501,False,True,True,previous_accepted_lr0p5_ep+0,llm_mixture,fallback_best_score,0.4776100287579176,previous_accepted,30,0.0,0.002,0.002,0.4,0.6023389101028442,148,109.29264221191406,11.791678896622958,11.791678896622958,1.1756807565689087,0.557529628276825,150,96.24383850097657,12.441570368445191,12.441570368445191,1.11505925655365,0.5205671787261963,140,55.69025573730469,13.142559307475974,13.142559307475974,0.9657663106918335,0.2878995433789954,0.3424657534246575,0.369634703196347
19,llm_validation_preview_generative,0.0005,20,0.4112841,2200988.5,1355462.4,-0.23516002,0.19787417,0.23876243829727173,fedyogi,0.5,0.25,1.0,11.982049976081006,2.9885278200871848,False,True,True,candidate_008_lr0p5_ep+0,llm_mixture,fallback_best_score,0.4260510401582487,local_grid,30,0.09999999999999998,0.002,0.002,0.4,0.5128813982009888,148,61.25714340209961,13.052347697649164,13.052347697649164,0.9533791542053223,0.4385039210319519,150,73.96929321289062,11.084515230232421,11.084515230232421,0.8425058126449585,0.43430760502815247,140,43.81588287353516,13.424804872531132,13.424804872531132,0.6644071340560913,0.2878995433789954,0.3924657534246575,0.319634703196347
20,llm_validation_preview_generative,0.0005,20,0.38938707,1980578.4,1205130.8,-0.15029992,0.17805877,0.3835914134979248,fedyogi,1.0,0.5,1.0,11.622556578302653,5.293222179088412,False,True,True,size_anchor,llm_mixture,fallback_conservative_epsilon,0.40734013961759546,size_anchor,30,0.09999999999999998,0.002,0.002,0.4,0.4053720533847809,148,44.92788314819336,11.028477890683405,11.028477890683405,0.6516469717025757,0.34316518902778625,150,42.19507904052735,12.74463615110187,12.74463615110187,0.5826385021209717,0.36858922243118286,140,31.126572799682616,12.681260821199315,12.681260821199315,0.48019343614578247,0.3378995433789954,0.3424657534246575,0.319634703196347
