round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,1.0,3907391.5,2983945.0,-1.0,0.35128394,-1.399155855178833,fedyogi,1.0,0.4,1.0,12.892148661700933,7.841843004385616,False,True,False,0.9999853372573853,148,1592.2974365234375,12.975546725462204,12.975546725462204,1.9999706745147705,0.9999913573265076,150,1628.6629638671875,12.890776627666082,12.890776627666082,1.9999827146530151,0.9999985098838806,140,1392.454443359375,13.317380255097033,13.317380255097033,1.9999970197677612,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,0.99997264,3907076.2,2983783.0,-0.99997264,0.3512556,-1.3987689018249512,fedyogi,1.0,0.4,1.0,6.451752920740967,6.005417826247022,False,True,True,0.9999662637710571,148,1541.2575927734374,6.755486796115263,6.755486796115263,1.9999325275421143,0.9999727010726929,150,1573.922998046875,6.9457230836853965,6.9457230836853965,1.9999454021453857,0.9999895095825195,140,1317.9810546875,6.822658629431123,6.822658629431123,1.999979019165039,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.9998804,3906269.0,2983314.2,-0.9998804,0.351183,-1.3977775573730469,fedyogi,1.0,0.4,1.0,4.810321217560851,2.985656460401568,False,True,True,0.9999039173126221,148,1471.64208984375,5.91254107103603,5.91254107103603,1.9998078346252441,0.9998889565467834,150,1491.674951171875,5.4069582800217555,5.4069582800217555,1.999777913093567,0.9999216794967651,140,1251.033642578125,4.741043032415591,4.741043032415591,1.9998433589935303,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.9996203,3904741.2,2982248.5,-0.9996203,0.35104567,-1.395902395248413,fedyogi,1.0,0.4,1.0,5.701720397447879,3.666598202259841,False,True,True,0.999768078327179,148,1385.50673828125,6.148130271531898,6.148130271531898,1.999536156654358,0.9997275471687317,150,1432.6940673828126,6.7151732545459275,6.7151732545459275,1.9994550943374634,0.9997496008872986,140,1204.4563232421874,5.634121127599542,5.634121127599542,1.9994992017745972,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.999108,3902465.5,2980385.2,-0.999108,0.35084108,-1.3931105136871338,fedyogi,1.0,0.4,1.0,6.641611768836097,4.179200811464434,False,True,True,0.999567449092865,148,1305.7073486328125,6.9450770525147645,6.9450770525147645,1.99913489818573,0.9991631507873535,150,1317.6510498046875,7.302003142170026,7.302003142170026,1.998326301574707,0.9994471073150635,140,1108.5293701171875,6.928780169077863,6.928780169077863,1.998894214630127,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.99831724,3898867.8,2977497.8,-0.99831724,0.35051763,-1.388700008392334,fedyogi,1.0,0.4,1.0,7.249175294654595,4.397186881518383,False,True,True,0.999045729637146,148,1225.5187744140626,7.491483980421805,7.491483980421805,1.998091459274292,0.9982591867446899,150,1247.0404296875,7.625702956573165,7.625702956573165,1.9965183734893799,0.9990404844284058,140,1041.7760131835937,7.972462523751094,7.972462523751094,1.9980809688568115,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.9967494,3891471.5,2971609.8,-0.9967494,0.34985268,-1.379645824432373,fedyogi,1.0,0.4,1.0,8.044797787581649,3.9315829214232116,False,True,True,0.9983242154121399,148,1152.2152587890625,7.383762254403795,7.383762254403795,1.9966484308242798,0.9967284798622131,150,1147.9916015625,9.52935080368036,9.52935080368036,1.9934569597244263,0.9981834888458252,140,960.7571899414063,8.604388695678896,8.604388695678896,1.9963669776916504,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.99423534,3880096.0,2962435.8,-0.99423534,0.34882998,-1.3657538890838623,fedyogi,1.0,0.4,1.0,9.350372879851964,3.946084105644282,False,True,True,0.9970879554748535,148,1050.4347900390626,8.488033841565725,8.488033841565725,1.994175910949707,0.9941726326942444,150,1069.6052612304688,10.408797129015113,10.408797129015113,1.9883452653884888,0.9965258836746216,140,872.4222412109375,10.341370804480421,10.341370804480421,1.9930517673492432,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.99001837,3862283.8,2947853.2,-0.99001837,0.34722862,-1.3440825939178467,fedyogi,1.0,0.4,1.0,9.923598715305772,3.855318677851012,False,True,True,0.9945248961448669,148,947.730078125,10.17047370042752,10.17047370042752,1.9890497922897339,0.9885576367378235,150,960.277490234375,10.151521866182662,10.151521866182662,1.977115273475647,0.9932125806808472,140,797.6225219726563,10.636204852547571,10.636204852547571,1.9864251613616943,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.9841137,3836477.5,2927299.2,-0.9841137,0.3449086,-1.3128628730773926,fedyogi,1.0,0.4,1.0,11.235000479022382,4.03276974839936,False,True,True,0.9896750450134277,148,850.7545654296875,10.89105630876141,10.89105630876141,1.9793500900268555,0.9824129343032837,150,844.517919921875,11.67808419039458,11.67808419039458,1.9648258686065674,0.9885784983634949,140,716.1349487304688,12.227176877774713,12.227176877774713,1.9771569967269897,0.3378995433789954,0.3424657534246575,0.319634703196347
