round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,mas_validation_guided_candidate,0.0005,20,0.9999999,3907390.2,2983944.5,-0.9999999,0.35128382,-1.3991544246673584,fedyogi,0.5,0.25,1.0,13.04306230936836,5.3779733792124,False,True,False,candidate_002_lr0p5_ep+0,candidate_002_lr0p5_ep+0,accepted_llm_near_best,1.0256520698367317,error_compensation,30,0.02742120905304446,0.002,0.003,0.4,0.9999087452888489,148,1566.158251953125,13.202980828336942,13.202980828336942,1.9998174905776978,0.9999753832817078,150,1602.8050048828125,12.958765266907944,12.958765266907944,1.9999507665634155,0.9999959468841553,140,1353.9193359375,13.438986621784245,13.438986621784245,1.9999918937683105,0.33331623936243054,0.3333384529147002,0.3333453077228693
2,mas_validation_guided_candidate,0.0005,20,0.99994403,3906556.2,2983563.0,-0.99994403,0.35120884,-1.398130178451538,fedyogi,0.5,0.25,1.0,8.840311210154878,5.393190661077358,False,True,True,previous_accepted_lr0p5_ep+0,previous_accepted_lr0p5_ep+0,accepted,1.025341365614538,previous_accepted,30,0.0,0.002,0.003,0.4,0.9998405575752258,148,1478.4522216796875,9.132365575272347,9.132365575272347,1.9996811151504517,0.9998242259025574,150,1488.7869384765625,8.9470615860445,8.9470615860445,1.9996484518051147,0.9999564290046692,140,1282.537646484375,9.230822070525894,9.230822070525894,1.9999128580093384,0.33331623936243054,0.3333384529147002,0.3333453077228693
3,mas_validation_guided_candidate,0.0005,20,0.9991282,3898275.0,2979103.0,-0.9991282,0.3504643,-1.3879737854003906,fedyogi,1.0,0.5,1.0,6.9521618420200175,4.949275968281855,False,True,True,size_anchor,candidate_005_lr0p5_ep+0,fallback_conservative_epsilon,1.0244101636073657,size_anchor,30,0.02742120905304446,0.002,0.003,0.4,0.9995530843734741,148,1402.403955078125,7.334472333980389,7.334472333980389,1.9991061687469482,0.9995033144950867,150,1413.19384765625,7.410592088685476,7.410592088685476,1.9990066289901733,0.9997003078460693,140,1202.9341552734375,7.062545696227303,7.062545696227303,1.9994006156921387,0.3378995433789954,0.3424657534246575,0.319634703196347
4,mas_validation_guided_candidate,0.0005,20,0.9971171,3886410.5,2970873.2,-0.9971171,0.3493977,-1.373460054397583,fedyogi,0.5,0.25,1.0,7.292351281868131,2.709626305370408,False,True,True,candidate_002_lr0p5_ep+0,candidate_002_lr0p5_ep+0,accepted_llm_near_best,1.0202003743156853,error_compensation,30,0.027467175547041534,0.002,0.003,0.4,0.9992087483406067,148,1290.5760009765625,8.268752655326123,8.268752655326123,1.9984174966812134,0.9990093111991882,150,1351.683203125,7.676696267254296,7.676696267254296,1.9980186223983765,0.9992662072181702,140,1134.2189697265626,7.092806755253744,7.092806755253744,1.9985324144363403,0.33334912193595473,0.33328258709417746,0.3333682909698678
5,mas_validation_guided_candidate,0.0005,20,0.99478316,3876656.5,2962587.0,-0.99478316,0.3485208,-1.3615612983703613,fedyogi,0.5,0.25,1.0,8.157957205496352,2.9778877592931785,False,True,True,candidate_003_lr0p5_ep+0,candidate_003_lr0p5_ep+0,accepted_llm_near_best,1.0179547696469429,error_compensation,30,0.0003689076637370947,0.002,0.003,0.4,0.9986356496810913,148,1222.1941650390625,8.258391042550116,8.258391042550116,1.9972712993621826,0.9975492358207703,150,1246.28232421875,8.846766127422098,8.846766127422098,1.9950984716415405,0.9985759258270264,140,1043.338037109375,8.873397454799912,8.873397454799912,1.9971518516540527,0.3334609047585203,0.3330981332623089,0.3334409619791708
6,mas_validation_guided_candidate,0.0005,20,0.99140525,3866540.2,2952341.8,-0.99140525,0.3476113,-1.349252462387085,fedyogi,0.5,0.25,1.0,9.638084398926079,3.4267440599141565,False,True,True,uniform_anchor_lr0p5_ep+0,uniform_anchor_lr0p5_ep+0,accepted_llm_near_best,1.0151138124059313,uniform_anchor,30,0.0004704001420488546,0.002,0.003,0.4,0.9974424242973328,148,1132.2360107421875,10.043467610693229,10.043467610693229,1.9948848485946655,0.9949992299079895,150,1149.3315673828124,10.513262507259606,10.513262507259606,1.989998459815979,0.9973325729370117,140,952.3099975585938,9.384707278984784,9.384707278984784,1.9946651458740234,0.3333333333333333,0.3333333333333333,0.3333333333333333
7,mas_validation_guided_candidate,0.0005,20,0.9880885,3853696.8,2941123.8,-0.9880885,0.34645665,-1.3336710929870605,fedyogi,0.5,0.25,1.0,8.80436451495404,3.5150212109008017,False,True,True,candidate_003_lr0p5_ep+0,candidate_003_lr0p5_ep+0,accepted_llm_near_best,1.0129175990971993,local_grid,30,0.09086757990867578,0.002,0.003,0.4,0.9953780770301819,148,1045.4432739257813,10.158124905534516,10.158124905534516,1.9907561540603638,0.9909592866897583,150,1045.2673706054688,9.693027135346188,9.693027135346188,1.9819185733795166,0.9940882921218872,140,891.5400634765625,8.09748025016175,8.09748025016175,1.9881765842437744,0.2878995433789954,0.3424657534246575,0.369634703196347
8,mas_validation_guided_candidate,0.0005,20,0.98281807,3832398.2,2923139.5,-0.98281807,0.34454185,-1.3079471588134766,fedyogi,0.5,0.25,1.0,8.342499608125124,3.494460061869204,False,True,True,previous_accepted_lr0p5_ep+0,previous_accepted_lr0p5_ep+0,accepted,1.0068186450756402,previous_accepted,30,0.0,0.002,0.003,0.4,0.993046224117279,148,942.9385009765625,9.061256187149828,9.061256187149828,1.986092448234558,0.9853622317314148,150,956.199853515625,10.26236910056028,10.26236910056028,1.9707244634628296,0.9907918572425842,140,806.3826782226563,7.254650067097653,7.254650067097653,1.9815837144851685,0.2878995433789954,0.3424657534246575,0.369634703196347
9,mas_validation_guided_candidate,0.0005,20,0.9763912,3806539.2,2901684.5,-0.9763912,0.34221706,-1.2769067287445068,fedyogi,0.5,0.25,1.0,8.029045301213083,3.3279365808679406,False,True,True,candidate_009_lr0p5_ep+0,candidate_009_lr0p5_ep+0,accepted_llm_near_best,1.0005395161143404,local_grid,30,0.0273972602739726,0.002,0.003,0.4,0.9882089495658875,148,862.2223388671875,10.187885186361424,10.187885186361424,1.976417899131775,0.974839448928833,150,870.3186279296875,9.298296173713139,9.298296173713139,1.949678897857666,0.9849826097488403,140,717.1435668945312,7.077329505220325,7.077329505220325,1.9699652194976807,0.2833333333333333,0.3333333333333333,0.3833333333333333
10,mas_validation_guided_candidate,0.0005,20,0.96596706,3762899.2,2865634.2,-0.96596706,0.33829373,-1.2249987125396729,fedyogi,0.5,0.25,1.0,7.572178894135951,3.0567194843478727,False,True,True,previous_accepted_lr0p5_ep+0,previous_accepted_lr0p5_ep+0,accepted,0.9896322580003925,previous_accepted,30,0.0,0.002,0.003,0.4,0.9817628264427185,148,728.094287109375,8.770736477645336,8.770736477645336,1.963525652885437,0.9636378884315491,150,763.69404296875,8.766497682098775,8.766497682098775,1.9272757768630981,0.9755911231040955,140,652.092529296875,7.234685671432753,7.234685671432753,1.951182246208191,0.2833333333333333,0.3333333333333333,0.3833333333333333
