round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,0.99999565,3907348.5,2983923.5,-0.99999565,0.35128006,-1.3991029262542725,fedavg,1.0,1.0,,12.892064884500293,12.892064884500293,False,False,False,,,,,,,,,,,0.9999853372573853,148,1592.2831787109376,12.975531005703132,12.975531005703132,1.9999706745147705,0.9999913573265076,150,1628.647900390625,12.890612660970094,12.890612660970094,1.9999827146530151,0.9999985098838806,140,1392.4431884765625,13.317518509646249,13.317518509646249,1.9999970197677612,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,0.9999837,3907217.8,2983853.2,-0.9999837,0.3512683,-1.398942470550537,fedavg,1.0,1.0,,3.3699641774754303,3.3699641774754303,False,False,False,,,,,,,,,,,0.9999650716781616,148,1539.899658203125,4.1104088677861546,4.1104088677861546,1.9999301433563232,0.9999747276306152,150,1572.8317626953126,4.293333033847553,4.293333033847553,1.9999494552612305,0.9999873042106628,140,1334.8492919921875,3.838743785431941,3.838743785431941,1.9999746084213257,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.9999385,3906830.0,2983626.0,-0.9999385,0.35123345,-1.3984663486480713,fedavg,1.0,1.0,,3.471852905768525,3.471852905768525,False,False,False,,,,,,,,,,,0.9998844265937805,148,1458.072412109375,4.385264151980759,4.385264151980759,1.999768853187561,0.9999172687530518,150,1493.97880859375,4.3438676226994835,4.3438676226994835,1.9998345375061035,0.9999261498451233,140,1247.215576171875,3.637308429599281,3.637308429599281,1.9998522996902466,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.9997997,3905998.5,2983043.8,-0.9997997,0.35115868,-1.3974454402923584,fedavg,1.0,1.0,,3.67469048300629,3.67469048300629,False,False,False,,,,,,,,,,,0.9997730255126953,148,1373.965185546875,4.397263815847734,4.397263815847734,1.9995460510253906,0.9997155070304871,150,1402.3179931640625,4.834184454575024,4.834184454575024,1.9994310140609741,0.9997050762176514,140,1178.13525390625,3.867322925085584,3.867322925085584,1.9994101524353027,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.9994682,3904527.5,2981862.8,-0.9994682,0.35102645,-1.3956401348114014,fedavg,1.0,1.0,,4.068064859246858,4.068064859246858,False,False,False,,,,,,,,,,,0.999485433101654,148,1322.288427734375,4.74042112996326,4.74042112996326,1.998970866203308,0.999170184135437,150,1312.5082275390625,4.975250538054319,4.975250538054319,1.998340368270874,0.9994323253631592,140,1115.01513671875,4.641991165930036,4.641991165930036,1.9988646507263184,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.99896026,3902074.0,2979948.0,-0.99896026,0.35080588,-1.3926303386688232,fedavg,1.0,1.0,,4.526006523042921,4.526006523042921,False,False,False,,,,,,,,,,,0.9991097450256348,148,1212.9967529296875,5.049840901107153,5.049840901107153,1.9982194900512695,0.9984037280082703,150,1244.9407958984375,5.604866289917829,5.604866289917829,1.9968074560165405,0.9990145564079285,140,1063.7697021484375,4.901063426550761,4.901063426550761,1.998029112815857,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.9977296,3896835.2,2975726.0,-0.9977296,0.35033488,-1.3862102031707764,fedavg,1.0,1.0,,4.680554790795539,4.680554790795539,False,False,False,,,,,,,,,,,0.9981476664543152,148,1126.54658203125,5.286261391705038,5.286261391705038,1.9962953329086304,0.9965576529502869,150,1142.3478759765626,5.456029818279769,5.456029818279769,1.9931153059005737,0.9981234073638916,140,974.0205078125,5.317355524587808,5.317355524587808,1.9962468147277832,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.99605715,3889899.0,2970003.0,-0.99605715,0.3497113,-1.377722978591919,fedavg,1.0,1.0,,5.110459851562435,5.110459851562435,False,False,False,,,,,,,,,,,0.9968056082725525,148,1040.05126953125,5.800468533951107,5.800468533951107,1.993611216545105,0.9936366081237793,150,1045.303125,5.2395218662346705,5.2395218662346705,1.9872732162475586,0.9965690970420837,140,864.4995849609375,6.359284976096291,6.359284976096291,1.9931381940841675,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.99287057,3877292.5,2959472.8,-0.99287057,0.34857795,-1.3623361587524414,fedavg,1.0,1.0,,4.241584600091979,4.241584600091979,False,False,False,,,,,,,,,,,0.9938194155693054,148,938.93173828125,4.255519606139189,4.255519606139189,1.9876388311386108,0.9891625642776489,150,931.4634643554688,4.692762275671995,4.692762275671995,1.9783251285552979,0.993951141834259,140,774.1147827148437,6.142523567634842,6.142523567634842,1.987902283668518,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.9878081,3856384.5,2942502.5,-0.9878081,0.34669828,-1.3369274139404297,fedavg,1.0,1.0,,4.4785129404675095,4.4785129404675095,False,False,False,,,,,,,,,,,0.9892280101776123,148,826.0521484375,4.690582635188974,4.690582635188974,1.9784560203552246,0.9827035665512085,150,844.5688720703125,5.615031522483933,5.615031522483933,1.965407133102417,0.9896361827850342,140,701.7961303710938,5.373924539940191,5.373924539940191,1.9792723655700684,0.3378995433789954,0.3424657534246575,0.319634703196347
