round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,aggregation_weight
1,hybrid,Client 1,148,1592.2974365234375,0.99998534,3987787.5,3242024.5,-0.99998534,0.3356175046267683
1,hybrid,Client 2,150,1628.6629638671875,0.99999136,4608958.5,3895077.0,-0.99999136,0.33789960629065835
1,hybrid,Client 3,140,1392.454443359375,0.9999985,2321858.8,1997774.5,-0.9999985,0.3264828890825733
2,hybrid,Client 1,148,1539.933056640625,0.9999652,3987551.2,3241897.2,-0.9999652,0.3356181967389655
2,hybrid,Client 2,150,1572.8853515625,0.9999747,4608826.0,3894982.8,-0.9999747,0.33789971224925197
2,hybrid,Client 3,140,1334.849072265625,0.9999873,2321805.2,1997738.6,-0.9999873,0.32648209101178255
3,hybrid,Client 1,148,1458.0925537109374,0.9998844,3987100.0,3241541.8,-0.9998844,0.3356205779882738
3,hybrid,Client 2,150,1494.02470703125,0.9999172,4608581.5,3894752.8,-0.9999172,0.3378982186693596
3,hybrid,Client 3,140,1247.254541015625,0.99992615,2321521.0,1997546.5,-0.99992615,0.3264812033423665
4,hybrid,Client 1,148,1374.0063232421876,0.999773,3986326.8,3241001.5,-0.999773,0.33560953907019686
4,hybrid,Client 2,150,1402.4237060546875,0.9997154,4607796.0,3893972.2,-0.9997154,0.33790225270240387
4,hybrid,Client 3,140,1178.1566650390625,0.9997065,2320839.5,1996976.2,-0.9997065,0.3264882082273993
5,hybrid,Client 1,148,1322.3432373046876,0.9994834,3984599.2,3239723.2,-0.9994834,0.3355963679711537
5,hybrid,Client 2,150,1312.6137939453124,0.99917334,4605987.5,3892009.8,-0.99917334,0.33793118669568434
5,hybrid,Client 3,140,1115.05224609375,0.99943244,2319963.2,1996266.9,-0.99943244,0.3264724453331619
6,hybrid,Client 1,148,1213.1216064453124,0.99910617,3982009.8,3237935.8,-0.99910617,0.33557246750335035
6,hybrid,Client 2,150,1244.9942626953125,0.99840486,4602894.5,3888951.5,-0.99840486,0.3379726129762691
6,hybrid,Client 3,140,1063.8398803710938,0.999017,2318614.0,1995191.8,-0.999017,0.32645491952038047
7,hybrid,Client 1,148,1126.62255859375,0.9981339,3976774.0,3233973.8,-0.9981339,0.33552909952778137
7,hybrid,Client 2,150,1142.431396484375,0.9965723,4596071.5,3881992.0,-0.9965723,0.338073226284353
7,hybrid,Client 3,140,974.0031494140625,0.99812794,2315306.0,1992768.9,-0.99812794,0.3263976741878657
8,hybrid,Client 1,148,1040.16787109375,0.99681234,3970249.2,3228776.5,-0.99681234,0.33542757784839444
8,hybrid,Client 2,150,1045.4180541992187,0.99364954,4584797.5,3870669.5,-0.99364954,0.33824058366994847
8,hybrid,Client 3,140,864.4275024414062,0.99659276,2310139.2,1988775.5,-0.99659276,0.32633183848165703
9,hybrid,Client 1,148,938.9821044921875,0.9938544,3954300.8,3216602.0,-0.9938544,0.3353589623574795
9,hybrid,Client 2,150,931.4811645507813,0.9891724,4567746.0,3853479.5,-0.9891724,0.33842972359131746
9,hybrid,Client 3,140,774.2774291992188,0.99394536,2301422.0,1982010.5,-0.99394536,0.32621131405120307
10,hybrid,Client 1,148,826.0018676757812,0.9892284,3927079.0,3196770.5,-0.9892284,0.3352699086940546
10,hybrid,Client 2,150,844.6435791015625,0.9827177,4543904.5,3828892.2,-0.9827177,0.3386549224030446
10,hybrid,Client 3,140,701.7202026367188,0.9895992,2287099.0,1971075.8,-0.9895992,0.32607516890290084
11,hybrid,Client 1,148,727.2115356445313,0.98242366,3894287.5,3171003.2,-0.98242366,0.3348511275885412
11,hybrid,Client 2,150,752.9663940429688,0.9718402,4502915.0,3787398.0,-0.9718402,0.3389409170922696
11,hybrid,Client 3,140,605.1343627929688,0.979535,2257009.0,1946699.1,-0.979535,0.3262079553191892
12,hybrid,Client 1,148,633.1665771484375,0.9715959,3842200.2,3129989.0,-0.9715959,0.3342774248472118
12,hybrid,Client 2,150,633.4316040039063,0.9538181,4423835.5,3713511.2,-0.9538181,0.33964199688812036
12,hybrid,Client 3,140,523.8480041503906,0.96612865,2222139.5,1917593.1,-0.96612865,0.32608057826466796
13,hybrid,Client 1,148,521.4009765625,0.95100385,3757510.0,3059761.2,-0.95100385,0.33425457141578263
13,hybrid,Client 2,150,561.5593933105469,0.9331247,4337762.0,3631157.5,-0.9331247,0.3397049942844793
13,hybrid,Client 3,140,412.2644104003906,0.9457501,2170902.0,1874832.5,-0.9457501,0.326040434299738
14,hybrid,Client 1,148,434.04718017578125,0.9278206,3656108.0,2979074.2,-0.9278206,0.33330364895809905
14,hybrid,Client 2,150,426.5353088378906,0.8974711,4182537.8,3488447.2,-0.8974711,0.34114466136708965
14,hybrid,Client 3,140,325.3743377685547,0.92009246,2124638.8,1832123.8,-0.92009246,0.32555168967481124
15,hybrid,Client 1,148,345.8547302246094,0.87748057,3496361.2,2828549.0,-0.87748057,0.3338984930532749
15,hybrid,Client 2,150,324.84095458984376,0.85544217,4014955.5,3327119.2,-0.85544217,0.34043109830307344
15,hybrid,Client 3,140,259.5911895751953,0.872696,1990145.0,1716507.8,-0.872696,0.32567040864365165
16,hybrid,Client 1,148,265.6627899169922,0.8250532,3284040.2,2646502.0,-0.8250532,0.3345814993194105
16,hybrid,Client 2,150,243.12501525878906,0.8024706,3818029.5,3129817.2,-0.8024706,0.3415256956234447
16,hybrid,Client 3,140,186.46779174804686,0.83287895,1897434.8,1630742.9,-0.83287895,0.32389280505714474
17,hybrid,Client 1,148,198.79286499023436,0.7645542,3032459.2,2430100.0,-0.7645542,0.3312263908742857
17,hybrid,Client 2,150,197.32052917480468,0.7133941,3521799.8,2816077.0,-0.7133941,0.3451469286954526
17,hybrid,Client 3,140,128.4885986328125,0.7574005,1753047.6,1493879.0,-0.7574005,0.32362668043026166
18,hybrid,Client 1,148,136.13926544189454,0.7026779,2704628.0,2172797.8,-0.6674511,0.32199036347956966
18,hybrid,Client 2,150,139.88875427246094,0.6259823,3237501.8,2505448.8,-0.6259823,0.34302403823390626
18,hybrid,Client 3,140,85.16133041381836,0.6139139,1496559.5,1230095.6,-0.61044157,0.33498559828652397
19,hybrid,Client 1,148,98.37916793823243,0.6009987,2342214.8,1821503.0,-0.53119576,0.3163243012849353
19,hybrid,Client 2,150,103.57977905273438,0.5248164,2905211.2,2140908.2,-0.517781,0.3400002404900564
19,hybrid,Client 3,140,53.4432975769043,0.48174033,1325409.5,1017684.25,-0.41369903,0.3436754582250082
20,hybrid,Client 1,148,70.14705429077148,0.5263359,2077995.1,1552757.1,-0.40415242,0.3058409334828679
20,hybrid,Client 2,150,85.92383728027343,0.4312799,2535628.8,1790480.6,-0.3774793,0.3382953861942639
20,hybrid,Client 3,140,35.98184700012207,0.3675186,1093476.5,809561.25,-0.2633661,0.3558636803228681
