round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 1_weight,Client 2_weight,Client 3_weight
1,hybrid,0.0005,20,0.99999565,3907348.5,2983923.5,-0.99999565,0.35128006,-1.3991029262542725,0.99998534,148,1592.2974365234375,0.99999136,150,1628.6629638671875,0.9999985,140,1392.454443359375,0.3356175046267683,0.33789960629065835,0.3264828890825733
2,hybrid,0.0005,20,0.9999836,3907217.2,2983853.0,-0.9999836,0.35126826,-1.3989417552947998,0.9999652,148,1539.933056640625,0.9999747,150,1572.8853515625,0.9999873,140,1334.849072265625,0.3356181967389655,0.33789971224925197,0.32648209101178255
3,hybrid,0.0005,20,0.9999381,3906828.2,2983624.0,-0.9999381,0.35123327,-1.3984642028808594,0.9998844,148,1458.0925537109374,0.9999172,150,1494.02470703125,0.99992615,140,1247.254541015625,0.3356205779882738,0.3378982186693596,0.3264812033423665
4,hybrid,0.0005,20,0.9997982,3905995.5,2983039.8,-0.9997982,0.3511584,-1.3974418640136719,0.999773,148,1374.0063232421876,0.9997154,150,1402.4237060546875,0.9997065,140,1178.1566650390625,0.33560953907019686,0.33790225270240387,0.3264882082273993
5,hybrid,0.0005,20,0.9994645,3904522.5,2981854.8,-0.9994645,0.351026,-1.3956339359283447,0.9994834,148,1322.3432373046876,0.99917334,150,1312.6137939453124,0.99943244,140,1115.05224609375,0.3355963679711537,0.33793118669568434,0.3264724453331619
6,hybrid,0.0005,20,0.998955,3902066.8,2979936.0,-0.998955,0.35080522,-1.3926215171813965,0.99910617,148,1213.1216064453124,0.99840486,150,1244.9942626953125,0.999017,140,1063.8398803710938,0.33557246750335035,0.3379726129762691,0.32645491952038047
7,hybrid,0.0005,20,0.9977161,3896817.0,2975700.0,-0.9977161,0.35033324,-1.3861875534057617,0.9981339,148,1126.62255859375,0.9965723,150,1142.431396484375,0.99812794,140,974.0031494140625,0.33552909952778137,0.338073226284353,0.3263976741878657
8,hybrid,0.0005,20,0.9960444,3889902.5,2969992.0,-0.9960444,0.34971163,-1.3777272701263428,0.99681234,148,1040.16787109375,0.99364954,150,1045.4180541992187,0.99659276,140,864.4275024414062,0.33542757784839444,0.33824058366994847,0.32633183848165703
9,hybrid,0.0005,20,0.9928389,3877277.5,2959432.5,-0.9928389,0.3485766,-1.3623178005218506,0.9938544,148,938.9821044921875,0.9891724,150,931.4811645507813,0.99394536,140,774.2774291992188,0.3353589623574795,0.33842972359131746,0.32621131405120307
10,hybrid,0.0005,20,0.9877548,3856381.5,2942440.0,-0.9877548,0.34669802,-1.3369240760803223,0.9892284,148,826.0018676757812,0.9827177,150,844.6435791015625,0.9895992,140,701.7202026367188,0.3352699086940546,0.3386549224030446,0.32607516890290084
11,hybrid,0.0005,20,0.97978514,3828757.8,2918272.2,-0.97978514,0.34421456,-1.3035645484924316,0.98242366,148,727.2115356445313,0.9718402,150,752.9663940429688,0.979535,140,605.1343627929688,0.3348511275885412,0.3389409170922696,0.3262079553191892
12,hybrid,0.0005,20,0.96458524,3779455.2,2875213.5,-0.96458524,0.33978215,-1.2446208000183105,0.9715959,148,633.1665771484375,0.9538181,150,633.4316040039063,0.96612865,140,523.8480041503906,0.3342774248472118,0.33964199688812036,0.32608057826466796
13,hybrid,0.0005,20,0.9470314,3709529.0,2818324.8,-0.9470314,0.33349562,-1.1623308658599854,0.95100385,148,521.4009765625,0.9331247,150,561.5593933105469,0.9457501,140,412.2644104003906,0.33425457141578263,0.3397049942844793,0.326040434299738
14,hybrid,0.0005,20,0.91703904,3611522.2,2732207.5,-0.91703904,0.32468456,-1.049581527709961,0.9278206,148,434.04718017578125,0.8974711,150,426.5353088378906,0.92009246,140,325.3743377685547,0.33330364895809905,0.34114466136708965,0.32555168967481124
15,hybrid,0.0005,20,0.86798537,3474422.0,2602297.2,-0.86798537,0.31235892,-0.8969231843948364,0.87748057,148,345.8547302246094,0.85544217,150,324.84095458984376,0.872696,140,259.5911895751953,0.3338984930532749,0.34043109830307344,0.32567040864365165
16,hybrid,0.0005,20,0.80488193,3281639.8,2426788.0,-0.80488193,0.29502735,-0.6922574043273926,0.8250532,148,265.6627899169922,0.8024706,150,243.12501525878906,0.83287895,140,186.46779174804686,0.3345814993194105,0.3415256956234447,0.32389280505714474
17,hybrid,0.0005,20,0.72301453,3070765.8,2212912.0,-0.7209322,0.27606925,-0.48176026344299316,0.7645542,148,198.79286499023436,0.7133941,150,197.32052917480468,0.7574005,140,128.4885986328125,0.3312263908742857,0.3451469286954526,0.32362668043026166
18,hybrid,0.0005,20,0.6232698,2832022.2,1957907.0,-0.60912,0.25460562,-0.2603116035461426,0.7026779,148,136.13926544189454,0.6259823,150,139.88875427246094,0.6139139,140,85.16133041381836,0.32199036347956966,0.34302403823390626,0.33498559828652397
19,hybrid,0.0005,20,0.5201644,2556908.8,1661845.2,-0.4667853,0.22987227,-0.02734196186065674,0.6009987,148,98.37916793823243,0.5248164,150,103.57977905273438,0.48174033,140,53.4432975769043,0.3163243012849353,0.3400002404900564,0.3436754582250082
20,hybrid,0.0005,20,0.42443216,2273039.0,1397298.2,-0.31179222,0.2043517,0.18810784816741943,0.5263359,148,70.14705429077148,0.4312799,150,85.92383728027343,0.3675186,140,35.98184700012207,0.3058409334828679,0.3382953861942639,0.3558636803228681
