round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,size_only,0.0005,20,0.9999809,3907211.5,2983858.0,-0.9999809,0.35126776,-1.3989348411560059,fedavg,1.0,1.0,,13.037010464015566,13.037010464015566,False,False,False,,,,,,,,,,,0.9999083280563354,148,1566.14521484375,13.203016282337005,13.203016282337005,1.999816656112671,0.9999753832817078,150,1602.7912109375,12.958913281385462,12.958913281385462,1.9999507665634155,0.9999959468841553,140,1353.9082275390624,13.43915357357034,13.43915357357034,1.9999918937683105,0.3378995433789954,0.3424657534246575,0.319634703196347
2,size_only,0.0005,20,0.9999157,3906344.0,2983438.8,-0.9999157,0.35118976,-1.39786958694458,fedavg,1.0,1.0,,3.804772741698756,3.804772741698756,False,False,False,,,,,,,,,,,0.9997996091842651,148,1471.4344482421875,4.22414708836419,4.22414708836419,1.9995992183685303,0.9998409152030945,150,1500.8188232421876,4.56741992009695,4.56741992009695,1.999681830406189,0.9999501705169678,140,1288.8967041015626,4.530085538639098,4.530085538639098,1.9999003410339355,0.3378995433789954,0.3424657534246575,0.319634703196347
3,size_only,0.0005,20,0.99973726,3904908.8,2982563.2,-0.99973726,0.35106072,-1.3961079120635986,fedavg,1.0,1.0,,4.272650454534714,4.272650454534714,False,False,False,,,,,,,,,,,0.9995784759521484,148,1398.790283203125,5.273884516418872,5.273884516418872,1.9991569519042969,0.9995649456977844,150,1403.0432373046874,4.6252701483558045,4.6252701483558045,1.9991298913955688,0.999767005443573,140,1225.1602294921875,4.7752988953566495,4.7752988953566495,1.999534010887146,0.3378995433789954,0.3424657534246575,0.319634703196347
4,size_only,0.0005,20,0.9992514,3902362.5,2980661.8,-0.9992514,0.3508318,-1.39298415184021,fedavg,1.0,1.0,,4.809983433864052,4.809983433864052,False,False,False,,,,,,,,,,,0.9991157054901123,148,1303.43427734375,5.572399607719369,5.572399607719369,1.9982314109802246,0.9989107847213745,150,1312.0725830078125,5.561557406241294,5.561557406241294,1.997821569442749,0.9992203116416931,140,1103.9975830078124,5.083086250880328,5.083086250880328,1.9984406232833862,0.3378995433789954,0.3424657534246575,0.319634703196347
5,size_only,0.0005,20,0.99856454,3898955.2,2978064.2,-0.99856454,0.3505255,-1.3888070583343506,fedavg,1.0,1.0,,3.913692220244895,3.913692220244895,False,False,False,,,,,,,,,,,0.9986151456832886,148,1220.219091796875,5.236944643637371,5.236944643637371,1.9972302913665771,0.9974126219749451,150,1253.9268798828125,5.003256718239183,5.003256718239183,1.9948252439498901,0.9986838102340698,140,1043.1705444335937,3.5212928845974676,3.5212928845974676,1.9973676204681396,0.3378995433789954,0.3424657534246575,0.319634703196347
6,size_only,0.0005,20,0.99714863,3892975.8,2973085.8,-0.99714863,0.34998792,-1.381485939025879,fedavg,1.0,1.0,,3.322615378553454,3.322615378553454,False,False,False,,,,,,,,,,,0.9973900318145752,148,1151.3343139648437,5.012207831889491,5.012207831889491,1.9947800636291504,0.9950199127197266,150,1167.5161376953124,4.765317012382926,4.765317012382926,1.9900398254394531,0.9973652362823486,140,967.1775512695312,3.4215961906882826,3.4215961906882826,1.9947304725646973,0.3378995433789954,0.3424657534246575,0.319634703196347
7,size_only,0.0005,20,0.9948697,3882566.8,2964757.8,-0.9948697,0.34905213,-1.3687677383422852,fedavg,1.0,1.0,,3.666423469513987,3.666423469513987,False,False,False,,,,,,,,,,,0.9950966238975525,148,1028.586767578125,4.70618066346106,4.70618066346106,1.990193247795105,0.9912184476852417,150,1035.937451171875,5.980192584377078,5.980192584377078,1.9824368953704834,0.9943437576293945,140,876.739501953125,3.3483757393180142,3.3483757393180142,1.988687515258789,0.3378995433789954,0.3424657534246575,0.319634703196347
8,size_only,0.0005,20,0.9906864,3863435.0,2949840.5,-0.9906864,0.34733212,-1.3454804420471191,fedavg,1.0,1.0,,3.013203279682248,3.013203279682248,False,False,False,,,,,,,,,,,0.9920410513877869,148,948.2555541992188,4.552113872461357,4.552113872461357,1.9840821027755737,0.9832764863967896,150,937.2461669921875,5.227281127409304,5.227281127409304,1.966552972793579,0.990570068359375,140,784.6602416992188,3.6853803241397456,3.6853803241397456,1.98114013671875,0.3378995433789954,0.3424657534246575,0.319634703196347
9,size_only,0.0005,20,0.98418665,3833021.2,2926184.5,-0.98418665,0.34459785,-1.3086977005004883,fedavg,1.0,1.0,,3.0288842751673757,3.0288842751673757,False,False,False,,,,,,,,,,,0.9869936108589172,148,844.5041625976562,3.71798497169877,3.71798497169877,1.9739872217178345,0.9736925363540649,150,870.2473510742187,4.76039298920182,4.76039298920182,1.9473850727081299,0.9840174913406372,140,717.9742919921875,3.625421514772335,3.625421514772335,1.9680349826812744,0.3378995433789954,0.3424657534246575,0.319634703196347
10,size_only,0.0005,20,0.9763472,3797024.0,2897957.8,-0.9763472,0.3413616,-1.2655377388000488,fedavg,1.0,1.0,,2.460100641799945,2.460100641799945,False,False,False,,,,,,,,,,,0.9815704822540283,148,742.6475830078125,3.6996527608263317,3.6996527608263317,1.9631409645080566,0.9623876810073853,150,748.9735107421875,4.1935239555743395,4.1935239555743395,1.9247753620147705,0.9726343154907227,140,621.9796691894531,3.889368310369393,3.889368310369393,1.9452686309814453,0.3378995433789954,0.3424657534246575,0.319634703196347
