round,strategy,lr,local_epochs,global_val_mape,global_val_rmse,global_val_mae,global_val_mpe,global_val_nrmse,global_val_r2,server_optimizer,server_lr_scale,effective_server_lr,max_coordinate_step_ratio,aggregation_delta_norm,server_update_norm,server_update_clipped,coordinate_step_clipped,coordinate_direction_rejected,selected_candidate_id,requested_candidate_id,gate_status,candidate_score,candidate_source,candidate_budget,weight_l1_from_previous,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,Client 1_val_mape,Client 1_n_samples,Client 1_train_loss,Client 1_update_norm,Client 1_update_delta_norm,Client 1_validation_gap,Client 2_val_mape,Client 2_n_samples,Client 2_train_loss,Client 2_update_norm,Client 2_update_delta_norm,Client 2_validation_gap,Client 3_val_mape,Client 3_n_samples,Client 3_train_loss,Client 3_update_norm,Client 3_update_delta_norm,Client 3_validation_gap,Client 1_weight,Client 2_weight,Client 3_weight
1,continuous_weight_search,0.0005,20,0.9999986,3907377.0,2983938.2,-0.9999986,0.35128263,-1.3991379737854004,fedyogi,1.0,0.5,1.0,13.036936016538236,9.40829724423636,False,True,False,size_anchor,,fallback_conservative_epsilon,1.0294069823657728,size_anchor,60,0.0,0.005,,0.2,0.9999087452888489,148,1566.158251953125,13.202980828336942,13.202980828336942,1.9998174905776978,0.9999753832817078,150,1602.8050048828125,12.958765266907944,12.958765266907944,1.9999507665634155,0.9999959468841553,140,1353.9193359375,13.438986621784245,13.438986621784245,1.9999918937683105,0.3378995433789954,0.3424657534246575,0.319634703196347
2,continuous_weight_search,0.0005,20,0.9997275,3903813.0,2982221.0,-0.9997275,0.35096222,-1.394763469696045,fedyogi,1.0,0.5,1.0,5.626027380428032,5.008189193302284,False,True,True,size_anchor,,fallback_conservative_epsilon,1.0247601122775614,size_anchor,60,0.0,0.005,,0.2,0.9998154640197754,148,1460.565380859375,6.23378830884102,6.23378830884102,1.9996309280395508,0.9998437762260437,150,1494.5749267578126,6.283016773096995,6.283016773096995,1.9996875524520874,0.9999382495880127,140,1280.8192626953125,5.5815177221677175,5.5815177221677175,1.9998764991760254,0.3378995433789954,0.3424657534246575,0.319634703196347
3,continuous_weight_search,0.0005,20,0.998999,3897155.5,2978452.5,-0.998999,0.35036367,-1.3866024017333984,fedyogi,1.0,0.5,1.0,5.587227551423972,3.719397613068637,False,True,True,size_anchor,,fallback_conservative_epsilon,1.022778637835046,size_anchor,60,0.0,0.005,,0.2,0.9994072914123535,148,1389.040087890625,6.199093962460285,6.199093962460285,1.998814582824707,0.999615490436554,150,1412.2089599609376,6.338395835740144,6.338395835740144,1.999230980873108,0.9996442794799805,140,1189.981103515625,5.364234981275812,5.364234981275812,1.999288558959961,0.3378995433789954,0.3424657534246575,0.319634703196347
4,continuous_weight_search,0.0005,20,0.9985741,3897213.2,2977532.8,-0.9985741,0.3503689,-1.3866729736328125,fedyogi,1.0,0.5,1.0,6.959678262671962,4.793317100454454,False,True,True,size_anchor,,fallback_conservative_epsilon,1.0234182731122266,size_anchor,60,0.0,0.005,,0.2,0.9990436434745789,148,1318.03203125,7.71850823626406,7.71850823626406,1.9980872869491577,0.9989371299743652,150,1329.861083984375,7.986617039105332,7.986617039105332,1.9978742599487305,0.9990126490592957,140,1129.7363037109376,6.303751811271221,6.303751811271221,1.9980252981185913,0.3378995433789954,0.3424657534246575,0.319634703196347
5,continuous_weight_search,0.0005,20,0.9978522,3895611.5,2975430.8,-0.9978522,0.35022488,-1.3847119808197021,fedyogi,1.0,0.5,1.0,6.358739682894546,4.742411035998293,False,True,True,size_anchor,,fallback_conservative_epsilon,1.0226754572577315,size_anchor,60,0.0,0.005,,0.2,0.9984352588653564,148,1219.2592041015625,7.114163473842307,7.114163473842307,1.996870517730713,0.9972902536392212,150,1245.761376953125,7.32251777357132,7.32251777357132,1.9945805072784424,0.9979020357131958,140,1045.8505981445312,6.289819805213378,6.289819805213378,1.9958040714263916,0.3378995433789954,0.3424657534246575,0.319634703196347
6,continuous_weight_search,0.0005,20,0.9963857,3890190.5,2970550.5,-0.9963857,0.34973752,-1.3780791759490967,fedyogi,1.0,0.5,1.0,5.809398386437986,4.64575895851113,False,True,True,size_anchor,,fallback_conservative_epsilon,1.0211643315274046,size_anchor,60,0.0,0.005,,0.2,0.9972676634788513,148,1108.4716918945312,6.535107989132529,6.535107989132529,1.9945353269577026,0.9940475821495056,150,1143.9108642578126,6.777334008351923,6.777334008351923,1.9880951642990112,0.9961407780647278,140,962.4921142578125,5.782386736802468,5.782386736802468,1.9922815561294556,0.3378995433789954,0.3424657534246575,0.319634703196347
7,continuous_weight_search,0.0005,20,0.9935794,3877889.5,2960587.2,-0.9935794,0.34863162,-1.3630640506744385,fedyogi,1.0,0.5,1.0,4.4680258208467345,3.9836054298962615,False,True,True,size_anchor,,fallback_conservative_epsilon,1.017776786014804,size_anchor,60,0.0,0.005,,0.2,0.9955432415008545,148,1038.0951782226562,5.707893260075576,5.707893260075576,1.991086483001709,0.9903368949890137,150,1067.9578491210937,5.715941363071951,5.715941363071951,1.9806737899780273,0.993653416633606,140,901.8835693359375,4.047146781819281,4.047146781819281,1.987306833267212,0.3378995433789954,0.3424657534246575,0.319634703196347
8,continuous_weight_search,0.0005,20,0.98885614,3856032.8,2943567.8,-0.98885614,0.34666663,-1.3365013599395752,fedyogi,1.0,0.5,1.0,3.980247876067333,3.64521008700618,False,True,True,size_anchor,,fallback_conservative_epsilon,1.0127792887088705,size_anchor,60,0.0,0.005,,0.2,0.9901118874549866,148,953.1223266601562,4.98416672764643,4.98416672764643,1.9802237749099731,0.9857157468795776,150,964.9375122070312,5.895715949905771,5.895715949905771,1.9714314937591553,0.9884949922561646,140,798.05947265625,4.139952883162765,4.139952883162765,1.976989984512329,0.3378995433789954,0.3424657534246575,0.319634703196347
9,continuous_weight_search,0.0005,20,0.98159665,3824261.0,2918084.2,-0.98159665,0.3438103,-1.29815673828125,fedyogi,1.0,0.5,1.0,3.9680745479582242,3.731237091601207,False,True,True,size_anchor,,fallback_conservative_epsilon,1.0056637674947384,size_anchor,60,0.0,0.005,,0.2,0.9860867857933044,148,851.1152465820312,4.592900716125967,4.592900716125967,1.9721735715866089,0.9750769734382629,150,860.875048828125,5.912889794686062,5.912889794686062,1.9501539468765259,0.978557288646698,140,732.9521484375,4.272790320408065,4.272790320408065,1.957114577293396,0.3378995433789954,0.3424657534246575,0.319634703196347
10,continuous_weight_search,0.0005,20,0.9718934,3780751.0,2883121.2,-0.9718934,0.33989865,-1.2461605072021484,fedyogi,1.0,0.5,1.0,3.0908558047624157,2.686694827737643,False,True,True,size_anchor,,fallback_conservative_epsilon,0.9949770795971774,size_anchor,60,0.0,0.005,,0.2,0.9784180521965027,148,759.1631103515625,3.5761163470377566,3.5761163470377566,1.9568361043930054,0.9650550484657288,150,755.1408325195313,5.350462590248112,5.350462590248112,1.9301100969314575,0.9693284630775452,140,631.0788940429687,3.807925967190216,3.807925967190216,1.9386569261550903,0.3378995433789954,0.3424657534246575,0.319634703196347
