round,strategy,client_id,n_samples,train_loss,val_mape,val_rmse,val_mae,val_mpe,update_norm,update_delta_norm,validation_gap,aggregation_weight
1,continuous_weight_search,Client 1,148,1566.158251953125,0.9999087452888489,3987421.5,3241735.25,-0.9999087452888489,13.202980828336942,13.202980828336942,1.9998174905776978,0.3378995433789954
1,continuous_weight_search,Client 2,150,1602.8050048828125,0.9999753832817078,4608825.5,3894989.5,-0.9999753832817078,12.958765266907944,12.958765266907944,1.9999507665634155,0.3424657534246575
1,continuous_weight_search,Client 3,140,1353.9193359375,0.9999959468841553,2321843.5,1997765.75,-0.9999959468841553,13.438986621784245,13.438986621784245,1.9999918937683105,0.319634703196347
2,continuous_weight_search,Client 1,148,1478.351611328125,0.9998394846916199,3986841.75,3241354.75,-0.9998394846916199,9.13261526627546,9.13261526627546,1.9996789693832397,0.3378995433789954
2,continuous_weight_search,Client 2,150,1488.7443115234375,0.9998233318328857,4607474.5,3894090.0,-0.9998233318328857,8.942295070730669,8.942295070730669,1.9996466636657715,0.3424657534246575
2,continuous_weight_search,Client 3,140,1282.495849609375,0.9999552965164185,2321647.0,1997633.75,-0.9999552965164185,9.23319910205128,9.23319910205128,1.999910593032837,0.319634703196347
3,continuous_weight_search,Client 1,148,1402.2240966796876,0.9995536804199219,3984796.5,3239923.75,-0.9995536804199219,7.3417929307988885,7.3417929307988885,1.9991073608398438,0.3378995433789954
3,continuous_weight_search,Client 2,150,1413.093408203125,0.999502956867218,4606105.0,3892815.25,-0.999502956867218,7.416008335108364,7.416008335108364,1.999005913734436,0.3424657534246575
3,continuous_weight_search,Client 3,140,1202.8211181640625,0.9996960163116455,2320547.25,1996842.0,-0.9996960163116455,7.0935855834639945,7.0935855834639945,1.999392032623291,0.319634703196347
4,continuous_weight_search,Client 1,148,1290.5282470703125,0.9992085695266724,3982549.0,3238296.0,-0.9992085695266724,8.260867099627639,8.260867099627639,1.9984171390533447,0.3378995433789954
4,continuous_weight_search,Client 2,150,1351.56640625,0.9990012645721436,4604155.0,3890869.5,-0.9990012645721436,7.675256158549649,7.675256158549649,1.998002529144287,0.3424657534246575
4,continuous_weight_search,Client 3,140,1134.2456787109375,0.9992539882659912,2318926.5,1995608.875,-0.9992539882659912,7.112773580901567,7.112773580901567,1.9985079765319824,0.319634703196347
5,continuous_weight_search,Client 1,148,1221.910791015625,0.9986346364021301,3978454.5,3235499.0,-0.9986346364021301,8.280008665542379,8.280008665542379,1.9972692728042603,0.3378995433789954
5,continuous_weight_search,Client 2,150,1246.1746826171875,0.9975330233573914,4598235.5,3885075.0,-0.9975330233573914,8.87718213209507,8.87718213209507,1.9950660467147827,0.3424657534246575
5,continuous_weight_search,Client 3,140,1043.446826171875,0.9985423684120178,2315992.0,1993523.5,-0.9985423684120178,8.884312278832803,8.884312278832803,1.9970847368240356,0.319634703196347
6,continuous_weight_search,Client 1,148,1132.1177734375,0.9974220395088196,3970974.25,3230058.0,-0.9974220395088196,10.113322936688988,10.113322936688988,1.9948440790176392,0.3378995433789954
6,continuous_weight_search,Client 2,150,1149.1790283203125,0.9949528574943542,4588627.5,3875234.5,-0.9949528574943542,10.562123334488897,10.562123334488897,1.9899057149887085,0.3424657534246575
6,continuous_weight_search,Client 3,140,952.2505493164062,0.9972577691078186,2312053.75,1990362.0,-0.9972577691078186,9.447354658888049,9.447354658888049,1.9945155382156372,0.319634703196347
7,continuous_weight_search,Client 1,148,1045.38056640625,0.9953439831733704,3956475.5,3220195.75,-0.9953439831733704,10.22364996385841,10.22364996385841,1.9906879663467407,0.3378995433789954
7,continuous_weight_search,Client 2,150,1045.1033569335937,0.9909124970436096,4570514.5,3858339.25,-0.9909124970436096,9.773823043900153,9.773823043900153,1.9818249940872192,0.3424657534246575
7,continuous_weight_search,Client 3,140,891.392431640625,0.993972659111023,2300098.25,1981466.875,-0.993972659111023,8.154429485795458,8.154429485795458,1.987945318222046,0.319634703196347
8,continuous_weight_search,Client 1,148,942.7209594726562,0.9929324984550476,3942629.25,3209576.25,-0.9929324984550476,9.199572991622336,9.199572991622336,1.9858649969100952,0.2878995433789954
8,continuous_weight_search,Client 2,150,956.1556640625,0.9853647947311401,4545971.5,3835600.75,-0.9853647947311401,10.407259391728056,10.407259391728056,1.9707295894622803,0.3424657534246575
8,continuous_weight_search,Client 3,140,806.67158203125,0.9905591607093811,2288238.0,1972600.875,-0.9905591607093811,7.329603014577857,7.329603014577857,1.9811183214187622,0.369634703196347
9,continuous_weight_search,Client 1,148,862.46845703125,0.9880724549293518,3910438.25,3186920.25,-0.9880724549293518,10.227547969637525,10.227547969637525,1.9761449098587036,0.2878995433789954
9,continuous_weight_search,Client 2,150,870.2506469726562,0.9747345447540283,4501137.5,3793079.5,-0.9747345447540283,9.498088060821633,9.498088060821633,1.9494690895080566,0.3424657534246575
9,continuous_weight_search,Client 3,140,718.5941772460938,0.9847317934036255,2268343.25,1957113.75,-0.9847317934036255,7.129875876946595,7.129875876946595,1.969463586807251,0.369634703196347
10,continuous_weight_search,Client 1,148,728.8863037109375,0.9814925193786621,3868127.5,3156622.0,-0.9814925193786621,8.757246462206036,8.757246462206036,1.9629850387573242,0.2878995433789954
10,continuous_weight_search,Client 2,150,763.19599609375,0.9636991620063782,4440982.5,3742711.25,-0.9636991620063782,8.912526730253862,8.912526730253862,1.9273983240127563,0.3424657534246575
10,continuous_weight_search,Client 3,140,653.3330322265625,0.9751363396644592,2242632.25,1935656.625,-0.9751363396644592,7.108835423614471,7.108835423614471,1.9502726793289185,0.369634703196347
11,continuous_weight_search,Client 1,148,650.2969604492188,0.9719153046607971,3814157.0,3115164.25,-0.9719153046607971,8.001571353484868,8.001571353484868,1.9438306093215942,0.2833333333333333
11,continuous_weight_search,Client 2,150,662.6359497070313,0.9475967288017273,4367230.0,3676149.0,-0.9475967288017273,9.040488047403334,9.040488047403334,1.8951934576034546,0.3333333333333333
11,continuous_weight_search,Client 3,140,557.4398315429687,0.9638925194740295,2210248.75,1909445.375,-0.9638925194740295,7.243871739557853,7.243871739557853,1.927785038948059,0.3833333333333333
12,continuous_weight_search,Client 1,148,557.6674194335938,0.9573785662651062,3738070.75,3055560.75,-0.9573785662651062,8.328555845481853,8.328555845481853,1.9147571325302124,0.2833333333333333
12,continuous_weight_search,Client 2,150,561.4876037597656,0.9262988567352295,4288163.5,3598963.0,-0.9262988567352295,7.4621567757069345,7.4621567757069345,1.852597713470459,0.3333333333333333
12,continuous_weight_search,Client 3,140,457.8460388183594,0.9341780543327332,2134564.25,1845092.125,-0.9341780543327332,7.510372555576103,7.510372555576103,1.8683561086654663,0.3833333333333333
13,continuous_weight_search,Client 1,148,447.668603515625,0.9362065196037292,3634160.25,2970649.5,-0.9362065196037292,7.80848456490173,7.80848456490173,1.8724130392074585,0.2833333333333333
13,continuous_weight_search,Client 2,150,464.0342041015625,0.8943555951118469,4174251.25,3484709.25,-0.8943555951118469,9.21368445467765,9.21368445467765,1.7887111902236938,0.3333333333333333
13,continuous_weight_search,Client 3,140,370.72364501953126,0.90286785364151,2057166.125,1777730.5,-0.90286785364151,7.617253877527799,7.617253877527799,1.80573570728302,0.3833333333333333
14,continuous_weight_search,Client 1,148,389.6307006835938,0.9118260741233826,3505075.5,2871092.25,-0.9118260741233826,8.80224319772838,8.80224319772838,1.8236521482467651,0.2833333333333333
14,continuous_weight_search,Client 2,150,390.56520385742186,0.8490837216377258,3992266.75,3307031.25,-0.8490837216377258,9.122705061585448,9.122705061585448,1.6981674432754517,0.3333333333333333
14,continuous_weight_search,Client 3,140,304.55161437988284,0.86070317029953,1963848.5,1699007.625,-0.86070317029953,10.240091492149087,10.240091492149087,1.72140634059906,0.3833333333333333
15,continuous_weight_search,Client 1,148,301.36354064941406,0.8702723979949951,3326077.0,2717798.75,-0.8702723979949951,8.798482300932209,8.798482300932209,1.7405447959899902,0.2833333333333333
15,continuous_weight_search,Client 2,150,296.2190795898438,0.7861917614936829,3754577.75,3067116.75,-0.7861917614936829,9.365445970444148,9.365445970444148,1.5723835229873657,0.3333333333333333
15,continuous_weight_search,Client 3,140,208.4246856689453,0.8032128810882568,1838045.875,1587125.875,-0.8032128810882568,8.989366999593404,8.989366999593404,1.6064257621765137,0.3833333333333333
16,continuous_weight_search,Client 1,148,210.0282989501953,0.8030195236206055,3133423.5,2527925.25,-0.8030195236206055,9.76488854001592,9.76488854001592,1.606039047241211,0.2833333333333333
16,continuous_weight_search,Client 2,150,239.62051086425782,0.728426456451416,3555414.0,2853619.0,-0.728426456451416,9.864916904854114,9.864916904854114,1.456852912902832,0.3333333333333333
16,continuous_weight_search,Client 3,140,156.00499572753907,0.737463653087616,1734739.5,1484646.75,-0.737463653087616,11.709653309075764,11.709653309075764,1.474927306175232,0.3833333333333333
17,continuous_weight_search,Client 1,148,147.6641403198242,0.712354302406311,2823988.0,2253426.5,-0.7054454684257507,12.70133622196467,12.70133622196467,1.417799711227417,0.2833333333333333
17,continuous_weight_search,Client 2,150,154.0548889160156,0.652236819267273,3388550.75,2648816.75,-0.652236819267273,10.684236627253611,10.684236627253611,1.304473638534546,0.3333333333333333
17,continuous_weight_search,Client 3,140,91.80674743652344,0.601934015750885,1531621.25,1276655.5,-0.601934015750885,12.164147125816882,12.164147125816882,1.20386803150177,0.3833333333333333
18,continuous_weight_search,Client 1,148,92.72546691894532,0.6340351700782776,2523234.75,1995395.375,-0.6047258973121643,12.104632783435417,12.104632783435417,1.238761067390442,0.2833333333333333
18,continuous_weight_search,Client 2,150,99.16139221191406,0.5484368801116943,3049007.75,2289533.5,-0.5235254168510437,12.182090995772946,12.182090995772946,1.0719623565673828,0.3333333333333333
18,continuous_weight_search,Client 3,140,64.090869140625,0.5088680386543274,1322660.875,1089915.5,-0.44539323449134827,12.600774092238357,12.600774092238357,0.954261302947998,0.3833333333333333
19,continuous_weight_search,Client 1,148,69.35672607421876,0.5152537822723389,2187852.75,1637671.875,-0.4679579436779022,11.834812247635668,11.834812247635668,0.9832117557525635,0.2833333333333333
19,continuous_weight_search,Client 2,150,60.982731628417966,0.4725082218647003,2691915.75,1972059.125,-0.36536747217178345,11.669044015400846,11.669044015400846,0.8378757238388062,0.3333333333333333
19,continuous_weight_search,Client 3,140,54.160186004638675,0.4640900194644928,1176337.625,928851.5625,-0.2658034563064575,12.417108822413644,12.417108822413644,0.7298934459686279,0.3833333333333333
