scenario,model_type,training_samples,training_scope,local_validation_samples_withheld,validation_samples,test_samples,n_estimators,learning_rate,max_depth,val_mape,val_rmse,val_mae,val_mpe,val_nrmse,test_mape,test_rmse,test_mae,test_mpe,test_nrmse,scenario_key,seed,split_seed,elapsed_seconds,success,command,result_file,code_commit,code_dirty,llm_provider,llm_temperature,seed_result_file,hidden_dims,dropout,weight_decay,batch_size,best_epoch,best_val_mape,test_r2,test_mape_corrected,test_rmse_corrected,test_mae_corrected,test_mpe_corrected,test_r2_corrected,bias_correction_value,num_rounds,best_round,server_optimizer,server_lr,server_beta1,server_beta2,server_tau,server_lr_scale,max_coordinate_step_ratio,update_clip_norm,adaptive_mode,candidate_budget,weight_grid_step,min_client_weight,max_client_weight,selection_epsilon,llm_score_tolerance,weight_l1_change_limit,use_llm
GBR传统机器学习,GradientBoostingRegressor,438.0,federated_local_train_union,112.0,68.0,70.0,200.0,0.1,5.0,0.4521292616336299,1828687.9600936763,1177272.082066007,0.1784058777370366,0.1644034356491184,0.5505476287404255,1390877.4542825555,1049122.082876664,0.222071546173852,0.1560257938995189,A,42,42,35.206711769104004,True,D:\Python\python.exe experiments/scenario_A_centralized.py --seed 42,results\centralized_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\A_seed42_result.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR传统机器学习,GradientBoostingRegressor,438.0,federated_local_train_union,112.0,68.0,70.0,200.0,0.1,5.0,0.4636292586035718,1804209.4563515885,1188399.6564133742,0.179872724724951,0.1622027594251973,0.5767789349730309,1460138.6913151408,1125654.4521502974,0.2324155399379699,0.1637953781006274,A,123,42,8.074948072433472,True,D:\Python\python.exe experiments/scenario_A_centralized.py --seed 123,results\centralized_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\A_seed123_result.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR传统机器学习,GradientBoostingRegressor,438.0,federated_local_train_union,112.0,68.0,70.0,200.0,0.1,5.0,0.4444936051645478,1787097.3279733676,1163420.7618505692,0.171486351358351,0.160664338022508,0.5600261774288104,1500143.7072833187,1098676.2075041088,0.2305661248597591,0.1682830591376442,A,456,42,7.819909334182739,True,D:\Python\python.exe experiments/scenario_A_centralized.py --seed 456,results\centralized_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\A_seed456_result.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR传统机器学习,GradientBoostingRegressor,438.0,federated_local_train_union,112.0,68.0,70.0,200.0,0.1,5.0,0.436553777664426,1658363.1578764473,1091737.6204846269,0.1628742050977436,0.1490908272261185,0.5533432184941232,1413360.4142565525,1078304.5474062243,0.214104395276669,0.1585478864594011,A,789,42,7.774931907653809,True,D:\Python\python.exe experiments/scenario_A_centralized.py --seed 789,results\centralized_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\A_seed789_result.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GBR传统机器学习,GradientBoostingRegressor,438.0,federated_local_train_union,112.0,68.0,70.0,200.0,0.1,5.0,0.4288501261150793,1786419.8816353336,1157436.0229817638,0.1822912362107664,0.1606034339711493,0.5481212175843564,1448399.640979453,1111146.0623746563,0.2112182216084168,0.1624785153945619,A,2024,42,7.857485294342041,True,D:\Python\python.exe experiments/scenario_A_centralized.py --seed 2024,results\centralized_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\A_seed2024_result.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANN传统神经网络,PyTorch_MLP,438.0,federated_local_train_union,112.0,,70.0,,0.001,,,,,,,0.43019307,1484185.0,1039525.0,-0.015124127,0.16649285,A_prime,42,42,50.61227083206177,True,D:\Python\python.exe experiments/scenario_A_prime.py --seed 42,results\centralized_nn_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\A_prime_seed42_result.csv,"[128, 128, 64, 32]",0.1,0.0001,32.0,84.0,0.32162312,0.4816510081291199,0.4298853,1493582.2,1047087.44,-0.025161857,0.4750663042068481,0.010296832,,,,,,,,,,,,,,,,,,,
ANN传统神经网络,PyTorch_MLP,438.0,federated_local_train_union,112.0,,70.0,,0.001,,,,,,,0.55781096,1501278.6,1065038.1,0.21100114,0.16841038,A_prime,123,42,22.48579835891724,True,D:\Python\python.exe experiments/scenario_A_prime.py --seed 123,results\centralized_nn_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\A_prime_seed123_result.csv,"[128, 128, 64, 32]",0.1,0.0001,32.0,70.0,0.362357,0.4696424007415771,0.50799876,1592594.8,1098746.9,0.038934648,0.4031616449356079,0.16561821,,,,,,,,,,,,,,,,,,,
ANN传统神经网络,PyTorch_MLP,438.0,federated_local_train_union,112.0,,70.0,,0.001,,,,,,,0.5678357,1556067.6,1092374.0,0.19918242,0.1745565,A_prime,456,42,23.694972038269043,True,D:\Python\python.exe experiments/scenario_A_prime.py --seed 456,results\centralized_nn_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\A_prime_seed456_result.csv,"[128, 128, 64, 32]",0.1,0.0001,32.0,74.0,0.3434579,0.4302253723144531,0.517522,1716414.8,1209879.6,-0.015919447,0.3067487478256225,0.21858154,,,,,,,,,,,,,,,,,,,
ANN传统神经网络,PyTorch_MLP,438.0,federated_local_train_union,112.0,,70.0,,0.001,,,,,,,0.50776494,1431269.4,993218.5,0.1710573,0.16055688,A_prime,789,42,23.92891263961792,True,D:\Python\python.exe experiments/scenario_A_prime.py --seed 789,results\centralized_nn_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\A_prime_seed789_result.csv,"[128, 128, 64, 32]",0.1,0.0001,32.0,79.0,0.31864807,0.5179534554481506,0.4718563,1542558.5,1053367.6,0.009286589,0.4400755167007446,0.16028221,,,,,,,,,,,,,,,,,,,
ANN传统神经网络,PyTorch_MLP,438.0,federated_local_train_union,112.0,,70.0,,0.001,,,,,,,0.46942323,1483441.2,1035793.5,0.09416613,0.16640942,A_prime,2024,42,89.37867569923401,True,D:\Python\python.exe experiments/scenario_A_prime.py --seed 2024,results\centralized_nn_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\A_prime_seed2024_result.csv,"[128, 128, 64, 32]",0.1,0.0001,32.0,75.0,0.33277678,0.4821704030036926,0.45363933,1582497.9,1113382.2,-0.017681282,0.4107054471969604,0.11386061,,,,,,,,,,,,,,,,,,,
传统联邦学习,,,,,,,,,,,,,,,0.42065084,1700182.5,1198032.6,-0.1652389,0.190723,B,42,42,176.9068479537964,True,D:\Python\python.exe experiments/scenario_B_fedavg.py --num_rounds 20 --seed 42,results\fedavg_results.csv,c58bfb6,True,deepseek,0.8,results\multi_seed\B_seed42_result.csv,,,,,,,0.31979900598526,0.42098188,1540240.4,1070468.8,-0.014744983,0.4417571425437927,-0.15274614,20.0,20.0,,,,,,,,,,,,,,,,,
